Player name,Known as,player_id,position,nationality,team,Fifa 21 Potential rating,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Wilfred Ndidi,W. Ndidi,226790,"['CDM', 'CM']",Nigeria,Leicester City,88,84,23,85,24
Steven Bergwijn,S. Bergwijn,225953,"['LM', 'LW', 'RM']",Netherlands,Tottenham Hotspur,88,83,22,80,23
Joe Gomez,J. Gomez,225100,['CB'],England,Liverpool,88,83,23,82,24
Reinier Jesus Carvalho,Reinier,254544,"['CF', 'CAM']",Brazil,Real Madrid CF,87,71,18,71,19
Facundo Pellistri,F. Pellistri,253283,"['RM', 'RW']",Uruguay,Club Atlético Peñarol,87,71,18,70,19
Karim Adeyemi,K. Adeyemi,251852,"['ST', 'LW']",Germany,FC Red Bull Salzburg,87,69,18,71,19
Renan Augusto Lodi Dos Santos,Renan Lodi,251573,['LB'],Brazil,Atlético de Madrid,87,81,22,81,23
Bruno Guimaraes Moura,Bruno Guimarães,247851,"['CM', 'CDM']",Brazil,Olympique Lyonnais,87,78,22,79,23
Dejan Kulusevski,D. Kulusevski,247394,"['RW', 'CAM']",Sweden,Parma,87,77,20,81,21
Maxence Caqueret,M. Caqueret,246646,"['CM', 'CDM']",France,Olympique Lyonnais,87,75,20,78,21
Adam Hlozek,A. Hložek,246618,"['RM', 'ST', 'LM']",Czech Republic,AC Sparta Praha,87,74,17,76,18
Ryan Gravenberch,R. Gravenberch,246104,"['CM', 'CDM']",Netherlands,Ajax,87,70,18,78,19
Giovanni Reyna,G. Reyna,245541,"['LM', 'CAM']",United States,Borussia Dortmund,87,68,17,77,18
Daniel Olmo Carvajal,Dani Olmo,244260,"['CAM', 'LM', 'RM']",Spain,RB Leipzig,87,79,22,82,23
Jovane Eduardo Borges Cabral,Jovane Cabral,244193,"['LW', 'RW']",Cape Verde Islands,Sporting CP,87,77,22,78,23
Andriy Lunin,A. Lunin,243952,['GK'],Ukraine,Real Madrid CF,87,75,21,74,22
William Saliba,W. Saliba,243715,['CB'],France,Arsenal,87,74,19,75,20
Maarten Vandevoordt,M. Vandevoordt,242879,['GK'],Belgium,KRC Genk,87,68,18,71,19
Pedro Antonio Pereira Goncalves,Pedro Gonçalves,240950,['CM'],Portugal,Futebol Clube de Famalicão,87,76,22,81,23
Matheus Santos Carneiro Da Cunha,Matheus Cunha,240243,"['CAM', 'ST', 'LM']",Brazil,Hertha BSC,87,78,21,79,22
Eder Gabriel Militao,Éder Militão,240130,"['CB', 'RB']",Brazil,Real Madrid CF,87,80,22,82,23
Myron Boadu,M. Boadu,239956,['ST'],Netherlands,AZ Alkmaar,87,75,19,76,20
Ozan Kabak,O. Kabak,239890,['CB'],Turkey,FC Schalke 04,87,77,20,76,21
Ruben Santos Gato Alves Dias,Rúben Dias,239818,['CB'],Portugal,SL Benfica,87,81,23,87,24
Boubacar Kamara,B. Kamara,236987,"['CDM', 'CB']",France,Olympique de Marseille,87,79,20,80,21
Dominik Szoboszlai,D. Szoboszlai,236772,"['CAM', 'LM']",Hungary,FC Red Bull Salzburg,87,75,19,77,20
Tanguy Ndombele,T. Ndombele,235569,"['CM', 'CDM']",France,Tottenham Hotspur,87,80,23,82,24
Ismaila Sarr,I. Sarr,235353,['RM'],Senegal,Watford,87,78,22,78,23
Dean Henderson,D. Henderson,233306,['GK'],England,Manchester United,87,80,23,80,24
Mason Mount,M. Mount,233064,"['CAM', 'CM', 'LW']",England,Chelsea,87,80,21,83,22
Victor Osimhen,V. Osimhen,232293,['ST'],Nigeria,LOSC Lille,87,79,21,80,22
Gabriel Fernando De Jesus,Gabriel Jesus,230666,['ST'],Brazil,Manchester City,87,83,23,83,24
Denis Zakaria,D. Zakaria,229261,"['CDM', 'CB', 'CM']",Switzerland,Borussia Mönchengladbach,87,83,23,80,24
Emil Audero,E. Audero,228413,['GK'],Italy,U.C. Sampdoria,87,77,23,78,24
Christian Pulisic,C. Pulisic,227796,"['LW', 'RW', 'LM']",United States,Chelsea,87,81,21,82,22
Nordi Mukiele,N. Mukiele,226166,"['RB', 'CB', 'RWB']",France,RB Leipzig,87,80,22,81,23
Alex Meret,A. Meret,225116,['GK'],Italy,Napoli,87,78,23,79,24
Goncalo Manuel Ganchinho Guedes,Gonçalo Guedes,224411,"['LM', 'ST']",Portugal,Valencia CF,87,81,23,81,24
Ruben Diogo Da Silva Neves,Rúben Neves,224293,['CM'],Portugal,Wolverhampton Wanderers,87,82,23,82,24
Nicolo Barella,N. Barella,224232,"['CM', 'CAM']",Italy,Inter,87,80,23,84,24
Donny Van De Beek,D. van de Beek,221363,"['CM', 'CAM']",Netherlands,Ajax,87,83,23,81,24
Bright Akwo Arrey Mbi,B. Arrey-Mbi,258315,['CB'],Germany,FC Bayern München II,86,60,17,62,18
Luca Netz,L. Netz,256781,"['LB', 'LM']",Germany,Hertha BSC,86,63,17,68,18
Noni Madueke,N. Madueke,254796,"['RM', 'ST']",England,PSV,86,70,18,77,19
Jeremie Frimpong,J. Frimpong,253149,"['RB', 'RWB']",Netherlands,Celtic,86,70,19,73,20
Eduardo Filipe Quaresma,Eduardo Quaresma,252144,['CB'],Portugal,Sporting CP,86,72,18,71,19
Aster Vranckx,A. Vranckx,252027,"['CM', 'CDM']",Belgium,KV Mechelen,86,66,17,67,18
Sergino Dest,S. Dest,251804,['RB'],United States,Ajax,86,75,19,76,20
Gustavo Enrique Assuncao Da Silva,Gustavo Assunção,248386,['CDM'],Brazil,Futebol Clube de Famalicão,86,74,20,73,21
Sebastiano Esposito,S. Esposito,247888,['ST'],Italy,Inter,86,66,17,67,18
Mateus Tete,Tete,247641,"['RM', 'CAM']",Brazil,Shakhtar Donetsk,86,75,20,76,21
Leonidas Stergiou,L. Stergiou,247360,['CB'],Switzerland,FC St. Gallen 1879,86,67,18,67,19
Gonzalo Plata,G. Plata,247181,['RW'],Ecuador,Sporting CP,86,74,19,74,20
Manor Solomon,M. Solomon,246791,"['RM', 'LM', 'CAM']",Israel,Shakhtar Donetsk,86,73,20,76,21
Samuel Chukwueze,S. Chukwueze,246172,['RM'],Nigeria,Villarreal CF,86,77,21,77,22
Billy Gilmour,B. Gilmour,245992,"['CM', 'CAM']",Scotland,Chelsea,86,71,19,72,20
Jean Clair Todibo,J. Todibo,245388,['CB'],France,FC Barcelona,86,75,20,76,21
Luis Javier Suarez,L. Suárez,245158,['ST'],Colombia,Watford,86,75,22,77,23
Giorgi Tsitaishvili,G. Tsitaishvili,245131,"['RM', 'LM']",Ukraine,Dynamo Kyiv,86,72,19,,
Viktor Tsygankov,V. Tsygankov,244369,['RM'],Ukraine,Dynamo Kyiv,86,80,22,80,23
Uros Racic,U. Račić,244253,['CM'],Serbia,Valencia CF,86,75,22,78,23
Dwight Mcneil,D. McNeil,243282,['LM'],England,Burnley,86,78,20,77,21
Luca Pellegrini,L. Pellegrini,243237,['LB'],Italy,Cagliari,86,72,21,74,22
Rafael Euclides Soares Camacho,Rafael Camacho,243055,['RW'],Portugal,Sporting CP,86,73,20,72,21
Rayan Ait Nouri,R. Aït Nouri,242641,['LB'],France,Angers SCO,86,71,19,73,20
Deiber Caicedo,D. Caicedo,242573,['RM'],Colombia,Deportivo Cali,86,68,20,70,21
Jules Kounde,J. Koundé,241486,['CB'],France,Sevilla FC,86,79,21,83,22
Pau Francisco Torres,Pau Torres,241464,['CB'],Spain,Villarreal CF,86,78,23,82,24
Luis Diaz,L. Díaz,241084,['LM'],Colombia,FC Porto,86,78,23,80,24
Callum Hudson Odoi,C. Hudson-Odoi,240740,"['RW', 'LW']",England,Chelsea,86,74,19,77,20
Nicolas De La Cruz,N. De la Cruz,240699,"['CM', 'CAM', 'LW']",Uruguay,River Plate,86,77,23,78,24
Oscar Rodriguez Arnaiz,Óscar,239335,"['CAM', 'CM', 'RM']",Spain,Real Madrid CF,86,75,22,75,23
Dan Axel Zagadou,D. Zagadou,238476,['CB'],France,Borussia Dortmund,86,79,21,78,22
Reece James,R. James,238074,"['RB', 'CDM']",England,Chelsea,86,77,20,81,21
Nicolo Zaniolo,N. Zaniolo,238067,"['CAM', 'RM']",Italy,Italy,86,76,20,78,21
Pervis Estupinan,P. Estupiñán,237942,['LB'],Ecuador,Watford,86,79,22,79,23
Calvin Stengs,C. Stengs,236593,['RW'],Netherlands,AZ Alkmaar,86,78,21,77,22
Owen Wijndal,O. Wijndal,236572,['LB'],Netherlands,AZ Alkmaar,86,77,20,79,21
Matteo Guendouzi,M. Guendouzi,236496,"['CDM', 'CM']",France,Arsenal,86,77,21,77,22
Ryan Sessegnon,R. Sessegnon,235883,"['LM', 'LW', 'LB']",England,Tottenham Hotspur,86,75,20,74,21
Florian Neuhaus,F. Neuhaus,234943,"['CM', 'CAM']",Germany,Borussia Mönchengladbach,86,79,23,82,24
Jonathan Ikone,J. Ikoné,234612,"['RM', 'CAM']",France,LOSC Lille,86,79,22,79,23
Florentino Morris Luis,Florentino,234569,"['CDM', 'CM']",Portugal,SL Benfica,86,76,20,74,21
Declan Rice,D. Rice,234378,"['CDM', 'CM']",England,West Ham United,86,79,21,82,22
Domilson Cordeiro Dos Santos,Dodô,234112,['RB'],Brazil,Shakhtar Donetsk,86,72,21,73,22
Alexander Isak,A. Isak,233731,['ST'],Sweden,Real Sociedad,86,79,20,82,21
Christopher Nkunku,C. Nkunku,232411,"['CAM', 'ST']",France,RB Leipzig,86,80,22,81,23
Exequiel Palacios,E. Palacios,231521,"['CM', 'RM', 'CAM']",Argentina,Bayer 04 Leverkusen,86,77,21,77,22
Brahim Diaz,Brahim,231410,"['LW', 'RW']",Spain,Real Madrid CF,86,74,20,78,21
Unai Simon Mendibil,Unai Simón,230869,['GK'],Spain,Athletic Club de Bilbao,86,80,23,82,24
Marcus Thuram,M. Thuram,228093,"['LW', 'ST']",France,Borussia Mönchengladbach,86,80,22,79,23
Sander Berge,S. Berge,228092,"['CDM', 'CM']",Norway,Norway,86,79,22,76,23
Kieran Tierney,K. Tierney,226491,"['LB', 'LWB']",Scotland,Arsenal,86,78,23,80,24
Konrad Laimer,K. Laimer,225375,"['CDM', 'CM', 'RB']",Austria,Austria,86,82,23,81,24
Javairo Dilrosun,J. Dilrosun,224949,['LM'],Netherlands,Hertha BSC,86,75,22,73,23
Diogo Jose Teixeira Da Silva,Diogo Jota,224458,"['LW', 'ST', 'CM']",Portugal,Wolverhampton Wanderers,86,80,23,82,24
Jeremie Boga,J. Boga,224422,"['LM', 'LW']",Côte d'Ivoire,U.S. Sassuolo Calcio,86,77,23,77,24
Allan Saint Maximin,A. Saint-Maximin,216388,"['LM', 'LW', 'ST']",France,Newcastle United,86,80,23,79,24
Omar Rekik,O. Rekik,258033,['CB'],Netherlands,Hertha BSC,85,63,18,,
Santiago Rodriguez,S. Rodríguez,255862,"['RW', 'RM', 'CAM']",Uruguay,Club Nacional de Football,85,72,20,71,21
Tanguy Kouassi,T. Kouassi,252961,"['CB', 'CDM']",France,FC Bayern München,85,71,18,71,19
Leonardo Fernandez,L. Fernández,252935,['CAM'],Uruguay,Tigres U.A.N.L.,85,76,21,73,22
Marco Kana,M. Kana,252489,"['CB', 'CDM']",Belgium,RSC Anderlecht,85,65,17,67,18
Romario Manuel Silva Baro,Romário Baró,252038,"['RM', 'CAM']",Portugal,FC Porto,85,73,20,72,21
Fabio Daniel Soares Silva,Fábio Silva,252037,['ST'],Portugal,FC Porto,85,69,17,70,18
Yusuf Demir,Y. Demir,251873,"['RW', 'CAM', 'CF']",Austria,SK Rapid Wien,85,64,17,70,18
Gabriel Teodoro Martinelli Silva,Gabriel Martinelli,251566,"['LW', 'LM', 'ST']",Brazil,Arsenal,85,74,19,76,20
Nuno Albertino Varela Tavares,Nuno Tavares,251530,['LB'],Portugal,SL Benfica,85,72,20,70,21
Josko Gvardiol,J. Gvardiol,251517,"['CB', 'LB']",Croatia,Dinamo Zagreb,85,67,18,75,19
Marcos Antonio Silva Santos,Marcos Antonio,247377,['CM'],Brazil,Shakhtar Donetsk,85,72,20,73,21
Karamoko Dembele,K. Dembélé,246682,['RW'],England,Celtic,85,64,17,63,18
Mohamed Daramy,M. Daramy,246459,"['RM', 'ST', 'LM']",Denmark,F.C. København,85,67,18,69,19
Yari Verschaeren,Y. Verschaeren,246419,"['CAM', 'RW', 'LW']",Belgium,RSC Anderlecht,85,72,18,73,19
Harvey Elliott,H. Elliott,246174,['RW'],England,Liverpool,85,65,17,73,18
Adria Giner Pedrosa,Adrià Pedrosa,246113,"['LB', 'LWB']",Spain,RCD Espanyol de Barcelona,85,75,22,75,23
Pedro De La Vega,P. De la Vega,246045,"['RW', 'LW']",Argentina,Club Atlético Lanús,85,71,19,74,20
Troy Parrott,T. Parrott,245902,['ST'],Republic of Ireland,Millwall,85,65,18,64,19
Marash Kumbulla,M. Kumbulla,245426,['CB'],Albania,Hellas Verona,85,75,20,75,21
Xavi Simons,X. Simons,245367,['CM'],Netherlands,Paris Saint-Germain,85,65,17,66,18
Tomas Franco Tavares,Tomás Tavares,245278,['RB'],Portugal,SL Benfica,85,73,19,73,20
Mohammed Kudus,M. Kudus,245155,"['CAM', 'CM']",Ghana,Ajax,85,75,19,77,20
Eric Garcia Martret,Eric García,245037,['CB'],Spain,Manchester City,85,72,19,77,20
Nehuen Perez,N. Pérez,244206,['CB'],Argentina,Atlético de Madrid,85,75,20,75,21
Brandon Williams,B. Williams,243414,"['LB', 'LWB']",England,Manchester United,85,75,19,75,20
Rabbi Matondo,R. Matondo,243392,"['LM', 'ST', 'RM']",Wales,FC Schalke 04,85,70,19,69,20
Orkun Kokcu,O. Kökçü,243245,"['CAM', 'CM']",Turkey,Feyenoord,85,75,19,75,20
Neco Williams,N. Williams,243057,['RB'],Wales,Liverpool,85,67,19,68,20
Bryan Mbeumo,B. Mbeumo,243014,"['RW', 'ST']",France,Brentford,85,74,20,74,21
Josha Vagnoman,J. Vagnoman,242602,"['RB', 'LM', 'LB']",Germany,Hamburger SV,85,69,19,71,20
Patson Daka,P. Daka,241202,['ST'],Zambia,FC Red Bull Salzburg,85,76,21,77,22
Hector Junior Firpo Adames,Junior Firpo,241184,"['LB', 'LM']",Spain,FC Barcelona,85,79,23,78,24
Hamed Junior Traore,H. Traorè,240787,"['CAM', 'CM']",Côte d'Ivoire,U.S. Sassuolo Calcio,85,71,20,71,21
Mathias Olivera,M. Olivera,240716,"['LB', 'LM']",Uruguay,Getafe CF,85,77,22,76,23
Emile Smith Rowe,E. Smith Rowe,240273,"['CAM', 'RM', 'RW']",England,Arsenal,85,69,19,76,20
Paulo Henrique Sampaio Filho,Paulinho,239970,"['CAM', 'RM']",Brazil,Bayer 04 Leverkusen,85,74,19,73,20
Alexis Mac Allister,A. Mac Allister,239837,"['CAM', 'CM']",Argentina,Argentina,85,75,21,75,22
Boubakary Soumare,B. Soumaré,239817,"['CDM', 'CM']",France,LOSC Lille,85,76,21,78,22
Wenderson Nascimento Galeno,Galeno,239482,"['RW', 'LW']",Brazil,SC Braga,85,77,22,77,23
Lisandro Martinez,L. Martínez,239301,"['CDM', 'CB', 'LB']",Argentina,Ajax,85,78,22,79,23
Maximiliano Gomez,M. Gómez,239207,['ST'],Uruguay,Valencia CF,85,80,23,80,24
Weston Mckennie,W. McKennie,238744,"['CM', 'CDM', 'CB']",United States,FC Schalke 04,85,75,21,77,22
Marin Pongracic,M. Pongračić,238370,['CB'],Croatia,VfL Wolfsburg,85,76,22,75,23
Krepin Diatta,K. Diatta,238227,"['RM', 'LM', 'ST']",Senegal,Club Brugge KV,85,77,21,76,22
Nahuel Bustos,N. Bustos,238194,['ST'],Argentina,Club Atlético Talleres,85,74,21,73,22
Merih Demiral,M. Demiral,238160,['CB'],Turkey,Juventus,85,76,22,77,23
Nicolas Dominguez,N. Domínguez,237819,"['CM', 'CDM']",Argentina,Bologna,85,75,22,75,23
Joseph Willock,J. Willock,237329,"['CAM', 'CM']",England,Arsenal,85,71,20,75,21
Jordan Torunarigha,J. Torunarigha,236947,"['CB', 'LB']",Germany,Hertha BSC,85,75,22,73,23
David Neres Campos,David Neres,236632,"['LW', 'RW', 'CAM']",Brazil,Ajax,85,80,23,79,24
Luiz Felipe Ramos Marchi,Luiz Felipe,236355,['CB'],Brazil,Lazio,85,77,23,78,24
Ezequiel Barco,E. Barco,236007,"['LW', 'CF']",Argentina,Atlanta United,85,74,21,74,22
Ethan Ampadu,E. Ampadu,235735,"['CB', 'CDM']",Wales,Chelsea,85,67,19,68,20
Harvey Barnes,H. Barnes,234742,"['LW', 'CAM']",England,Leicester City,85,79,22,81,23
Jose Diogo Dalot Teixeira,Diogo Dalot,234574,"['RB', 'LB']",Portugal,Manchester United,85,76,21,76,22
Joao Pedro Neves Filipe,Jota,234570,"['LM', 'RM']",Portugal,SL Benfica,85,72,21,74,22
Ionut Andrei Radu,I. Radu,234102,['GK'],Romania,Parma,85,75,23,75,24
Raphael Dias Belloli,Raphinha,233419,['RM'],Brazil,Stade Rennais FC,85,81,23,82,24
Tyler Adams,T. Adams,232999,"['CDM', 'RWB']",United States,United States,85,76,21,77,22
Fikayo Tomori,F. Tomori,232756,['CB'],England,Chelsea,85,76,22,79,23
Theo Hernandez,T. Hernández,232656,['LB'],France,AC Milan,85,80,22,84,23
Gabriel Dos S Magalhaes,Gabriel,232580,['CB'],Brazil,LOSC Lille,85,78,22,79,23
Luka Jovic,L. Jović,232432,['ST'],Serbia,Real Madrid CF,85,80,22,79,23
Donyell Malen,D. Malen,231447,['ST'],Netherlands,PSV,85,78,21,80,22
Tammy Abraham,T. Abraham,231352,['ST'],England,Chelsea,85,78,22,78,23
Gonzalo Montiel,G. Montiel,231340,"['RB', 'RWB']",Argentina,Argentina,85,78,23,78,24
Renato Junior Luz Sanches,Renato Sanches,230767,"['CM', 'RM', 'CDM']",Portugal,LOSC Lille,85,78,22,80,23
Ben Chilwell,B. Chilwell,229984,['LB'],England,Leicester City,85,81,23,82,24
Leon Bailey,L. Bailey,229906,"['LM', 'RM']",Jamaica,Bayer 04 Leverkusen,85,80,22,82,23
Wuilker Farinez,W. Faríñez,228736,['GK'],Venezuela,Racing Club de Lens,85,75,22,73,23
Jeff Reine Adelaide,J. Reine-Adélaïde,228509,"['CM', 'CAM', 'RM']",France,Olympique Lyonnais,85,75,22,75,23
Oleksandr Zinchenko,O. Zinchenko,227813,['LB'],Ukraine,Manchester City,85,80,23,80,24
Rodrigo Bentancur,R. Bentancur,227535,['CM'],Uruguay,Juventus,85,79,23,78,24
Alexander Nubel,A. Nübel,223885,['GK'],Germany,FC Bayern München,85,75,23,75,24
Daniel Ceballos Fernandez,Dani Ceballos,222509,"['CM', 'CAM']",Spain,Real Madrid CF,85,80,23,77,24
James Maddison,J. Maddison,220697,"['CAM', 'CM', 'LW']",England,Leicester City,85,81,23,82,24
Jose Angel Esmoris Tasende,Angeliño,220651,['LB'],Spain,RB Leipzig,85,80,23,83,24
Youri Tielemans,Y. Tielemans,216393,['CM'],Belgium,Leicester City,85,81,23,84,24
Moussa Dembele,M. Dembélé,211591,['ST'],France,Olympique Lyonnais,85,81,23,78,24
Sekou Mara,S. Mara,257612,['ST'],France,FC Girondins de Bordeaux,84,63,17,65,18
Lorenzo Pirola,L. Pirola,257368,['CB'],Italy,Inter,84,63,18,64,19
Pedro Victor Delmino Da Silva,Pedrinho,255472,"['CAM', 'RM']",Brazil,SL Benfica,84,75,22,75,23
Jan Thielmann,J. Thielmann,254660,"['RM', 'CF']",Germany,1. FC Köln,84,67,18,71,19
Joris Chotard,J. Chotard,252541,['CM'],France,Montpellier Hérault SC,84,69,18,70,19
Alan Velasco,A. Velasco,252238,"['LM', 'RM', 'ST']",Argentina,Club Atlético Independiente,84,64,17,73,18
Jakub Markovic,J. Markovič,252179,['GK'],Czech Republic,SK Slavia Praha,84,69,18,,
Joao Pedro Junqueira De Jesus,João Pedro,252042,"['ST', 'LM']",Brazil,Watford,84,69,18,71,19
Joshua Zirkzee,J. Zirkzee,250961,"['ST', 'CAM', 'CF']",Netherlands,FC Bayern München,84,68,19,68,20
Nail Umyarov,N. Umyarov,247870,"['CDM', 'CM']",Russia,Spartak Moskva,84,68,20,70,21
Alex Kral,A. Král,247028,"['CDM', 'CB', 'CM']",Czech Republic,Czech Republic,84,74,22,75,23
Noah Katterbach,N. Katterbach,246666,['LB'],Germany,1. FC Köln,84,70,19,70,20
Julian Alvarez,J. Álvarez,246191,['RW'],Argentina,River Plate,84,71,20,75,21
Arthur Mendonca Cabral,Arthur Cabral,246186,['ST'],Brazil,FC Basel 1893,84,75,22,76,23
Ignacio Aliseda,I. Aliseda,246145,"['LW', 'RW', 'ST']",Argentina,Chicago Fire Football Club,84,70,20,72,21
Matias Palacios,M. Palacios,246107,"['CM', 'CAM']",Argentina,San Lorenzo de Almagro,84,65,18,67,19
Vladyslav Supryaga,V. Supryaga,245396,['ST'],Ukraine,Dynamo Kyiv,84,70,20,71,21
Denys Popov,D. Popov,245132,['CB'],Ukraine,Dynamo Kyiv,84,73,21,73,22
Mohammed Salisu,M. Salisu,244915,['CB'],Ghana,Southampton,84,76,21,76,22
Oihan Sancet Tirapu,Sancet,244675,"['CAM', 'CM']",Spain,Athletic Club de Bilbao,84,72,20,73,21
Vitaliy Mykolenko,V. Mykolenko,244380,['LB'],Ukraine,Dynamo Kyiv,84,76,21,76,22
Kangin Lee,Kangin Lee,243780,"['CAM', 'LM', 'RM']",Korea Republic,Valencia CF,84,74,19,74,20
James Garner,J. Garner,243657,"['CDM', 'CM']",England,Manchester United,84,66,19,69,20
Arvin Appiah,A. Appiah,242841,"['LM', 'RM']",England,Unión Deportiva Almería,84,64,19,65,20
Imran Louza,I. Louza,242794,"['CM', 'CAM', 'CDM']",France,FC Nantes,84,74,21,75,22
