Player name,Known as,player_id,position,nationality,team,Fifa 13 Potential rating,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 13 outcome,Year potential reached
Paul Pogba,P. Pogba,195864,"['CDM', 'CM']",France,Juventus,88,72,19,79.0,20.0,83.0,21.0,86.0,22.0,88.0,23.0,87.0,24.0,88.0,25.0,88.0,26.0,86.0,27.0,87.0,28.0,lived to expectations,4.0
Mattia Destro,M. Destro,193338,"['ST', 'CF', 'LW', 'RW']",Italy,Roma,88,78,21,76.0,22.0,77.0,23.0,78.0,24.0,78.0,25.0,76.0,26.0,76.0,27.0,75.0,28.0,71.0,29.0,74.0,30.0,did not hit their potential,
Christian Eriksen,C. Eriksen,190460,"['CAM', 'CM']",Denmark,Ajax,88,80,20,82.0,21.0,83.0,22.0,83.0,23.0,84.0,24.0,87.0,25.0,88.0,26.0,88.0,27.0,85.0,28.0,82.0,29.0,lived to expectations,5.0
Oscar Dos Santos Emboaba,Oscar,188152,"['CAM', 'CF']",Brazil,Chelsea,88,80,20,82.0,21.0,84.0,22.0,84.0,23.0,83.0,24.0,83.0,25.0,82.0,26.0,83.0,27.0,83.0,28.0,82.0,29.0,did not hit their potential,
Mario Balotelli,M. Balotelli,186627,"['ST', 'CF']",Italy,Manchester City,88,84,21,84.0,22.0,82.0,23.0,80.0,24.0,79.0,25.0,82.0,26.0,83.0,27.0,82.0,28.0,79.0,29.0,76.0,30.0,did not hit their potential,
Alexis Sanchez,A. Sánchez,184941,"['RW', 'LW', 'CF', 'CAM']",Chile,FC Barcelona,88,85,23,82.0,24.0,84.0,25.0,86.0,26.0,87.0,27.0,89.0,28.0,87.0,29.0,82.0,30.0,80.0,31.0,80.0,32.0,lived to expectations,4.0
Mats Hummels,M. Hummels,178603,"['CB', 'CDM']",Germany,Borussia Dortmund,88,85,23,85.0,24.0,86.0,25.0,86.0,26.0,87.0,27.0,88.0,28.0,89.0,29.0,87.0,30.0,86.0,31.0,86.0,32.0,lived to expectations,4.0
Mesut Ozil,M. Özil,176635,"['CAM', 'LM', 'RM', 'CM']",Germany,Real Madrid CF,88,87,23,87.0,24.0,86.0,25.0,87.0,26.0,89.0,27.0,88.0,28.0,86.0,29.0,84.0,30.0,82.0,31.0,80.0,32.0,lived to expectations,0.0
Adryan Oliveira Tavares,Adryan,205008,"['CAM', 'CF', 'LW']",Brazil,Flamengo,87,73,17,70.0,18.0,70.0,19.0,71.0,20.0,,,71.0,22.0,71.0,23.0,71.0,24.0,,,68.0,26.0,did not hit their potential,
Victor Ibarbo,V. Ibarbo,204550,"['CF', 'ST', 'LW', 'CAM']",Colombia,Cagliari,87,76,22,77.0,23.0,75.0,24.0,78.0,25.0,75.0,26.0,72.0,27.0,72.0,28.0,67.0,29.0,,,,,did not hit their potential,
Viktor Fischer,V. Fischer,203965,"['LW', 'CAM']",Denmark,Ajax,87,67,18,74.0,19.0,75.0,20.0,77.0,21.0,74.0,22.0,75.0,23.0,76.0,24.0,78.0,25.0,74.0,26.0,70.0,27.0,did not hit their potential,
Ouasim Bouy,O. Bouy,203399,"['CAM', 'CM']",Netherlands,Brescia,87,67,19,,,60.0,21.0,,,,,68.0,24.0,,,,,61.0,27.0,,,did not hit their potential,
Ola John,O. John,202101,"['LM', 'LW', 'RW', 'RM']",Netherlands,SL Benfica,87,76,20,77.0,21.0,74.0,22.0,75.0,23.0,74.0,24.0,,,72.0,26.0,73.0,27.0,71.0,28.0,71.0,29.0,did not hit their potential,
Adam Maher,A. Maher,200223,"['CAM', 'CM']",Netherlands,AZ Alkmaar,87,76,18,78.0,19.0,75.0,20.0,76.0,21.0,74.0,22.0,74.0,23.0,,,76.0,25.0,75.0,26.0,75.0,27.0,did not hit their potential,
Kevin De Bruyne,K. De Bruyne,192985,"['CAM', 'LM', 'CM', 'RM']",Belgium,SV Werder Bremen,87,78,21,80.0,22.0,81.0,23.0,86.0,24.0,88.0,25.0,89.0,26.0,91.0,27.0,91.0,28.0,91.0,29.0,91.0,30.0,exceeded their potential,3.0
Ezequiel Schelotto,E. Schelotto,192838,"['RM', 'RB', 'RW', 'LM']",Italy,Atalanta,87,77,23,70.0,24.0,73.0,25.0,72.0,26.0,77.0,27.0,75.0,28.0,74.0,29.0,73.0,30.0,,,70.0,32.0,did not hit their potential,
Thibaut Courtois,T. Courtois,192119,['GK'],Belgium,Atlético de Madrid,87,79,20,84.0,21.0,86.0,22.0,86.0,23.0,89.0,24.0,89.0,25.0,90.0,26.0,88.0,27.0,89.0,28.0,89.0,29.0,exceeded their potential,2.0
Javier Pastore,J. Pastore,191180,"['CAM', 'CF']",Argentina,Paris Saint-Germain,87,83,23,79.0,24.0,79.0,25.0,84.0,26.0,85.0,27.0,83.0,28.0,82.0,29.0,79.0,30.0,77.0,31.0,78.0,32.0,did not hit their potential,
Philippe Coutinho Correia,Coutinho,189242,"['CAM', 'LM', 'RM', 'CF']",Brazil,Inter,87,78,20,80.0,21.0,81.0,22.0,84.0,23.0,85.0,24.0,86.0,25.0,88.0,26.0,86.0,27.0,83.0,28.0,82.0,29.0,lived to expectations,5.0
Axel Witsel,A. Witsel,177413,"['CM', 'CAM', 'CDM', 'RM']",Belgium,SL Benfica,87,81,23,80.0,24.0,80.0,25.0,81.0,26.0,82.0,27.0,82.0,28.0,82.0,29.0,85.0,30.0,84.0,31.0,83.0,32.0,did not hit their potential,
Nuri Sahin,N. Şahin,170797,"['CM', 'CDM']",Turkey,Liverpool,87,82,23,82.0,24.0,81.0,25.0,81.0,26.0,80.0,27.0,79.0,28.0,79.0,29.0,78.0,30.0,,,74.0,32.0,did not hit their potential,
Bernard Anicio Caldeira Duarte,Bernard,205525,"['CAM', 'LM', 'RM', 'CF']",Brazil,Clube Atlético Mineiro,86,77,19,80.0,20.0,80.0,21.0,78.0,22.0,79.0,23.0,79.0,24.0,,,80.0,26.0,78.0,27.0,,,did not hit their potential,
Sadio Diallo,S. Diallo,204171,"['CF', 'CAM', 'RW']",Guinea,Stade Rennais FC,86,74,21,72.0,22.0,71.0,23.0,72.0,24.0,73.0,25.0,71.0,26.0,70.0,27.0,70.0,28.0,,,,,did not hit their potential,
Afriyie Acquah,A. Acquah,201223,"['CM', 'CDM']",Ghana,Parma,86,73,20,72.0,21.0,71.0,22.0,74.0,23.0,74.0,24.0,74.0,25.0,73.0,26.0,,,72.0,28.0,72.0,29.0,did not hit their potential,
Carlos Henrique Casimiro,Casemiro,200145,"['CDM', 'CM']",Brazil,São Paulo,86,72,20,77.0,21.0,76.0,22.0,77.0,23.0,82.0,24.0,85.0,25.0,88.0,26.0,87.0,27.0,89.0,28.0,89.0,29.0,exceeded their potential,5.0
Francesco Acerbi,F. Acerbi,199845,"['CB', 'LB']",Italy,AC Milan,86,78,23,74.0,24.0,73.0,25.0,75.0,26.0,81.0,27.0,82.0,29.0,82.0,30.0,83.0,31.0,83.0,32.0,83.0,33.0,did not hit their potential,
Marco Verratti,M. Verratti,199556,"['CM', 'CDM']",Italy,Paris Saint-Germain,86,74,19,77.0,20.0,80.0,21.0,84.0,22.0,85.0,23.0,87.0,24.0,86.0,25.0,86.0,26.0,86.0,27.0,87.0,28.0,lived to expectations,4.0
Lacina Traore,L. Traoré,199074,['ST'],Côte d'Ivoire,FC Anzhi Makhachkala,86,78,21,78.0,22.0,78.0,24.0,75.0,25.0,75.0,26.0,74.0,27.0,,,70.0,29.0,,,,,did not hit their potential,
Manolo Gabbiadini,M. Gabbiadini,198683,"['ST', 'CF', 'LW', 'RW']",Italy,Bologna,86,73,20,75.0,21.0,75.0,22.0,78.0,23.0,81.0,24.0,79.0,25.0,77.0,26.0,76.0,27.0,75.0,28.0,75.0,29.0,did not hit their potential,
Zakaria Labyad,Z. Labyad,198640,"['RW', 'LW', 'CAM']",Morocco,Sporting CP,86,76,19,75.0,20.0,74.0,21.0,75.0,22.0,74.0,23.0,75.0,24.0,77.0,25.0,75.0,26.0,75.0,27.0,75.0,28.0,did not hit their potential,
Leandro Damiao Da Silva Dos Santos,Leandro Damião,198213,['ST'],Brazil,Internacional,86,80,22,79.0,23.0,,,,,,,,,,,74.0,29.0,73.0,30.0,74.0,31.0,did not hit their potential,
Alen Stevanovic,A. Stevanovic,197925,"['RM', 'LM', 'RW', 'LW']",Serbia,Torino F.C.,86,74,21,73.0,22.0,70.0,23.0,72.0,24.0,,,,,70.0,27.0,70.0,28.0,,,,,did not hit their potential,
Luca Marrone,L. Marrone,194753,"['CDM', 'CM', 'CB']",Italy,Juventus,86,73,22,70.0,23.0,70.0,24.0,72.0,25.0,74.0,26.0,73.0,27.0,73.0,28.0,71.0,29.0,70.0,30.0,70.0,31.0,did not hit their potential,
Zhano Ananidze,Z. Ananidze,193897,"['CAM', 'CM', 'RM', 'RW']",Georgia,Spartak Moskva,86,75,19,73.0,20.0,75.0,21.0,74.0,22.0,74.0,23.0,75.0,24.0,75.0,25.0,74.0,26.0,,,,,did not hit their potential,
Younes Belhanda,Y. Belhanda,193738,"['CAM', 'CM', 'LM']",Morocco,Montpellier Hérault SC,86,82,22,,,,,,,,,81.0,27.0,80.0,28.0,80.0,29.0,78.0,30.0,75.0,31.0,did not hit their potential,
Xherdan Shaqiri,X. Shaqiri,193348,"['RM', 'LM', 'CF']",Switzerland,FC Bayern München,86,78,20,80.0,21.0,80.0,22.0,80.0,23.0,82.0,24.0,82.0,25.0,81.0,26.0,82.0,27.0,81.0,28.0,79.0,29.0,did not hit their potential,
Romelu Lukaku,R. Lukaku,192505,['ST'],Belgium,West Bromwich Albion,86,74,19,77.0,20.0,80.0,21.0,80.0,22.0,84.0,23.0,86.0,24.0,87.0,25.0,85.0,26.0,85.0,27.0,88.0,28.0,exceeded their potential,5.0
Luuk De Jong,L. de Jong,189805,"['ST', 'CAM', 'RW']",Netherlands,Borussia Mönchengladbach,86,79,21,78.0,22.0,75.0,23.0,79.0,24.0,79.0,25.0,76.0,26.0,78.0,27.0,82.0,28.0,80.0,29.0,79.0,30.0,did not hit their potential,
Thomas Muller,T. Müller,189596,"['CAM', 'RM', 'CF', 'ST']",Germany,FC Bayern München,86,84,22,85.0,23.0,86.0,24.0,86.0,25.0,87.0,26.0,86.0,27.0,86.0,28.0,86.0,29.0,86.0,30.0,87.0,31.0,lived to expectations,1.0
Thiago Alcantara,Thiago,189509,"['CAM', 'CM']",Spain,FC Barcelona,86,79,21,81.0,22.0,81.0,23.0,83.0,24.0,84.0,25.0,88.0,26.0,86.0,27.0,87.0,28.0,85.0,29.0,86.0,30.0,exceeded their potential,5.0
Shinji Kagawa,S. Kagawa,189358,"['CAM', 'CF']",Japan,Manchester United,86,83,23,83.0,24.0,81.0,25.0,82.0,26.0,83.0,27.0,83.0,28.0,83.0,29.0,79.0,30.0,76.0,31.0,74.0,32.0,did not hit their potential,
Robert Lewandowski,R. Lewandowski,188545,"['ST', 'CF']",Poland,Borussia Dortmund,86,83,23,86.0,24.0,87.0,25.0,87.0,26.0,90.0,27.0,91.0,28.0,90.0,29.0,89.0,30.0,91.0,31.0,92.0,32.0,exceeded their potential,1.0
Marco Reus,M. Reus,188350,"['CF', 'RM', 'ST']",Germany,Borussia Dortmund,86,84,23,85.0,24.0,86.0,25.0,86.0,26.0,88.0,27.0,86.0,28.0,85.0,29.0,88.0,30.0,85.0,31.0,85.0,32.0,exceeded their potential,1.0
Alan Dzagoev,A. Dzagoev,187735,"['RM', 'CAM', 'RW']",Russia,PFC CSKA Moscow,86,80,22,79.0,23.0,79.0,24.0,79.0,25.0,81.0,26.0,80.0,27.0,80.0,28.0,77.0,29.0,76.0,30.0,76.0,31.0,did not hit their potential,
Yann Mvila,Y. M'Vila,187052,"['CDM', 'CM']",France,Stade Rennais FC,86,82,22,79.0,23.0,78.0,24.0,78.0,25.0,79.0,26.0,78.0,27.0,79.0,28.0,80.0,29.0,79.0,30.0,79.0,31.0,did not hit their potential,
Kwadwo Asamoah,K. Asamoah,186832,"['CM', 'CDM', 'LM', 'CAM']",Ghana,Juventus,86,79,23,80.0,24.0,79.0,25.0,79.0,26.0,80.0,27.0,78.0,28.0,79.0,29.0,79.0,30.0,76.0,31.0,,,did not hit their potential,
Wojciech Szczesny,W. Szczęsny,186153,['GK'],Poland,Arsenal,86,80,22,79.0,23.0,80.0,24.0,79.0,25.0,79.0,26.0,82.0,27.0,83.0,28.0,86.0,29.0,87.0,30.0,87.0,31.0,lived to expectations,7.0
Andrea Poli,A. Poli,185174,"['CM', 'CAM', 'CDM']",Italy,U.C. Sampdoria,86,77,22,75.0,23.0,78.0,24.0,77.0,25.0,76.0,26.0,75.0,27.0,77.0,28.0,77.0,29.0,76.0,30.0,75.0,31.0,did not hit their potential,
Pablo Piatti,P. Piatti,183899,"['LM', 'CAM', 'CF', 'LW']",Argentina,Valencia CF,86,74,23,73.0,24.0,78.0,25.0,80.0,26.0,78.0,27.0,79.0,28.0,79.0,29.0,78.0,30.0,78.0,31.0,77.0,32.0,did not hit their potential,
Toni Kroos,T. Kroos,182521,"['CAM', 'CM', 'CDM', 'LM']",Germany,FC Bayern München,86,84,22,84.0,23.0,85.0,24.0,87.0,25.0,88.0,26.0,90.0,27.0,90.0,28.0,88.0,29.0,88.0,30.0,88.0,31.0,exceeded their potential,2.0
Javier Martinez Aginaga,Javi Martínez,177610,"['CDM', 'CB', 'CM']",Spain,FC Bayern München,86,83,23,84.0,24.0,85.0,25.0,84.0,26.0,84.0,27.0,86.0,28.0,84.0,29.0,84.0,30.0,81.0,31.0,,,lived to expectations,2.0
Erik Lamela,E. Lamela,170368,"['CF', 'RW', 'LW', 'CAM']",Argentina,Roma,86,77,20,81.0,21.0,78.0,22.0,79.0,23.0,81.0,24.0,80.0,25.0,80.0,26.0,80.0,27.0,80.0,28.0,78.0,29.0,did not hit their potential,
Armindo Tue Na Bangna,Bruma,211368,"['LW', 'RW']",Portugal,Sporting CP,85,68,17,75.0,18.0,76.0,19.0,76.0,20.0,77.0,21.0,81.0,22.0,79.0,23.0,78.0,24.0,76.0,25.0,76.0,26.0,did not hit their potential,
Ibrahima Mbaye,I. Mbaye,210320,"['LB', 'RB', 'CB', 'CDM']",Senegal,Inter,85,71,17,62.0,18.0,65.0,19.0,64.0,20.0,70.0,21.0,69.0,22.0,73.0,23.0,73.0,24.0,73.0,25.0,72.0,26.0,did not hit their potential,
Eduardo Vargas,E. Vargas,206655,"['CF', 'RW', 'LW', 'ST']",Chile,Napoli,85,75,22,77.0,23.0,77.0,24.0,78.0,25.0,77.0,26.0,75.0,27.0,76.0,28.0,77.0,29.0,75.0,30.0,,,did not hit their potential,
Hector Canteros,H. Canteros,206154,"['CM', 'CAM', 'RM']",Argentina,Villarreal CF,85,73,23,76.0,24.0,,,,,74.0,27.0,,,,,74.0,30.0,,,71.0,32.0,did not hit their potential,
Jetro Willems,J. Willems,205995,['LB'],Netherlands,PSV,85,71,18,72.0,19.0,72.0,20.0,78.0,21.0,79.0,22.0,77.0,23.0,76.0,24.0,75.0,25.0,77.0,26.0,73.0,27.0,did not hit their potential,
Alessio Cragno,A. Cragno,205659,['GK'],Italy,Brescia,85,60,18,63.0,19.0,67.0,20.0,70.0,21.0,69.0,22.0,72.0,23.0,75.0,24.0,81.0,25.0,81.0,26.0,81.0,27.0,did not hit their potential,
Prince Desir Gouano,P. Gouano,204886,['CB'],France,SS Virtus Lanciano,85,65,18,,,64.0,19.0,68.0,20.0,71.0,21.0,71.0,23.0,75.0,24.0,74.0,25.0,71.0,26.0,,,did not hit their potential,
Kurt Zouma,K. Zouma,204311,['CB'],France,AS Saint-Étienne,85,73,17,74.0,18.0,74.0,19.0,77.0,20.0,80.0,21.0,79.0,22.0,78.0,23.0,80.0,24.0,80.0,25.0,81.0,26.0,did not hit their potential,
Lucas Andersen,L. Andersen,203903,"['RW', 'LW', 'ST']",Denmark,Ajax,85,67,17,69.0,18.0,71.0,19.0,73.0,20.0,72.0,21.0,76.0,22.0,73.0,23.0,75.0,24.0,76.0,25.0,73.0,26.0,did not hit their potential,
Nana Welbeck,N. Welbeck,203554,"['CM', 'CDM']",Ghana,Brescia,85,64,17,,,58.0,19.0,,,60.0,21.0,60.0,22.0,,,,,,,,,did not hit their potential,
Wellington S Sanchez Aguiar,Wellington Nem,203279,"['CAM', 'CF', 'RW']",Brazil,Fluminense,85,77,20,72.0,21.0,74.0,22.0,73.0,23.0,75.0,24.0,,,75.0,26.0,,,,,70.0,29.0,did not hit their potential,
Jack Butland,J. Butland,203042,['GK'],England,Birmingham City,85,69,19,71.0,20.0,72.0,21.0,74.0,22.0,82.0,23.0,81.0,24.0,81.0,25.0,78.0,26.0,74.0,27.0,73.0,28.0,did not hit their potential,
Lucas Domingues Piazon,Lucas Piazon,203038,"['LW', 'CF', 'CAM']",Brazil,Chelsea,85,61,18,73.0,19.0,76.0,20.0,75.0,21.0,74.0,22.0,74.0,23.0,73.0,24.0,72.0,25.0,71.0,26.0,75.0,27.0,did not hit their potential,
Fernando Lucas Martins,Fernando,202642,"['CDM', 'CM']",Brazil,Grêmio,85,75,20,76.0,21.0,76.0,22.0,76.0,23.0,78.0,24.0,79.0,25.0,78.0,26.0,78.0,27.0,79.0,28.0,77.0,29.0,did not hit their potential,
Memphis Depay,M. Depay,202556,"['LW', 'ST', 'RW']",Netherlands,PSV,85,68,18,73.0,19.0,78.0,20.0,81.0,21.0,80.0,22.0,80.0,23.0,83.0,24.0,84.0,25.0,85.0,26.0,85.0,27.0,lived to expectations,7.0
Julian Draxler,J. Draxler,202166,"['LM', 'CAM']",Germany,FC Schalke 04,85,75,18,80.0,19.0,80.0,20.0,80.0,21.0,84.0,22.0,84.0,23.0,83.0,24.0,83.0,25.0,80.0,26.0,80.0,27.0,lived to expectations,4.0
Juan Sanchez Mino,J. Sánchez Miño,201953,"['LM', 'CM', 'LB']",Argentina,Boca Juniors,85,73,22,75.0,23.0,74.0,24.0,74.0,25.0,73.0,26.0,72.0,27.0,74.0,28.0,74.0,29.0,75.0,30.0,74.0,31.0,did not hit their potential,
Tomas Kalas,T. Kalas,201122,['CB'],Czech Republic,Vitesse,85,72,19,71.0,20.0,74.0,21.0,74.0,22.0,72.0,23.0,74.0,24.0,72.0,25.0,72.0,26.0,71.0,27.0,72.0,28.0,did not hit their potential,
Romulo Borges Monteiro,Rômulo,199935,"['CDM', 'CM']",Brazil,Spartak Moskva,85,76,21,75.0,22.0,75.0,23.0,76.0,24.0,77.0,25.0,,,,,,,76.0,29.0,,,did not hit their potential,
John Guidetti,J. Guidetti,199602,['ST'],Sweden,Manchester City,85,73,20,73.0,21.0,71.0,22.0,74.0,23.0,76.0,24.0,78.0,25.0,79.0,26.0,76.0,27.0,74.0,28.0,73.0,29.0,did not hit their potential,
Bo Kyung Kim,Kim Bo Kyung,199183,"['CAM', 'CM', 'RM']",Korea Republic,Korea Republic,85,70,22,72.0,23.0,71.0,24.0,,,72.0,26.0,73.0,27.0,71.0,28.0,72.0,29.0,74.0,30.0,72.0,31.0,did not hit their potential,
Alex Oxlade Chamberlain,A. Oxlade-Chamberlain,198784,"['LW', 'RW', 'CAM', 'LM']",England,Arsenal,85,76,18,77.0,19.0,78.0,20.0,79.0,21.0,79.0,22.0,80.0,23.0,80.0,24.0,80.0,25.0,79.0,26.0,79.0,27.0,did not hit their potential,
Richmond Boakye,R. Boakye,198726,['ST'],Ghana,U.S. Sassuolo Calcio,85,70,19,72.0,20.0,70.0,21.0,71.0,22.0,69.0,23.0,,,70.0,25.0,,,68.0,27.0,,,did not hit their potential,
Josh Mceachran,J. McEachran,198704,"['CM', 'CDM', 'CAM']",England,Middlesbrough,85,71,19,71.0,20.0,70.0,21.0,72.0,22.0,72.0,23.0,69.0,24.0,69.0,25.0,,,68.0,27.0,64.0,28.0,did not hit their potential,
Lorenzo Insigne,L. Insigne,198219,"['CF', 'LW', 'CAM']",Italy,Napoli,85,75,21,76.0,22.0,78.0,23.0,81.0,24.0,83.0,25.0,85.0,26.0,88.0,27.0,87.0,28.0,85.0,29.0,86.0,30.0,exceeded their potential,5.0
Luc Castaignos,L. Castaignos,198175,"['ST', 'LW']",Netherlands,FC Twente,85,74,19,72.0,20.0,73.0,21.0,75.0,22.0,76.0,23.0,73.0,24.0,70.0,25.0,67.0,26.0,,,,,did not hit their potential,
Aymen Abdennour,A. Abdennour,198076,['CB'],Tunisia,Toulouse Football Club,85,78,22,79.0,23.0,80.0,24.0,81.0,25.0,80.0,26.0,77.0,27.0,73.0,28.0,72.0,29.0,,,,,did not hit their potential,
Willian Jose Da Silva,Willian José,195093,"['ST', 'CF']",Brazil,São Paulo,85,71,20,71.0,21.0,,,70.0,23.0,78.0,24.0,82.0,25.0,83.0,26.0,82.0,27.0,80.0,28.0,77.0,29.0,did not hit their potential,
Dejan Lovren,D. Lovren,195086,"['CB', 'RB', 'LB']",Croatia,Olympique Lyonnais,85,79,22,78.0,23.0,79.0,24.0,79.0,25.0,82.0,26.0,81.0,27.0,81.0,28.0,80.0,29.0,,,,,did not hit their potential,
Filip Duricic,F. Đuričić,193881,"['CAM', 'CF']",Serbia,SC Heerenveen,85,76,20,77.0,21.0,75.0,22.0,76.0,23.0,76.0,24.0,74.0,25.0,74.0,26.0,74.0,27.0,75.0,28.0,76.0,29.0,did not hit their potential,
