Player name,Known as,player_id,position,nationality,team,Fifa 17 Potential rating,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 17 outcome,Year potential reached
Marco Verratti,M. Verratti,199556,"['CM', 'CDM']",Italy,Paris Saint-Germain,90,85,23,87.0,24.0,86.0,25.0,86.0,26.0,86.0,27.0,87.0,28.0,did not hit their potential,
Romelu Lukaku Menama,R. Lukaku,192505,['ST'],Belgium,Everton,90,84,23,86.0,24.0,87.0,25.0,85.0,26.0,85.0,27.0,88.0,28.0,did not hit their potential,
Marco Asensio Willemsen,Marco Asensio,220834,"['CAM', 'LM', 'RM']",Spain,Real Madrid CF,89,81,20,84.0,21.0,85.0,22.0,83.0,23.0,82.0,24.0,83.0,25.0,did not hit their potential,
Youri Tielemans,Y. Tielemans,216393,"['CM', 'CAM']",Belgium,RSC Anderlecht,89,77,19,80.0,20.0,79.0,21.0,80.0,22.0,81.0,23.0,84.0,24.0,did not hit their potential,
Alen Halilović,A. Halilović,216349,"['CAM', 'RM']",Croatia,Hamburger SV,89,79,20,77.0,21.0,76.0,22.0,72.0,23.0,71.0,24.0,69.0,25.0,did not hit their potential,
Kurt Happy Zouma,K. Zouma,204311,['CB'],France,Chelsea,89,80,21,79.0,22.0,78.0,23.0,80.0,24.0,80.0,25.0,81.0,26.0,did not hit their potential,
Jack Butland,J. Butland,203042,['GK'],England,Stoke City,89,82,23,81.0,24.0,81.0,25.0,78.0,26.0,74.0,27.0,73.0,28.0,did not hit their potential,
Layvin Kurzawa,L. Kurzawa,201510,['LB'],France,Paris Saint-Germain,89,81,23,80.0,24.0,79.0,25.0,77.0,26.0,77.0,27.0,76.0,28.0,did not hit their potential,
Ross Barkley,R. Barkley,199189,['CAM'],England,Everton,89,81,22,81.0,23.0,79.0,24.0,79.0,25.0,78.0,26.0,78.0,27.0,did not hit their potential,
Alphonse Areola,A. Areola,193105,['GK'],France,Paris Saint-Germain,89,81,23,79.0,24.0,81.0,25.0,82.0,26.0,82.0,27.0,82.0,28.0,did not hit their potential,
Marcus Rashford,M. Rashford,231677,['ST'],England,Manchester United,88,76,18,79.0,19.0,81.0,20.0,83.0,21.0,85.0,22.0,85.0,23.0,still has time,
Gianluigi Donnarumma,G. Donnarumma,230621,['GK'],Italy,AC Milan,88,76,17,82.0,18.0,82.0,19.0,85.0,20.0,85.0,21.0,89.0,22.0,lived to expectations,5.0
Mauricio Lemos Merladet,M. Lemos,229270,['CB'],Uruguay,Unión Deportiva Las Palmas,88,80,20,77.0,21.0,75.0,22.0,70.0,23.0,69.0,24.0,67.0,25.0,still has time,
Kelechi Promise Iheanacho,K. Iheanacho,225719,['ST'],Nigeria,Manchester City,88,74,19,75.0,20.0,75.0,21.0,73.0,22.0,74.0,23.0,78.0,24.0,still has time,
Leroy Aziz Sané,L. Sané,222492,"['RM', 'LM', 'ST']",Germany,Manchester City,88,79,20,82.0,21.0,86.0,22.0,86.0,23.0,85.0,24.0,84.0,25.0,did not hit their potential,
Breel-Donald Embolo,B. Embolo,222357,"['RM', 'ST']",Switzerland,FC Schalke 04,88,76,19,76.0,20.0,76.0,21.0,76.0,22.0,78.0,23.0,77.0,24.0,still has time,
Arnaldo Antonio Sanabria Ayala,A. Sanabria,219932,"['ST', 'LM']",Paraguay,Real Betis Balompié,88,78,20,78.0,21.0,79.0,22.0,77.0,23.0,74.0,24.0,74.0,25.0,still has time,
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,218667,"['RM', 'CAM', 'CM']",Portugal,AS Monaco,88,81,21,84.0,22.0,84.0,23.0,87.0,24.0,87.0,25.0,86.0,26.0,lived to expectations,3.0
Mahmoud Dahoud,M. Dahoud,218339,['CM'],Germany,Borussia Mönchengladbach,88,79,20,79.0,21.0,79.0,22.0,78.0,23.0,76.0,24.0,79.0,25.0,did not hit their potential,
José María Giménez de Vargas,J. Giménez,216460,['CB'],Uruguay,Atlético de Madrid,88,83,21,83.0,22.0,84.0,23.0,85.0,24.0,84.0,25.0,84.0,26.0,did not hit their potential,
Ángel Martín Correa,Á. Correa,214997,"['ST', 'CAM', 'CF']",Argentina,Atlético de Madrid,88,79,21,79.0,22.0,80.0,23.0,82.0,24.0,82.0,25.0,83.0,26.0,did not hit their potential,
Kingsley Junior Coman,K. Coman,213345,"['LW', 'ST', 'RW']",France,FC Bayern München,88,81,20,79.0,21.0,83.0,22.0,84.0,23.0,84.0,24.0,86.0,25.0,did not hit their potential,
Jonathan Tah,J. Tah,213331,['CB'],Germany,Bayer 04 Leverkusen,88,79,20,82.0,21.0,83.0,22.0,83.0,23.0,79.0,24.0,78.0,25.0,still has time,
João Mário Naval da Costa Eduardo,João Mário,212814,"['RM', 'CM']",Portugal,Sporting CP,88,83,23,83.0,24.0,81.0,25.0,81.0,26.0,80.0,27.0,80.0,28.0,did not hit their potential,
Aymeric Laporte,A. Laporte,212218,['CB'],France,Athletic Club de Bilbao,88,84,22,84.0,23.0,83.0,24.0,87.0,25.0,87.0,26.0,86.0,27.0,lived to expectations,3.0
Julian Brandt,J. Brandt,212194,"['LM', 'RM', 'CAM']",Germany,Bayer 04 Leverkusen,88,79,20,80.0,21.0,82.0,22.0,84.0,23.0,84.0,24.0,81.0,25.0,did not hit their potential,
Saúl Ñíguez Esclápez,Saúl,208421,"['CM', 'RM', 'CAM', 'LM']",Spain,Atlético de Madrid,88,80,21,82.0,22.0,85.0,23.0,85.0,24.0,84.0,25.0,82.0,26.0,did not hit their potential,
Yannick Ferreira Carrasco,Y. Carrasco,208418,"['LM', 'RM']",Belgium,Atlético de Madrid,88,82,22,85.0,23.0,83.0,24.0,83.0,25.0,82.0,26.0,84.0,27.0,did not hit their potential,
Emre Can,E. Can,208333,"['CM', 'CDM', 'CB']",Germany,Liverpool,88,80,22,79.0,23.0,80.0,24.0,81.0,25.0,82.0,26.0,82.0,27.0,did not hit their potential,
Marcos Aoás Corrêa,Marquinhos,207865,"['CB', 'RB']",Brazil,Paris Saint-Germain,88,82,22,83.0,23.0,84.0,24.0,86.0,25.0,85.0,26.0,87.0,27.0,lived to expectations,5.0
Luke Shaw,L. Shaw,205988,['LB'],England,Manchester United,88,80,20,79.0,21.0,78.0,22.0,81.0,23.0,81.0,24.0,84.0,25.0,did not hit their potential,
Charly Musonda Junior,C. Musonda,204233,"['LW', 'RW', 'CAM', 'LM']",Belgium,Real Betis Balompié,88,77,19,76.0,20.0,76.0,21.0,74.0,22.0,73.0,23.0,72.0,24.0,still has time,
John Stones,J. Stones,203574,['CB'],England,Manchester City,88,78,22,79.0,23.0,82.0,24.0,83.0,25.0,80.0,26.0,83.0,27.0,did not hit their potential,
Raheem Sterling,R. Sterling,202652,"['LM', 'ST']",England,Manchester City,88,82,21,82.0,22.0,85.0,23.0,88.0,24.0,88.0,25.0,88.0,26.0,lived to expectations,3.0
Gerard Deulofeu Lázaro,Deulofeu,202477,"['RM', 'RW', 'ST']",Spain,Everton,88,81,22,82.0,23.0,81.0,24.0,80.0,25.0,80.0,26.0,79.0,27.0,did not hit their potential,
Timo Horn,T. Horn,200316,['GK'],Germany,1. FC Köln,88,82,23,84.0,24.0,83.0,25.0,81.0,26.0,77.0,27.0,76.0,28.0,did not hit their potential,
Mattia Perin,M. Perin,198009,['GK'],Italy,Genoa,88,83,23,83.0,24.0,84.0,25.0,82.0,26.0,82.0,27.0,80.0,28.0,did not hit their potential,
Serge Alain Stéphane Aurier,S. Aurier,197853,"['RB', 'CB']",Côte d'Ivoire,Paris Saint-Germain,88,83,23,81.0,24.0,81.0,25.0,79.0,26.0,80.0,27.0,80.0,28.0,did not hit their potential,
Timothy Evans Fosu-Mensah,T. Fosu-Mensah,232270,"['CDM', 'CB', 'RB']",Netherlands,Manchester United,87,71,18,74.0,19.0,76.0,20.0,73.0,21.0,73.0,22.0,73.0,23.0,still has time,
Kylian Mbappé Lottin,K. Mbappe Lottin,231747,['LW'],France,AS Monaco,87,71,17,83.0,18.0,87.0,19.0,89.0,20.0,90.0,21.0,91.0,22.0,exceeded their potential,2.0
Gabriel Fernando de Jesus,Gabriel Jesus,230666,"['ST', 'LW', 'CF']",Brazil,Brazil,87,76,19,81.0,20.0,83.0,21.0,82.0,22.0,83.0,23.0,83.0,24.0,still has time,
Viktor Kovalenko,V. Kovalenko,228698,"['CAM', 'CM']",Ukraine,Shakhtar Donetsk,87,75,20,75.0,21.0,74.0,22.0,74.0,23.0,73.0,24.0,73.0,25.0,did not hit their potential,
Vincent Edouard André Koziello,V. Koziello,225199,"['CM', 'CDM']",France,OGC Nice,87,79,20,78.0,21.0,77.0,22.0,75.0,23.0,71.0,24.0,70.0,25.0,did not hit their potential,
Andrija Živković,A. Živković,220746,"['RM', 'LM']",Serbia,SL Benfica,87,75,19,77.0,20.0,79.0,21.0,76.0,22.0,73.0,23.0,76.0,24.0,still has time,
Nabil Fekir,N. Fekir,216594,"['RW', 'ST']",France,Olympique Lyonnais,87,81,22,82.0,23.0,85.0,24.0,84.0,25.0,83.0,26.0,84.0,27.0,did not hit their potential,
Andreas Bødtker Christensen,A. Christensen,213661,['CB'],Denmark,Borussia Mönchengladbach,87,78,20,81.0,21.0,82.0,22.0,80.0,23.0,79.0,24.0,80.0,25.0,still has time,
Thomas Lemar,T. Lemar,213565,"['RM', 'CAM', 'LM']",France,AS Monaco,87,78,20,83.0,21.0,83.0,22.0,83.0,23.0,81.0,24.0,83.0,25.0,did not hit their potential,
Joshua Walter Kimmich,J. Kimmich,212622,"['CM', 'CB', 'CDM', 'RB']",Germany,FC Bayern München,87,78,21,81.0,22.0,85.0,23.0,86.0,24.0,88.0,25.0,89.0,26.0,exceeded their potential,3.0
Niklas Süle,N. Süle,212190,['CB'],Germany,TSG Hoffenheim,87,81,20,83.0,21.0,84.0,22.0,85.0,23.0,84.0,24.0,82.0,25.0,still has time,
Maximilian Meyer,M. Meyer,212150,"['CAM', 'LM', 'CM']",Germany,FC Schalke 04,87,80,20,79.0,21.0,79.0,22.0,78.0,23.0,76.0,24.0,72.0,25.0,did not hit their potential,
Armindo Tué Na Bangna,Bruma,211368,"['LW', 'RW']",Portugal,Galatasaray SK,87,77,21,81.0,22.0,79.0,23.0,78.0,24.0,76.0,25.0,76.0,26.0,did not hit their potential,
Daniele Rugani,D. Rugani,211320,['CB'],Italy,Juventus,87,79,21,80.0,22.0,82.0,23.0,82.0,24.0,80.0,25.0,77.0,26.0,did not hit their potential,
Samuel Castillejo Azuaga,Samu Castillejo,210617,"['LM', 'RM']",Spain,Villarreal CF,87,80,21,80.0,22.0,83.0,23.0,80.0,24.0,79.0,25.0,77.0,26.0,did not hit their potential,
João Pedro Cavaco Cancelo,João Cancelo,210514,"['RB', 'RW']",Portugal,Valencia CF,87,79,22,79.0,23.0,81.0,24.0,84.0,25.0,83.0,26.0,86.0,27.0,lived to expectations,5.0
Fábio Henrique Tavares,Fabinho,209499,"['CDM', 'RB']",Brazil,AS Monaco,87,79,22,83.0,23.0,85.0,24.0,85.0,25.0,87.0,26.0,86.0,27.0,lived to expectations,4.0
Samuel Yves Umtiti,S. Umtiti,205600,['CB'],France,FC Barcelona,87,82,22,83.0,23.0,87.0,24.0,86.0,25.0,83.0,26.0,80.0,27.0,lived to expectations,2.0
Denis Suárez Fernández,Denis Suarez,205192,"['LM', 'RM', 'CM']",Spain,FC Barcelona,87,80,22,80.0,23.0,79.0,24.0,78.0,25.0,78.0,26.0,78.0,27.0,did not hit their potential,
Loris Karius,L. Karius,203775,['GK'],Germany,Liverpool,87,82,23,80.0,24.0,79.0,25.0,79.0,26.0,78.0,27.0,75.0,28.0,did not hit their potential,
Héctor Bellerín Moruno,Héctor Bellerín,203747,['RB'],Spain,Arsenal,87,79,21,81.0,22.0,80.0,23.0,80.0,24.0,80.0,25.0,78.0,26.0,did not hit their potential,
Memphis Depay,M. Depay,202556,"['LM', 'LW']",Netherlands,Manchester United,87,80,22,80.0,23.0,83.0,24.0,84.0,25.0,85.0,26.0,85.0,27.0,did not hit their potential,
Jesé Rodríguez Ruíz,Jesé,202515,"['LW', 'RW', 'ST']",Spain,Paris Saint-Germain,87,80,23,77.0,24.0,76.0,25.0,75.0,26.0,72.0,27.0,71.0,28.0,did not hit their potential,
Julian Draxler,J. Draxler,202166,"['CAM', 'LM', 'RM']",Germany,VfL Wolfsburg,87,84,22,84.0,23.0,83.0,24.0,83.0,25.0,80.0,26.0,80.0,27.0,did not hit their potential,
Mauro Emanuel Icardi Rivero,M. Icardi,201399,['ST'],Argentina,Inter,87,82,23,84.0,24.0,87.0,25.0,85.0,26.0,85.0,27.0,83.0,28.0,lived to expectations,2.0
Francisco Alcácer García,Paco Alcácer,200454,['ST'],Spain,Valencia CF,87,81,22,79.0,23.0,79.0,24.0,83.0,25.0,81.0,26.0,81.0,27.0,did not hit their potential,
Granit Xhaka,G. Xhaka,199503,['CM'],Switzerland,Arsenal,87,84,23,82.0,24.0,81.0,25.0,81.0,26.0,80.0,27.0,79.0,28.0,did not hit their potential,
Oğuzhan Özyakup,O. Özyakup,196934,['CM'],Turkey,Beşiktaş JK,87,81,23,80.0,24.0,78.0,25.0,77.0,26.0,75.0,27.0,73.0,28.0,did not hit their potential,
Jesús Manuel Corona Ruíz,J. Corona,193165,['RW'],Mexico,FC Porto,87,80,23,81.0,24.0,81.0,25.0,81.0,26.0,84.0,27.0,82.0,28.0,did not hit their potential,
Alban Lafont,A. Lafont,231691,['GK'],France,Toulouse Football Club,86,74,17,77.0,18.0,77.0,19.0,79.0,20.0,78.0,21.0,78.0,22.0,still has time,
Adalberto Peñaranda Maestre,A. Peñaranda,231638,"['ST', 'LM']",Venezuela,Udinese Calcio,86,76,19,75.0,20.0,73.0,21.0,72.0,22.0,69.0,23.0,69.0,24.0,still has time,
Leon Bailey Butler,L. Bailey,229906,"['LM', 'RM']",Jamaica,KRC Genk,86,74,18,76.0,19.0,82.0,20.0,82.0,21.0,80.0,22.0,82.0,23.0,still has time,
Marko Pjaca,M. Pjaca,229593,['LW'],Croatia,Juventus,86,76,21,76.0,22.0,76.0,23.0,75.0,24.0,75.0,25.0,75.0,26.0,did not hit their potential,
André Miguel Valente da Silva,André Silva,228941,['ST'],Portugal,FC Porto,86,74,20,78.0,21.0,77.0,22.0,79.0,23.0,79.0,24.0,84.0,25.0,still has time,
Francisco Oliveira Geraldes,Francisco Geraldes,228650,"['CAM', 'CM']",Portugal,Moreirense FC,86,73,21,75.0,22.0,76.0,23.0,74.0,24.0,71.0,25.0,71.0,26.0,did not hit their potential,
Borja Mayoral Moya,Borja Mayoral,228635,['ST'],Spain,VfL Wolfsburg,86,72,19,72.0,20.0,74.0,21.0,77.0,22.0,76.0,23.0,76.0,24.0,still has time,
Matheus Fellipe Costa Pereira,Matheus Pereira,228414,"['LM', 'RM']",Brazil,Sporting CP,86,74,20,74.0,21.0,77.0,22.0,76.0,23.0,76.0,24.0,77.0,25.0,did not hit their potential,
Oleksandr Zinchenko,O. Zinchenko,227813,"['CAM', 'RM', 'LWB']",Ukraine,Manchester City,86,74,19,72.0,20.0,71.0,21.0,78.0,22.0,80.0,23.0,80.0,24.0,still has time,
André Filipe Luz Horta,André Horta,226370,"['CM', 'CAM']",Portugal,SL Benfica,86,76,19,75.0,20.0,75.0,21.0,73.0,22.0,75.0,23.0,73.0,24.0,did not hit their potential,
Jeisson Andrés Vargas Salazar,J. Vargas,226266,['LW'],Chile,Estudiantes de La Plata,86,70,18,,,68.0,20.0,67.0,21.0,67.0,22.0,67.0,23.0,still has time,
Giovani Lo Celso,G. Lo Celso,226226,['CAM'],Argentina,Rosario Central,86,74,20,74.0,21.0,80.0,22.0,83.0,23.0,82.0,24.0,81.0,25.0,did not hit their potential,
Reece Oxford,R. Oxford,225908,"['CB', 'CDM']",England,West Ham United,86,66,17,66.0,18.0,68.0,19.0,67.0,20.0,66.0,21.0,70.0,22.0,still has time,
Mikel Merino Zazón,Mikel Merino,225193,"['CM', 'CDM']",Spain,Borussia Dortmund,86,76,20,74.0,21.0,75.0,22.0,79.0,23.0,80.0,24.0,83.0,25.0,did not hit their potential,
Danilo Barbosa da Silva,Danilo,223517,"['CM', 'CDM']",Brazil,SL Benfica,86,79,20,74.0,21.0,76.0,22.0,75.0,23.0,74.0,24.0,72.0,25.0,did not hit their potential,
Julian Weigl,J. Weigl,222028,"['CDM', 'CM']",Germany,Borussia Dortmund,86,79,20,81.0,21.0,80.0,22.0,80.0,23.0,79.0,24.0,79.0,25.0,still has time,
Victor Jörgen Nilsson Lindelöf,V. Nilsson Lindelöf,221660,['CB'],Sweden,SL Benfica,86,78,21,79.0,22.0,79.0,23.0,81.0,24.0,80.0,25.0,80.0,26.0,did not hit their potential,
Jaïro Riedewald,J. Riedewald,221269,"['CB', 'CDM', 'LB']",Netherlands,Ajax,86,76,19,74.0,20.0,74.0,21.0,72.0,22.0,71.0,23.0,75.0,24.0,still has time,
Lucas François Bernard Hernández Pi,L. Hernández,220814,"['CB', 'LB']",France,Atlético de Madrid,86,75,20,76.0,21.0,82.0,22.0,84.0,23.0,82.0,24.0,83.0,25.0,still has time,
Corentin Tolisso,C. Tolisso,219683,"['CM', 'CDM']",France,Olympique Lyonnais,86,78,21,82.0,22.0,83.0,23.0,83.0,24.0,80.0,25.0,80.0,26.0,did not hit their potential,
Gonzalo Escalante,G. Escalante,219391,"['CDM', 'CM', 'CAM', 'RM']",Argentina,SD Eibar,86,78,23,78.0,24.0,78.0,25.0,77.0,26.0,,,77.0,28.0,did not hit their potential,
Václav Černý,V. Černý,216860,"['RW', 'LW']",Czech Republic,Ajax,86,69,18,70.0,19.0,68.0,20.0,68.0,21.0,66.0,22.0,71.0,23.0,still has time,
Rafael Alexandre Fernandes Ferreira da Silva,Rafa,216547,['LM'],Portugal,Portugal,86,80,23,78.0,24.0,79.0,25.0,82.0,26.0,83.0,27.0,82.0,28.0,did not hit their potential,
Juan Pablo Añor Acosta,J. Añor,216468,"['RM', 'LM', 'CAM']",Venezuela,Málaga CF,86,76,22,76.0,23.0,75.0,24.0,73.0,25.0,71.0,26.0,,,did not hit their potential,
Iñaki Williams Arthuer,Williams,216201,"['RW', 'LW']",Spain,Athletic Club de Bilbao,86,80,22,81.0,23.0,81.0,24.0,82.0,25.0,81.0,26.0,81.0,27.0,did not hit their potential,
Keita Baldé Diao,K. Baldé Diao,215785,"['LW', 'RW', 'ST']",Senegal,Lazio,86,78,21,82.0,22.0,80.0,23.0,80.0,24.0,76.0,25.0,76.0,26.0,did not hit their potential,
Bartłomiej Drągowski,B. Drągowski,215502,['GK'],Poland,Fiorentina,86,71,18,71.0,19.0,71.0,20.0,73.0,21.0,75.0,22.0,77.0,23.0,still has time,
Alisson Ramsés Becker,Alisson,212831,['GK'],Brazil,Roma,86,80,23,80.0,24.0,85.0,25.0,89.0,26.0,90.0,27.0,89.0,28.0,exceeded their potential,2.0
Diego Javier Llorente Ríos,Diego Llorente,212602,"['CB', 'CDM', 'RB']",Spain,Málaga CF,86,78,22,79.0,23.0,76.0,24.0,77.0,25.0,76.0,26.0,77.0,27.0,did not hit their potential,
Riechedly Bazoer,R. Bazoer,212269,['CM'],Netherlands,Ajax,86,77,19,75.0,20.0,74.0,21.0,73.0,22.0,72.0,23.0,76.0,24.0,did not hit their potential,
Iuri José Picanço Medeiros,Iuri Medeiros,212230,"['RM', 'LM']",Portugal,Sporting CP,86,77,21,78.0,22.0,76.0,23.0,74.0,24.0,68.0,25.0,72.0,26.0,did not hit their potential,
Sofiane Boufal,S. Boufal,211381,"['LW', 'RW', 'CAM']",Morocco,LOSC Lille,86,80,22,79.0,23.0,77.0,24.0,77.0,25.0,75.0,26.0,74.0,27.0,did not hit their potential,
Domenico Berardi,D. Berardi,210935,['RW'],Italy,U.S. Sassuolo Calcio,86,82,21,81.0,22.0,78.0,23.0,78.0,24.0,80.0,25.0,82.0,26.0,did not hit their potential,
Alessio Romagnoli,A. Romagnoli,210413,['CB'],Italy,AC Milan,86,78,21,79.0,22.0,82.0,23.0,83.0,24.0,83.0,25.0,82.0,26.0,did not hit their potential,
Ederson Santana de Moraes,Ederson,210257,['GK'],Brazil,SL Benfica,86,78,22,83.0,23.0,86.0,24.0,88.0,25.0,88.0,26.0,89.0,27.0,exceeded their potential,2.0
Alejandro Grimaldo García,Grimaldo,210035,['LB'],Spain,SL Benfica,86,77,20,80.0,21.0,81.0,22.0,83.0,23.0,84.0,24.0,82.0,25.0,did not hit their potential,
Leon Christoph Goretzka,L. Goretzka,209658,"['CM', 'RM', 'CDM']",Germany,FC Schalke 04,86,79,21,82.0,22.0,83.0,23.0,84.0,24.0,84.0,25.0,87.0,26.0,lived to expectations,5.0
Frederico Rodrigues de Paula Santos,Fred,209297,"['CM', 'CDM', 'CAM']",Brazil,Shakhtar Donetsk,86,79,23,80.0,24.0,82.0,25.0,79.0,26.0,81.0,27.0,81.0,28.0,did not hit their potential,
Óliver Torres Muñoz,Óliver Torres,208777,"['CM', 'RM', 'LM']",Spain,Atlético de Madrid,86,79,21,79.0,22.0,78.0,23.0,78.0,24.0,77.0,25.0,77.0,26.0,did not hit their potential,
Luciano Darío Vietto,L. Vietto,207441,['ST'],Argentina,Sevilla FC,86,79,22,79.0,23.0,76.0,24.0,74.0,25.0,78.0,26.0,75.0,27.0,did not hit their potential,
Jetro Willems,J. Willems,205995,['LB'],Netherlands,PSV,86,79,22,77.0,23.0,76.0,24.0,75.0,25.0,77.0,26.0,73.0,27.0,did not hit their potential,
Arkadiusz Krystian Milik,A. Milik,205175,['ST'],Poland,Napoli,86,79,22,79.0,23.0,80.0,24.0,83.0,25.0,81.0,26.0,81.0,27.0,did not hit their potential,
Michy Batshuayi Tunga,M. Batshuayi,204529,['ST'],Belgium,Chelsea,86,81,22,80.0,23.0,81.0,24.0,79.0,25.0,78.0,26.0,76.0,27.0,did not hit their potential,
Eric Dier,E. Dier,202335,['CDM'],England,Tottenham Hotspur,86,78,22,82.0,23.0,80.0,24.0,79.0,25.0,78.0,26.0,79.0,27.0,did not hit their potential,
Álvaro Borja Morata Martín,Morata,201153,"['ST', 'LW']",Spain,Real Madrid CF,86,82,23,84.0,24.0,83.0,25.0,83.0,26.0,82.0,27.0,83.0,28.0,did not hit their potential,
Alex Oxlade-Chamberlain,A. Oxlade-Chamberlain,198784,"['RM', 'RW']",England,Arsenal,86,79,22,80.0,23.0,80.0,24.0,80.0,25.0,79.0,26.0,79.0,27.0,did not hit their potential,
Ricardo Iván Rodríguez Araya,R. Rodríguez,193352,['LB'],Switzerland,VfL Wolfsburg,86,83,23,81.0,24.0,80.0,25.0,80.0,26.0,78.0,27.0,76.0,28.0,did not hit their potential,
Stephan El Shaarawy,S. El Shaarawy,190813,['LW'],Italy,Roma,86,81,23,80.0,24.0,81.0,25.0,82.0,26.0,79.0,27.0,79.0,28.0,did not hit their potential,
Adam Mohamed Ounas,A. Ounas,231242,['LM'],France,FC Girondins de Bordeaux,85,70,19,72.0,20.0,73.0,21.0,75.0,22.0,74.0,23.0,74.0,24.0,still has time,
Mikel Oyarzabal Ugarte,Oyarzabal,230142,"['LW', 'RW', 'ST']",Spain,Real Sociedad,85,77,19,79.0,20.0,80.0,21.0,82.0,22.0,84.0,23.0,85.0,24.0,lived to expectations,4.0
Matheus Pereira da Silva,Matheus Pereira,229337,['CAM'],Brazil,Empoli,85,70,18,70.0,19.0,,,71.0,21.0,70.0,22.0,67.0,23.0,still has time,
Kasper Dolberg Rasmussen,K. Dolberg,228687,['ST'],Denmark,Ajax,85,68,18,78.0,19.0,76.0,20.0,76.0,21.0,79.0,22.0,79.0,23.0,still has time,
Nélson Cabral Semedo,Nélson Semedo,227928,['RB'],Portugal,SL Benfica,85,76,22,81.0,23.0,80.0,24.0,82.0,25.0,83.0,26.0,80.0,27.0,did not hit their potential,
Gelson Dany Batalha Martins,Gelson Martins,227055,['RM'],Portugal,Sporting CP,85,78,21,81.0,22.0,82.0,23.0,82.0,24.0,80.0,25.0,78.0,26.0,did not hit their potential,
Vincent Janssen,V. Janssen,226537,['ST'],Netherlands,Tottenham Hotspur,85,78,22,77.0,23.0,77.0,24.0,75.0,25.0,76.0,26.0,75.0,27.0,did not hit their potential,
Jesús Vallejo Lázaro,Vallejo,225161,['CB'],Spain,Eintracht Frankfurt,85,73,19,77.0,20.0,78.0,21.0,77.0,22.0,76.0,23.0,75.0,24.0,still has time,
Lewis Cook,L. Cook,224294,"['CM', 'CDM', 'CAM']",England,AFC Bournemouth,85,71,19,71.0,20.0,77.0,21.0,77.0,22.0,75.0,23.0,75.0,24.0,did not hit their potential,
Rúben Diogo da Silva Neves,Rúben Neves,224293,"['CDM', 'CM']",Portugal,FC Porto,85,75,19,77.0,20.0,79.0,21.0,82.0,22.0,82.0,23.0,82.0,24.0,still has time,
Daniel Ceballos Fernández,Dani Ceballos,222509,"['CAM', 'CM', 'LM', 'RM']",Spain,Real Betis Balompié,85,77,19,78.0,20.0,78.0,21.0,81.0,22.0,80.0,23.0,77.0,24.0,still has time,
