Player name,Known as,player_id,position,nationality,team,Fifa 07 Potential rating,Fifa 7 overall_rating,Fifa 7 age,Fifa 8 overall_rating,Fifa 8 age,Fifa 9 overall_rating,Fifa 9 age,Fifa 10 overall_rating,Fifa 10 age,Fifa 11 overall_rating,Fifa 11 age,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Karim Benzema,K. Benzema,165153,['ST'],France,Olympique Lyonnais,90,,,,,,,85,21,83,22,84,23,87,24,85,25,85,26,86,27,87,28,86,29,84,30,87,31,89,32,89,33
John Obi Mikel,J. Mikel,164477,['CM'],Nigeria,Chelsea,90,,,,,,,81,22,82,23,81,24,80,25,79,26,78,27,77,28,78,29,,,76,31,73,32,72,33,,
Kamil Oziemczuk,K. Oziemczuk,163851,['CF'],Poland,AJ Auxerre,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Vaughan,J. Vaughan,163396,['ST'],England,Everton,90,,,,,,,75,20,73,21,71,22,69,23,72,24,70,25,69,26,70,27,72,28,70,29,67,30,65,31,,
Francesc Fabregas,F. Fabregas,162895,['CM'],Spain,Arsenal,90,,,,,,,87,22,86,23,88,24,87,25,86,26,84,27,87,28,86,29,86,30,84,31,81,32,75,33,76,34
Giuseppe Rossi,G. Rossi,162409,['ST'],Italy,Manchester United,90,,,,,,,83,22,82,23,85,24,82,25,81,26,82,27,80,28,79,29,,,,,,,73,33,,
Fred,Fred,160774,['ST'],Brazil,Olympique Lyonnais,90,,,,,,,79,25,79,26,79,27,80,28,82,29,,,77,31,,,,,,,,,,,,
Scott Carson,S. Carson,157804,['GK'],England,Charlton Athletic,90,,,,,,,74,23,74,24,,,,,75,27,73,28,72,29,72,30,74,31,73,32,72,33,70,34,67,35
Rafael Sobis,Rafael Sobis,152855,['LF'],Brazil,Internacional,90,,,,,,,,,77,25,75,26,76,27,76,28,,,77,30,,,,,,,,,,,,
Aaron Lennon,A. Lennon,152747,['RW'],England,Tottenham Hotspur,90,,,,,,,79,22,82,23,82,24,80,25,80,26,79,27,77,28,78,29,77,30,77,31,74,32,,,73,34
Igor Akinfeev,I. Akinfeev,148119,['GK'],Russia,Russia,90,,,,,,,85,23,84,24,84,25,84,26,84,27,83,28,81,29,80,30,79,31,80,32,80,33,80,34,80,35
Jesus Navas,Jesús Navas,146536,['RW'],Spain,Sevilla FC,90,,,,,,,83,23,84,24,84,25,85,26,85,27,83,28,81,29,80,30,78,31,78,32,82,33,84,34,84,35
Carlos Tevez,C. Tevez,143001,['LF'],Argentina,Sport Club Corinthians Paulista,90,,,,,,,85,25,86,26,88,27,86,28,86,29,85,30,86,31,83,32,,,78,34,78,35,78,36,,
Dmitriy Sytchev,D. Sytchev,139714,['ST'],Russia,Russia,90,,,,,,,75,25,76,26,74,27,72,28,71,29,,,,,,,,,,,,,,,,
Emerse Fae,E. Faé,138711,['CDM'],Côte d'Ivoire,FC Nantes,90,,,,,,,74,25,73,26,73,27,,,,,,,,,,,,,,,,,,,,
Diego,Diego,136138,['CAM'],Brazil,SV Werder Bremen,90,,,,,,,87,24,82,25,83,26,83,27,84,28,82,29,79,30,,,,,,,,,,,,
Damien Perquis,D. Perquis,135218,['CB'],France,AS Saint-Étienne,90,,,,,,,70,25,71,26,75,27,75,28,74,29,75,30,73,31,73,32,64,33,64,34,,,,,,
Marouane Chamakh,M. Chamakh,134906,['ST'],Morocco,FC Girondins de Bordeaux,90,,,,,,,81,25,82,26,81,27,77,28,75,29,75,30,74,31,71,32,,,,,,,,,,
Piotr Trochowski,P. Trochowski,121945,['CAM'],Germany,Hamburger SV,90,,,,,,,82,25,79,26,79,27,75,28,73,29,74,30,75,31,,,,,,,,,,,,
Philipp Lahm,P. Lahm,121939,['LWB'],Germany,FC Bayern München,90,,,,,,,86,25,86,26,87,27,87,28,87,29,87,30,87,31,88,32,,,,,,,,,,
Alexandr Kerzhakov,A. Kerzhakov,109416,['ST'],Russia,Russia,90,,,,,,,80,26,78,27,82,28,81,29,77,30,76,31,76,32,75,33,,,,,,,,,,
Victor Hugo Mareco,V. Mareco,53783,['CB'],Paraguay,Brescia,90,,,,,,,67,25,67,26,64,27,,,,,,,,,,,,,,,,,,,,
Tranquillo Barnetta,T. Barnetta,52752,['LW'],Switzerland,Bayer 04 Leverkusen,90,,,,,,,79,24,79,25,79,26,79,27,76,28,77,29,76,30,77,31,77,32,72,33,,,,,,
Thomas Kahlenberg,T. Kahlenberg,49170,['CAM'],Denmark,AJ Auxerre,90,,,,,,,79,26,76,27,72,28,73,29,73,30,72,31,74,32,69,33,,,,,,,,,,
Kim Kallstrom,K. Källström,31831,['CAM'],Sweden,Olympique Lyonnais,90,,,,,,,80,26,80,27,80,28,77,29,74,30,77,31,78,32,75,33,77,34,,,,,,,,
Quaresma,Quaresma,20775,['RW'],Portugal,FC Porto,90,,,,,,,80,25,80,26,82,27,83,28,,,80,30,81,31,83,32,83,33,84,34,81,35,,,77,37
Arjen Robben,A. Robben,9014,['LW'],Netherlands,Chelsea,90,,,,,,,85,25,87,26,90,27,88,28,88,29,90,30,90,31,87,32,88,33,85,34,,,80,36,,
Antonio Cassano,A. Cassano,7631,['ST'],Italy,Real Madrid CF,90,,,,,,,86,26,84,27,83,28,85,29,81,30,80,31,81,32,78,33,,,,,,,,,,
Iniesta,Iniesta,41,['CM'],Spain,FC Barcelona,90,,,,,,,87,25,87,26,91,27,90,28,89,29,89,30,88,31,88,32,87,33,87,34,83,35,81,36,80,37
Pedro Oldoni,Pedro Oldoni,176762,['ST'],Brazil,Club Athletico Paranaense,89,,,,,,,71,23,70,24,,,,,67,27,,,,,,,,,,,,,,,,
Gary Bocaly,G. Bocaly,176564,['RWB'],France,Olympique de Marseille,89,,,,,,,68,21,73,22,74,23,74,24,73,25,72,26,,,,,,,,,,,,,,
Claudio,Cláudio,176295,['ST'],Brazil,Palmeiras,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Dyer,N. Dyer,173436,['LW'],England,Southampton,89,,,,,,,68,21,70,22,73,23,75,24,75,25,74,26,76,27,77,28,75,29,74,30,69,31,69,32,,
Jose Andres Guardado,J. Guardado,171897,['LW'],Mexico,Mexico,89,,,,,,,81,22,81,23,77,24,82,25,81,26,77,27,80,28,82,29,80,30,82,31,81,32,78,33,78,34
Blaise Matuidi,B. Matuidi,170890,['CDM'],France,ESTAC Troyes,89,,,,,,,77,22,75,23,78,24,77,25,81,26,83,27,84,28,86,29,85,30,85,31,85,32,83,33,79,34
Bogdan Shust,B. Shust,169318,['GK'],Ukraine,Ukraine,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedwiges Maduro,H. Maduro,168584,['CM'],Netherlands,Ajax,89,,,,,,,77,24,76,25,75,26,76,27,74,28,72,29,74,30,73,31,,,,,,,,,,
Silva,Silva,168542,['LM'],Spain,Valencia CF,89,,,,,,,86,23,85,24,87,25,88,26,88,27,87,28,88,29,87,30,87,31,89,32,88,33,86,34,85,35
Gonzalo Castro,G. Castro,167431,['RB'],Spain,Bayer 04 Leverkusen,89,,,,,,,78,22,78,23,78,24,78,25,80,26,80,27,81,28,82,29,82,30,78,31,75,32,73,33,74,34
Giovanni Torre,G. Torre,166917,['ST'],Italy,Portsmouth,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evandro,Evandro,166080,['CM'],Brazil,Club Athletico Paranaense,89,,,,,,,70,22,69,23,,,,,72,26,74,27,76,28,76,29,73,30,71,31,,,,,,
Samir Nasri,S. Nasri,165239,['CAM'],France,Olympique de Marseille,89,,,,,,,83,22,84,23,86,24,85,25,84,26,84,27,83,28,82,29,82,30,,,78,32,,,,
Eugen Polanski,E. Polanski,165174,['CM'],Germany,Borussia Mönchengladbach,89,,,,,,,73,23,71,24,74,25,75,26,74,27,75,28,78,29,78,30,76,31,,,,,,,,
Taye Ismaila Taiwo,T. Taiwo,164954,['LWB'],Nigeria,Olympique de Marseille,89,,,,,,,78,24,78,25,79,26,,,,,73,29,,,73,31,71,32,,,,,,,,
Andrea Raggi,A. Raggi,163407,['CB'],Italy,Empoli,89,,,,,,,72,25,70,26,67,27,74,28,72,29,73,30,79,31,78,32,76,33,76,34,,,,,,
Arturo Lupoli,A. Lupoli,163169,['ST'],Italy,Derby County,89,,,,,,,69,22,66,23,67,24,66,25,65,26,65,27,65,28,67,29,,,,,,,,,,
Philip Ifil,P. Ifil,163045,['RB'],England,Tottenham Hotspur,89,,,,,,,63,22,58,23,,,,,,,,,,,,,,,,,,,,,,
Bafetimbi Gomis,B. Gomis,159145,['ST'],France,AS Saint-Étienne,89,,,,,,,78,23,77,24,81,25,81,26,81,27,78,28,77,29,78,30,79,31,81,32,81,33,80,34,79,35
Julien Faubert,J. Faubert,156726,['RM'],France,FC Girondins de Bordeaux,89,,,,,,,74,25,71,26,67,27,,,67,29,68,30,71,31,,,,,,,,,,,,
Romaric,Romaric,156585,['CAM'],Côte d'Ivoire,Le Mans FC,89,,,,,,,79,26,75,27,74,28,76,29,73,30,74,31,72,32,,,,,,,,,,,,
Will Hoskins,W. Hoskins,156301,['ST'],England,Rotherham United,89,,,,,,,57,23,61,24,64,25,65,26,66,27,64,28,64,29,,,,,,,,,,,,
Leon Clarke,L. Clarke,155533,['ST'],England,Wolverhampton Wanderers,89,,,,,,,65,24,67,25,63,26,64,27,66,28,66,29,66,30,68,31,65,32,72,33,70,34,,,62,36
Renato Civelli,R. Civelli,152993,['CB'],Argentina,Olympique de Marseille,89,,,,,,,,,72,26,71,27,74,28,,,74,30,76,31,78,32,76,33,76,34,77,35,72,36,,
Dean Marney,D. Marney,152991,['CDM'],England,Hull City,89,,,,,,,72,25,70,26,65,27,65,28,66,29,68,30,70,31,71,32,72,33,70,34,66,35,,,,
Pique,Piqué,152729,['CB'],Spain,Real Zaragoza,89,,,,,,,82,22,85,23,88,24,86,25,86,26,84,27,85,28,86,29,87,30,87,31,88,32,86,33,84,34
Daniel Agger,D. Agger,152039,['CB'],Denmark,Liverpool,89,,,,,,,81,24,82,25,83,26,83,27,82,28,81,29,80,30,,,,,,,,,,,,
Juanfran,Juanfran,146760,['RW'],Spain,Real Madrid CF,89,,,,,,,75,24,78,25,79,26,78,27,79,28,79,29,81,30,83,31,83,32,80,33,,,,,,
Wesley Sneijder,W. Sneijder,139869,['LM'],Netherlands,Ajax,89,,,,,,,83,25,86,26,88,27,87,28,84,29,84,30,84,31,83,32,83,33,,,,,,,,
Babacar Gueye,B. Gueye,138565,['ST'],Senegal,FC Metz,89,,,,,,,69,23,67,24,63,25,,,,,,,,,,,,,,,,,,,,
Obafemi Martins,O. Martins,137494,['ST'],Nigeria,Newcastle United,89,,,,,,,81,24,80,25,77,26,75,27,77,28,76,29,79,30,,,,,,,,,75,35,,
Matteo Paro,M. Paro,137429,['LM'],Italy,Juventus,89,,,,,,,73,26,64,27,63,28,,,,,,,65,32,,,,,,,,,,,,
Bastian Schweinsteiger,B. Schweinsteiger,121944,['LM'],Germany,FC Bayern München,89,,,,,,,81,24,85,25,87,26,86,27,88,28,88,29,86,30,83,31,81,32,80,33,76,34,,,,
Jean Makoun,J. Makoun,120304,['CDM'],Cameroon,LOSC Lille,89,,,,,,,79,26,80,27,78,28,75,29,74,30,73,31,72,32,73,33,,,,,,,,,,
Charles Itandje,C. Itandje,116914,['GK'],France,Racing Club de Lens,89,,,,,,,,,68,27,67,28,,,69,30,69,31,70,32,74,33,,,,,,,,,,
Carlos Idriss Kameni,C. Kameni,111661,['GK'],Cameroon,RCD Espanyol de Barcelona,89,,,,,,,81,25,82,26,82,27,78,28,75,29,73,30,75,31,80,32,80,33,78,34,73,35,,,,
Jose Antonio Reyes,J. Reyes,111093,['ST'],Spain,Arsenal,89,,,,,,,82,25,82,26,85,27,81,28,77,29,77,30,78,31,78,32,,,71,34,,,,,,
Riesgo,Riesgo,110974,['GK'],Spain,Real Sociedad,89,,,,,,,74,25,73,26,73,27,72,28,71,29,71,30,69,31,74,32,76,33,73,34,,,71,36,71,37
Alberto Aquilani,A. Aquilani,103935,['CM'],Italy,Roma,89,,,,,,,82,24,78,25,81,26,80,27,80,28,79,29,79,30,78,31,75,32,,,,,,,,
Tom Huddlestone,T. Huddlestone,54033,['CDM'],England,Tottenham Hotspur,89,,,,,,,77,22,80,23,80,24,77,25,76,26,75,27,74,28,75,29,75,30,74,31,72,32,,,66,34
Per Mertesacker,P. Mertesacker,53612,['CB'],Germany,SV Werder Bremen,89,,,,,,,84,24,83,25,82,26,81,27,80,28,83,29,83,30,83,31,81,32,,,,,,,,
Juan Pablo Francia,J. Francia,49439,['CM'],Argentina,FC Girondins de Bordeaux,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine Jenas,J. Jenas,49076,['CM'],England,Tottenham Hotspur,89,,,,,,,78,26,76,27,75,28,74,29,72,30,,,,,,,,,,,,,,,,
Morten Rasmussen,M. Rasmussen,45104,['ST'],Denmark,Brøndby IF,89,,,,,,,70,24,72,25,68,26,68,27,65,28,68,29,70,30,71,31,69,32,68,33,,,,,,
Jose Reina,J. Reina,24630,['GK'],Spain,Liverpool,89,,,,,,,84,26,85,27,84,28,83,29,83,30,81,31,80,32,84,33,83,34,83,35,82,36,79,37,78,38
Terry Dixon,T. Dixon,177423,['ST'],Republic of Ireland,Tottenham Hotspur,88,,,,,,,63,19,,,55,21,,,,,,,,,,,,,,,,,,,,
Ilsinho,Ilsinho,177138,['RWB'],Brazil,São Paulo,88,,,,,,,,,73,24,75,25,,,73,27,74,28,,,72,30,67,31,67,32,68,33,68,34,67,35
Rafael Moura,Rafael Moura,176741,['ST'],Brazil,Sport Club Corinthians Paulista,88,,,,,,,,,68,27,76,28,73,29,71,30,,,71,32,,,,,,,,,,,,
Ben Parker,B. Parker,171987,['LB'],England,Bradford City,88,,,,,,,63,21,64,22,64,23,,,,,,,,,,,,,,,,,,,,
Kerlon,Kerlon,170911,['CAM'],Brazil,Cruzeiro,88,,,,,,,69,21,,,,,,,,,,,,,,,,,,,,,,,,
Nizamettin Caliskan,N. Calışkan,170796,['CAM'],Turkey,Manisaspor,88,,,,,,,63,22,60,23,,,,,,,61,27,,,,,,,,,,,,,,
Carlos Alberto Vela,C. Vela,169416,['ST'],Mexico,UD Salamanca,88,,,,,,,76,20,77,21,74,22,77,23,82,24,82,25,82,26,81,27,82,28,81,29,83,30,83,31,83,32
Ismael Bangoura,I. Bangoura,168984,['CF'],Guinea,Le Mans FC,88,,,,,,,74,24,74,25,,,71,27,71,28,66,29,66,30,68,31,71,32,71,33,,,,,,
Rafinha,Rafinha,168607,['RWB'],Brazil,FC Schalke 04,88,,,,,,,81,23,79,24,79,25,76,26,76,27,77,28,78,29,78,30,78,31,77,32,,,78,34,,
Vladimir Stojkovic,V. Stojkovic,167993,['GK'],Serbia,FC Nantes,88,,,,,,,,,,,,,,,,,,,,,77,32,,,,,,,,,70,37
Diego,Diego,165821,['ST'],Brazil,Cruzeiro,88,,,,,,,,,,,67,27,,,,,,,,,,,,,,,,,,,,
Thiago,Thiago,165235,['ST'],Brazil,São Paulo,88,,,,,,,73,23,75,24,75,25,75,26,75,27,,,75,29,,,,,,,,,,,,
Raffaele Palladino,R. Palladino,159284,['ST'],Italy,Juventus,88,,,,,,,78,25,77,26,74,27,73,28,73,29,72,30,,,73,32,72,33,,,,,,,,
Steven Taylor,S. Taylor,159034,['CB'],England,Newcastle United,88,,,,,,,74,23,75,24,76,25,76,26,76,27,75,28,76,29,74,30,69,31,68,32,69,33,70,34,70,35
Quentin Westberg,Q. Westberg,157888,['GK'],United States,ESTAC Troyes,88,,,,,,,,,,,66,25,,,,,,,63,29,65,30,64,31,64,32,68,33,69,34,66,35
Ronald Zubar,R. Zubar,150472,['CB'],France,Olympique de Marseille,88,,,,,,,73,23,73,24,69,25,66,26,67,27,68,28,67,29,68,30,,,,,,,,,,
Michel Bastos,Michel Bastos,139843,['LWB'],Brazil,LOSC Lille,88,,,,,,,82,25,82,26,83,27,82,28,,,,,78,31,,,,,,,,,,,,
Giampaolo Pazzini,G. Pazzini,137361,['ST'],Italy,Fiorentina,88,,,,,,,82,24,82,25,83,26,82,27,80,28,77,29,77,30,76,31,76,32,74,33,72,34,69,35,,
Anouar Diba,A. Diba,134946,['RW'],Netherlands,NAC Breda,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Meier,A. Meier,121170,['CAM'],Germany,Eintracht Frankfurt,88,,,,,,,73,26,75,27,73,28,74,29,76,30,76,31,79,32,79,33,77,34,,,70,36,,,,
Michael Dawson,M. Dawson,120312,['CB'],England,Tottenham Hotspur,88,,,,,,,75,25,80,26,80,27,80,28,79,29,79,30,77,31,77,32,75,33,72,34,70,35,69,36,,
Ian Henderson,I. Henderson,118646,['CF'],England,Norwich City,88,,,,,,,60,24,62,25,64,26,63,27,61,28,65,29,65,30,66,31,67,32,66,33,67,34,66,35,64,36
Nigel De Jong,N. de Jong,53578,['CDM'],Netherlands,Hamburger SV,88,,,,,,,79,24,80,25,82,26,81,27,79,28,81,29,81,30,78,31,74,32,,,,,,,,
Matthias Lehmann,M. Lehmann,52498,['CDM'],Germany,Alemannia Aachen,88,,,,,,,67,26,73,27,73,28,72,29,69,30,72,31,75,32,76,33,76,34,72,35,,,,,,
Jermain Defoe,J. Defoe,50542,['ST'],England,Tottenham Hotspur,88,,,,,,,81,26,82,27,81,28,81,29,81,30,80,31,79,32,80,33,80,34,78,35,76,36,74,37,68,38
Kevin Anin,K. Anin,178367,['CDM'],France,Le Havre AC,87,,,,,,,67,22,66,23,75,24,75,25,74,26,,,,,,,,,,,,,,,,
Matej Markovic,M. Markovic,177583,['ST'],Austria,SV Ried,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathieu Valbuena,M. Valbuena,177326,['CAM'],France,Olympique de Marseille,87,,,,,,,76,24,78,25,81,26,80,27,82,28,81,29,81,30,79,31,81,32,81,33,80,34,79,35,77,36
Renatinho,Renatinho,176771,['CAM'],Brazil,Santos,87,,,,,,,,,68,23,,,,,,,,,,,,,,,,,,,,,,
Sebastian Tyrala,S. Tyrala,170798,['CAM'],Germany,Borussia Dortmund,87,,,,,,,63,21,65,22,67,23,64,24,64,25,,,,,,,,,,,,,,,,
Enza,Enza,169366,['LF'],Central African Republic,ESTAC Troyes,87,,,,,,,,,62,27,63,28,66,29,63,30,65,31,,,66,33,68,34,,,,,,,,
Freddy Guarin,F. Guarín,169051,['CM'],Colombia,AS Saint-Étienne,87,,,,,,,74,23,76,24,80,25,81,26,81,27,79,28,80,29,,,,,76,32,,,,,,
Ron Vlaar,R. Vlaar,168585,['CB'],Netherlands,Feyenoord,87,,,,,,,72,24,76,25,74,26,76,27,77,28,79,29,,,78,31,76,32,74,33,74,34,73,35,,
Edixon Perea,E. Perea,168564,['ST'],Colombia,FC Girondins de Bordeaux,87,,,,,,,74,25,68,26,64,27,,,,,,,,,,,,,,,,,,,,
Gonzalo Higuain,G. Higuaín,167664,['ST'],France,River Plate,87,,,,,,,82,21,85,22,85,23,85,24,84,25,84,26,84,27,88,28,90,29,88,30,85,31,83,32,81,33
Fernando Ruben Gago,F. Gago,165517,['CDM'],Argentina,Boca Juniors,87,,,,,,,78,23,78,24,78,25,79,26,77,27,76,28,76,29,77,30,78,31,78,32,71,33,73,34,,
