Player name,Known as,player_id,position,nationality,team,Fifa 20 Potential rating,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 20 outcome,Year potential reached
Eder Gabriel Militao,Éder Militão,240130,"['CB', 'RB']",Brazil,Real Madrid CF,88,81,21,80.0,22.0,82.0,23.0,still has time,
Nicolo Zaniolo,N. Zaniolo,238067,"['CAM', 'CM', 'RW']",Italy,Roma,88,74,19,76.0,20.0,78.0,21.0,still has time,
Ibrahima Konate,I. Konaté,237678,['CB'],France,RB Leipzig,88,79,20,78.0,21.0,78.0,22.0,still has time,
Ismaila Sarr,I. Sarr,235353,"['RM', 'LM']",Senegal,Watford,88,78,21,78.0,22.0,78.0,23.0,still has time,
Alban Lafont,A. Lafont,231691,['GK'],France,FC Nantes,88,79,20,78.0,21.0,78.0,22.0,still has time,
Marcus Rashford,M. Rashford,231677,"['ST', 'LM']",England,Manchester United,88,83,21,85.0,22.0,85.0,23.0,still has time,
Gabriel Fernando De Jesus,Gabriel Jesus,230666,['ST'],Brazil,Manchester City,88,82,22,83.0,23.0,83.0,24.0,still has time,
Leon Bailey,L. Bailey,229906,"['LW', 'RW']",Jamaica,Bayer 04 Leverkusen,88,82,21,80.0,22.0,82.0,23.0,still has time,
Aaron Wan Bissaka,A. Wan-Bissaka,229880,['RB'],England,Manchester United,88,79,21,83.0,22.0,83.0,23.0,still has time,
Dayot Upamecano,D. Upamecano,229558,['CB'],France,RB Leipzig,88,77,20,79.0,21.0,82.0,22.0,still has time,
Manuel Akanji,M. Akanji,229237,['CB'],Switzerland,Borussia Dortmund,88,83,23,78.0,24.0,80.0,25.0,still has time,
Joe Gomez,J. Gomez,225100,"['CB', 'RB']",England,Liverpool,88,80,22,83.0,23.0,82.0,24.0,still has time,
Goncalo Manuel Ganchinho Guedes,Gonçalo Guedes,224411,"['LM', 'ST']",Portugal,Valencia CF,88,83,22,81.0,23.0,81.0,24.0,still has time,
Nicolo Barella,N. Barella,224232,"['CM', 'CAM']",Italy,Inter,88,80,22,80.0,23.0,84.0,24.0,did not hit their potential,
Kingsley Coman,K. Coman,213345,"['LM', 'RM', 'LW']",France,FC Bayern München,88,84,23,84.0,24.0,86.0,25.0,did not hit their potential,
Jonathan Tah,J. Tah,213331,['CB'],Germany,Bayer 04 Leverkusen,88,83,23,79.0,24.0,78.0,25.0,still has time,
Julian Brandt,J. Brandt,212194,"['CAM', 'LM', 'RM']",Germany,Borussia Dortmund,88,84,23,84.0,24.0,81.0,25.0,did not hit their potential,
Anthony Martial,A. Martial,211300,"['LW', 'ST', 'LM']",France,Manchester United,88,83,23,84.0,24.0,81.0,25.0,did not hit their potential,
Agustin Urzi,A. Urzi,246469,"['LM', 'CM']",Argentina,Club Atlético Banfield,87,69,19,73.0,20.0,72.0,21.0,still has time,
Yari Verschaeren,Y. Verschaeren,246419,"['CAM', 'RM', 'LM']",Belgium,RSC Anderlecht,87,72,17,72.0,18.0,73.0,19.0,still has time,
Mason Greenwood,M. Greenwood,246147,"['CF', 'RM', 'ST']",England,Manchester United,87,67,17,77.0,18.0,78.0,19.0,still has time,
Daniel Olmo Carvajal,Dani Olmo,244260,"['CAM', 'LM', 'CM']",Spain,Dinamo Zagreb,87,79,21,79.0,22.0,82.0,23.0,still has time,
Jonathan David,J. David,243630,"['CF', 'ST', 'CAM']",Canada,KAA Gent,87,74,19,77.0,20.0,78.0,21.0,still has time,
Ricard Puig Marti,Riqui Puig,242816,['CM'],Spain,FC Barcelona,87,71,19,75.0,20.0,76.0,21.0,still has time,
Francisco Reis Ferreira,Ferro,242236,['CB'],Portugal,SL Benfica,87,78,22,77.0,23.0,75.0,24.0,still has time,
Nicolas Dominguez,N. Domínguez,237819,"['CM', 'CDM', 'RWB']",Argentina,Vélez Sarsfield,87,75,21,75.0,22.0,75.0,23.0,still has time,
Patrick Cutrone,P. Cutrone,237715,['ST'],Italy,Wolverhampton Wanderers,87,77,21,75.0,22.0,73.0,23.0,still has time,
Takefusa Kubo,T. Kubo,237681,"['RM', 'CF']",Japan,Real Madrid CF,87,70,18,75.0,19.0,75.0,20.0,still has time,
Arne Maier,A. Maier,237629,"['CM', 'CDM']",Germany,Hertha BSC,87,76,20,74.0,21.0,74.0,22.0,still has time,
Matias Zaracho,M. Zaracho,235926,"['CAM', 'RM', 'CM']",Argentina,Argentina,87,78,21,76.0,22.0,,,did not hit their potential,
Federico Chiesa,F. Chiesa,235805,"['RW', 'CF']",Italy,Italy,87,79,21,78.0,22.0,83.0,23.0,still has time,
Florian Neuhaus,F. Neuhaus,234943,['CM'],Germany,Borussia Mönchengladbach,87,78,22,79.0,23.0,82.0,24.0,did not hit their potential,
Florentino Morris Luis,Florentino,234569,"['CDM', 'CM']",Portugal,SL Benfica,87,76,19,76.0,20.0,74.0,21.0,still has time,
Alphonso Davies,A. Davies,234396,"['LM', 'RM', 'LB']",Canada,FC Bayern München,87,72,18,81.0,19.0,82.0,20.0,still has time,
Declan Rice,D. Rice,234378,"['CDM', 'CB', 'CM']",England,West Ham United,87,78,20,79.0,21.0,82.0,22.0,still has time,
Carlos Soler Barragan,Carlos Soler,234153,"['RM', 'CM']",Spain,Valencia CF,87,80,22,79.0,23.0,81.0,24.0,still has time,
Ionut Andrei Radu,I. Radu,234102,['GK'],Romania,Romania,87,75,22,75.0,23.0,75.0,24.0,still has time,
Cristian Romero,C. Romero,232488,"['CB', 'RB']",Argentina,Genoa,87,73,21,73.0,22.0,82.0,23.0,still has time,
Marko Grujic,M. Grujić,232099,"['CDM', 'CM']",Serbia,Hertha BSC,87,77,23,75.0,24.0,75.0,25.0,still has time,
Exequiel Palacios,E. Palacios,231521,"['CM', 'RM', 'CAM']",Argentina,River Plate,87,77,20,77.0,21.0,77.0,22.0,still has time,
Davide Calabria,D. Calabria,228881,['RB'],Italy,AC Milan,87,77,22,76.0,23.0,78.0,24.0,did not hit their potential,
Wuilker Farinez,W. Faríñez,228736,['GK'],Venezuela,Millonarios FC,87,73,21,75.0,22.0,73.0,23.0,still has time,
Emil Audero,E. Audero,228413,['GK'],Italy,U.C. Sampdoria,87,77,22,77.0,23.0,78.0,24.0,still has time,
Lorenzo Pellegrini,L. Pellegrini,228251,"['CM', 'CAM', 'CDM']",Italy,Roma,87,79,23,79.0,24.0,81.0,25.0,did not hit their potential,
Sander Berge,S. Berge,228092,"['CDM', 'CM']",Norway,KRC Genk,87,79,21,79.0,22.0,76.0,23.0,still has time,
Andre Onana,A. Onana,226753,['GK'],Cameroon,Ajax,87,82,23,84.0,24.0,83.0,25.0,still has time,
Pablo Fornals Malla,Pablo Fornals,226456,"['CAM', 'CM', 'LM']",Spain,West Ham United,87,81,23,79.0,24.0,79.0,25.0,did not hit their potential,
Steven Bergwijn,S. Bergwijn,225953,"['RW', 'CAM', 'LW']",Netherlands,PSV,87,82,21,83.0,22.0,80.0,23.0,still has time,
Presnel Kimpembe,P. Kimpembe,225850,['CB'],France,Paris Saint-Germain,87,82,23,81.0,24.0,83.0,25.0,still has time,
Mikel Merino Zazon,Merino,225193,"['CM', 'CDM', 'LM']",Spain,Real Sociedad,87,79,23,80.0,24.0,83.0,25.0,did not hit their potential,
Ruben Diogo Da Silva Neves,Rúben Neves,224293,['CM'],Portugal,Wolverhampton Wanderers,87,82,22,82.0,23.0,82.0,24.0,did not hit their potential,
Lucas Torreira,L. Torreira,223959,"['CDM', 'CM']",Uruguay,Arsenal,87,82,23,81.0,24.0,80.0,25.0,still has time,
Daniel Ceballos Fernandez,Dani Ceballos,222509,"['CM', 'LM', 'CDM']",Spain,Arsenal,87,81,22,80.0,23.0,77.0,24.0,did not hit their potential,
Donny Van De Beek,D. van de Beek,221363,"['CAM', 'CM']",Netherlands,Ajax,87,81,22,83.0,23.0,81.0,24.0,still has time,
Marco Asensio Willemsen,Marco Asensio,220834,"['LW', 'RW']",Spain,Real Madrid CF,87,83,23,82.0,24.0,83.0,25.0,did not hit their potential,
Davinson Sanchez,D. Sánchez,220793,['CB'],Colombia,Tottenham Hotspur,87,83,23,81.0,24.0,79.0,25.0,still has time,
Youri Tielemans,Y. Tielemans,216393,"['CM', 'CDM']",Belgium,Leicester City,87,80,22,81.0,23.0,84.0,24.0,did not hit their potential,
Mike Maignan,M. Maignan,215698,['GK'],France,LOSC Lille,87,80,23,82.0,24.0,84.0,25.0,still has time,
Andreas Christensen,A. Christensen,213661,['CB'],Denmark,Chelsea,87,80,23,79.0,24.0,80.0,25.0,still has time,
Thomas Lemar,T. Lemar,213565,"['LM', 'CAM', 'RM']",France,Atlético de Madrid,87,83,23,81.0,24.0,83.0,25.0,did not hit their potential,
Timo Werner,T. Werner,212188,['ST'],Germany,Germany,87,83,23,85.0,24.0,84.0,25.0,still has time,
Alejandro Grimaldo Garcia,Grimaldo,210035,['LB'],Spain,SL Benfica,87,83,23,84.0,24.0,82.0,25.0,did not hit their potential,
Serge Gnabry,S. Gnabry,206113,"['RM', 'LM', 'LW']",Germany,FC Bayern München,87,84,23,85.0,24.0,85.0,25.0,did not hit their potential,
Enzo Millot,E. Millot,252259,['CM'],France,AS Monaco,86,63,16,61.0,17.0,67.0,18.0,still has time,
Mohamed Ihattaren,M. Ihattaren,246960,"['CAM', 'RW']",Netherlands,PSV,86,68,17,77.0,18.0,75.0,19.0,still has time,
Manor Solomon,M. Solomon,246791,"['RM', 'LM', 'CAM']",Israel,Shakhtar Donetsk,86,70,19,73.0,20.0,76.0,21.0,still has time,
Bukayo Saka,B. Saka,246669,"['LM', 'RM']",England,Arsenal,86,65,17,75.0,18.0,80.0,19.0,still has time,
Adam Hlozek,A. Hložek,246618,"['RW', 'ST', 'RM']",Czech Republic,AC Sparta Praha,86,70,16,74.0,17.0,76.0,18.0,still has time,
Jeremy Doku,J. Doku,246420,['RW'],Belgium,RSC Anderlecht,86,66,17,71.0,18.0,77.0,19.0,still has time,
Jean Clair Todibo,J. Todibo,245388,"['CB', 'CDM']",France,FC Barcelona,86,71,19,75.0,20.0,76.0,21.0,still has time,
Jan Hurtado,J. Hurtado,245149,['ST'],Venezuela,Boca Juniors,86,70,19,,,,,did not hit their potential,
Viktor Tsygankov,V. Tsygankov,244369,"['RM', 'LM']",Ukraine,Dynamo Kyiv,86,79,21,80.0,22.0,80.0,23.0,still has time,
Kangin Lee,Kangin Lee,243780,"['CAM', 'LM', 'RM']",Korea Republic,Valencia CF,86,76,18,74.0,19.0,74.0,20.0,still has time,
James Sands,J. Sands,242214,"['CDM', 'CB']",United States,New York City FC,86,66,18,66.0,19.0,70.0,20.0,still has time,
Rafael Da Conceicao Leao,Rafael Leão,241721,['ST'],Portugal,AC Milan,86,75,20,74.0,21.0,77.0,22.0,still has time,
Manuel Vallejo Galvan,Manu Vallejo,241686,"['ST', 'CAM', 'LM']",Spain,Valencia CF,86,75,22,74.0,23.0,75.0,24.0,still has time,
Dominik Livakovic,D. Livaković,241671,['GK'],Croatia,Dinamo Zagreb,86,80,23,80.0,25.0,82.0,26.0,still has time,
Cristian Ferreira,C. Ferreira,241568,"['CM', 'CAM']",Argentina,River Plate,86,70,19,70.0,20.0,70.0,21.0,still has time,
Jules Kounde,J. Koundé,241486,['CB'],France,Sevilla FC,86,76,20,79.0,21.0,83.0,22.0,still has time,
Giorgi Chakvetadze,G. Chakvetadze,241168,"['LM', 'CAM']",Georgia,KAA Gent,86,74,19,72.0,20.0,69.0,21.0,still has time,
Luis Diaz,L. Díaz,241084,['LM'],Colombia,FC Porto,86,75,22,78.0,23.0,80.0,24.0,still has time,
Oliver Skipp,O. Skipp,241042,"['CDM', 'CM']",England,Tottenham Hotspur,86,67,18,68.0,19.0,75.0,20.0,still has time,
Hamed Junior Traore,H. Traorè,240787,"['CAM', 'CM']",Côte d'Ivoire,U.S. Sassuolo Calcio,86,70,19,71.0,20.0,71.0,21.0,still has time,
Youcef Atal,Y. Atal,240754,"['RB', 'RWB', 'RM']",Algeria,OGC Nice,86,77,23,79.0,24.0,76.0,25.0,did not hit their potential,
Amine Gouiri,A. Gouiri,240753,['ST'],France,Olympique Lyonnais,86,68,19,70.0,20.0,78.0,21.0,still has time,
Angel Gomes,A. Gomes,240507,"['CAM', 'CM', 'LW']",England,Manchester United,86,68,18,67.0,19.0,69.0,20.0,still has time,
Paulo Henrique Sampaio Filho,Paulinho,239970,['RM'],Brazil,Bayer 04 Leverkusen,86,71,18,74.0,19.0,73.0,20.0,still has time,
Myron Boadu,M. Boadu,239956,['ST'],Netherlands,AZ Alkmaar,86,70,18,75.0,19.0,76.0,20.0,still has time,
Alexis Mac Allister,A. Mac Allister,239837,"['CAM', 'CM', 'LM']",Argentina,Boca Juniors,86,76,20,75.0,21.0,75.0,22.0,still has time,
Ruben Alves Dias,Rúben Dias,239818,['CB'],Portugal,SL Benfica,86,80,22,81.0,23.0,87.0,24.0,lived to expectations,2.0
Boubakary Soumare,B. Soumaré,239817,"['CM', 'CDM']",France,LOSC Lille,86,72,20,76.0,21.0,78.0,22.0,still has time,
Pietro Pellegri,P. Pellegri,238873,['ST'],Italy,AS Monaco,86,67,18,66.0,19.0,68.0,20.0,still has time,
Weston Mckennie,W. McKennie,238744,"['CM', 'CB', 'CAM']",United States,FC Schalke 04,86,76,20,75.0,21.0,77.0,22.0,still has time,
Dan Axel Zagadou,D. Zagadou,238476,"['CB', 'LB']",France,Borussia Dortmund,86,79,20,79.0,21.0,78.0,22.0,still has time,
Reece James,R. James,238074,"['RB', 'CDM']",England,Chelsea,86,73,19,77.0,20.0,81.0,21.0,still has time,
Paxton Pomykal,P. Pomykal,238049,"['CAM', 'CM', 'RM']",United States,FC Dallas,86,69,19,67.0,20.0,67.0,21.0,still has time,
Boubacar Kamara,B. Kamara,236987,['CB'],France,Olympique de Marseille,86,75,19,79.0,20.0,80.0,21.0,still has time,
Justin Kluivert,J. Kluivert,236920,"['LW', 'RW']",Netherlands,Roma,86,75,20,74.0,21.0,76.0,22.0,still has time,
Oscar Melendo Jimenez,Melendo,236679,"['RM', 'LM', 'CAM']",Spain,RCD Espanyol de Barcelona,86,80,21,78.0,22.0,76.0,23.0,still has time,
David Neres Campos,David Neres,236632,"['LW', 'RW', 'CAM']",Brazil,Ajax,86,81,22,80.0,23.0,79.0,24.0,still has time,
Calvin Stengs,C. Stengs,236593,['RW'],Netherlands,AZ Alkmaar,86,75,20,78.0,21.0,77.0,22.0,still has time,
Matteo Guendouzi,M. Guendouzi,236496,"['CM', 'CDM']",France,Arsenal,86,75,20,77.0,21.0,77.0,22.0,still has time,
Alexis Claude Maurice,A. Claude Maurice,236477,"['LM', 'CAM']",France,FC Lorient,86,72,21,75.0,22.0,77.0,23.0,still has time,
Evan Ndicka,E. N'Dicka,236403,['CB'],France,Eintracht Frankfurt,86,76,19,74.0,20.0,77.0,21.0,still has time,
Luiz Felipe Ramos Marchi,Luiz Felipe,236355,['CB'],Brazil,Lazio,86,77,22,77.0,23.0,78.0,24.0,still has time,
Morgan Gibbs White,M. Gibbs-White,236015,"['CM', 'CAM']",England,Wolverhampton Wanderers,86,70,19,70.0,20.0,71.0,21.0,still has time,
Marc Roca Junque,Marc Roca,235945,"['CDM', 'CM']",Spain,RCD Espanyol de Barcelona,86,79,22,77.0,23.0,77.0,24.0,still has time,
Brais Mendez Portela,Brais Méndez,235944,"['RM', 'CAM']",Spain,RC Celta de Vigo,86,77,22,75.0,23.0,76.0,24.0,still has time,
Cengiz Under,C. Ünder,235889,"['RW', 'RM']",Turkey,Roma,86,78,21,78.0,22.0,77.0,23.0,still has time,
Ryan Sessegnon,R. Sessegnon,235883,"['LM', 'LW', 'LB']",England,Tottenham Hotspur,86,75,19,75.0,20.0,74.0,21.0,still has time,
Andrea Pinamonti,A. Pinamonti,235842,['ST'],Italy,Genoa,86,70,20,68.0,21.0,68.0,22.0,still has time,
Ethan Ampadu,E. Ampadu,235735,"['CB', 'CDM']",Wales,Wales,86,67,18,67.0,19.0,68.0,20.0,still has time,
Diadie Samassekou,D. Samassékou,235424,"['CDM', 'CM']",Mali,TSG Hoffenheim,86,79,23,76.0,24.0,76.0,25.0,still has time,
Achraf Hakimi,A. Hakimi,235212,"['LB', 'RB']",Morocco,Borussia Dortmund,86,79,20,83.0,21.0,85.0,22.0,lived to expectations,2.0
Jonathan Ikone,J. Ikoné,234612,['CAM'],France,LOSC Lille,86,78,21,79.0,22.0,79.0,23.0,still has time,
Gonzalo Maroni,G. Maroni,234108,"['CAM', 'LW']",Argentina,U.C. Sampdoria,86,71,20,69.0,21.0,69.0,22.0,still has time,
Henry Onyekuru,H. Onyekuru,234045,"['LM', 'ST']",Nigeria,AS Monaco,86,78,22,77.0,23.0,75.0,24.0,still has time,
Riccardo Orsolini,R. Orsolini,233556,"['CAM', 'RW', 'RM']",Italy,Bologna,86,76,22,75.0,23.0,76.0,24.0,still has time,
Mason Mount,M. Mount,233064,"['CAM', 'CM']",England,Chelsea,86,75,20,80.0,21.0,83.0,22.0,still has time,
Tyler Adams,T. Adams,232999,"['CDM', 'RWB']",United States,United States,86,76,20,76.0,21.0,77.0,22.0,still has time,
Issa Diop,I. Diop,231633,['CB'],France,West Ham United,86,78,22,77.0,23.0,77.0,24.0,still has time,
Brahim Diaz,Brahim,231410,"['LW', 'RW']",Spain,Real Madrid CF,86,73,19,74.0,20.0,78.0,21.0,still has time,
Franck Yannick Kessie,F. Kessié,230938,['CM'],Côte d'Ivoire,AC Milan,86,79,22,77.0,23.0,84.0,24.0,did not hit their potential,
Ademola Lookman,A. Lookman,230899,"['RM', 'LM']",England,RB Leipzig,86,76,21,74.0,22.0,77.0,23.0,still has time,
Gianluca Mancini,G. Mancini,229582,['CB'],Italy,Roma,86,76,23,76.0,24.0,80.0,25.0,still has time,
Denis Zakaria,D. Zakaria,229261,"['CM', 'CDM']",Switzerland,Borussia Mönchengladbach,86,78,22,83.0,23.0,80.0,24.0,did not hit their potential,
Matias Vargas,M. Vargas,228819,"['LW', 'CAM', 'LM']",Argentina,RCD Espanyol de Barcelona,86,77,22,75.0,23.0,76.0,24.0,still has time,
Christian Pulisic,C. Pulisic,227796,"['LW', 'RW']",United States,Chelsea,86,79,20,81.0,21.0,82.0,22.0,still has time,
Kieran Tierney,K. Tierney,226491,['LB'],Scotland,Arsenal,86,76,22,78.0,23.0,80.0,24.0,did not hit their potential,
Thilo Kehrer,T. Kehrer,226229,"['CB', 'RB']",Germany,Paris Saint-Germain,86,79,22,77.0,23.0,76.0,24.0,still has time,
Rolando Mandragora,R. Mandragora,225439,"['CM', 'CDM']",Italy,Udinese Calcio,86,76,22,74.0,23.0,75.0,24.0,did not hit their potential,
Javairo Dilrosun,J. Dilrosun,224949,"['LM', 'RM']",Netherlands,Hertha BSC,86,72,21,75.0,22.0,73.0,23.0,still has time,
Diogo Jose Teixeira Da Silva,Diogo Jota,224458,"['CF', 'LW']",Portugal,Wolverhampton Wanderers,86,80,22,80.0,23.0,82.0,24.0,still has time,
Cristian Pavon,C. Pavón,224254,"['RW', 'ST', 'LW']",Argentina,LA Galaxy,86,79,23,79.0,24.0,78.0,25.0,did not hit their potential,
Joachim Andersen,J. Andersen,224221,['CB'],Denmark,Olympique Lyonnais,86,78,23,76.0,24.0,77.0,25.0,still has time,
Harry Winks,H. Winks,222400,"['CM', 'CDM']",England,Tottenham Hotspur,86,80,23,79.0,24.0,77.0,25.0,did not hit their potential,
Hirving Lozano,H. Lozano,221992,"['RW', 'LW']",Mexico,PSV,86,82,23,80.0,24.0,81.0,25.0,did not hit their potential,
David Brooks,D. Brooks,220196,"['RM', 'CAM']",Wales,Wales,86,77,21,76.0,22.0,76.0,23.0,still has time,
Allan Saint Maximin,A. Saint-Maximin,216388,"['RW', 'LW', 'ST']",France,Newcastle United,86,79,22,80.0,23.0,79.0,24.0,still has time,
Fabio Daniel Soares Silva,Fábio Silva,252037,['ST'],Portugal,FC Porto,85,68,16,69.0,17.0,70.0,18.0,still has time,
Renan Augusto Lodi Dos Santos,Renan Lodi,251573,['LB'],Brazil,Atlético de Madrid,85,77,21,81.0,22.0,81.0,23.0,still has time,
Roberto Piccoli,R. Piccoli,248385,['ST'],Italy,Atalanta,85,64,18,62.0,19.0,63.0,20.0,still has time,
Sebastiano Esposito,S. Esposito,247888,['ST'],Italy,Inter,85,63,16,66.0,17.0,67.0,18.0,still has time,
Mateus Tete,Tete,247641,"['LM', 'CAM']",Brazil,Shakhtar Donetsk,85,72,19,75.0,20.0,76.0,21.0,still has time,
Marcos Antonio Silva Santos,Marcos Antonio,247377,['CM'],Brazil,Shakhtar Donetsk,85,65,19,72.0,20.0,73.0,21.0,still has time,
Ante Palaversa,A. Palaversa,247185,"['CM', 'CDM', 'CAM']",Croatia,KV Oostende,85,71,19,,,70.0,21.0,still has time,
Gonzalo Plata,G. Plata,247181,"['LW', 'RW']",Ecuador,Sporting CP,85,70,18,74.0,19.0,74.0,20.0,still has time,
Ki Jana Hoever,K. Hoever,246763,"['RB', 'CB']",Netherlands,Liverpool,85,62,17,,,65.0,19.0,still has time,
Lucien Agoume,L. Agoume,246683,['CM'],France,Inter,85,63,17,63.0,18.0,65.0,19.0,still has time,
Maxence Caqueret,M. Caqueret,246646,"['CM', 'CDM']",France,Olympique Lyonnais,85,69,19,75.0,20.0,78.0,21.0,still has time,
Julian Alvarez,J. Álvarez,246191,['ST'],Argentina,River Plate,85,67,19,71.0,20.0,75.0,21.0,still has time,
Samuel Chukwueze,S. Chukwueze,246172,"['RM', 'CF', 'RW']",Nigeria,Villarreal CF,85,76,20,77.0,21.0,77.0,22.0,still has time,
Ryan Gravenberch,R. Gravenberch,246104,"['CM', 'CDM']",Netherlands,Ajax,85,67,17,70.0,18.0,78.0,19.0,still has time,
Victor Mollejo Carpintero,Mollejo,245999,['RW'],Spain,Atlético de Madrid,85,65,18,69.0,19.0,70.0,20.0,still has time,
Troy Parrott,T. Parrott,245902,['ST'],Republic of Ireland,Tottenham Hotspur,85,64,17,65.0,18.0,64.0,19.0,still has time,
Ahmed Kutucu,A. Kutucu,245762,"['ST', 'CF', 'RW']",Turkey,FC Schalke 04,85,68,19,68.0,20.0,69.0,21.0,still has time,
Sergio Reguilon Rodriguez,Reguilón,245279,['LB'],Spain,Sevilla FC,85,77,22,82.0,23.0,81.0,24.0,did not hit their potential,
Francisco Montero Rubio,Montero,244938,['CB'],Spain,Atlético de Madrid,85,68,20,66.0,21.0,70.0,22.0,still has time,
