Player name,Known as,player_id,position,nationality,team,Fifa 10 Potential rating,Fifa 10 overall_rating,Fifa 10 age,Fifa 11 overall_rating,Fifa 11 age,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Sergio Ramos,Sergio Ramos,155862,['RB'],Spain,Real Madrid CF,91,85,23,85,24,85,25,87,26,86,27,87,28,87,29,89,30,90,31,91,32,89,33,89,34,88,35
Mauro Matias Zarate,M. Zárate,153177,['RF'],Argentina,Lazio,91,84,22,79,23,80,24,77,25,75,26,77,27,76,28,77,29,77,30,77,31,78,32,76,33,,
Wayne Rooney,W. Rooney,54050,['CF'],England,Manchester United,91,87,23,88,24,90,25,89,26,87,27,86,28,86,29,84,30,81,31,80,32,80,33,77,34,,
Jack Wilshere,J. Wilshere,189461,['CAM'],England,Arsenal,90,73,17,75,18,82,19,82,20,82,21,81,22,81,23,82,24,81,25,80,26,79,27,76,28,,
Alan Dzagoev,A. Dzagoev,187735,['CAM'],Russia,PFC CSKA Moscow,90,78,19,79,20,79,21,80,22,79,23,79,24,79,25,81,26,80,27,80,28,77,29,76,30,76,31
Franco Matias Di Santo,F. di Santo,186405,['ST'],Argentina,Blackburn Rovers,90,72,20,74,21,70,22,72,23,72,24,75,25,79,26,77,27,75,28,76,29,,,71,31,72,32
Luka Modric,L. Modrić,177003,['CAM'],Croatia,Tottenham Hotspur,90,82,23,83,24,88,25,86,26,85,27,87,28,87,29,89,30,89,31,91,32,90,33,87,34,87,35
David Silva,David Silva,168542,['LM'],Spain,Valencia CF,90,86,23,85,24,87,25,88,26,88,27,87,28,88,29,87,30,87,31,89,32,88,33,86,34,85,35
Manuel Neuer,M. Neuer,167495,['GK'],Germany,FC Schalke 04,90,83,23,85,24,86,25,87,26,86,27,90,28,90,29,92,30,92,31,90,32,88,33,89,34,90,35
Samir Nasri,S. Nasri,165239,['CAM'],France,Arsenal,90,83,22,84,23,86,24,85,25,84,26,84,27,83,28,82,29,82,30,,,78,32,,,,
Sergio Aguero,S. Agüero,153079,['CF'],Argentina,Atlético de Madrid,90,84,21,84,22,86,23,87,24,88,25,86,26,87,27,89,28,89,29,89,30,89,31,89,32,87,33
Mario Gomez,M. Gomez,150418,['ST'],Germany,FC Bayern München,90,85,23,83,24,86,25,87,26,86,27,82,28,78,29,82,30,82,31,81,32,76,33,,,,
Igor Akinfeev,I. Akinfeev,148119,['GK'],Russia,PFC CSKA Moscow,90,85,23,84,24,84,25,84,26,84,27,83,28,81,29,80,30,79,31,80,32,80,33,80,34,80,35
Rafael,Rafael,189681,['RWB'],Brazil,Manchester United,89,76,18,77,19,76,20,77,21,77,22,77,23,77,24,78,25,79,26,79,27,78,28,77,29,76,30
Hulk,Hulk,189362,['CF'],Brazil,FC Porto,89,83,22,83,23,85,24,84,25,84,26,83,27,84,28,86,29,,,81,31,80,32,80,33,,
James Mccarthy,J. McCarthy,188253,['CAM'],Republic of Ireland,Wigan Athletic,89,71,18,73,19,75,20,74,21,75,22,79,23,80,24,81,25,80,26,78,27,75,28,76,29,74,30
Edin Dzeko,E. Džeko,180930,['ST'],Bosnia and Herzegovina,VfL Wolfsburg,89,83,23,85,24,84,25,83,26,83,27,83,28,81,29,80,30,84,31,85,32,84,33,83,34,83,35
Welliton,Welliton,176927,['ST'],Brazil,Spartak Moskva,89,80,22,82,23,83,24,81,25,76,26,70,27,72,28,73,29,,,,,,,,,,
Guardado,Guardado,171897,['LW'],Mexico,Deportivo de La Coruña,89,81,22,81,23,77,24,82,25,81,26,77,27,80,28,82,29,80,30,82,31,81,32,78,33,78,34
Micah Richards,M. Richards,169721,['RB'],England,Manchester City,89,76,21,79,22,80,23,80,24,79,25,77,26,79,27,77,28,74,29,69,30,,,,,,
Anderson,Anderson,167963,['CM'],Brazil,Manchester United,89,80,21,78,22,77,23,77,24,77,25,73,26,73,27,,,,,,,,,,,,
Arda Turan,A. Turan,143745,['LM'],Turkey,Galatasaray SK,89,81,22,82,23,83,24,84,25,84,26,84,27,83,28,84,29,82,30,78,31,76,32,74,33,71,34
Javier Pastore,J. Pastore,191180,['CAM'],Argentina,Palermo,88,76,20,80,21,83,22,83,23,79,24,79,25,84,26,85,27,83,28,82,29,79,30,77,31,78,32
Franco Zuculini,F. Zuculini,190575,['CM'],Argentina,TSG Hoffenheim,88,74,18,73,19,71,20,70,21,,,69,23,73,24,72,25,70,26,70,27,70,28,,,,
Loic Damour,L. Damour,189412,['CM'],France,RC Strasbourg Alsace,88,65,18,,,63,20,,,,,,,63,24,64,25,66,26,69,27,68,28,,,,
Jose Baxter,J. Baxter,188164,['CF'],England,Everton,88,73,17,69,18,69,19,,,66,21,64,22,66,23,,,,,67,26,66,27,,,,
Lewis Holtby,L. Holtby,188154,['LW'],Germany,FC Schalke 04,88,75,18,74,19,76,20,78,21,78,22,77,23,76,24,78,25,77,26,76,27,,,72,29,71,30
Mamadou Sakho,M. Sakho,183285,['CB'],France,Paris Saint-Germain,88,71,19,76,20,81,21,80,22,81,23,81,24,81,25,82,26,81,27,80,28,79,29,76,30,75,31
Toni Kroos,T. Kroos,182521,['CAM'],Germany,Bayer 04 Leverkusen,88,75,19,80,20,81,21,84,22,84,23,85,24,87,25,88,26,90,27,90,28,88,29,88,30,88,31
Sidnei,Sidnei,182002,['CB'],Brazil,SL Benfica,88,75,20,75,21,,,75,23,72,24,,,75,26,80,27,80,27,79,28,80,29,79,30,78,31
Sotiris Ninis,S. Ninis,181460,['RM'],Greece,Greece,88,75,19,77,20,75,21,75,22,73,23,,,74,25,73,26,69,27,,,,,,,,
David,David,180228,['CB'],Brazil,Flamengo,88,68,22,70,23,73,24,72,25,70,26,,,,,,,,,73,31,,,,,,
Miralem Pjanic,M. Pjanic,180206,['CAM'],Bosnia and Herzegovina,Olympique Lyonnais,88,75,19,79,20,79,21,77,22,78,23,83,24,84,25,85,26,85,27,86,28,86,29,85,30,82,31
Marko Marin,M. Marin,179546,['LM'],Germany,SV Werder Bremen,88,79,21,81,22,80,23,78,24,78,25,77,26,77,26,76,27,75,28,,,,,75,31,73,32
Mata,Mata,178088,['LW'],Spain,Valencia CF,88,82,21,82,22,85,23,86,24,87,25,85,26,84,27,84,28,84,29,83,30,82,31,79,32,78,33
Christian Benitez,C. Benítez,177035,['CF'],Ecuador,Birmingham City,88,77,23,74,24,76,25,76,26,,,,,,,,,,,,,,,,,,
Mesut Ozil,M. Özil,176635,['CAM'],Germany,SV Werder Bremen,88,80,20,83,21,86,22,87,23,87,24,86,25,87,26,89,27,88,28,86,29,84,30,82,31,80,32
Luis Suarez,L. Suárez,176580,['CF'],Uruguay,Ajax,88,82,22,82,23,85,24,86,25,86,26,89,27,90,28,92,29,92,30,91,31,89,32,87,33,88,34
Luca Cigarini,L. Cigarini,173146,['CM'],Italy,Napoli,88,77,23,76,24,74,25,77,26,78,27,77,28,78,29,77,30,76,31,75,32,74,33,73,34,,
Marek Hamsik,M. Hamšik,171877,['CAM'],Slovakia,Napoli,88,81,21,83,22,84,23,85,24,84,25,83,26,83,27,85,28,87,29,87,30,84,31,81,32,80,33
Blaise Matuidi,B. Matuidi,170890,['CDM'],France,AS Saint-Étienne,88,77,22,75,23,78,24,77,25,81,26,83,27,84,28,86,29,85,30,85,31,85,32,83,33,79,34
Erik Lamela,E. Lamela,170368,['ST'],Argentina,River Plate,88,60,17,59,18,74,19,77,20,81,21,78,22,79,23,81,24,80,25,80,26,80,27,80,28,78,29
Carlos Vela,C. Vela,169416,['ST'],Mexico,Arsenal,88,76,20,77,21,74,22,77,23,82,24,82,25,82,26,81,27,82,28,81,29,83,30,83,31,83,32
Renato Augusto,Renato Augusto,169195,['CAM'],Brazil,Bayer 04 Leverkusen,88,80,21,80,22,83,23,81,24,80,25,,,,,,,80,29,81,30,81,31,83,32,,
Zdravko Kuzmanovic,Z. Kuzmanović,168650,['CM'],Serbia,VfB Stuttgart,88,77,21,77,22,77,23,77,24,75,25,75,26,74,27,76,28,74,29,72,30,70,31,,,,
Mouhamadou Dabo,M. Dabo,168630,['RB'],France,AS Saint-Étienne,88,77,22,77,23,73,24,73,25,72,26,72,27,,,72,29,71,30,64,31,,,,,,
Emiliano Viviano,E. Viviano,168354,['GK'],Italy,Bologna,88,71,23,76,24,80,25,79,26,78,27,77,28,78,29,82,30,82,31,83,32,82,33,,,72,35
Theo Walcott,T. Walcott,164859,['RW'],England,Arsenal,88,81,20,81,21,82,22,81,23,81,24,81,25,81,26,81,27,80,28,79,29,77,30,76,31,76,32
Billy Sharp,B. Sharp,163050,['ST'],England,Sheffield United,88,64,23,70,24,70,25,73,26,72,27,70,28,68,29,69,30,70,31,70,32,74,33,73,34,72,35
Joao Moutinho,João Moutinho,162347,['CAM'],Portugal,Sporting CP,88,82,22,80,23,84,24,84,25,83,26,83,27,83,28,83,29,82,30,81,31,84,32,83,33,80,34
Hatem Ben Arfa,H. Ben Arfa,161648,['RW'],France,Olympique de Marseille,88,78,22,78,23,79,24,81,25,79,26,78,27,79,28,84,29,81,30,,,,,75,33,75,34
Ibrahim Afellay,I. Afellay,158372,['CAM'],Netherlands,PSV,88,80,23,79,24,82,25,81,26,79,27,76,28,77,29,79,30,78,31,75,32,74,33,,,,
Raul Albiol,Raúl Albiol,157481,['CB'],Spain,Real Madrid CF,88,83,23,83,24,82,25,81,26,80,27,80,28,81,29,82,30,82,31,84,32,83,33,82,34,82,35
Aiden Mcgeady,A. McGeady,155885,['LW'],Republic of Ireland,Celtic,88,80,23,80,24,81,25,82,26,79,27,78,28,76,29,75,30,75,31,73,32,73,33,71,34,70,35
Pique,Piqué,152729,['CB'],Spain,FC Barcelona,88,82,22,85,23,88,24,86,25,86,26,84,27,85,28,86,29,87,30,87,31,88,32,86,33,84,34
Guillermo Ochoa,G. Ochoa,140233,['GK'],Mexico,Mexico,88,80,23,79,24,76,25,77,26,78,27,80,28,80,29,80,30,79,31,77,32,78,33,79,34,80,35
Mehmet Topal,M. Topal,124635,['CDM'],Turkey,Galatasaray SK,88,77,23,77,24,78,25,77,26,,,78,28,79,29,80,30,80,31,77,32,76,33,74,34,72,35
Daniel Alberto Villalba,D. Villalba,190629,['CF'],Argentina,River Plate,87,61,16,68,17,65,18,66,19,69,20,69,21,70,22,73,23,73,24,72,25,71,26,,,,
Fabio,Fábio,189680,['LWB'],Brazil,Manchester United,87,72,18,75,19,75,20,75,21,75,22,72,23,74,24,74,25,74,26,71,27,72,28,73,29,72,30
Davide Santon,D. Santon,189484,['RWB'],Italy,Inter,87,78,18,77,19,75,20,75,21,75,22,75,23,76,24,76,25,76,26,75,27,75,28,75,29,74,30
Ezequiel Munoz,E. Muñoz,186695,['CB'],Argentina,Boca Juniors,87,56,18,72,19,74,20,75,21,73,22,71,23,72,24,73,25,73,26,71,27,72,28,,,70,30
Kieran Gibbs,K. Gibbs,186115,['LWB'],England,Arsenal,87,75,19,76,20,75,21,76,22,78,23,78,24,80,25,80,26,78,27,77,28,75,29,75,30,72,31
Batuhan Karadeniz,B. Karadeniz,185428,['ST'],Turkey,Beşiktaş JK,87,70,18,68,19,,,,,,,69,23,70,24,,,,,,,,,,,,
Sebastian Giovinco,S. Giovinco,184431,['CAM'],Italy,Juventus,87,81,22,77,23,81,24,82,25,79,26,76,27,81,28,83,29,82,30,82,31,81,32,80,33,76,34
John Bostock,J. Bostock,184387,['CM'],England,Tottenham Hotspur,87,70,17,67,18,65,19,68,20,,,,,66,23,69,24,71,25,70,26,71,27,69,28,67,29
Angel Di Maria,Á. Di María,183898,['LM'],Argentina,SL Benfica,87,78,21,82,22,84,23,86,24,86,25,86,26,85,27,87,28,85,29,84,30,86,31,87,32,87,33
Neven Subotic,N. Subotic,183556,['CB'],Serbia,Borussia Dortmund,87,78,20,78,21,82,22,81,23,82,24,82,25,80,26,78,27,77,28,78,29,77,30,72,31,,
Stevan Jovetic,S. Jovetić,181820,['CF'],Montenegro,Fiorentina,87,77,19,79,20,81,21,83,22,84,23,81,24,81,25,81,26,81,27,80,28,78,29,77,30,77,31
Carlos Eduardo,Carlos Eduardo,181392,['CAM'],Brazil,TSG Hoffenheim,87,78,21,79,22,81,23,80,24,76,25,71,26,73,27,,,,,,,,,,,,
Sami Khedira,S. Khedira,179846,['CDM'],Germany,VfB Stuttgart,87,78,22,80,23,81,24,83,25,84,26,84,27,83,28,83,29,84,30,84,31,83,32,81,33,,
Loic Remy,L. Remy,179527,['RF'],France,OGC Nice,87,77,22,78,23,82,24,83,25,79,26,80,27,81,28,81,29,77,30,78,31,77,32,,,75,34
Marouane Fellaini,M. Fellaini,176944,['CDM'],Belgium,Everton,87,80,21,81,22,79,23,81,24,81,25,79,26,78,27,78,28,79,29,79,30,76,31,75,32,75,33
Sergio Romero,S. Romero,173373,['GK'],Argentina,Argentina,87,77,22,78,23,77,24,77,25,76,26,72,27,76,28,79,29,80,30,80,31,80,32,80,33,79,34
Diego Capel,Diego Capel,171318,['LW'],Spain,Sevilla FC,87,80,21,79,22,78,23,80,24,79,25,77,26,76,27,76,28,,,71,30,,,,,,
Diego Buonanotte,D. Buonanotte,170719,['CAM'],Argentina,River Plate,87,75,21,76,22,77,23,75,24,73,25,73,26,,,76,28,,,77,30,75,31,74,32,76,33
Ramon,Ramon,168415,['CAM'],Brazil,Krylya Sovetov Samara,87,69,21,,,,,,,,,,,,,,,,,,,,,,,,
Yohan Cabaye,Y. Cabaye,167943,['CM'],France,LOSC Lille,87,77,23,78,24,80,25,81,26,82,27,81,28,79,29,81,30,79,31,,,76,33,,,,
Gonzalo Higuain,G. Higuaín,167664,['ST'],Argentina,Real Madrid CF,87,82,21,85,22,85,23,85,24,84,25,84,26,84,27,88,28,90,29,88,30,85,31,83,32,81,33
Fernando Gago,F. Gago,165517,['CM'],Argentina,Real Madrid CF,87,78,23,78,24,78,25,79,26,77,27,76,28,76,29,77,30,78,31,78,32,71,33,73,34,,
Jakub Blaszczykowski,J. Błaszczykowski,164994,['RW'],Poland,Borussia Dortmund,87,80,23,77,24,77,25,80,26,83,27,82,28,80,29,79,30,76,31,75,32,75,33,75,34,70,35
Chinedu Ogbuke Obasi,C. Obasi,164478,['ST'],Nigeria,TSG Hoffenheim,87,79,23,78,24,77,25,75,26,73,27,73,28,,,74,30,74,31,,,71,33,65,34,,
Gabriel Agbonlahor,G. Agbonlahor,164469,['ST'],England,Aston Villa,87,82,22,76,23,75,24,74,25,73,26,73,27,73,28,73,29,69,30,,,,,,,,
Bafetimbi Gomis,B. Gomis,159145,['ST'],France,Olympique Lyonnais,87,78,23,77,24,81,25,81,26,81,27,78,28,77,29,78,30,79,31,81,32,81,33,80,34,79,35
Manuel Fernandes,Manuel Fernandes,157960,['CM'],Portugal,Valencia CF,87,79,23,76,24,,,,,,,79,28,77,29,80,30,80,31,81,32,,,,,74,35
Ashley Young,A. Young,152908,['LW'],England,Aston Villa,87,84,23,83,24,85,25,82,26,82,27,78,28,80,29,79,30,75,31,80,32,77,33,77,34,78,35
Aaron Lennon,A. Lennon,152747,['RW'],England,Tottenham Hotspur,87,79,22,82,23,82,24,80,25,80,26,79,27,77,28,78,29,77,30,77,31,74,32,,,73,34
Gael Clichy,G. Clichy,152554,['LWB'],France,Arsenal,87,83,23,81,24,80,25,80,26,81,27,80,28,80,29,80,30,77,31,76,32,77,33,,,76,35
Ishak Belfodil,I. Belfodil,194728,['ST'],France,Olympique Lyonnais,86,66,17,66,18,67,19,69,20,75,21,73,22,,,,,75,25,76,26,79,27,77,28,74,29
Alexandr Kokorin,A. Kokorin,192086,['ST'],Russia,Dinamo Moscow,86,72,18,72,19,71,20,73,21,78,22,78,23,78,24,77,25,78,26,,,,,78,29,75,30
Matias De Federico,M. De Federico,191821,['CF'],Argentina,Sport Club Corinthians Paulista,86,74,20,72,20,,,,,69,23,,,71,25,,,,,,,,,,,,
Celso Borges,C. Borges,190799,['CAM'],Costa Rica,Fredrikstad FK,86,72,21,,,75,23,74,24,72,25,72,26,75,27,77,28,78,29,77,30,74,31,74,32,,
Carlos Darwin Quintero,C. Quintero,190607,['ST'],Colombia,Santos Laguna,86,73,21,74,22,73,23,74,24,74,25,72,26,68,27,73,28,73,29,75,30,76,31,75,32,73,33
Ryad Boudebouz,R. Boudebouz,188388,['CAM'],France,FC Sochaux-Montbéliard,86,67,19,72,20,75,21,77,22,76,23,74,24,76,25,79,26,81,27,80,28,78,29,76,30,74,31
Mario Balotelli,Mario Balotelli,186627,['ST'],Italy,Inter,86,81,18,81,19,81,20,84,21,84,22,82,23,80,24,79,25,82,26,83,27,82,28,79,29,76,30
Aaron Ramsey,A. Ramsey,186561,['CM'],Wales,Arsenal,86,74,18,76,19,77,20,77,21,77,22,83,23,82,24,84,25,82,26,82,27,83,28,82,29,80,30
Edgar Ivan Pacheco,E. Pacheco,186515,['CAM'],Mexico,Club Atlas,86,71,19,70,20,69,21,67,22,66,23,64,24,,,,,,,,,,,,,,
Andrea Poli,A. Poli,185174,['CM'],Italy,U.C. Sampdoria,86,71,19,75,20,75,21,77,22,75,23,78,24,77,25,76,26,75,27,77,28,77,29,76,30,75,31
Vincenzo Fiorillo,V. Fiorillo,185172,['GK'],Italy,U.C. Sampdoria,86,68,19,65,20,64,21,64,22,70,23,69,24,69,25,70,26,71,27,71,28,73,29,,,72,31
Davide Lanzafame,D. Lanzafame,184976,['RF'],Italy,Parma,86,72,22,76,23,74,24,72,25,,,,,70,28,69,29,,,,,,,,,,
Felipe Mattioni,Felipe Mattioni,184965,['RWB'],Brazil,RCD Mallorca,86,71,20,73,21,70,22,67,23,68,24,68,25,69,26,,,,,,,,,,,,
Sofiane Feghouli,S. Feghouli,184881,['CAM'],France,Grenoble Foot 38,86,72,19,76,20,73,21,80,22,81,23,81,24,81,25,80,26,79,27,79,28,80,29,79,30,76,31
Jack Rodwell,J. Rodwell,183465,['CDM'],England,Everton,86,75,18,77,19,76,20,77,21,77,22,76,23,76,24,76,25,74,26,,,,,,,67,30
Fabian Delph,F. Delph,183427,['CM'],England,Aston Villa,86,73,19,76,20,73,21,71,22,72,23,75,24,77,25,78,26,77,27,80,28,77,29,77,30,75,31
Breno,Breno,180955,['CB'],Brazil,FC Bayern München,86,74,19,75,20,75,21,,,,,,,75,25,,,,,,,,,,,,
David Luiz,David Luiz,179944,['CB'],Brazil,SL Benfica,86,76,22,81,23,82,24,79,25,82,26,82,27,83,28,84,29,86,30,83,31,83,32,80,33,,
Ever Banega,É. Banega,178562,['CM'],Argentina,Valencia CF,86,76,21,81,22,79,23,80,24,75,25,80,26,80,27,84,28,83,29,83,30,83,31,83,32,82,33
Robert Acquafresca,R. Acquafresca,178490,['ST'],Italy,Atalanta,86,78,21,75,22,75,23,73,24,72,25,68,26,68,27,70,28,69,29,67,30,,,,,,
Alessio Cerci,A. Cerci,178393,['LW'],Italy,Roma,86,75,21,75,22,78,23,75,24,81,25,80,26,77,27,76,28,75,29,,,72,31,,,,
Clement Chantome,C. Chantôme,177953,['CM'],France,Paris Saint-Germain,86,71,21,74,22,74,23,76,24,75,25,75,26,75,27,76,28,74,29,72,30,,,,,,
Vieirinha,Vieirinha,177553,['RW'],Portugal,PAOK,86,75,23,79,24,78,25,77,26,78,27,78,28,80,29,81,30,77,31,77,32,76,33,75,34,73,35
Serdar Tasci,S. Tasci,177519,['CB'],Germany,VfB Stuttgart,86,78,22,77,23,76,24,78,25,77,26,77,27,79,28,80,29,80,30,77,31,,,,,,
Lars Bender,L. Bender,177457,['CDM'],Germany,Bayer 04 Leverkusen,86,69,20,73,21,77,22,81,23,81,24,81,25,81,26,83,27,82,28,82,29,80,30,82,31,,
Dimitri Payet,D. Payet,177388,['LM'],France,AS Saint-Étienne,86,75,22,75,23,79,24,80,25,80,26,78,27,81,28,86,29,84,30,84,31,81,32,82,33,80,34
Marcus Berg,M. Berg,176733,['ST'],Sweden,Hamburger SV,86,77,22,77,23,75,24,73,25,71,26,77,27,78,28,80,29,80,30,78,31,77,32,76,33,75,34
Denilson,Denilson,176414,['CM'],Brazil,Arsenal,86,78,21,79,22,76,23,72,24,73,25,,,,,,,,,,,,,,,,
Domenico Criscito,D. Criscito,173208,['LWB'],Italy,Italy,86,77,22,78,23,81,24,81,25,80,26,78,27,80,28,79,29,80,30,81,31,79,32,78,33,76,34
Gabriele Paonessa,G. Paonessa,172705,['CAM'],Italy,Vicenza,86,67,22,68,23,68,24,64,25,,,,,,,,,,,,,,,,,,
Andrew Driver,A. Driver,170635,['LW'],England,Heart of Midlothian,86,78,21,76,22,69,23,69,24,67,25,67,26,66,27,,,,,,,,,,,,
Stephen Ireland,S. Ireland,170570,['CAM'],Republic of Ireland,Manchester City,86,80,22,80,23,77,24,77,25,76,26,76,27,75,28,76,29,72,30,70,31,,,,,,
Jonny Evans,J. Evans,169588,['CB'],Northern Ireland,Manchester United,86,76,21,77,22,75,23,77,24,79,25,79,26,78,27,79,28,79,29,78,30,79,31,80,32,80,33
Rafinha,Rafinha,168607,['RWB'],Brazil,FC Schalke 04,86,81,23,79,24,79,25,76,26,76,27,77,28,78,29,78,30,78,31,77,32,,,78,34,,
Ignazio Abate,I. Abate,168312,['RM'],Italy,AC Milan,86,76,22,76,23,78,24,81,25,78,26,74,27,78,28,78,29,78,30,78,31,,,,,,
Anton Shunin,A. Shunin,167575,['GK'],Russia,Dinamo Moscow,86,71,22,70,23,75,24,76,25,73,26,72,27,73,28,,,73,30,,,73,32,,,76,34
Oscar Ustari,O. Ustari,167435,['GK'],Argentina,Getafe CF,86,76,22,75,23,73,24,72,25,75,26,74,27,72,28,72,29,73,30,,,,,70,33,72,34
Falcao,Falcao,167397,['ST'],Colombia,FC Porto,86,78,23,82,24,86,25,88,26,90,27,88,28,83,29,81,30,84,31,85,32,83,33,80,34,78,35
Luizao,Luizão,165817,['CB'],Brazil,Cruzeiro,86,68,22,67,23,,,,,,,,,,,,,,,,,,,,,,
Stephane Mbia,S. M'Bia,164959,['CDM'],Cameroon,Olympique de Marseille,86,78,23,80,24,82,25,80,26,72,27,75,28,76,29,,,,,,,74,33,73,34,71,35
John Obi Mikel,John Obi Mikel,164477,['CDM'],Nigeria,Chelsea,86,81,22,82,23,81,24,80,25,79,26,78,27,77,28,78,29,,,76,31,73,32,72,33,,
Filipe,Filipe,164169,['LWB'],Brazil,Deportivo de La Coruña,86,81,23,81,24,80,25,79,26,82,27,82,28,82,29,85,30,85,31,85,32,,,,,,
Andrea Consigli,A. Consigli,163489,['GK'],Italy,Atalanta,86,74,22,69,23,73,24,77,25,80,26,78,27,79,28,83,29,82,30,82,31,81,32,81,33,81,34
Johan Djourou,J. Djourou,162893,['CB'],Switzerland,Arsenal,86,78,22,78,23,77,24,75,25,75,26,74,27,76,28,77,29,73,30,72,31,,,69,33,,
Giuseppe Rossi,G. Rossi,162409,['CF'],Italy,Villarreal CF,86,83,22,82,23,85,24,82,25,81,26,82,27,80,28,79,29,,,,,,,73,33,,
Jeremy Menez,J. Ménez,160766,['CAM'],France,Roma,86,79,22,79,23,81,24,81,25,77,26,78,27,81,28,79,29,77,30,73,31,71,32,,,,
Alexandre Song,A. Song,157503,['CDM'],Cameroon,Arsenal,86,79,21,82,22,82,23,83,24,83,25,79,26,79,27,77,28,77,29,,,71,31,,,,
Ryan Babel,R. Babel,157301,['LW'],Netherlands,Liverpool,86,80,22,77,23,77,24,76,25,,,75,27,,,,,75,30,79,31,78,32,77,33,76,34
Ederson,Ederson,156272,['CAM'],Brazil,Olympique Lyonnais,86,79,23,77,24,76,25,77,26,77,27,76,28,,,,,,,,,,,,,,
Per Ciljan Skjelbred,P. Skjelbred,152996,['CDM'],Norway,Rosenborg BK,86,72,22,75,23,78,24,72,25,72,26,74,27,75,28,78,29,78,30,77,31,76,32,76,33,74,34
Negredo,Negredo,146439,['ST'],Spain,Sevilla FC,86,81,23,80,24,82,25,82,26,83,27,83,28,81,29,80,30,79,31,78,32,,,76,34,78,35
Nani,Nani,139068,['LW'],Portugal,Manchester United,86,81,22,83,23,85,24,85,25,83,26,81,27,82,28,83,29,83,30,80,31,80,32,80,33,81,34
Alexis,Alexis,135742,['CB'],Spain,Valencia CF,86,80,23,78,24,77,25,76,26,75,27,74,28,76,29,75,30,76,31,74,32,70,33,,,,
Jimmy Briand,J. Briand,134779,['ST'],France,Stade Rennais FC,86,78,23,81,24,77,25,77,26,74,27,74,28,76,29,76,30,78,31,77,32,76,33,75,34,72,35
Pavel Yakovlev,P. Yakovlev,193895,['ST'],Russia,Spartak Moskva,85,66,18,67,19,70,20,71,21,71,22,73,23,72,24,72,25,70,26,,,,,,,,
Kevin Osei,K. Osei,193508,['CAM'],Ghana,Olympique de Marseille,85,58,18,58,19,,,59,21,59,22,,,60,24,,,,,,,,,,,,
Dudu,Dudu,192693,['CAM'],Brazil,Cruzeiro,85,67,17,,,,,,,,,,,77,23,,,,,,,,,,,,
