Player name,Known as,player_id,position,nationality,team,Fifa 14 Potential rating,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Christian Dannemann Eriksen,C. Eriksen,190460,"['CAM', 'CM']",Denmark,Ajax,88,82,21,83,22,83,23,84,24,87,25,88,26,88,27,85,28,82,29
Thomas Müller,T. Müller,189596,"['RM', 'CAM', 'CM']",Germany,FC Bayern München,88,85,23,86,24,86,25,87,26,86,27,86,28,86,29,86,30,87,31
Anthony Martial,A. Martial,211300,['ST'],France,AS Monaco,87,63,17,69,18,77,19,82,20,82,21,83,22,83,23,84,24,81,25
Mateo Kovačić,M. Kovačić,207410,"['CM', 'CAM']",Croatia,Inter,87,77,19,75,20,78,21,79,22,82,23,83,24,82,25,83,26,83,27
Paul Pogba,P. Pogba,195864,"['CM', 'CDM']",France,Juventus,87,79,20,83,21,86,22,88,23,87,24,88,25,88,26,86,27,87,28
David De Gea Quintana,De Gea,193080,['GK'],Spain,Manchester United,87,82,22,83,23,86,24,90,25,90,26,91,27,89,28,86,29,84,30
Marc-André ter Stegen,M. ter Stegen,192448,['GK'],Germany,Borussia Mönchengladbach,87,80,21,82,22,82,23,83,24,85,25,89,26,90,27,90,28,90,29
Stephan El Shaarawy,S. El Shaarawy,190813,"['LW', 'CF']",Italy,AC Milan,87,81,20,80,21,80,22,81,23,80,24,81,25,82,26,79,27,79,28
Oscar dos Santos Emboaba Júnior,Oscar,188152,"['CAM', 'RM']",Brazil,Chelsea,87,82,21,84,22,84,23,83,24,83,25,82,26,83,27,83,28,82,29
İlkay Gündoğan,İ. Gündoğan,186942,"['CM', 'CDM', 'CAM']",Germany,Borussia Dortmund,87,84,22,83,23,82,24,85,25,85,26,84,27,84,28,83,29,85,30
Toni Kroos,T. Kroos,182521,"['CAM', 'CM', 'CDM', 'LM']",Germany,FC Bayern München,87,84,23,85,24,87,25,88,26,90,27,90,28,88,29,88,30,88,31
Alexandre Rodrigues da Silva,Alexandre Pato,180175,"['ST', 'CF']",Brazil,Sport Club Corinthians Paulista,87,80,23,,,,,80,26,,,80,28,,,,,75,31
Ángel Martín Correa,Á. Correa,214997,"['CAM', 'RW', 'LW']",Argentina,San Lorenzo de Almagro,86,73,18,75,19,76,20,79,21,79,22,80,23,82,24,82,25,83,26
Juan Fernando Quintero Paniagua,J. Quintero,210513,['CAM'],Colombia,FC Porto,86,78,20,78,21,78,22,79,23,77,24,78,25,80,26,79,27,79,28
Leon Christoph Goretzka,L. Goretzka,209658,"['CM', 'CDM', 'RM', 'CAM']",Germany,FC Schalke 04,86,68,18,73,19,74,20,79,21,82,22,83,23,84,24,84,25,87,26
Leandro Daniel Paredes,L. Paredes,207439,['CAM'],Argentina,Boca Juniors,86,75,19,71,20,71,21,76,22,77,23,80,24,80,25,79,26,81,27
Bernard Anício Caldeira Duarte,Bernard,205525,['CAM'],Brazil,Brazil,86,80,20,80,21,78,22,79,23,79,24,,,80,26,78,27,,
Matija Nastasić,M. Nastasić,205362,['CB'],Serbia,Manchester City,86,77,20,77,21,79,22,80,23,80,24,81,25,80,26,77,27,74,28
Adryan Oliveira Tavares,Adryan,205008,"['CAM', 'CF', 'LW']",Brazil,Flamengo,86,70,18,70,19,71,20,,,71,22,71,23,71,24,,,68,26
Viktor Gorridsen Fischer,V. Fischer,203965,['LW'],Denmark,Ajax,86,74,19,75,20,77,21,74,22,75,23,76,24,78,25,74,26,70,27
Julian Draxler,J. Draxler,202166,"['CAM', 'LM']",Germany,FC Schalke 04,86,80,19,80,20,80,21,84,22,84,23,83,24,83,25,80,26,80,27
Adam Maher,A. Maher,200223,"['CAM', 'CM']",Netherlands,PSV,86,78,19,75,20,76,21,74,22,74,23,,,76,25,75,26,75,27
Luis Fernando Muriel Fruto,L. Muriel,199110,"['ST', 'CF']",Colombia,Udinese Calcio,86,80,22,73,23,74,24,76,25,80,26,79,27,80,28,79,29,82,30
Leandro Damião da Silva dos Santos,Leandro Damião,198213,['ST'],Brazil,Internacional,86,79,23,,,,,,,,,,,74,29,73,30,74,31
Xherdan Shaqiri,X. Shaqiri,193348,"['RM', 'LM', 'CAM']",Switzerland,FC Bayern München,86,80,21,80,22,80,23,82,24,82,25,81,26,82,27,81,28,79,29
Kevin De Bruyne,K. De Bruyne,192985,"['CAM', 'CM', 'LM', 'RM']",Belgium,Chelsea,86,80,22,81,23,86,24,88,25,89,26,91,27,91,28,91,29,91,30
Romelu Lukaku Menama,R. Lukaku,192505,['ST'],Belgium,Chelsea,86,77,20,80,21,80,22,84,23,86,24,87,25,85,26,85,27,88,28
Adem Ljajić,A. Ljajić,190544,"['CF', 'ST', 'LW']",Serbia,Roma,86,79,21,76,22,79,23,78,24,79,25,80,26,81,27,80,28,76,29
Eliaquim Mangala,E. Mangala,190531,"['CB', 'LB']",France,FC Porto,86,81,22,80,23,80,24,80,25,79,26,78,27,76,28,74,29,73,30
Thiago Alcântara do Nascimento,Thiago,189509,"['CAM', 'CM', 'CDM']",Spain,FC Bayern München,86,81,22,81,23,83,24,84,25,88,26,86,27,87,28,85,29,86,30
Philippe Coutinho Correia,Coutinho,189242,"['CAM', 'LM']",Brazil,Liverpool,86,80,21,81,22,84,23,85,24,86,25,88,26,86,27,83,28,82,29
Alan Dzagoev,A. Dzagoev,187735,"['LM', 'CAM']",Russia,PFC CSKA Moscow,86,79,23,79,24,79,25,81,26,80,27,80,28,77,29,76,30,76,31
Yann Gérard M'Vila,Y. M'Vila,187052,"['CDM', 'CM']",France,Rubin Kazan,86,79,23,78,24,78,25,79,26,78,27,79,28,80,29,79,30,79,31
Erik Lamela,E. Lamela,170368,"['RW', 'CAM']",Argentina,Tottenham Hotspur,86,81,21,78,22,79,23,81,24,80,25,80,26,80,27,80,28,78,29
Semih Kaya,S. Kaya,167812,['CB'],Turkey,Galatasaray SK,86,79,22,79,23,77,24,73,25,73,26,72,27,72,28,,,68,30
Cristian Harson Bonilla Garzón,C. Bonilla,214582,['GK'],Colombia,Atlético Nacional,85,74,20,67,21,68,22,70,23,69,24,70,25,68,26,68,27,68,28
Adrián Ricardo Centurión,A. Centurión,211267,"['LW', 'RW']",Argentina,Racing Club,85,74,20,74,21,,,72,23,74,24,79,25,77,26,77,27,75,28
Bernard Malanda-Adje,Junior Malanda,210248,['CDM'],Belgium,SV Zulte Waregem,85,71,18,73,19,,,,,,,,,,,,,,
Siebe Schrijvers,S. Schrijvers,209780,['ST'],Belgium,KRC Genk,85,61,16,65,17,69,18,71,19,73,20,72,21,75,22,73,23,72,24
Victor Andrade Santos,Victor Andrade,209736,"['CF', 'LW', 'RW']",Brazil,Santos,85,67,17,,,73,19,73,20,71,21,,,,,,,,
Frederico Rodrigues de Paula Santos,Fred,209297,['CAM'],Brazil,Shakhtar Donetsk,85,74,20,73,21,78,22,79,23,80,24,82,25,79,26,81,27,81,28
Óliver Torres Muñoz,Oliver Torres,208777,"['CAM', 'CM']",Spain,Atlético de Madrid,85,74,18,74,19,79,20,79,21,79,22,78,23,78,24,77,25,77,26
Nicolás Federico López Alonso,N. López,207715,['ST'],Uruguay,Udinese Calcio,85,72,19,72,20,74,21,,,,,,,,,73,26,76,27
Luciano Darío Vietto,L. Vietto,207441,"['ST', 'CAM']",Argentina,Racing Club,85,72,19,74,20,79,21,79,22,79,23,76,24,74,25,78,26,75,27
Yassine Benzia,Y. Benzia,206436,['ST'],France,Olympique Lyonnais,85,67,18,66,19,67,20,73,21,76,22,75,23,73,24,71,25,70,26
Mattia De Sciglio,M. De Sciglio,206058,"['RB', 'LB']",Italy,AC Milan,85,77,20,76,21,76,22,76,23,76,24,78,25,77,26,78,27,76,28
Luke Shaw,L. Shaw,205988,['LB'],England,Southampton,85,70,17,75,18,77,19,80,20,79,21,78,22,81,23,81,24,84,25
Nathaniel Chalobah,N. Chalobah,205897,"['CDM', 'CB', 'CM']",England,Chelsea,85,70,18,68,19,68,20,68,21,75,22,76,23,75,24,74,25,74,26
Jürgen Locadia,J. Locadia,204366,['ST'],Netherlands,PSV,85,73,19,73,20,75,21,76,22,76,23,76,24,76,25,75,26,71,27
Kurt Happy Zouma,K. Zouma,204311,"['CB', 'RB']",France,AS Saint-Étienne,85,74,18,74,19,77,20,80,21,79,22,78,23,80,24,80,25,81,26
Tonny Emilio Trindade de Vilhena,T. Vilhena,203535,['CM'],Netherlands,Feyenoord,85,73,18,73,19,73,20,76,21,78,22,77,23,78,24,,,76,26
Jack Butland,J. Butland,203042,['GK'],England,Stoke City,85,71,20,72,21,74,22,82,23,81,24,81,25,78,26,74,27,73,28
Gustavo Lucas Domingues Piazón,Lucas Piazon,203038,"['CAM', 'LM', 'CM']",Brazil,Vitesse,85,73,19,76,20,75,21,74,22,74,23,73,24,72,25,71,26,75,27
Fernando Lucas Martins,Fernando,202642,"['CDM', 'CM']",Brazil,Brazil,85,76,21,76,22,76,23,78,24,79,25,78,26,78,27,79,28,77,29
Ola John,O. John,202101,"['LM', 'RM']",Netherlands,SL Benfica,85,77,21,74,22,75,23,74,24,,,72,26,73,27,71,28,71,29
Juan Manuel Sánchez Miño,J. Sánchez Miño,201953,"['LM', 'CM', 'LB']",Argentina,Boca Juniors,85,75,23,74,24,74,25,73,26,72,27,74,28,74,29,75,30,74,31
Ahmed Musa,A. Musa,201818,"['ST', 'RM', 'CAM']",Nigeria,PFC CSKA Moscow,85,76,20,75,21,76,22,78,23,76,24,75,25,73,26,73,27,72,28
Nicola Leali,N. Leali,201299,['GK'],Italy,Spezia,85,72,20,71,21,72,22,73,23,71,24,70,25,70,26,,,,
Juan Manuel Iturbe Arévalo,J. Iturbe,199151,"['LW', 'RW']",Argentina,FC Porto,85,74,20,77,21,77,22,77,23,76,24,76,25,72,26,72,27,,
Alex Oxlade-Chamberlain,A. Oxlade-Chamberlain,198784,"['RW', 'LW', 'CAM']",England,Arsenal,85,77,19,78,20,79,21,79,22,80,23,80,24,80,25,79,26,79,27
Lorenzo Insigne,L. Insigne,198219,"['CF', 'LW', 'CAM']",Italy,Napoli,85,76,22,78,23,81,24,83,25,85,26,88,27,87,28,85,29,86,30
Aymen Abdennour,A. Abdennour,198076,['CB'],Tunisia,Toulouse Football Club,85,79,23,80,24,81,25,80,26,77,27,73,28,72,29,,,,
Gilbert Gianelli Imbula Wanga,G. Imbula,197681,['CDM'],France,Olympique de Marseille,85,74,20,73,21,77,22,79,23,77,24,75,25,75,26,,,68,28
Ishak Belfodil,I. Belfodil,194728,"['ST', 'LW']",Algeria,Inter,85,75,21,73,22,,,,,75,25,76,26,79,27,77,28,74,29
Filip Đuričić,F. Đuričić,193881,"['LW', 'CAM']",Serbia,SL Benfica,85,77,21,75,22,76,23,76,24,74,25,74,26,74,27,75,28,76,29
André Schürrle,A. Schürrle,193130,['LM'],Germany,Chelsea,85,80,22,81,23,80,24,81,25,80,26,78,27,76,28,,,,
Bernd Leno,B. Leno,192563,['GK'],Germany,Bayer 04 Leverkusen,85,80,21,82,22,84,23,86,24,85,25,84,26,84,27,85,28,83,29
Asier Illarramendi Andonegi,Illarramendi,190584,"['CM', 'CAM']",Spain,Real Madrid CF,85,80,23,79,24,79,25,79,26,81,27,84,28,83,29,80,30,79,31
Nicolas N'Koulou,N. Nkoulou,188829,['CB'],Cameroon,Olympique de Marseille,85,81,23,79,24,81,25,81,26,78,27,80,28,81,29,80,30,76,31
Clément Grenier,C. Grenier,187924,"['CAM', 'CM']",France,Olympique Lyonnais,85,78,22,77,23,78,24,77,25,75,26,78,27,78,28,73,29,,
Paulo Henrique Chagas de Lima,Ganso,187688,"['CAM', 'CM']",Brazil,São Paulo,85,77,23,,,,,81,26,80,27,75,28,,,,,,
Kyriakos Papadopoulos,K. Papadopoulos,184477,"['CB', 'CDM']",Greece,FC Schalke 04,85,78,21,78,22,79,23,79,24,79,25,78,26,76,27,,,71,29
Christian Benteke Liolo,C. Benteke,184111,['ST'],Belgium,Aston Villa,85,79,22,80,23,82,24,81,25,81,26,78,27,75,28,72,29,75,30
André Morgan Rami Ayew,A. Ayew,176571,['LM'],Ghana,Olympique de Marseille,85,80,23,78,24,79,25,80,26,80,27,77,28,76,29,76,30,,
Federico Nicolás Cartabia,F. Cartabia,216796,"['RW', 'LW', 'CAM']",Argentina,Valencia CF,84,71,20,74,21,75,22,77,23,76,24,76,25,,,,,,
Gerónimo Rulli,G. Rulli,215316,['GK'],Argentina,Estudiantes de La Plata,84,66,21,76,22,78,23,82,24,83,25,81,26,81,27,82,28,80,29
Levin Mete Öztunali,L. Öztunali,213134,"['CDM', 'CM']",Germany,Bayer 04 Leverkusen,84,60,17,62,18,71,19,74,20,76,21,74,22,73,23,73,24,72,25
Gabriel Barbosa Almeida,Gabriel,212823,"['CF', 'ST']",Brazil,Santos,84,66,16,,,,,,,76,20,,,81,22,,,,
Vinícius Vasconcelos Araújo,Vinícius Araújo,212785,['ST'],Brazil,Cruzeiro,84,72,20,,,,,,,70,24,,,,,,,,
Rafael Lima Pereira,Rafinha,212764,"['LW', 'ST']",Brazil,Flamengo,84,72,20,,,69,22,,,,,,,,,,,68,28
Maximilian Meyer,M. Meyer,212150,"['CAM', 'LM', 'RM']",Germany,FC Schalke 04,84,65,17,75,18,78,19,80,20,79,21,79,22,78,23,76,24,72,25
Lazar Marković,L. Marković,212125,"['CF', 'LM']",Serbia,SL Benfica,84,74,19,78,20,77,21,78,22,76,23,75,24,,,,,,
Paulo Bruno Exequiel Dybala,P. Dybala,211110,"['CF', 'CAM']",Argentina,Palermo,84,72,19,70,20,78,21,85,22,88,23,89,24,88,25,88,26,87,27
Fabian Lukas Schär,F. Schär,210047,['CB'],Switzerland,FC Basel 1893,84,71,21,75,22,78,23,77,24,75,25,75,26,79,27,78,28,76,29
Nabil Ghilas,N. Ghilas,209473,['ST'],Algeria,FC Porto,84,76,23,75,24,78,25,,,72,27,71,28,70,29,,,,
Mohamed Salah Ghaly,M. Salah,209331,"['RM', 'CAM', 'CF', 'LM']",Egypt,FC Basel 1893,84,74,21,76,22,80,23,81,24,83,25,88,26,90,27,90,28,89,29
Nathan Aké,N. Aké,208920,"['CB', 'CDM']",Netherlands,Chelsea,84,67,18,67,19,69,20,72,21,75,22,79,23,80,24,79,25,78,26
Samuele Longo,S. Longo,208251,"['ST', 'CF']",Italy,Hellas Verona,84,69,21,68,22,72,23,69,24,71,25,73,26,71,27,68,28,,
Imoh Ezekiel,I. Ezekiel,208022,['ST'],Nigeria,Standard de Liège,84,72,19,,,75,21,,,75,23,,,68,25,65,26,,
Patricio Julián Rodríguez,P. Rodríguez,207454,"['RM', 'CAM']",Argentina,Estudiantes de La Plata,84,75,23,,,,,,,71,27,,,69,29,68,30,72,31
Jack Grealish,J. Grealish,206517,"['LM', 'CAM']",Republic of Ireland,Aston Villa,84,62,17,65,18,72,19,72,20,73,21,74,22,77,23,80,24,84,25
Vlad Iulian Chiricheș,V. Chiricheş,205943,"['CB', 'LB']",Romania,Tottenham Hotspur,84,75,23,76,24,77,25,77,26,77,27,78,28,77,29,74,30,73,31
James Ward-Prowse,J. Ward-Prowse,205569,['CM'],England,Southampton,84,70,18,74,19,74,20,76,21,78,22,77,23,79,24,79,25,81,26
Jean-Paul Boëtius,J. Boëtius,205402,['LW'],Netherlands,Feyenoord,84,73,19,75,20,74,21,74,22,76,23,74,24,78,25,76,26,75,27
Karim Rekik,K. Rekik,205193,"['CB', 'LB']",Netherlands,PSV,84,73,18,73,19,75,20,73,21,73,22,79,23,78,24,75,25,74,26
Segundo Víctor Ibarbo Guerrero,V. Ibarbo,204550,"['ST', 'RW']",Colombia,Cagliari,84,77,23,75,24,78,25,75,26,72,27,72,28,67,29,,,,
José Élber Pimentel da Silva,Elber,204344,"['CAM', 'LW']",Brazil,Cruzeiro,84,69,21,,,,,,,,,,,,,,,69,29
M'Baye Babacar Niang,M. Niang,204077,"['RW', 'ST', 'CF', 'RM']",Senegal,AC Milan,84,75,18,74,19,74,20,78,21,78,22,77,23,77,24,78,25,76,26
Kelvin Mateus de Oliveira,Kelvin,203846,"['RW', 'LW', 'CAM']",Brazil,FC Porto,84,74,20,73,21,,,73,23,,,,,,,,,,
Weverson Leandro Oliveira Moura,Leandro,203431,"['ST', 'CF']",Brazil,Palmeiras,84,75,20,,,,,,,67,24,67,25,67,26,68,27,72,28
André Martín Carrillo Díaz,A. Carrillo,203299,"['RW', 'LW']",Peru,Sporting CP,84,77,22,77,23,80,24,80,25,77,26,78,27,78,28,79,29,79,30
Wellington Silva Sanches Aguiar,Wellington Nem,203279,"['ST', 'CF', 'CAM']",Brazil,Shakhtar Donetsk,84,72,21,74,22,73,23,75,24,,,75,26,,,,,70,29
Raheem Sterling,R. Sterling,202652,"['LW', 'RW']",England,Liverpool,84,76,18,80,19,82,20,82,21,82,22,85,23,88,24,88,25,88,26
Eric Dier,E. Dier,202335,"['CB', 'CDM']",England,Sporting CP,84,73,19,73,20,74,21,78,22,82,23,80,24,79,25,78,26,79,27
Felipe Anderson Pereira Gomes,Felipe Anderson,201995,"['CAM', 'LM']",Brazil,Lazio,84,73,20,73,21,79,22,79,23,81,24,82,25,84,26,81,27,78,28
Roberto Firmino Barbosa de Oliveira,Roberto Firmino,201942,"['CAM', 'RM', 'LM', 'CF']",Brazil,TSG Hoffenheim,84,78,21,81,22,82,23,82,24,83,25,86,26,86,27,87,28,85,29
Gastón Exequiel Ramírez Pereyra,G. Ramirez,201508,"['CAM', 'RM', 'LM']",Uruguay,Southampton,84,80,22,78,23,78,24,78,25,78,26,79,27,78,28,77,29,77,30
Geoffrey Edwin Kondogbia,G. Kondogbia,201455,"['CDM', 'CM']",France,France,84,78,20,75,21,78,22,76,23,76,24,82,25,81,26,79,27,79,28
Mauro Emanuel Icardi Rivero,M. Icardi,201399,"['ST', 'CF']",Argentina,Inter,84,75,20,76,21,79,22,82,23,84,24,87,25,85,26,85,27,83,28
Pedro Mba Obiang Avomo,Pedro Obiang,200054,"['CM', 'CAM', 'CDM']",Spain,U.C. Sampdoria,84,74,21,73,22,74,23,76,24,77,25,77,26,77,27,76,28,75,29
Marco van Ginkel,M. van Ginkel,199767,['CM'],Netherlands,Chelsea,84,76,20,76,21,75,22,77,23,78,24,79,25,77,26,75,27,76,28
Adrián Ezequiel Cirigliano,E. Cirigliano,199666,"['CDM', 'CM']",Argentina,Hellas Verona,84,72,21,72,22,69,23,,,,,,,,,,,66,29
Dennis Praet,D. Praet,199652,['CAM'],Belgium,RSC Anderlecht,84,72,19,72,20,77,21,78,22,76,23,76,24,76,25,76,26,78,27
Sergio Roberto Carnicer,Sergi Roberto,199564,"['CM', 'CDM']",Spain,FC Barcelona,84,74,21,75,22,78,23,79,24,81,25,84,26,82,27,83,28,81,29
Ross Barkley,R. Barkley,199189,"['CAM', 'CM', 'RM']",England,Everton,84,72,19,78,20,79,21,81,22,81,23,79,24,79,25,78,26,78,27
Lacina Emeghara Traoré,L. Traoré,199074,['ST'],Côte d'Ivoire,FC Anzhi Makhachkala,84,78,22,78,24,75,25,75,26,74,27,,,70,29,,,,
Wilfried Zaha,W. Zaha,198717,"['RW', 'LW', 'ST']",England,Manchester United,84,74,20,72,21,77,22,79,23,81,24,82,25,83,26,83,27,82,28
Rodrigo Moreno Machado,Rodrigo,198329,"['ST', 'CF']",Spain,SL Benfica,84,77,22,80,23,79,24,78,25,78,26,84,27,83,28,82,29,79,30
Sergio Ezequiel Araújo,S. Araujo,198145,"['CF', 'ST', 'LM']",Argentina,Club Atlético Tigre,84,73,21,68,22,75,23,75,24,74,25,74,26,70,27,69,28,72,29
Luís Miguel Afonso Fernandes,Pizzi,197965,"['LM', 'CAM']",Portugal,RCD Espanyol de Barcelona,84,76,23,76,24,79,25,81,26,82,27,83,28,84,29,84,30,81,31
David Olatukunbo Alaba,D. Alaba,197445,"['LB', 'CM', 'CDM', 'LM']",Austria,FC Bayern München,84,81,21,82,22,85,23,87,24,86,25,85,26,85,27,84,28,84,29
Phil Jones,P. Jones,194957,"['RB', 'CB', 'CM', 'CDM']",England,Manchester United,84,78,21,79,22,80,23,79,24,79,25,80,26,79,27,75,28,74,29
Antoine Griezmann,A. Griezmann,194765,"['LW', 'CAM', 'RW']",France,Real Sociedad,84,80,22,82,23,83,24,88,25,88,26,89,27,89,28,87,29,85,30
Jorge Resurrección Merodio,Koke,193747,"['CAM', 'RM', 'CM']",Spain,Atlético de Madrid,84,81,21,82,22,83,23,84,24,84,25,85,26,85,27,85,28,85,29
Mattia Destro,M. Destro,193338,['ST'],Italy,Roma,84,76,22,77,23,78,24,78,25,76,26,76,27,75,28,71,29,74,30
Ricardo Goulart Pereira,Ricardo Goulart,192064,"['CAM', 'CF']",Brazil,Cruzeiro,84,75,22,,,,,,,,,79,27,,,80,29,79,30
Alex Sandro Lobo Silva,Alex Sandro,191043,['LB'],Brazil,FC Porto,84,79,22,79,23,82,24,84,25,86,26,86,27,85,28,85,29,83,30
Eduardo Salvio,E. Salvio,190972,['RM'],Argentina,SL Benfica,84,79,22,79,23,80,24,79,25,80,26,81,27,80,28,81,29,80,30
Jeroen Zoet,J. Zoet,190778,['GK'],Netherlands,PSV,84,75,22,77,23,78,24,80,25,79,26,80,27,80,28,76,29,75,30
Douglas Costa De Souza,Douglas Costa,190483,"['CAM', 'RW', 'LW']",Brazil,Shakhtar Donetsk,84,78,22,80,23,81,24,84,25,82,26,86,27,84,28,84,29,,
Sergio Canales Madrazo,Sergio Canales,190286,"['CAM', 'LM', 'CF']",Spain,Valencia CF,84,77,22,77,23,79,24,79,25,79,26,79,27,84,28,82,29,83,30
Luuk De Jong,L. de Jong,189805,"['ST', 'CAM']",Netherlands,Borussia Mönchengladbach,84,78,22,75,23,79,24,79,25,76,26,78,27,82,28,80,29,79,30
Kevin Strootman,K. Strootman,189712,['CM'],Netherlands,Roma,84,79,23,81,24,80,25,81,26,84,27,83,28,80,29,77,30,76,31
Vladimir Weiss,V. Weiss,189679,"['LW', 'RW', 'CAM', 'LM']",Slovakia,Olympiacos CFP,84,79,23,,,,,,,,,,,,,,,,
Giacomo Bonaventura,G. Bonaventura,189125,"['LM', 'CAM']",Italy,Atalanta,84,79,23,79,24,78,25,82,26,83,27,82,28,82,29,80,30,78,31
Lewis Holtby,L. Holtby,188154,"['CAM', 'CM', 'CDM', 'RM']",Germany,Tottenham Hotspur,84,78,22,77,23,76,24,78,25,77,26,76,27,,,72,29,71,30
Omar El Kaddouri,O. El Kaddouri,187702,"['CAM', 'CF']",Morocco,Torino F.C.,84,73,22,74,23,77,24,78,25,78,26,76,27,76,28,73,29,73,30
Sofiane Feghouli,S. Feghouli,184881,"['RM', 'CAM', 'LM']",Algeria,Valencia CF,84,81,23,81,24,81,25,80,26,79,27,79,28,80,29,79,30,76,31
Albin Ekdal,A. Ekdal,181318,['CM'],Sweden,Sweden,84,75,23,74,24,75,25,76,26,76,27,76,28,76,29,75,30,76,31
Miralem Pjanic,M. Pjanić,180206,"['CM', 'CAM']",Bosnia and Herzegovina,Roma,84,78,23,83,24,84,25,85,26,85,27,86,28,86,29,85,30,82,31
Bojan Krkic Perez,Bojan,176993,"['RW', 'ST', 'LW']",Spain,Ajax,84,79,22,77,23,81,24,82,25,79,26,75,27,74,28,73,29,71,30
Sebastian Cristoforo,S. Cristóforo,219712,"['CDM', 'CM']",Uruguay,Sevilla FC,83,73,19,71,20,71,21,78,22,76,23,75,24,75,25,74,26,74,27
Rafael Silva,Rafa,216547,"['RW', 'LW']",Portugal,SC Braga,83,71,20,77,21,78,22,80,23,78,24,79,25,82,26,83,27,82,28
Tin Jedvaj,T. Jedvaj,215930,"['CB', 'CDM', 'RB']",Croatia,Roma,83,69,17,66,18,75,19,75,20,76,21,76,22,75,23,75,24,73,25
Martin Tonso,M. Tonso,215080,['RW'],Argentina,Newell's Old Boys,83,74,23,70,24,70,25,70,26,,,,,,,,,,
Diego Laxalt,D. Laxalt,213400,['CM'],Uruguay,Bologna,83,68,20,68,21,70,22,74,23,78,24,78,25,78,26,77,27,73,28
Jonathan Tah,J. Tah,213331,"['CB', 'RB']",Germany,Hamburger SV,83,60,17,68,18,73,19,79,20,82,21,83,22,83,23,79,24,78,25
Joao Mario Ndc Eduardo,João Mário,212814,['CM'],Portugal,Sporting CP,83,71,20,73,21,78,22,83,23,83,24,81,25,81,26,80,27,80,28
