Player name,Known as,player_id,position,nationality,team,Fifa 18 Potential rating,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Alex Meret,A. Meret,225116,['GK'],Italy,SPAL,88,74,20,75,21,78,22,78,23,79,24
Daniel Ceballos Fernandez,Dani Ceballos,222509,"['CM', 'LM', 'CDM', 'CAM']",Spain,Real Madrid CF,88,78,20,78,21,81,22,80,23,77,24
Breel Embolo,B. Embolo,222357,"['ST', 'RW']",Switzerland,FC Schalke 04,88,76,20,76,21,76,22,78,23,77,24
Naby Keita,N. Keïta,220971,"['CM', 'CDM', 'CAM']",Guinea,RB Leipzig,88,83,22,83,23,82,24,81,25,80,26
Davinson Sanchez,D. Sánchez,220793,['CB'],Colombia,Ajax,88,81,21,84,22,83,23,81,24,79,25
Tiemoue Bakayoko,T. Bakayoko,219809,"['CDM', 'CM']",France,Chelsea,88,82,22,80,23,80,24,79,25,79,26
Jonathan Tah,J. Tah,213331,['CB'],Germany,Bayer 04 Leverkusen,88,82,21,83,22,83,23,79,24,78,25
Federico Bernardeschi,F. Bernardeschi,212404,"['RM', 'CF', 'LM']",Italy,Juventus,88,82,23,82,24,83,25,80,26,79,27
Julian Brandt,J. Brandt,212194,"['LM', 'RM', 'CAM']",Germany,Bayer 04 Leverkusen,88,80,21,82,22,84,23,84,24,81,25
Andre Filipe Tavares Gomes,André Gomes,211575,"['CM', 'LW', 'CAM']",Portugal,FC Barcelona,88,82,23,80,24,80,25,79,26,77,27
Daniele Rugani,D. Rugani,211320,['CB'],Italy,Juventus,88,80,22,82,23,82,24,80,25,77,26
Leon Goretzka,L. Goretzka,209658,"['CM', 'CAM', 'CDM']",Germany,FC Schalke 04,88,82,22,83,23,84,24,84,25,87,26
Fabio Henrique Tavares,Fabinho,209499,['CDM'],Brazil,AS Monaco,88,83,23,85,24,85,25,87,26,86,27
Mateo Kovacic,M. Kovačić,207410,"['CM', 'CDM']",Croatia,Real Madrid CF,88,82,23,83,24,82,25,83,26,83,27
Samuel Umtiti,S. Umtiti,205600,['CB'],France,FC Barcelona,88,83,23,87,24,86,25,83,26,80,27
Hector Bellerin Moruno,Héctor Bellerín,203747,['RB'],Spain,Arsenal,88,81,22,80,23,80,24,80,25,78,26
Federico Chiesa,F. Chiesa,235805,"['RM', 'CF']",Italy,Fiorentina,87,75,19,77,20,79,21,78,22,83,23
Marcus Edwards,M. Edwards,235619,"['RM', 'CAM']",England,Tottenham Hotspur,87,65,18,67,19,69,20,77,21,76,22
Ismaila Sarr,I. Sarr,235353,"['LM', 'LW', 'RM']",Senegal,Stade Rennais FC,87,73,19,76,20,78,21,78,22,78,23
Patrik Schick,P. Schick,234236,['ST'],Czech Republic,Czech Republic,87,77,21,77,22,76,23,78,24,79,25
Amath Ndiaye Diedhiou,A. Ndiaye Diedhiou,233631,"['ST', 'LM', 'CAM']",Senegal,Getafe CF,87,74,20,77,21,76,22,76,23,76,24
Carles Alena Castillo,Aleñà,233113,"['CM', 'CAM', 'CDM']",Spain,FC Barcelona,87,71,19,70,20,76,21,74,22,74,23
Issa Diop,I. Diop,231633,['CB'],France,Toulouse Football Club,87,76,20,76,21,78,22,77,23,77,24
Amadou Diawara,A. Diawara,230613,"['CDM', 'CM']",Guinea,Napoli,87,77,19,77,20,75,21,75,22,76,23
Viktor Kovalenko,V. Kovalenko,228698,"['CAM', 'CM']",Ukraine,Shakhtar Donetsk,87,75,21,74,22,74,23,73,24,73,25
Nelson Cabral Semedo,Nélson Semedo,227928,['RB'],Portugal,FC Barcelona,87,81,23,80,24,82,25,83,26,80,27
Lucas Tousart,L. Tousart,227234,"['CDM', 'CM']",France,Olympique Lyonnais,87,78,20,79,21,78,22,76,23,76,24
Jakub Jankto,J. Jankto,226592,"['CM', 'LM']",Czech Republic,Udinese Calcio,87,76,21,76,22,75,23,74,24,74,25
Julian Weigl,J. Weigl,222028,"['CDM', 'CM']",Germany,Borussia Dortmund,87,81,21,80,22,80,23,79,24,79,25
Lucas Hernandez,L. Hernández,220814,"['CB', 'LB']",France,Atlético de Madrid,87,76,21,82,22,84,23,82,24,83,25
Mahmoud Dahoud,M. Dahoud,218339,"['CM', 'CDM']",Germany,Borussia Dortmund,87,79,21,79,22,78,23,76,24,79,25
Jose Maria Gimenez,J. Giménez,216460,['CB'],Uruguay,Atlético de Madrid,87,83,22,84,23,85,24,84,25,84,26
Inaki Williams Arthuer,Williams,216201,"['RW', 'ST', 'LW']",Spain,Athletic Club de Bilbao,87,81,23,81,24,82,25,81,26,81,27
Angel Correa,Á. Correa,214997,"['ST', 'CAM', 'RM', 'RW']",Argentina,Atlético de Madrid,87,79,22,80,23,82,24,82,25,83,26
Wylan Cyprien,W. Cyprien,212886,"['CM', 'CDM', 'CAM']",France,OGC Nice,87,79,22,78,23,77,24,77,25,73,26
Joshua Kimmich,J. Kimmich,212622,"['RB', 'CM', 'CB', 'CDM']",Germany,FC Bayern München,87,81,22,85,23,86,24,88,25,89,26
Diego Javier Llorente Rios,Diego Llorente,212602,"['CB', 'CDM']",Spain,Real Sociedad,87,79,23,76,24,77,25,76,26,77,27
Timo Werner,T. Werner,212188,['ST'],Germany,RB Leipzig,87,82,21,83,22,83,23,85,24,84,25
Domenico Berardi,D. Berardi,210935,['RW'],Italy,U.S. Sassuolo Calcio,87,81,22,78,23,78,24,80,25,82,26
Morgan Sanson,M. Sanson,210896,"['CM', 'CDM']",France,Olympique de Marseille,87,81,22,80,23,79,24,79,25,76,26
Alessio Romagnoli,A. Romagnoli,210413,['CB'],Italy,AC Milan,87,79,22,82,23,83,24,83,25,82,26
Piotr Zielinski,P. Zieliński,210406,"['CM', 'CAM']",Poland,Napoli,87,80,23,80,24,81,25,80,26,81,27
Alejandro Grimaldo Garcia,Grimaldo,210035,['LB'],Spain,SL Benfica,87,80,21,81,22,83,23,84,24,82,25
Serge Gnabry,S. Gnabry,206113,"['LM', 'RM']",Germany,TSG Hoffenheim,87,79,21,82,22,84,23,85,24,85,25
Denis Suarez Fernandez,Denis Suárez,205192,"['CM', 'LM', 'RM']",Spain,FC Barcelona,87,80,23,79,24,78,25,78,26,78,27
Raheem Sterling,R. Sterling,202652,"['RW', 'RM', 'LM']",England,Manchester City,87,82,22,85,23,88,24,88,25,88,26
Jesus Joaquin Fernandez Saez,Suso,202651,['RW'],Spain,AC Milan,87,82,23,82,24,82,25,81,26,82,27
Eric Dier,E. Dier,202335,"['CB', 'CDM']",England,Tottenham Hotspur,87,82,23,80,24,79,25,78,26,79,27
Julian Draxler,J. Draxler,202166,"['LW', 'CAM', 'LM']",Germany,Paris Saint-Germain,87,84,23,83,24,83,25,80,26,80,27
Kwang Song Han,Han Kwang Song,238232,['ST'],Korea DPR,Perugia,86,67,18,68,19,70,20,,,,
Justin Kluivert,J. Kluivert,236920,"['RW', 'LW']",Netherlands,Ajax,86,73,18,75,19,75,20,74,21,76,22
Douglas Luiz Soares De Paulo,Douglas Luiz,236499,"['CM', 'CDM']",Brazil,Girona FC,86,73,19,73,20,74,21,75,22,77,23
Marko Rog,M. Rog,236311,"['CAM', 'CM']",Croatia,Napoli,86,76,21,76,22,75,23,75,24,74,25
Tanguy Ndombele,T. Ndombele,235569,"['CDM', 'CAM']",France,Amiens SC,86,72,20,78,21,81,22,80,23,82,24
Christian Fruchtl,C. Früchtl,235266,['GK'],Germany,FC Bayern München,86,65,17,65,18,65,19,66,20,66,21
Timothy Fosu Mensah,T. Fosu-Mensah,232270,"['RB', 'CB', 'CDM']",Netherlands,Crystal Palace,86,74,19,76,20,73,21,73,22,73,23
Santiago Ascacibar,S. Ascacibar,232244,['CDM'],Argentina,Estudiantes de La Plata,86,73,20,78,21,76,22,76,23,74,24
Joris Gnagnon,J. Gnagnon,231361,['CB'],Côte d'Ivoire,Stade Rennais FC,86,75,20,77,21,75,22,76,23,74,24
Tammy Abraham,T. Abraham,231352,['ST'],England,Swansea City,86,73,19,74,20,76,21,78,22,78,23
Kelvin Amian Adou,K. Amian Adou,231235,['RB'],France,Toulouse Football Club,86,73,19,75,20,75,21,75,22,73,23
Franck Yannick Kessie,F. Kessié,230938,"['CM', 'CDM']",Côte d'Ivoire,AC Milan,86,76,20,78,21,79,22,77,23,84,24
Renato Junior Luz Sanches,Renato Sanches,230767,['CM'],Portugal,FC Bayern München,86,76,19,75,20,75,21,78,22,80,23
Mikel Oyarzabal Ugarte,Oyarzabal,230142,"['LW', 'RW']",Spain,Real Sociedad,86,79,20,80,21,82,22,84,23,85,24
Leon Bailey,L. Bailey,229906,"['LM', 'RM']",Jamaica,Bayer 04 Leverkusen,86,76,19,82,20,82,21,80,22,82,23
Marko Pjaca,M. Pjaca,229593,['LW'],Croatia,Juventus,86,76,22,76,23,75,24,75,25,75,26
Dayot Upamecano,D. Upamecano,229558,"['CB', 'CDM']",France,RB Leipzig,86,69,18,76,19,77,20,79,21,82,22
Denis Zakaria,D. Zakaria,229261,"['CM', 'CDM']",Switzerland,Borussia Mönchengladbach,86,72,20,77,21,78,22,83,23,80,24
Andre Miguel Valente Da Silva,André Silva,228941,['ST'],Portugal,AC Milan,86,78,21,77,22,79,23,79,24,84,25
Benjamin Henrichs,B. Henrichs,228579,"['RB', 'LB']",Germany,Bayer 04 Leverkusen,86,76,20,76,21,75,22,76,23,76,24
Onyinye Ndidi,O. Ndidi,226790,"['CDM', 'CM']",Nigeria,Leicester City,86,77,20,80,21,81,22,84,23,85,24
Pablo Fornals Malla,Pablo Fornals,226456,"['CAM', 'CM', 'CDM', 'RM']",Spain,Villarreal CF,86,77,21,80,22,81,23,79,24,79,25
Giovani Lo Celso,G. Lo Celso,226226,"['CAM', 'CM']",Argentina,Paris Saint-Germain,86,74,21,80,22,83,23,82,24,81,25
Marcos Llorente Moreno,Marcos Llorente,226161,"['CDM', 'CM']",Spain,Real Madrid CF,86,77,22,79,23,80,24,82,25,86,26
Presnel Kimpembe,P. Kimpembe,225850,['CB'],France,Paris Saint-Germain,86,76,21,83,22,82,23,81,24,83,25
Kelechi Iheanacho,K. Iheanacho,225719,['ST'],Nigeria,Leicester City,86,75,20,75,21,73,22,74,23,78,24
Diogo Jose Teixeira Da Silva,Diogo Jota,224458,"['LW', 'ST']",Portugal,Wolverhampton Wanderers,86,77,20,78,21,80,22,80,23,82,24
Ruben Diogo Da Silva Neves,Rúben Neves,224293,"['CDM', 'CM']",Portugal,Wolverhampton Wanderers,86,77,20,79,21,82,22,82,23,82,24
Nicolo Barella,N. Barella,224232,['CM'],Italy,Cagliari,86,70,20,76,21,80,22,80,23,84,24
Sergej Milinkovic Savic,S. Milinković-Savić,223848,"['CM', 'CAM']",Serbia,Lazio,86,80,22,85,23,85,24,85,25,85,26
Martin Odegaard,M. Ødegaard,222665,"['RW', 'CAM']",Norway,SC Heerenveen,86,74,18,74,19,78,20,83,21,82,22
Josh Onomah,J. Onomah,222079,"['CAM', 'RM', 'CM']",England,Aston Villa,86,72,20,71,21,69,22,67,23,69,24
Manuel Locatelli,M. Locatelli,222077,['CDM'],Italy,AC Milan,86,74,19,75,20,76,21,78,22,82,23
Victor Lindelof,V. Lindelöf,221660,['CB'],Sweden,Manchester United,86,79,22,79,23,81,24,80,25,80,26
Emanuel Mammana,E. Mammana,221551,['CB'],Argentina,Zenit St. Petersburg,86,75,21,,,,,,,75,25
Sebastian Driussi,S. Driussi,221125,"['ST', 'LW']",Argentina,Zenit St. Petersburg,86,77,21,,,,,,,75,25
Andrija Zivkovic,A. Živković,220746,"['RM', 'LM']",Serbia,SL Benfica,86,77,20,79,21,76,22,73,23,76,24
Antonio Barreca,A. Barreca,220493,['LB'],Italy,Torino F.C.,86,75,22,75,23,74,24,72,25,71,26
Antonio Sanabria,A. Sanabria,219932,['ST'],Paraguay,Real Betis Balompié,86,78,21,79,22,77,23,74,24,74,25
Giovanni Simeone,G. Simeone,216816,"['ST', 'RM']",Argentina,Fiorentina,86,76,21,78,22,77,23,76,24,75,25
Juan Pablo Anor,J. Añor,216468,"['RM', 'CAM']",Venezuela,Málaga CF,86,76,23,75,24,73,25,71,26,,
Alen Halilovic,A. Halilović,216349,"['CAM', 'RM', 'CM']",Croatia,Unión Deportiva Las Palmas,86,77,21,76,22,72,23,71,24,69,25
Seko Fofana,S. Fofana,216320,"['CM', 'CDM']",Côte d'Ivoire,Udinese Calcio,86,75,22,75,23,75,24,76,25,78,26
Bartlomiej Dragowski,B. Drągowski,215502,['GK'],Poland,Fiorentina,86,71,19,71,20,73,21,75,22,77,23
Kingsley Coman,K. Coman,213345,"['RM', 'LM']",France,FC Bayern München,86,79,21,83,22,84,23,84,24,86,25
Leander Dendoncker,L. Dendoncker,212501,"['CDM', 'CM', 'CB']",Belgium,RSC Anderlecht,86,79,22,78,23,78,24,78,25,77,26
Max Meyer,M. Meyer,212150,"['CAM', 'CF', 'LW']",Germany,FC Schalke 04,86,79,21,79,22,78,23,76,24,72,25
Armindo Tue Na Bangna,Bruma,211368,"['LM', 'RM']",Portugal,RB Leipzig,86,81,22,79,23,78,24,76,25,76,26
Marco Benassi,M. Benassi,211354,['CM'],Italy,Fiorentina,86,79,22,77,23,77,24,74,25,72,26
Corentin Jean,C. Jean,211239,"['RM', 'LM', 'ST']",France,Toulouse Football Club,86,74,21,74,22,72,23,71,24,70,25
Joao Pedro Cavaco Cancelo,João Cancelo,210514,"['RB', 'RW', 'RM']",Portugal,Valencia CF,86,79,23,81,24,84,25,83,26,86,27
Ricardo D Barbosa Pereira,Ricardo Pereira,210243,"['RB', 'LB', 'RM']",Portugal,FC Porto,86,80,23,81,24,82,25,85,26,84,27
Adrien Rabiot,A. Rabiot,210008,['CM'],France,Paris Saint-Germain,86,80,22,83,23,83,24,81,25,81,26
Raphael Guerreiro,R. Guerreiro,209889,"['LM', 'LWB', 'LB', 'CM']",Portugal,Borussia Dortmund,86,81,23,79,24,81,25,84,26,84,27
Andreas Hugo Hoelgebaum Pereira,Andreas Pereira,208450,"['LM', 'CM', 'CAM']",Brazil,Manchester United,86,77,21,78,22,77,23,75,24,76,25
Luciano Vietto,L. Vietto,207441,['ST'],Argentina,Atlético de Madrid,86,79,23,76,24,74,25,78,26,75,27
Sergio Rico Gonzalez,Sergio Rico,206652,['GK'],Spain,Sevilla FC,86,81,23,80,24,77,25,77,26,77,27
Kepa Arrizabalaga,Arrizabalaga,206585,['GK'],Spain,Athletic Club de Bilbao,86,79,22,83,23,84,24,82,25,79,26
James Ward Prowse,J. Ward-Prowse,205569,"['CM', 'RM', 'CAM']",England,Southampton,86,78,22,77,23,79,24,79,25,81,26
Arkadiusz Milik,A. Milik,205175,['ST'],Poland,Napoli,86,79,23,80,24,83,25,81,26,81,27
Benjamin Mendy,B. Mendy,204884,['LB'],France,Manchester City,86,78,22,81,23,80,24,81,25,79,26
Kurt Zouma,K. Zouma,204311,"['CB', 'RB']",France,Stoke City,86,79,22,78,23,80,24,80,25,81,26
Ross Barkley,R. Barkley,199189,"['CAM', 'RM', 'CM', 'RW']",England,Everton,86,81,23,79,24,79,25,78,26,78,27
Elias Abouchabaka,E. Abouchabaka,240000,['CAM'],Germany,RB Leipzig,85,62,17,63,18,62,19,61,20,,
Fiete Arp,F. Arp,239981,['ST'],Germany,Hamburger SV,85,63,17,69,18,67,19,66,20,65,21
Jordi Mboula,Jordi Mboula,239441,"['RM', 'ST']",Spain,AS Monaco,85,68,18,70,19,70,20,,,69,22
Marc Cucurella Saseta,Cucurella,239231,['LB'],Spain,FC Barcelona B,85,67,18,69,19,75,20,81,21,81,22
Federico Valverde,F. Valverde,239053,"['CM', 'CAM', 'RM']",Uruguay,Deportivo de La Coruña,85,70,18,73,19,77,20,83,21,83,22
Bruno Alexandre Vieira Almeida,Bruno Xadas,237670,"['RM', 'CM']",Portugal,SC Braga,85,74,19,74,20,74,21,72,22,70,23
Rui Pedro Da Silva E Sousa,Rui Pedro,236893,['ST'],Portugal,FC Porto,85,70,19,,,,,,,,
Marc Roca Junque,Marc Roca,235945,"['CDM', 'CM']",Spain,RCD Espanyol de Barcelona,85,74,20,74,21,79,22,77,23,77,24
Ryan Sessegnon,R. Sessegnon,235883,"['LB', 'LW']",England,Fulham,85,66,17,75,18,75,19,75,20,74,21
Panagiotis Retsos,P. Retsos,234986,"['CB', 'RB']",Greece,Olympiacos CFP,85,72,18,75,19,75,20,74,21,73,22
Vincent Thill,V. Thill,234317,"['CAM', 'CF']",Luxembourg,FC Metz,85,63,17,63,18,65,19,64,20,,
Carlos Soler Barragan,Carlos Soler,234153,"['CM', 'CAM', 'RW']",Spain,Valencia CF,85,76,20,80,21,80,22,79,23,81,24
Henry Onyekuru,H. Onyekuru,234045,['LM'],Nigeria,RSC Anderlecht,85,75,20,76,21,78,22,77,23,75,24
Ben Brereton,B. Brereton,233795,"['ST', 'RM']",England,Nottingham Forest,85,66,18,69,19,68,20,66,21,71,22
Ramadan Sobhi,R. Sobhi,233601,"['LM', 'RM']",Egypt,Stoke City,85,74,20,75,21,,,73,23,,
Vukasin Jovanovic,V. Jovanović,233219,['CB'],Serbia,FC Girondins de Bordeaux,85,73,21,72,22,73,23,72,24,,
Theo Hernandez,T. Hernández,232656,['LB'],France,Real Madrid CF,85,75,19,76,20,76,21,80,22,84,23
Marko Grujic,M. Grujić,232099,"['CM', 'CDM', 'CAM']",Serbia,Liverpool,85,71,21,73,22,77,23,75,24,75,25
Richarlison De Andrade,Richarlison,231943,"['LM', 'CF', 'RM', 'CAM']",Brazil,Watford,85,73,20,76,21,79,22,81,23,82,24
Yann Karamoh,Y. Karamoh,231826,"['RW', 'RM', 'LW']",France,Stade Malherbe Caen,85,71,18,73,19,75,20,75,21,75,22
Adalberto Penaranda,A. Peñaranda,231638,"['ST', 'LM']",Venezuela,Málaga CF,85,75,20,73,21,72,22,69,23,69,24
Brahim Diaz,Brahim Díaz,231410,"['CAM', 'RW', 'ST', 'LW']",Spain,Manchester City,85,66,17,69,18,73,19,74,20,78,21
Emre Mor,E. Mor,231240,"['RM', 'ST']",Turkey,Borussia Dortmund,85,70,19,74,20,72,21,72,22,72,23
Nahitan Nandez,N. Nández,230965,"['CDM', 'CM']",Uruguay,Uruguay,85,70,21,75,22,77,23,77,24,77,25
Adam Nagy,Á. Nagy,230936,['CDM'],Hungary,Bologna,85,74,22,74,23,75,24,72,25,70,26
Tom Davies,T. Davies,230005,"['CM', 'CAM']",England,Everton,85,73,19,75,20,75,21,75,22,75,23
Matheus Pereira Da Silva,Matheus Pereira,229337,['CAM'],Brazil,Empoli,85,70,19,,,71,21,70,22,67,23
Christian Rivera Hernandez,Christian Rivera,229038,"['CDM', 'CM']",Spain,SD Eibar,85,71,19,70,20,69,21,66,22,68,23
Wuilker Farinez,W. Faríñez,228736,['GK'],Venezuela,Venezuela,85,70,19,73,20,73,21,75,22,73,23
Matheus Fellipe Costa Pereira,Matheus Pereira,228414,"['LW', 'RW']",Brazil,GD Chaves,85,74,21,77,22,76,23,76,24,77,25
Rob Holding,R. Holding,228295,['CB'],England,Arsenal,85,72,21,74,22,76,23,75,24,77,25
Lorenzo Pellegrini,L. Pellegrini,228251,['CM'],Italy,Roma,85,77,21,78,22,79,23,79,24,81,25
Cameron Carter Vickers,C. Carter-Vickers,228174,['CB'],United States,Tottenham Hotspur,85,68,19,69,20,69,21,68,22,69,23
Andre Onana,A. Onana,226753,['GK'],Cameroon,Ajax,85,78,21,78,22,82,23,84,24,83,25
Kieran Tierney,K. Tierney,226491,['LB'],Scotland,Celtic,85,74,20,76,21,76,22,78,23,80,24
Marcus Coco,M. Coco,226414,"['LM', 'LW', 'RM']",France,En Avant de Guingamp,85,77,21,75,22,75,23,75,24,73,25
Nadiem Amiri,N. Amiri,225309,"['CAM', 'CM', 'LM']",Germany,TSG Hoffenheim,85,77,20,78,21,78,22,77,23,77,24
Vincent Koziello,V. Koziello,225199,"['CM', 'CDM']",France,OGC Nice,85,78,21,77,22,75,23,71,24,70,25
Jesus Vallejo Lazaro,Vallejo,225161,['CB'],Spain,Real Madrid CF,85,77,20,78,21,77,22,76,23,75,24
Jorge Saenz De Miera,Jorge Sáenz,225106,"['CB', 'RB']",Spain,CD Tenerife,85,71,20,69,21,72,22,70,23,70,24
Mario Pasalic,M. Pašalić,223273,"['CM', 'CDM']",Croatia,Spartak Moskva,85,76,22,76,23,77,24,77,25,78,26
Franco Cervi,F. Cervi,223061,['LM'],Argentina,SL Benfica,85,78,23,80,24,76,25,78,26,75,27
Malcom Filipe Silva De Oliveira,Malcom,222737,"['RW', 'CAM', 'LW']",Brazil,FC Girondins de Bordeaux,85,79,20,83,21,,,,,,
Hirving Lozano,H. Lozano,221992,"['LW', 'RW']",Mexico,PSV,85,78,21,80,22,82,23,80,24,81,25
Yoan Cardinale,Y. Cardinale,221130,['GK'],France,OGC Nice,85,79,23,75,24,73,25,68,26,,
Mattia Caldara,M. Caldara,220477,['CB'],Italy,Atalanta,85,76,23,80,24,80,25,78,26,76,27
Sandro Ramirez Castillo,Sandro,217731,['ST'],Spain,Everton,85,77,21,76,22,75,23,73,24,72,25
Ruben Afonso Borges Semedo,Rúben Semedo,216778,['CB'],Portugal,Villarreal CF,85,78,23,74,24,76,25,75,26,77,27
Nabil Fekir,N. Fekir,216594,"['CAM', 'ST']",France,Olympique Lyonnais,85,82,23,85,24,84,25,83,26,84,27
Wallace Fortuna Santos,Wallace,216437,['CB'],Brazil,Lazio,85,77,22,76,23,76,24,74,25,72,26
Adama Traore Diarra,Adama,213956,"['RM', 'RW']",Spain,Middlesbrough,85,73,21,75,22,74,23,79,24,78,25
Sardar Azmoun,S. Azmoun,213955,['ST'],Iran,Rubin Kazan,85,77,22,,,,,,,80,26
Alex Iwobi,A. Iwobi,213655,['LM'],Nigeria,Arsenal,85,74,21,76,22,79,23,77,24,77,25
Nabil Bentaleb,N. Bentaleb,213296,"['CM', 'CDM']",Algeria,FC Schalke 04,85,80,22,79,23,77,24,75,25,73,26
Divock Origi,D. Origi,213135,"['ST', 'LW', 'RW']",Belgium,Liverpool,85,78,22,77,23,78,24,77,25,76,26
Niklas Stark,N. Stark,212977,"['CB', 'CDM']",Germany,Hertha BSC,85,78,22,78,23,79,24,76,25,76,26
Gabriel Barbosa Almeida,Gabriel,212823,"['ST', 'RW']",Brazil,Inter,85,76,20,,,81,22,,,,
Iuri Jose Picanco Medeiros,Iuri Medeiros,212230,"['RM', 'LM']",Portugal,Sporting CP,85,78,22,76,23,74,24,68,25,72,26
Roberto Gagliardini,R. Gagliardini,212153,"['CM', 'CDM']",Italy,Inter,85,78,23,78,24,78,25,78,26,77,27
Moussa Dembele,M. Dembélé,211591,['ST'],France,Celtic,85,75,20,75,21,80,22,81,23,78,24
Karol Linetty,K. Linetty,211408,"['CM', 'CDM']",Poland,Poland,85,75,22,76,23,76,24,74,25,74,26
