Player name,Known as,player_id,position,nationality,team,Fifa 21 Potential rating,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 21 outcome,Year potential reached
Moussa Diaby,M. Diaby,241852,['LM'],France,Bayer 04 Leverkusen,88,81,20,81.0,21.0,still has time,
Nikola Vlasic,N. Vlašić,241095,"['CAM', 'LM']",Croatia,PFC CSKA Moscow,88,80,22,80.0,23.0,still has time,
Marcus Wendel Valle Da Silva,Wendel,238359,['CM'],Brazil,Sporting CP,88,79,22,,,did not hit their potential,
Phil Foden,P. Foden,237692,"['CAM', 'CM']",England,Manchester City,88,79,20,84.0,21.0,still has time,
Ibrahima Konate,I. Konaté,237678,['CB'],France,RB Leipzig,88,78,21,78.0,22.0,still has time,
Achraf Hakimi,A. Hakimi,235212,['RM'],Morocco,Real Madrid CF,88,83,21,85.0,22.0,still has time,
Richarlison De Andrade,Richarlison,231943,"['ST', 'RM', 'LM']",Brazil,Everton,88,81,23,82.0,24.0,still has time,
Aaron Wan Bissaka,A. Wan-Bissaka,229880,"['RB', 'RWB']",England,Manchester United,88,83,22,83.0,23.0,still has time,
Wilfred Ndidi,W. Ndidi,226790,"['CDM', 'CM']",Nigeria,Leicester City,88,84,23,85.0,24.0,still has time,
Steven Bergwijn,S. Bergwijn,225953,"['LM', 'LW', 'RM']",Netherlands,Tottenham Hotspur,88,83,22,80.0,23.0,still has time,
Joe Gomez,J. Gomez,225100,['CB'],England,Liverpool,88,83,23,82.0,24.0,still has time,
Reinier Jesus Carvalho,Reinier,254544,"['CF', 'CAM']",Brazil,Real Madrid CF,87,71,18,71.0,19.0,still has time,
Facundo Pellistri,F. Pellistri,253283,"['RM', 'RW']",Uruguay,Club Atlético Peñarol,87,71,18,70.0,19.0,still has time,
Karim Adeyemi,K. Adeyemi,251852,"['ST', 'LW']",Germany,FC Red Bull Salzburg,87,69,18,71.0,19.0,still has time,
Renan Augusto Lodi Dos Santos,Renan Lodi,251573,['LB'],Brazil,Atlético de Madrid,87,81,22,81.0,23.0,still has time,
Bruno Guimaraes Moura,Bruno Guimarães,247851,"['CM', 'CDM']",Brazil,Olympique Lyonnais,87,78,22,79.0,23.0,still has time,
Dejan Kulusevski,D. Kulusevski,247394,"['RW', 'CAM']",Sweden,Parma,87,77,20,81.0,21.0,still has time,
Maxence Caqueret,M. Caqueret,246646,"['CM', 'CDM']",France,Olympique Lyonnais,87,75,20,78.0,21.0,still has time,
Adam Hlozek,A. Hložek,246618,"['RM', 'ST', 'LM']",Czech Republic,AC Sparta Praha,87,74,17,76.0,18.0,still has time,
Ryan Gravenberch,R. Gravenberch,246104,"['CM', 'CDM']",Netherlands,Ajax,87,70,18,78.0,19.0,still has time,
Giovanni Reyna,G. Reyna,245541,"['LM', 'CAM']",United States,Borussia Dortmund,87,68,17,77.0,18.0,still has time,
Daniel Olmo Carvajal,Dani Olmo,244260,"['CAM', 'LM', 'RM']",Spain,RB Leipzig,87,79,22,82.0,23.0,still has time,
Jovane Eduardo Borges Cabral,Jovane Cabral,244193,"['LW', 'RW']",Cape Verde Islands,Sporting CP,87,77,22,78.0,23.0,still has time,
Andriy Lunin,A. Lunin,243952,['GK'],Ukraine,Real Madrid CF,87,75,21,74.0,22.0,still has time,
William Saliba,W. Saliba,243715,['CB'],France,Arsenal,87,74,19,75.0,20.0,still has time,
Maarten Vandevoordt,M. Vandevoordt,242879,['GK'],Belgium,KRC Genk,87,68,18,71.0,19.0,still has time,
Pedro Antonio Pereira Goncalves,Pedro Gonçalves,240950,['CM'],Portugal,Futebol Clube de Famalicão,87,76,22,81.0,23.0,still has time,
Matheus Santos Carneiro Da Cunha,Matheus Cunha,240243,"['CAM', 'ST', 'LM']",Brazil,Hertha BSC,87,78,21,79.0,22.0,still has time,
Eder Gabriel Militao,Éder Militão,240130,"['CB', 'RB']",Brazil,Real Madrid CF,87,80,22,82.0,23.0,still has time,
Myron Boadu,M. Boadu,239956,['ST'],Netherlands,AZ Alkmaar,87,75,19,76.0,20.0,still has time,
Ozan Kabak,O. Kabak,239890,['CB'],Turkey,FC Schalke 04,87,77,20,76.0,21.0,still has time,
Ruben Santos Gato Alves Dias,Rúben Dias,239818,['CB'],Portugal,SL Benfica,87,81,23,87.0,24.0,lived to expectations,1.0
Boubacar Kamara,B. Kamara,236987,"['CDM', 'CB']",France,Olympique de Marseille,87,79,20,80.0,21.0,still has time,
Dominik Szoboszlai,D. Szoboszlai,236772,"['CAM', 'LM']",Hungary,FC Red Bull Salzburg,87,75,19,77.0,20.0,still has time,
Tanguy Ndombele,T. Ndombele,235569,"['CM', 'CDM']",France,Tottenham Hotspur,87,80,23,82.0,24.0,did not hit their potential,
Ismaila Sarr,I. Sarr,235353,['RM'],Senegal,Watford,87,78,22,78.0,23.0,still has time,
Dean Henderson,D. Henderson,233306,['GK'],England,Manchester United,87,80,23,80.0,24.0,still has time,
Mason Mount,M. Mount,233064,"['CAM', 'CM', 'LW']",England,Chelsea,87,80,21,83.0,22.0,still has time,
Victor Osimhen,V. Osimhen,232293,['ST'],Nigeria,LOSC Lille,87,79,21,80.0,22.0,still has time,
Gabriel Fernando De Jesus,Gabriel Jesus,230666,['ST'],Brazil,Manchester City,87,83,23,83.0,24.0,still has time,
Denis Zakaria,D. Zakaria,229261,"['CDM', 'CB', 'CM']",Switzerland,Borussia Mönchengladbach,87,83,23,80.0,24.0,still has time,
Emil Audero,E. Audero,228413,['GK'],Italy,U.C. Sampdoria,87,77,23,78.0,24.0,still has time,
Christian Pulisic,C. Pulisic,227796,"['LW', 'RW', 'LM']",United States,Chelsea,87,81,21,82.0,22.0,still has time,
Nordi Mukiele,N. Mukiele,226166,"['RB', 'CB', 'RWB']",France,RB Leipzig,87,80,22,81.0,23.0,still has time,
Alex Meret,A. Meret,225116,['GK'],Italy,Napoli,87,78,23,79.0,24.0,still has time,
Goncalo Manuel Ganchinho Guedes,Gonçalo Guedes,224411,"['LM', 'ST']",Portugal,Valencia CF,87,81,23,81.0,24.0,still has time,
Ruben Diogo Da Silva Neves,Rúben Neves,224293,['CM'],Portugal,Wolverhampton Wanderers,87,82,23,82.0,24.0,did not hit their potential,
Nicolo Barella,N. Barella,224232,"['CM', 'CAM']",Italy,Inter,87,80,23,84.0,24.0,did not hit their potential,
Donny Van De Beek,D. van de Beek,221363,"['CM', 'CAM']",Netherlands,Ajax,87,83,23,81.0,24.0,did not hit their potential,
Bright Akwo Arrey Mbi,B. Arrey-Mbi,258315,['CB'],Germany,FC Bayern München II,86,60,17,62.0,18.0,still has time,
Luca Netz,L. Netz,256781,"['LB', 'LM']",Germany,Hertha BSC,86,63,17,68.0,18.0,still has time,
Noni Madueke,N. Madueke,254796,"['RM', 'ST']",England,PSV,86,70,18,77.0,19.0,still has time,
Jeremie Frimpong,J. Frimpong,253149,"['RB', 'RWB']",Netherlands,Celtic,86,70,19,73.0,20.0,still has time,
Eduardo Filipe Quaresma,Eduardo Quaresma,252144,['CB'],Portugal,Sporting CP,86,72,18,71.0,19.0,still has time,
Aster Vranckx,A. Vranckx,252027,"['CM', 'CDM']",Belgium,KV Mechelen,86,66,17,67.0,18.0,still has time,
Sergino Dest,S. Dest,251804,['RB'],United States,Ajax,86,75,19,76.0,20.0,still has time,
Gustavo Enrique Assuncao Da Silva,Gustavo Assunção,248386,['CDM'],Brazil,Futebol Clube de Famalicão,86,74,20,73.0,21.0,still has time,
Sebastiano Esposito,S. Esposito,247888,['ST'],Italy,Inter,86,66,17,67.0,18.0,still has time,
Mateus Tete,Tete,247641,"['RM', 'CAM']",Brazil,Shakhtar Donetsk,86,75,20,76.0,21.0,still has time,
Leonidas Stergiou,L. Stergiou,247360,['CB'],Switzerland,FC St. Gallen 1879,86,67,18,67.0,19.0,still has time,
Gonzalo Plata,G. Plata,247181,['RW'],Ecuador,Sporting CP,86,74,19,74.0,20.0,still has time,
Manor Solomon,M. Solomon,246791,"['RM', 'LM', 'CAM']",Israel,Shakhtar Donetsk,86,73,20,76.0,21.0,still has time,
Samuel Chukwueze,S. Chukwueze,246172,['RM'],Nigeria,Villarreal CF,86,77,21,77.0,22.0,still has time,
Billy Gilmour,B. Gilmour,245992,"['CM', 'CAM']",Scotland,Chelsea,86,71,19,72.0,20.0,still has time,
Jean Clair Todibo,J. Todibo,245388,['CB'],France,FC Barcelona,86,75,20,76.0,21.0,still has time,
Luis Javier Suarez,L. Suárez,245158,['ST'],Colombia,Watford,86,75,22,77.0,23.0,still has time,
Giorgi Tsitaishvili,G. Tsitaishvili,245131,"['RM', 'LM']",Ukraine,Dynamo Kyiv,86,72,19,,,did not hit their potential,
Viktor Tsygankov,V. Tsygankov,244369,['RM'],Ukraine,Dynamo Kyiv,86,80,22,80.0,23.0,still has time,
Uros Racic,U. Račić,244253,['CM'],Serbia,Valencia CF,86,75,22,78.0,23.0,still has time,
Dwight Mcneil,D. McNeil,243282,['LM'],England,Burnley,86,78,20,77.0,21.0,still has time,
Luca Pellegrini,L. Pellegrini,243237,['LB'],Italy,Cagliari,86,72,21,74.0,22.0,still has time,
Rafael Euclides Soares Camacho,Rafael Camacho,243055,['RW'],Portugal,Sporting CP,86,73,20,72.0,21.0,still has time,
Rayan Ait Nouri,R. Aït Nouri,242641,['LB'],France,Angers SCO,86,71,19,73.0,20.0,still has time,
Deiber Caicedo,D. Caicedo,242573,['RM'],Colombia,Deportivo Cali,86,68,20,70.0,21.0,still has time,
Jules Kounde,J. Koundé,241486,['CB'],France,Sevilla FC,86,79,21,83.0,22.0,still has time,
Pau Francisco Torres,Pau Torres,241464,['CB'],Spain,Villarreal CF,86,78,23,82.0,24.0,still has time,
Luis Diaz,L. Díaz,241084,['LM'],Colombia,FC Porto,86,78,23,80.0,24.0,still has time,
Callum Hudson Odoi,C. Hudson-Odoi,240740,"['RW', 'LW']",England,Chelsea,86,74,19,77.0,20.0,still has time,
Nicolas De La Cruz,N. De la Cruz,240699,"['CM', 'CAM', 'LW']",Uruguay,River Plate,86,77,23,78.0,24.0,did not hit their potential,
Oscar Rodriguez Arnaiz,Óscar,239335,"['CAM', 'CM', 'RM']",Spain,Real Madrid CF,86,75,22,75.0,23.0,still has time,
Dan Axel Zagadou,D. Zagadou,238476,['CB'],France,Borussia Dortmund,86,79,21,78.0,22.0,still has time,
Reece James,R. James,238074,"['RB', 'CDM']",England,Chelsea,86,77,20,81.0,21.0,still has time,
Nicolo Zaniolo,N. Zaniolo,238067,"['CAM', 'RM']",Italy,Italy,86,76,20,78.0,21.0,still has time,
Pervis Estupinan,P. Estupiñán,237942,['LB'],Ecuador,Watford,86,79,22,79.0,23.0,still has time,
Calvin Stengs,C. Stengs,236593,['RW'],Netherlands,AZ Alkmaar,86,78,21,77.0,22.0,still has time,
Owen Wijndal,O. Wijndal,236572,['LB'],Netherlands,AZ Alkmaar,86,77,20,79.0,21.0,still has time,
Matteo Guendouzi,M. Guendouzi,236496,"['CDM', 'CM']",France,Arsenal,86,77,21,77.0,22.0,still has time,
Ryan Sessegnon,R. Sessegnon,235883,"['LM', 'LW', 'LB']",England,Tottenham Hotspur,86,75,20,74.0,21.0,still has time,
Florian Neuhaus,F. Neuhaus,234943,"['CM', 'CAM']",Germany,Borussia Mönchengladbach,86,79,23,82.0,24.0,did not hit their potential,
Jonathan Ikone,J. Ikoné,234612,"['RM', 'CAM']",France,LOSC Lille,86,79,22,79.0,23.0,still has time,
Florentino Morris Luis,Florentino,234569,"['CDM', 'CM']",Portugal,SL Benfica,86,76,20,74.0,21.0,still has time,
Declan Rice,D. Rice,234378,"['CDM', 'CM']",England,West Ham United,86,79,21,82.0,22.0,still has time,
Domilson Cordeiro Dos Santos,Dodô,234112,['RB'],Brazil,Shakhtar Donetsk,86,72,21,73.0,22.0,still has time,
Alexander Isak,A. Isak,233731,['ST'],Sweden,Real Sociedad,86,79,20,82.0,21.0,still has time,
Christopher Nkunku,C. Nkunku,232411,"['CAM', 'ST']",France,RB Leipzig,86,80,22,81.0,23.0,still has time,
Exequiel Palacios,E. Palacios,231521,"['CM', 'RM', 'CAM']",Argentina,Bayer 04 Leverkusen,86,77,21,77.0,22.0,still has time,
Brahim Diaz,Brahim,231410,"['LW', 'RW']",Spain,Real Madrid CF,86,74,20,78.0,21.0,still has time,
Unai Simon Mendibil,Unai Simón,230869,['GK'],Spain,Athletic Club de Bilbao,86,80,23,82.0,24.0,still has time,
Marcus Thuram,M. Thuram,228093,"['LW', 'ST']",France,Borussia Mönchengladbach,86,80,22,79.0,23.0,still has time,
Sander Berge,S. Berge,228092,"['CDM', 'CM']",Norway,Norway,86,79,22,76.0,23.0,still has time,
Kieran Tierney,K. Tierney,226491,"['LB', 'LWB']",Scotland,Arsenal,86,78,23,80.0,24.0,did not hit their potential,
Konrad Laimer,K. Laimer,225375,"['CDM', 'CM', 'RB']",Austria,Austria,86,82,23,81.0,24.0,still has time,
Javairo Dilrosun,J. Dilrosun,224949,['LM'],Netherlands,Hertha BSC,86,75,22,73.0,23.0,still has time,
Diogo Jose Teixeira Da Silva,Diogo Jota,224458,"['LW', 'ST', 'CM']",Portugal,Wolverhampton Wanderers,86,80,23,82.0,24.0,still has time,
Jeremie Boga,J. Boga,224422,"['LM', 'LW']",Côte d'Ivoire,U.S. Sassuolo Calcio,86,77,23,77.0,24.0,still has time,
Allan Saint Maximin,A. Saint-Maximin,216388,"['LM', 'LW', 'ST']",France,Newcastle United,86,80,23,79.0,24.0,still has time,
Omar Rekik,O. Rekik,258033,['CB'],Netherlands,Hertha BSC,85,63,18,,,did not hit their potential,
Santiago Rodriguez,S. Rodríguez,255862,"['RW', 'RM', 'CAM']",Uruguay,Club Nacional de Football,85,72,20,71.0,21.0,still has time,
Tanguy Kouassi,T. Kouassi,252961,"['CB', 'CDM']",France,FC Bayern München,85,71,18,71.0,19.0,still has time,
Leonardo Fernandez,L. Fernández,252935,['CAM'],Uruguay,Tigres U.A.N.L.,85,76,21,73.0,22.0,still has time,
Marco Kana,M. Kana,252489,"['CB', 'CDM']",Belgium,RSC Anderlecht,85,65,17,67.0,18.0,still has time,
Romario Manuel Silva Baro,Romário Baró,252038,"['RM', 'CAM']",Portugal,FC Porto,85,73,20,72.0,21.0,still has time,
Fabio Daniel Soares Silva,Fábio Silva,252037,['ST'],Portugal,FC Porto,85,69,17,70.0,18.0,still has time,
Yusuf Demir,Y. Demir,251873,"['RW', 'CAM', 'CF']",Austria,SK Rapid Wien,85,64,17,70.0,18.0,still has time,
Gabriel Teodoro Martinelli Silva,Gabriel Martinelli,251566,"['LW', 'LM', 'ST']",Brazil,Arsenal,85,74,19,76.0,20.0,still has time,
Nuno Albertino Varela Tavares,Nuno Tavares,251530,['LB'],Portugal,SL Benfica,85,72,20,70.0,21.0,still has time,
Josko Gvardiol,J. Gvardiol,251517,"['CB', 'LB']",Croatia,Dinamo Zagreb,85,67,18,75.0,19.0,still has time,
Marcos Antonio Silva Santos,Marcos Antonio,247377,['CM'],Brazil,Shakhtar Donetsk,85,72,20,73.0,21.0,still has time,
Karamoko Dembele,K. Dembélé,246682,['RW'],England,Celtic,85,64,17,63.0,18.0,still has time,
Mohamed Daramy,M. Daramy,246459,"['RM', 'ST', 'LM']",Denmark,F.C. København,85,67,18,69.0,19.0,still has time,
Yari Verschaeren,Y. Verschaeren,246419,"['CAM', 'RW', 'LW']",Belgium,RSC Anderlecht,85,72,18,73.0,19.0,still has time,
Harvey Elliott,H. Elliott,246174,['RW'],England,Liverpool,85,65,17,73.0,18.0,still has time,
Adria Giner Pedrosa,Adrià Pedrosa,246113,"['LB', 'LWB']",Spain,RCD Espanyol de Barcelona,85,75,22,75.0,23.0,still has time,
Pedro De La Vega,P. De la Vega,246045,"['RW', 'LW']",Argentina,Club Atlético Lanús,85,71,19,74.0,20.0,still has time,
Troy Parrott,T. Parrott,245902,['ST'],Republic of Ireland,Millwall,85,65,18,64.0,19.0,still has time,
Marash Kumbulla,M. Kumbulla,245426,['CB'],Albania,Hellas Verona,85,75,20,75.0,21.0,still has time,
Xavi Simons,X. Simons,245367,['CM'],Netherlands,Paris Saint-Germain,85,65,17,66.0,18.0,still has time,
Tomas Franco Tavares,Tomás Tavares,245278,['RB'],Portugal,SL Benfica,85,73,19,73.0,20.0,still has time,
Mohammed Kudus,M. Kudus,245155,"['CAM', 'CM']",Ghana,Ajax,85,75,19,77.0,20.0,still has time,
Eric Garcia Martret,Eric García,245037,['CB'],Spain,Manchester City,85,72,19,77.0,20.0,still has time,
Nehuen Perez,N. Pérez,244206,['CB'],Argentina,Atlético de Madrid,85,75,20,75.0,21.0,still has time,
Brandon Williams,B. Williams,243414,"['LB', 'LWB']",England,Manchester United,85,75,19,75.0,20.0,still has time,
Rabbi Matondo,R. Matondo,243392,"['LM', 'ST', 'RM']",Wales,FC Schalke 04,85,70,19,69.0,20.0,still has time,
Orkun Kokcu,O. Kökçü,243245,"['CAM', 'CM']",Turkey,Feyenoord,85,75,19,75.0,20.0,still has time,
Neco Williams,N. Williams,243057,['RB'],Wales,Liverpool,85,67,19,68.0,20.0,still has time,
Bryan Mbeumo,B. Mbeumo,243014,"['RW', 'ST']",France,Brentford,85,74,20,74.0,21.0,still has time,
Josha Vagnoman,J. Vagnoman,242602,"['RB', 'LM', 'LB']",Germany,Hamburger SV,85,69,19,71.0,20.0,still has time,
Patson Daka,P. Daka,241202,['ST'],Zambia,FC Red Bull Salzburg,85,76,21,77.0,22.0,still has time,
Hector Junior Firpo Adames,Junior Firpo,241184,"['LB', 'LM']",Spain,FC Barcelona,85,79,23,78.0,24.0,did not hit their potential,
Hamed Junior Traore,H. Traorè,240787,"['CAM', 'CM']",Côte d'Ivoire,U.S. Sassuolo Calcio,85,71,20,71.0,21.0,still has time,
Mathias Olivera,M. Olivera,240716,"['LB', 'LM']",Uruguay,Getafe CF,85,77,22,76.0,23.0,still has time,
Emile Smith Rowe,E. Smith Rowe,240273,"['CAM', 'RM', 'RW']",England,Arsenal,85,69,19,76.0,20.0,still has time,
Paulo Henrique Sampaio Filho,Paulinho,239970,"['CAM', 'RM']",Brazil,Bayer 04 Leverkusen,85,74,19,73.0,20.0,still has time,
Alexis Mac Allister,A. Mac Allister,239837,"['CAM', 'CM']",Argentina,Argentina,85,75,21,75.0,22.0,still has time,
Boubakary Soumare,B. Soumaré,239817,"['CDM', 'CM']",France,LOSC Lille,85,76,21,78.0,22.0,still has time,
Wenderson Nascimento Galeno,Galeno,239482,"['RW', 'LW']",Brazil,SC Braga,85,77,22,77.0,23.0,still has time,
Lisandro Martinez,L. Martínez,239301,"['CDM', 'CB', 'LB']",Argentina,Ajax,85,78,22,79.0,23.0,still has time,
Maximiliano Gomez,M. Gómez,239207,['ST'],Uruguay,Valencia CF,85,80,23,80.0,24.0,still has time,
Weston Mckennie,W. McKennie,238744,"['CM', 'CDM', 'CB']",United States,FC Schalke 04,85,75,21,77.0,22.0,still has time,
Marin Pongracic,M. Pongračić,238370,['CB'],Croatia,VfL Wolfsburg,85,76,22,75.0,23.0,still has time,
Krepin Diatta,K. Diatta,238227,"['RM', 'LM', 'ST']",Senegal,Club Brugge KV,85,77,21,76.0,22.0,still has time,
Nahuel Bustos,N. Bustos,238194,['ST'],Argentina,Club Atlético Talleres,85,74,21,73.0,22.0,still has time,
Merih Demiral,M. Demiral,238160,['CB'],Turkey,Juventus,85,76,22,77.0,23.0,still has time,
Nicolas Dominguez,N. Domínguez,237819,"['CM', 'CDM']",Argentina,Bologna,85,75,22,75.0,23.0,still has time,
Joseph Willock,J. Willock,237329,"['CAM', 'CM']",England,Arsenal,85,71,20,75.0,21.0,still has time,
Jordan Torunarigha,J. Torunarigha,236947,"['CB', 'LB']",Germany,Hertha BSC,85,75,22,73.0,23.0,still has time,
David Neres Campos,David Neres,236632,"['LW', 'RW', 'CAM']",Brazil,Ajax,85,80,23,79.0,24.0,still has time,
Luiz Felipe Ramos Marchi,Luiz Felipe,236355,['CB'],Brazil,Lazio,85,77,23,78.0,24.0,still has time,
Ezequiel Barco,E. Barco,236007,"['LW', 'CF']",Argentina,Atlanta United,85,74,21,74.0,22.0,still has time,
Ethan Ampadu,E. Ampadu,235735,"['CB', 'CDM']",Wales,Chelsea,85,67,19,68.0,20.0,still has time,
Harvey Barnes,H. Barnes,234742,"['LW', 'CAM']",England,Leicester City,85,79,22,81.0,23.0,still has time,
Jose Diogo Dalot Teixeira,Diogo Dalot,234574,"['RB', 'LB']",Portugal,Manchester United,85,76,21,76.0,22.0,still has time,
Joao Pedro Neves Filipe,Jota,234570,"['LM', 'RM']",Portugal,SL Benfica,85,72,21,74.0,22.0,still has time,
Ionut Andrei Radu,I. Radu,234102,['GK'],Romania,Parma,85,75,23,75.0,24.0,still has time,
Raphael Dias Belloli,Raphinha,233419,['RM'],Brazil,Stade Rennais FC,85,81,23,82.0,24.0,still has time,
Tyler Adams,T. Adams,232999,"['CDM', 'RWB']",United States,United States,85,76,21,77.0,22.0,still has time,
Fikayo Tomori,F. Tomori,232756,['CB'],England,Chelsea,85,76,22,79.0,23.0,still has time,
Theo Hernandez,T. Hernández,232656,['LB'],France,AC Milan,85,80,22,84.0,23.0,lived to expectations,1.0
Gabriel Dos S Magalhaes,Gabriel,232580,['CB'],Brazil,LOSC Lille,85,78,22,79.0,23.0,still has time,
Luka Jovic,L. Jović,232432,['ST'],Serbia,Real Madrid CF,85,80,22,79.0,23.0,still has time,
Donyell Malen,D. Malen,231447,['ST'],Netherlands,PSV,85,78,21,80.0,22.0,still has time,
Tammy Abraham,T. Abraham,231352,['ST'],England,Chelsea,85,78,22,78.0,23.0,still has time,
