Player name,Known as,player_id,position,nationality,team,Fifa 10 Potential rating,Fifa 10 overall_rating,Fifa 10 age,Fifa 11 overall_rating,Fifa 11 age,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 10 outcome,Year potential reached
Loic Damour,L. Damour,189412,['CM'],France,RC Strasbourg Alsace,88,65,18,,,63.0,20.0,,,,,,,63.0,24.0,64.0,25.0,66.0,26.0,69.0,27.0,68.0,28.0,,,,,did not hit their potential,
Jose Baxter,J. Baxter,188164,['CF'],England,Everton,88,73,17,69.0,18.0,69.0,19.0,,,66.0,21.0,64.0,22.0,66.0,23.0,,,,,67.0,26.0,66.0,27.0,,,,,did not hit their potential,
Lewis Holtby,L. Holtby,188154,['LW'],Germany,FC Schalke 04,88,75,18,74.0,19.0,76.0,20.0,78.0,21.0,78.0,22.0,77.0,23.0,76.0,24.0,78.0,25.0,77.0,26.0,76.0,27.0,,,72.0,29.0,71.0,30.0,did not hit their potential,
Mamadou Sakho,M. Sakho,183285,['CB'],France,Paris Saint-Germain,88,71,19,76.0,20.0,81.0,21.0,80.0,22.0,81.0,23.0,81.0,24.0,81.0,25.0,82.0,26.0,81.0,27.0,80.0,28.0,79.0,29.0,76.0,30.0,75.0,31.0,did not hit their potential,
Toni Kroos,T. Kroos,182521,['CAM'],Germany,Bayer 04 Leverkusen,88,75,19,80.0,20.0,81.0,21.0,84.0,22.0,84.0,23.0,85.0,24.0,87.0,25.0,88.0,26.0,90.0,27.0,90.0,28.0,88.0,29.0,88.0,30.0,88.0,31.0,exceeded their potential,6.0
Sidnei,Sidnei,182002,['CB'],Brazil,SL Benfica,88,75,20,75.0,21.0,,,75.0,23.0,72.0,24.0,,,75.0,26.0,80.0,27.0,80.0,27.0,79.0,28.0,80.0,29.0,79.0,30.0,78.0,31.0,did not hit their potential,
Sotiris Ninis,S. Ninis,181460,['RM'],Greece,Greece,88,75,19,77.0,20.0,75.0,21.0,75.0,22.0,73.0,23.0,,,74.0,25.0,73.0,26.0,69.0,27.0,,,,,,,,,did not hit their potential,
David,David,180228,['CB'],Brazil,Flamengo,88,68,22,70.0,23.0,73.0,24.0,72.0,25.0,70.0,26.0,,,,,,,,,73.0,31.0,,,,,,,did not hit their potential,
Miralem Pjanic,M. Pjanic,180206,['CAM'],Bosnia and Herzegovina,Olympique Lyonnais,88,75,19,79.0,20.0,79.0,21.0,77.0,22.0,78.0,23.0,83.0,24.0,84.0,25.0,85.0,26.0,85.0,27.0,86.0,28.0,86.0,29.0,85.0,30.0,82.0,31.0,did not hit their potential,
Marko Marin,M. Marin,179546,['LM'],Germany,SV Werder Bremen,88,79,21,81.0,22.0,80.0,23.0,78.0,24.0,78.0,25.0,77.0,26.0,77.0,26.0,76.0,27.0,75.0,28.0,,,,,75.0,31.0,73.0,32.0,did not hit their potential,
Mata,Mata,178088,['LW'],Spain,Valencia CF,88,82,21,82.0,22.0,85.0,23.0,86.0,24.0,87.0,25.0,85.0,26.0,84.0,27.0,84.0,28.0,84.0,29.0,83.0,30.0,82.0,31.0,79.0,32.0,78.0,33.0,lived to expectations,4.0
Christian Benitez,C. Benítez,177035,['CF'],Ecuador,Birmingham City,88,77,23,74.0,24.0,76.0,25.0,76.0,26.0,,,,,,,,,,,,,,,,,,,did not hit their potential,
Mesut Ozil,M. Özil,176635,['CAM'],Germany,SV Werder Bremen,88,80,20,83.0,21.0,86.0,22.0,87.0,23.0,87.0,24.0,86.0,25.0,87.0,26.0,89.0,27.0,88.0,28.0,86.0,29.0,84.0,30.0,82.0,31.0,80.0,32.0,lived to expectations,3.0
Luis Suarez,L. Suárez,176580,['CF'],Uruguay,Ajax,88,82,22,82.0,23.0,85.0,24.0,86.0,25.0,86.0,26.0,89.0,27.0,90.0,28.0,92.0,29.0,92.0,30.0,91.0,31.0,89.0,32.0,87.0,33.0,88.0,34.0,exceeded their potential,5.0
Luca Cigarini,L. Cigarini,173146,['CM'],Italy,Napoli,88,77,23,76.0,24.0,74.0,25.0,77.0,26.0,78.0,27.0,77.0,28.0,78.0,29.0,77.0,30.0,76.0,31.0,75.0,32.0,74.0,33.0,73.0,34.0,,,did not hit their potential,
Marek Hamsik,M. Hamšik,171877,['CAM'],Slovakia,Napoli,88,81,21,83.0,22.0,84.0,23.0,85.0,24.0,84.0,25.0,83.0,26.0,83.0,27.0,85.0,28.0,87.0,29.0,87.0,30.0,84.0,31.0,81.0,32.0,80.0,33.0,lived to expectations,8.0
Blaise Matuidi,B. Matuidi,170890,['CDM'],France,AS Saint-Étienne,88,77,22,75.0,23.0,78.0,24.0,77.0,25.0,81.0,26.0,83.0,27.0,84.0,28.0,86.0,29.0,85.0,30.0,85.0,31.0,85.0,32.0,83.0,33.0,79.0,34.0,did not hit their potential,
Erik Lamela,E. Lamela,170368,['ST'],Argentina,River Plate,88,60,17,59.0,18.0,74.0,19.0,77.0,20.0,81.0,21.0,78.0,22.0,79.0,23.0,81.0,24.0,80.0,25.0,80.0,26.0,80.0,27.0,80.0,28.0,78.0,29.0,did not hit their potential,
Carlos Vela,C. Vela,169416,['ST'],Mexico,Arsenal,88,76,20,77.0,21.0,74.0,22.0,77.0,23.0,82.0,24.0,82.0,25.0,82.0,26.0,81.0,27.0,82.0,28.0,81.0,29.0,83.0,30.0,83.0,31.0,83.0,32.0,did not hit their potential,
Renato Augusto,Renato Augusto,169195,['CAM'],Brazil,Bayer 04 Leverkusen,88,80,21,80.0,22.0,83.0,23.0,81.0,24.0,80.0,25.0,,,,,,,80.0,29.0,81.0,30.0,81.0,31.0,83.0,32.0,,,did not hit their potential,
Zdravko Kuzmanovic,Z. Kuzmanović,168650,['CM'],Serbia,VfB Stuttgart,88,77,21,77.0,22.0,77.0,23.0,77.0,24.0,75.0,25.0,75.0,26.0,74.0,27.0,76.0,28.0,74.0,29.0,72.0,30.0,70.0,31.0,,,,,did not hit their potential,
Mouhamadou Dabo,M. Dabo,168630,['RB'],France,AS Saint-Étienne,88,77,22,77.0,23.0,73.0,24.0,73.0,25.0,72.0,26.0,72.0,27.0,,,72.0,29.0,71.0,30.0,64.0,31.0,,,,,,,did not hit their potential,
Emiliano Viviano,E. Viviano,168354,['GK'],Italy,Bologna,88,71,23,76.0,24.0,80.0,25.0,79.0,26.0,78.0,27.0,77.0,28.0,78.0,29.0,82.0,30.0,82.0,31.0,83.0,32.0,82.0,33.0,,,72.0,35.0,did not hit their potential,
Theo Walcott,T. Walcott,164859,['RW'],England,Arsenal,88,81,20,81.0,21.0,82.0,22.0,81.0,23.0,81.0,24.0,81.0,25.0,81.0,26.0,81.0,27.0,80.0,28.0,79.0,29.0,77.0,30.0,76.0,31.0,76.0,32.0,did not hit their potential,
Billy Sharp,B. Sharp,163050,['ST'],England,Sheffield United,88,64,23,70.0,24.0,70.0,25.0,73.0,26.0,72.0,27.0,70.0,28.0,68.0,29.0,69.0,30.0,70.0,31.0,70.0,32.0,74.0,33.0,73.0,34.0,72.0,35.0,did not hit their potential,
Joao Moutinho,João Moutinho,162347,['CAM'],Portugal,Sporting CP,88,82,22,80.0,23.0,84.0,24.0,84.0,25.0,83.0,26.0,83.0,27.0,83.0,28.0,83.0,29.0,82.0,30.0,81.0,31.0,84.0,32.0,83.0,33.0,80.0,34.0,did not hit their potential,
Hatem Ben Arfa,H. Ben Arfa,161648,['RW'],France,Olympique de Marseille,88,78,22,78.0,23.0,79.0,24.0,81.0,25.0,79.0,26.0,78.0,27.0,79.0,28.0,84.0,29.0,81.0,30.0,,,,,75.0,33.0,75.0,34.0,did not hit their potential,
Ibrahim Afellay,I. Afellay,158372,['CAM'],Netherlands,PSV,88,80,23,79.0,24.0,82.0,25.0,81.0,26.0,79.0,27.0,76.0,28.0,77.0,29.0,79.0,30.0,78.0,31.0,75.0,32.0,74.0,33.0,,,,,did not hit their potential,
Raul Albiol,Raúl Albiol,157481,['CB'],Spain,Real Madrid CF,88,83,23,83.0,24.0,82.0,25.0,81.0,26.0,80.0,27.0,80.0,28.0,81.0,29.0,82.0,30.0,82.0,31.0,84.0,32.0,83.0,33.0,82.0,34.0,82.0,35.0,did not hit their potential,
Aiden Mcgeady,A. McGeady,155885,['LW'],Republic of Ireland,Celtic,88,80,23,80.0,24.0,81.0,25.0,82.0,26.0,79.0,27.0,78.0,28.0,76.0,29.0,75.0,30.0,75.0,31.0,73.0,32.0,73.0,33.0,71.0,34.0,70.0,35.0,did not hit their potential,
Pique,Piqué,152729,['CB'],Spain,FC Barcelona,88,82,22,85.0,23.0,88.0,24.0,86.0,25.0,86.0,26.0,84.0,27.0,85.0,28.0,86.0,29.0,87.0,30.0,87.0,31.0,88.0,32.0,86.0,33.0,84.0,34.0,lived to expectations,2.0
Guillermo Ochoa,G. Ochoa,140233,['GK'],Mexico,Mexico,88,80,23,79.0,24.0,76.0,25.0,77.0,26.0,78.0,27.0,80.0,28.0,80.0,29.0,80.0,30.0,79.0,31.0,77.0,32.0,78.0,33.0,79.0,34.0,80.0,35.0,did not hit their potential,
Mehmet Topal,M. Topal,124635,['CDM'],Turkey,Galatasaray SK,88,77,23,77.0,24.0,78.0,25.0,77.0,26.0,,,78.0,28.0,79.0,29.0,80.0,30.0,80.0,31.0,77.0,32.0,76.0,33.0,74.0,34.0,72.0,35.0,did not hit their potential,
Daniel Alberto Villalba,D. Villalba,190629,['CF'],Argentina,River Plate,87,61,16,68.0,17.0,65.0,18.0,66.0,19.0,69.0,20.0,69.0,21.0,70.0,22.0,73.0,23.0,73.0,24.0,72.0,25.0,71.0,26.0,,,,,did not hit their potential,
Fabio,Fábio,189680,['LWB'],Brazil,Manchester United,87,72,18,75.0,19.0,75.0,20.0,75.0,21.0,75.0,22.0,72.0,23.0,74.0,24.0,74.0,25.0,74.0,26.0,71.0,27.0,72.0,28.0,73.0,29.0,72.0,30.0,did not hit their potential,
Davide Santon,D. Santon,189484,['RWB'],Italy,Inter,87,78,18,77.0,19.0,75.0,20.0,75.0,21.0,75.0,22.0,75.0,23.0,76.0,24.0,76.0,25.0,76.0,26.0,75.0,27.0,75.0,28.0,75.0,29.0,74.0,30.0,did not hit their potential,
Ezequiel Munoz,E. Muñoz,186695,['CB'],Argentina,Boca Juniors,87,56,18,72.0,19.0,74.0,20.0,75.0,21.0,73.0,22.0,71.0,23.0,72.0,24.0,73.0,25.0,73.0,26.0,71.0,27.0,72.0,28.0,,,70.0,30.0,did not hit their potential,
Kieran Gibbs,K. Gibbs,186115,['LWB'],England,Arsenal,87,75,19,76.0,20.0,75.0,21.0,76.0,22.0,78.0,23.0,78.0,24.0,80.0,25.0,80.0,26.0,78.0,27.0,77.0,28.0,75.0,29.0,75.0,30.0,72.0,31.0,did not hit their potential,
Batuhan Karadeniz,B. Karadeniz,185428,['ST'],Turkey,Beşiktaş JK,87,70,18,68.0,19.0,,,,,,,69.0,23.0,70.0,24.0,,,,,,,,,,,,,did not hit their potential,
Sebastian Giovinco,S. Giovinco,184431,['CAM'],Italy,Juventus,87,81,22,77.0,23.0,81.0,24.0,82.0,25.0,79.0,26.0,76.0,27.0,81.0,28.0,83.0,29.0,82.0,30.0,82.0,31.0,81.0,32.0,80.0,33.0,76.0,34.0,did not hit their potential,
John Bostock,J. Bostock,184387,['CM'],England,Tottenham Hotspur,87,70,17,67.0,18.0,65.0,19.0,68.0,20.0,,,,,66.0,23.0,69.0,24.0,71.0,25.0,70.0,26.0,71.0,27.0,69.0,28.0,67.0,29.0,did not hit their potential,
Angel Di Maria,Á. Di María,183898,['LM'],Argentina,SL Benfica,87,78,21,82.0,22.0,84.0,23.0,86.0,24.0,86.0,25.0,86.0,26.0,85.0,27.0,87.0,28.0,85.0,29.0,84.0,30.0,86.0,31.0,87.0,32.0,87.0,33.0,lived to expectations,3.0
Neven Subotic,N. Subotic,183556,['CB'],Serbia,Borussia Dortmund,87,78,20,78.0,21.0,82.0,22.0,81.0,23.0,82.0,24.0,82.0,25.0,80.0,26.0,78.0,27.0,77.0,28.0,78.0,29.0,77.0,30.0,72.0,31.0,,,did not hit their potential,
Stevan Jovetic,S. Jovetić,181820,['CF'],Montenegro,Fiorentina,87,77,19,79.0,20.0,81.0,21.0,83.0,22.0,84.0,23.0,81.0,24.0,81.0,25.0,81.0,26.0,81.0,27.0,80.0,28.0,78.0,29.0,77.0,30.0,77.0,31.0,did not hit their potential,
Carlos Eduardo,Carlos Eduardo,181392,['CAM'],Brazil,TSG Hoffenheim,87,78,21,79.0,22.0,81.0,23.0,80.0,24.0,76.0,25.0,71.0,26.0,73.0,27.0,,,,,,,,,,,,,did not hit their potential,
Sami Khedira,S. Khedira,179846,['CDM'],Germany,VfB Stuttgart,87,78,22,80.0,23.0,81.0,24.0,83.0,25.0,84.0,26.0,84.0,27.0,83.0,28.0,83.0,29.0,84.0,30.0,84.0,31.0,83.0,32.0,81.0,33.0,,,did not hit their potential,
Loic Remy,L. Remy,179527,['RF'],France,OGC Nice,87,77,22,78.0,23.0,82.0,24.0,83.0,25.0,79.0,26.0,80.0,27.0,81.0,28.0,81.0,29.0,77.0,30.0,78.0,31.0,77.0,32.0,,,75.0,34.0,did not hit their potential,
Marouane Fellaini,M. Fellaini,176944,['CDM'],Belgium,Everton,87,80,21,81.0,22.0,79.0,23.0,81.0,24.0,81.0,25.0,79.0,26.0,78.0,27.0,78.0,28.0,79.0,29.0,79.0,30.0,76.0,31.0,75.0,32.0,75.0,33.0,did not hit their potential,
Sergio Romero,S. Romero,173373,['GK'],Argentina,Argentina,87,77,22,78.0,23.0,77.0,24.0,77.0,25.0,76.0,26.0,72.0,27.0,76.0,28.0,79.0,29.0,80.0,30.0,80.0,31.0,80.0,32.0,80.0,33.0,79.0,34.0,did not hit their potential,
Diego Capel,Diego Capel,171318,['LW'],Spain,Sevilla FC,87,80,21,79.0,22.0,78.0,23.0,80.0,24.0,79.0,25.0,77.0,26.0,76.0,27.0,76.0,28.0,,,71.0,30.0,,,,,,,did not hit their potential,
Diego Buonanotte,D. Buonanotte,170719,['CAM'],Argentina,River Plate,87,75,21,76.0,22.0,77.0,23.0,75.0,24.0,73.0,25.0,73.0,26.0,,,76.0,28.0,,,77.0,30.0,75.0,31.0,74.0,32.0,76.0,33.0,did not hit their potential,
Ramon,Ramon,168415,['CAM'],Brazil,Krylya Sovetov Samara,87,69,21,,,,,,,,,,,,,,,,,,,,,,,,,did not hit their potential,
Yohan Cabaye,Y. Cabaye,167943,['CM'],France,LOSC Lille,87,77,23,78.0,24.0,80.0,25.0,81.0,26.0,82.0,27.0,81.0,28.0,79.0,29.0,81.0,30.0,79.0,31.0,,,76.0,33.0,,,,,did not hit their potential,
Gonzalo Higuain,G. Higuaín,167664,['ST'],Argentina,Real Madrid CF,87,82,21,85.0,22.0,85.0,23.0,85.0,24.0,84.0,25.0,84.0,26.0,84.0,27.0,88.0,28.0,90.0,29.0,88.0,30.0,85.0,31.0,83.0,32.0,81.0,33.0,exceeded their potential,7.0
Fernando Gago,F. Gago,165517,['CM'],Argentina,Real Madrid CF,87,78,23,78.0,24.0,78.0,25.0,79.0,26.0,77.0,27.0,76.0,28.0,76.0,29.0,77.0,30.0,78.0,31.0,78.0,32.0,71.0,33.0,73.0,34.0,,,did not hit their potential,
Jakub Blaszczykowski,J. Błaszczykowski,164994,['RW'],Poland,Borussia Dortmund,87,80,23,77.0,24.0,77.0,25.0,80.0,26.0,83.0,27.0,82.0,28.0,80.0,29.0,79.0,30.0,76.0,31.0,75.0,32.0,75.0,33.0,75.0,34.0,70.0,35.0,did not hit their potential,
Chinedu Ogbuke Obasi,C. Obasi,164478,['ST'],Nigeria,TSG Hoffenheim,87,79,23,78.0,24.0,77.0,25.0,75.0,26.0,73.0,27.0,73.0,28.0,,,74.0,30.0,74.0,31.0,,,71.0,33.0,65.0,34.0,,,did not hit their potential,
Gabriel Agbonlahor,G. Agbonlahor,164469,['ST'],England,Aston Villa,87,82,22,76.0,23.0,75.0,24.0,74.0,25.0,73.0,26.0,73.0,27.0,73.0,28.0,73.0,29.0,69.0,30.0,,,,,,,,,did not hit their potential,
Bafetimbi Gomis,B. Gomis,159145,['ST'],France,Olympique Lyonnais,87,78,23,77.0,24.0,81.0,25.0,81.0,26.0,81.0,27.0,78.0,28.0,77.0,29.0,78.0,30.0,79.0,31.0,81.0,32.0,81.0,33.0,80.0,34.0,79.0,35.0,did not hit their potential,
Manuel Fernandes,Manuel Fernandes,157960,['CM'],Portugal,Valencia CF,87,79,23,76.0,24.0,,,,,,,79.0,28.0,77.0,29.0,80.0,30.0,80.0,31.0,81.0,32.0,,,,,74.0,35.0,did not hit their potential,
Ashley Young,A. Young,152908,['LW'],England,Aston Villa,87,84,23,83.0,24.0,85.0,25.0,82.0,26.0,82.0,27.0,78.0,28.0,80.0,29.0,79.0,30.0,75.0,31.0,80.0,32.0,77.0,33.0,77.0,34.0,78.0,35.0,did not hit their potential,
