Player name,Known as,player_id,position,nationality,team,Fifa 13 Potential rating,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Alan Dzagoev,A. Dzagoev,187735,"['RM', 'CAM', 'RW']",Russia,PFC CSKA Moscow,86,80,22,79,23,79,24,79,25,81,26,80,27,80,28,77,29,76,30,76,31
Yann Mvila,Y. M'Vila,187052,"['CDM', 'CM']",France,Stade Rennais FC,86,82,22,79,23,78,24,78,25,79,26,78,27,79,28,80,29,79,30,79,31
Kwadwo Asamoah,K. Asamoah,186832,"['CM', 'CDM', 'LM', 'CAM']",Ghana,Juventus,86,79,23,80,24,79,25,79,26,80,27,78,28,79,29,79,30,76,31,,
Wojciech Szczesny,W. Szczęsny,186153,['GK'],Poland,Arsenal,86,80,22,79,23,80,24,79,25,79,26,82,27,83,28,86,29,87,30,87,31
Andrea Poli,A. Poli,185174,"['CM', 'CAM', 'CDM']",Italy,U.C. Sampdoria,86,77,22,75,23,78,24,77,25,76,26,75,27,77,28,77,29,76,30,75,31
Pablo Piatti,P. Piatti,183899,"['LM', 'CAM', 'CF', 'LW']",Argentina,Valencia CF,86,74,23,73,24,78,25,80,26,78,27,79,28,79,29,78,30,78,31,77,32
Toni Kroos,T. Kroos,182521,"['CAM', 'CM', 'CDM', 'LM']",Germany,FC Bayern München,86,84,22,84,23,85,24,87,25,88,26,90,27,90,28,88,29,88,30,88,31
Javier Martinez Aginaga,Javi Martínez,177610,"['CDM', 'CB', 'CM']",Spain,FC Bayern München,86,83,23,84,24,85,25,84,26,84,27,86,28,84,29,84,30,81,31,,
Erik Lamela,E. Lamela,170368,"['CF', 'RW', 'LW', 'CAM']",Argentina,Roma,86,77,20,81,21,78,22,79,23,81,24,80,25,80,26,80,27,80,28,78,29
Armindo Tue Na Bangna,Bruma,211368,"['LW', 'RW']",Portugal,Sporting CP,85,68,17,75,18,76,19,76,20,77,21,81,22,79,23,78,24,76,25,76,26
Ibrahima Mbaye,I. Mbaye,210320,"['LB', 'RB', 'CB', 'CDM']",Senegal,Inter,85,71,17,62,18,65,19,64,20,70,21,69,22,73,23,73,24,73,25,72,26
Eduardo Vargas,E. Vargas,206655,"['CF', 'RW', 'LW', 'ST']",Chile,Napoli,85,75,22,77,23,77,24,78,25,77,26,75,27,76,28,77,29,75,30,,
Hector Canteros,H. Canteros,206154,"['CM', 'CAM', 'RM']",Argentina,Villarreal CF,85,73,23,76,24,,,,,74,27,,,,,74,30,,,71,32
Jetro Willems,J. Willems,205995,['LB'],Netherlands,PSV,85,71,18,72,19,72,20,78,21,79,22,77,23,76,24,75,25,77,26,73,27
Alessio Cragno,A. Cragno,205659,['GK'],Italy,Brescia,85,60,18,63,19,67,20,70,21,69,22,72,23,75,24,81,25,81,26,81,27
Prince Desir Gouano,P. Gouano,204886,['CB'],France,SS Virtus Lanciano,85,65,18,,,64,19,68,20,71,21,71,23,75,24,74,25,71,26,,
Kurt Zouma,K. Zouma,204311,['CB'],France,AS Saint-Étienne,85,73,17,74,18,74,19,77,20,80,21,79,22,78,23,80,24,80,25,81,26
Lucas Andersen,L. Andersen,203903,"['RW', 'LW', 'ST']",Denmark,Ajax,85,67,17,69,18,71,19,73,20,72,21,76,22,73,23,75,24,76,25,73,26
Nana Welbeck,N. Welbeck,203554,"['CM', 'CDM']",Ghana,Brescia,85,64,17,,,58,19,,,60,21,60,22,,,,,,,,
Wellington S Sanchez Aguiar,Wellington Nem,203279,"['CAM', 'CF', 'RW']",Brazil,Fluminense,85,77,20,72,21,74,22,73,23,75,24,,,75,26,,,,,70,29
Jack Butland,J. Butland,203042,['GK'],England,Birmingham City,85,69,19,71,20,72,21,74,22,82,23,81,24,81,25,78,26,74,27,73,28
Lucas Domingues Piazon,Lucas Piazon,203038,"['LW', 'CF', 'CAM']",Brazil,Chelsea,85,61,18,73,19,76,20,75,21,74,22,74,23,73,24,72,25,71,26,75,27
Fernando Lucas Martins,Fernando,202642,"['CDM', 'CM']",Brazil,Grêmio,85,75,20,76,21,76,22,76,23,78,24,79,25,78,26,78,27,79,28,77,29
Memphis Depay,M. Depay,202556,"['LW', 'ST', 'RW']",Netherlands,PSV,85,68,18,73,19,78,20,81,21,80,22,80,23,83,24,84,25,85,26,85,27
Julian Draxler,J. Draxler,202166,"['LM', 'CAM']",Germany,FC Schalke 04,85,75,18,80,19,80,20,80,21,84,22,84,23,83,24,83,25,80,26,80,27
Juan Sanchez Mino,J. Sánchez Miño,201953,"['LM', 'CM', 'LB']",Argentina,Boca Juniors,85,73,22,75,23,74,24,74,25,73,26,72,27,74,28,74,29,75,30,74,31
Tomas Kalas,T. Kalas,201122,['CB'],Czech Republic,Vitesse,85,72,19,71,20,74,21,74,22,72,23,74,24,72,25,72,26,71,27,72,28
Romulo Borges Monteiro,Rômulo,199935,"['CDM', 'CM']",Brazil,Spartak Moskva,85,76,21,75,22,75,23,76,24,77,25,,,,,,,76,29,,
John Guidetti,J. Guidetti,199602,['ST'],Sweden,Manchester City,85,73,20,73,21,71,22,74,23,76,24,78,25,79,26,76,27,74,28,73,29
Bo Kyung Kim,Kim Bo Kyung,199183,"['CAM', 'CM', 'RM']",Korea Republic,Korea Republic,85,70,22,72,23,71,24,,,72,26,73,27,71,28,72,29,74,30,72,31
Alex Oxlade Chamberlain,A. Oxlade-Chamberlain,198784,"['LW', 'RW', 'CAM', 'LM']",England,Arsenal,85,76,18,77,19,78,20,79,21,79,22,80,23,80,24,80,25,79,26,79,27
Richmond Boakye,R. Boakye,198726,['ST'],Ghana,U.S. Sassuolo Calcio,85,70,19,72,20,70,21,71,22,69,23,,,70,25,,,68,27,,
Josh Mceachran,J. McEachran,198704,"['CM', 'CDM', 'CAM']",England,Middlesbrough,85,71,19,71,20,70,21,72,22,72,23,69,24,69,25,,,68,27,64,28
Lorenzo Insigne,L. Insigne,198219,"['CF', 'LW', 'CAM']",Italy,Napoli,85,75,21,76,22,78,23,81,24,83,25,85,26,88,27,87,28,85,29,86,30
Luc Castaignos,L. Castaignos,198175,"['ST', 'LW']",Netherlands,FC Twente,85,74,19,72,20,73,21,75,22,76,23,73,24,70,25,67,26,,,,
Aymen Abdennour,A. Abdennour,198076,['CB'],Tunisia,Toulouse Football Club,85,78,22,79,23,80,24,81,25,80,26,77,27,73,28,72,29,,,,
Willian Jose Da Silva,Willian José,195093,"['ST', 'CF']",Brazil,São Paulo,85,71,20,71,21,,,70,23,78,24,82,25,83,26,82,27,80,28,77,29
Dejan Lovren,D. Lovren,195086,"['CB', 'RB', 'LB']",Croatia,Olympique Lyonnais,85,79,22,78,23,79,24,79,25,82,26,81,27,81,28,80,29,,,,
Filip Duricic,F. Đuričić,193881,"['CAM', 'CF']",Serbia,SC Heerenveen,85,76,20,77,21,75,22,76,23,76,24,74,25,74,26,74,27,75,28,76,29
Andre Schurrle,A. Schürrle,193130,"['LM', 'LW', 'CF', 'ST']",Germany,Bayer 04 Leverkusen,85,79,21,80,22,81,23,80,24,81,25,80,26,78,27,76,28,,,,
Holger Badstuber,H. Badstuber,192620,"['CB', 'LB', 'CDM']",Germany,FC Bayern München,85,83,23,81,24,80,25,80,26,79,27,78,28,79,29,75,30,72,31,67,32
Bernd Leno,B. Leno,192563,['GK'],Germany,Bayer 04 Leverkusen,85,79,20,80,21,82,22,84,23,86,24,85,25,84,26,84,27,85,28,83,29
Ciro Immobile,C. Immobile,192387,['ST'],Italy,Genoa,85,76,22,75,23,80,24,79,25,80,26,82,27,87,28,86,29,87,30,87,31
Georgiy Schennikov,G. Schennikov,192087,"['LB', 'LWB', 'LM']",Russia,PFC CSKA Moscow,85,73,21,72,22,73,23,75,24,76,25,75,26,75,27,74,28,75,29,74,30
Eduardo Salvio,E. Salvio,190972,"['RM', 'RW', 'CF', 'LM']",Argentina,SL Benfica,85,77,21,79,22,79,23,80,24,79,25,80,26,81,27,80,28,81,29,80,30
Guido Marilungo,G. Marilungo,189728,"['CF', 'RW', 'LW', 'CAM']",Italy,Atalanta,85,74,22,72,23,69,24,71,25,72,26,71,27,71,28,,,,,,
Tom Cleverley,T. Cleverley,189725,"['CAM', 'CM', 'LM']",England,Manchester United,85,78,22,78,23,74,24,77,25,78,26,76,27,76,28,76,29,75,30,74,31
Iker Muniain Goni,Muniaín,189575,"['LW', 'RW', 'CF']",Spain,Athletic Club de Bilbao,85,80,19,78,20,80,21,80,22,78,23,78,24,80,25,82,26,83,27,83,28
Kyle Walker,K. Walker,188377,['RB'],England,Tottenham Hotspur,85,78,22,79,23,77,24,79,25,81,26,83,27,84,28,84,29,85,30,85,31
Paulo Henrique Chagas De Lima,Ganso,187688,"['CAM', 'CM']",Brazil,Santos,85,80,22,77,23,,,,,81,26,80,27,75,28,,,,,,
Kyriakos Papadopoulos,K. Papadopoulos,184477,"['CB', 'CDM']",Greece,FC Schalke 04,85,78,20,78,21,78,22,79,23,79,24,79,25,78,26,76,27,,,71,29
Jack Rodwell,J. Rodwell,183465,"['CM', 'CDM']",England,Manchester City,85,77,21,77,22,76,23,76,24,76,25,74,26,,,,,,,67,30
Andre Ayew,A. Ayew,176571,"['LM', 'LW', 'CM']",Ghana,Olympique de Marseille,85,81,22,80,23,78,24,79,25,80,26,80,27,77,28,76,29,76,30,,
Theo Walcott,T. Walcott,164859,"['RW', 'RM', 'CAM', 'ST']",England,Arsenal,85,81,23,81,24,81,25,81,26,81,27,80,28,79,29,77,30,76,31,76,32
Daniele Rugani,D. Rugani,211320,['CB'],Italy,Juventus,84,63,17,64,18,67,19,78,20,79,21,80,22,82,23,82,24,80,25,77,26
Alessio Romagnoli,A. Romagnoli,210413,['CB'],Italy,Roma,84,67,17,68,18,71,19,75,20,78,21,79,22,82,23,83,24,83,25,82,26
Leon Goretzka,L. Goretzka,209658,"['CM', 'RM', 'CDM', 'CAM']",Germany,VfL Bochum 1848,84,59,17,68,18,73,19,74,20,79,21,82,22,83,23,84,24,84,25,87,26
Nathan Ake,N. Ake,208920,"['CB', 'CDM']",Netherlands,Chelsea,84,59,17,67,18,67,19,69,20,72,21,75,22,79,23,80,24,79,25,78,26
Samuele Longo,S. Longo,208251,"['ST', 'CF']",Italy,RCD Espanyol de Barcelona,84,70,20,69,21,68,22,72,23,69,24,71,25,73,26,71,27,68,28,,
Patricio Rodriguez,P. Rodríguez,207454,"['RM', 'LM', 'RW', 'LW']",Argentina,Santos,84,75,22,75,23,,,,,,,71,27,,,69,29,68,30,72,31
Yassine Benzia,Y. Benzia,206436,"['ST', 'CF']",France,Olympique Lyonnais,84,63,17,67,18,66,19,67,20,73,21,76,22,75,23,73,24,71,25,70,26
Christian Atsu,C. Atsu,205601,"['LW', 'RW']",Ghana,FC Porto,84,76,20,76,21,75,22,76,23,76,24,75,25,75,26,74,27,74,28,72,29
James Ward Prowse,J. Ward-Prowse,205569,['CM'],England,Southampton,84,64,17,70,18,74,19,74,20,76,21,78,22,77,23,79,24,79,25,81,26
Tonny Vilhena,T. Vilhena,203535,"['CM', 'CAM']",Netherlands,Feyenoord,84,66,17,73,18,73,19,73,20,76,21,78,22,77,23,78,24,,,76,26
W Leandro De Oliveira Moura,Leandro,203431,"['CF', 'ST']",Brazil,Grêmio,84,73,19,75,20,,,,,,,67,24,67,25,67,26,68,27,72,28
Andre Carrillo,A. Carrillo,203299,"['RW', 'CF']",Peru,Sporting CP,84,77,21,77,22,77,23,80,24,80,25,77,26,78,27,78,28,79,29,79,30
Raheem Sterling,R. Sterling,202652,"['LW', 'RW']",England,Liverpool,84,69,17,76,18,80,19,82,20,82,21,82,22,85,23,88,24,88,25,88,26
Felipe Anderson Pereira Gomes,Felipe Anderson,201995,"['CAM', 'CF']",Brazil,Santos,84,70,19,73,20,73,21,79,22,79,23,81,24,82,25,84,26,81,27,78,28
Michele Camporese,M. Camporese,201914,['CB'],Italy,Fiorentina,84,72,20,66,21,65,22,67,23,68,24,69,25,69,26,70,27,,,,
Ahmed Musa,A. Musa,201818,"['RM', 'ST']",Nigeria,PFC CSKA Moscow,84,72,19,76,20,75,21,76,22,78,23,76,24,75,25,73,26,73,27,72,28
Raphael Varane,R. Varane,201535,"['CB', 'CDM']",France,Real Madrid CF,84,76,19,81,20,81,21,82,22,84,23,85,24,86,25,85,26,86,27,86,28
Andre Renato Soares Martins,André Martins,200962,"['CM', 'CAM']",Portugal,Sporting CP,84,74,22,74,23,75,24,76,25,76,26,74,27,,,73,29,70,30,70,31
Juan Isaac Cuenca Lopez,Isaac Cuenca,200735,"['RW', 'LW', 'CAM', 'CF']",Spain,FC Barcelona,84,75,21,75,22,73,23,70,24,73,25,,,,,72,28,71,29,,
Jan Oblak,J. Oblak,200389,['GK'],Slovenia,Rio Ave FC,84,74,19,74,20,77,21,81,22,87,23,88,24,90,25,91,26,91,27,91,28
Filippo Boniperti,F. Boniperti,199825,"['CF', 'LW', 'RW', 'CAM']",Italy,Empoli,84,62,20,64,21,55,22,,,,,,,,,,,,,,
Luca Caldirola,L. Caldirola,199776,"['CB', 'LB']",Italy,Cesena,84,70,21,70,22,73,23,74,24,75,25,75,26,72,27,72,28,71,29,71,30
Ezequiel Cirigliano,E. Cirigliano,199666,"['CDM', 'CM']",Argentina,River Plate,84,72,20,72,21,72,22,69,23,,,,,,,,,,,66,29
Sergio Roberto Carnicer,Sergi Roberto,199564,"['CM', 'CDM']",Spain,FC Barcelona,84,72,20,74,21,75,22,78,23,79,24,81,25,84,26,82,27,83,28,81,29
Granit Xhaka,G. Xhaka,199503,"['CM', 'CAM', 'CDM']",Switzerland,Borussia Mönchengladbach,84,75,19,74,20,76,21,81,22,84,23,82,24,81,25,81,26,80,27,79,28
Dusan Tadic,D. Tadić,199434,"['RW', 'LW', 'CAM']",Serbia,FC Twente,84,79,23,80,24,80,25,79,26,79,27,80,28,80,29,84,30,83,31,84,32
Danilo Luiz Da Silva,Danilo,199304,"['RB', 'CM']",Brazil,FC Porto,84,77,20,77,21,77,22,81,23,80,24,78,25,79,26,79,27,79,28,81,29
Ross Barkley,R. Barkley,199189,"['CAM', 'RM']",England,Everton,84,70,18,72,19,78,20,79,21,81,22,81,23,79,24,79,25,78,26,78,27
Nathan Redmond,N. Redmond,198719,"['RM', 'LM', 'CAM']",England,Birmingham City,84,69,18,70,19,73,20,74,21,75,22,77,23,75,24,77,25,78,26,76,27
Serigne Kara,S. Kara,198584,"['CDM', 'CB', 'CM']",Senegal,Tromsø IL,84,78,22,73,23,73,24,75,25,75,26,78,27,78,28,,,,,,
Stefan De Vrij,S. de Vrij,198176,"['CB', 'RB']",Netherlands,Feyenoord,84,74,20,76,21,78,22,82,23,82,24,83,25,84,26,84,27,84,28,85,29
Sergio Araujo,S. Araujo,198145,['ST'],Argentina,FC Barcelona B,84,69,20,73,21,68,22,75,23,75,24,74,25,74,26,70,27,69,28,72,29
Lorenzo Crisetig,L. Crisetig,197926,"['CM', 'CAM', 'CDM']",Italy,Spezia,84,69,19,66,20,70,21,73,22,73,23,73,24,74,25,74,26,,,,
Francisco Roman Alarcon Suarez,Isco,197781,"['CAM', 'LM', 'CF']",Spain,Málaga CF,84,79,20,84,21,83,22,84,23,84,24,86,25,89,26,86,27,84,28,82,29
Federico Carraro,F. Carraro,197690,"['CAM', 'CF', 'CM']",Italy,FC Pro Vercelli 1892,84,66,20,,,,,,,,,,,,,,,,,,
Giannis Fetfatzidis,G. Fetfatzidis,197117,"['CAM', 'RW', 'LW']",Greece,Olympiacos CFP,84,74,21,74,22,75,23,75,24,77,25,76,26,76,27,,,73,29,,
