Player name,Known as,player_id,position,nationality,team,Fifa 16 Potential rating,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 16 outcome,Year potential reached
Julian Brandt,J. Brandt,212194,"['LM', 'RM', 'CAM']",Germany,Bayer 04 Leverkusen,88,74,19,79.0,20.0,80.0,21.0,82.0,22.0,84.0,23.0,84.0,24.0,81.0,25.0,did not hit their potential,
Niklas Sule,N. Süle,212190,['CB'],Germany,TSG Hoffenheim,88,78,19,81.0,20.0,83.0,21.0,84.0,22.0,85.0,23.0,84.0,24.0,82.0,25.0,still has time,
Maximilian Meyer,M. Meyer,212150,"['CAM', 'CM']",Germany,FC Schalke 04,88,78,19,80.0,20.0,79.0,21.0,79.0,22.0,78.0,23.0,76.0,24.0,72.0,25.0,did not hit their potential,
Daniele Rugani,D. Rugani,211320,['CB'],Italy,Juventus,88,78,20,79.0,21.0,80.0,22.0,82.0,23.0,82.0,24.0,80.0,25.0,77.0,26.0,did not hit their potential,
Paulo Dybala,P. Dybala,211110,['ST'],Argentina,Juventus,88,78,21,85.0,22.0,88.0,23.0,89.0,24.0,88.0,25.0,88.0,26.0,87.0,27.0,lived to expectations,2.0
William Silva De Carvalho,William Carvalho,207566,"['CDM', 'CM']",Portugal,Sporting CP,88,81,23,84.0,24.0,83.0,25.0,84.0,26.0,83.0,27.0,80.0,28.0,78.0,29.0,did not hit their potential,
Luke Shaw,L. Shaw,205988,['LB'],England,Manchester United,88,77,19,80.0,20.0,79.0,21.0,78.0,22.0,81.0,23.0,81.0,24.0,84.0,25.0,did not hit their potential,
Raheem Sterling,R. Sterling,202652,"['LM', 'ST', 'RM']",England,Manchester City,88,82,20,82.0,21.0,82.0,22.0,85.0,23.0,88.0,24.0,88.0,25.0,88.0,26.0,lived to expectations,4.0
Layvin Kurzawa,L. Kurzawa,201510,['LB'],France,Paris Saint-Germain,88,80,22,81.0,23.0,80.0,24.0,79.0,25.0,77.0,26.0,77.0,27.0,76.0,28.0,did not hit their potential,
Alvaro Borja Morata Martin,Morata,201153,['ST'],Spain,Juventus,88,81,22,82.0,23.0,84.0,24.0,83.0,25.0,83.0,26.0,82.0,27.0,83.0,28.0,did not hit their potential,
Francisco Alcacer Garcia,Paco Alcácer,200454,"['ST', 'CF']",Spain,Valencia CF,88,80,21,81.0,22.0,79.0,23.0,79.0,24.0,83.0,25.0,81.0,26.0,81.0,27.0,did not hit their potential,
Mattia Perin,M. Perin,198009,['GK'],Italy,Genoa,88,81,22,83.0,23.0,83.0,24.0,84.0,25.0,82.0,26.0,82.0,27.0,80.0,28.0,did not hit their potential,
David Alaba,D. Alaba,197445,"['LB', 'CM', 'CB', 'CDM']",Austria,FC Bayern München,88,85,23,87.0,24.0,86.0,25.0,85.0,26.0,85.0,27.0,84.0,28.0,84.0,29.0,lived to expectations,1.0
Bernd Leno,B. Leno,192563,['GK'],Germany,Bayer 04 Leverkusen,88,84,23,86.0,24.0,85.0,25.0,84.0,26.0,84.0,27.0,85.0,28.0,83.0,29.0,did not hit their potential,
Marc Andre Ter Stegen,M. ter Stegen,192448,['GK'],Germany,FC Barcelona,88,82,23,83.0,24.0,85.0,25.0,89.0,26.0,90.0,27.0,90.0,28.0,90.0,29.0,exceeded their potential,3.0
Mario Gotze,M. Götze,192318,"['CAM', 'LM', 'CF', 'CM']",Germany,FC Bayern München,88,84,23,84.0,24.0,81.0,25.0,82.0,26.0,82.0,27.0,,,82.0,29.0,did not hit their potential,
Philippe Coutinho Correia,Coutinho,189242,"['CAM', 'LW', 'CM']",Brazil,Liverpool,88,84,23,85.0,24.0,86.0,25.0,88.0,26.0,86.0,27.0,83.0,28.0,82.0,29.0,lived to expectations,3.0
Oscar Dos Santos Emboaba,Oscar,188152,"['CAM', 'RM']",Brazil,Chelsea,88,84,23,83.0,24.0,83.0,25.0,82.0,26.0,83.0,27.0,83.0,28.0,82.0,29.0,did not hit their potential,
Danilo Barbosa Da Silva,Danilo,223517,"['CDM', 'CM']",Brazil,Valencia CF,87,78,19,79.0,20.0,74.0,21.0,76.0,22.0,75.0,23.0,74.0,24.0,72.0,25.0,still has time,
Daniel Ceballos Fernandez,Dani Ceballos,222509,"['LM', 'CM']",Spain,Real Betis Balompié,87,73,18,77.0,19.0,78.0,20.0,78.0,21.0,81.0,22.0,80.0,23.0,77.0,24.0,still has time,
Marco Asensio Willemsen,Marco Asensio,220834,"['CAM', 'LM', 'RM']",Spain,RCD Espanyol de Barcelona,87,75,19,81.0,20.0,84.0,21.0,85.0,22.0,83.0,23.0,82.0,24.0,83.0,25.0,did not hit their potential,
Alen Halilovic,A. Halilović,216349,"['CM', 'RW', 'CF']",Croatia,Real Sporting de Gijón,87,73,19,79.0,20.0,77.0,21.0,76.0,22.0,72.0,23.0,71.0,24.0,69.0,25.0,did not hit their potential,
Angel Correa,Á. Correa,214997,"['ST', 'CAM']",Argentina,Atlético de Madrid,87,76,20,79.0,21.0,79.0,22.0,80.0,23.0,82.0,24.0,82.0,25.0,83.0,26.0,did not hit their potential,
Hachim Mastour,H. Mastour,212455,"['CAM', 'CF', 'RW']",Morocco,AC Milan,87,67,17,68.0,18.0,,,,,,,,,,,did not hit their potential,
Aymeric Laporte,A. Laporte,212218,['CB'],France,Athletic Club de Bilbao,87,83,21,84.0,22.0,84.0,23.0,83.0,24.0,87.0,25.0,87.0,26.0,86.0,27.0,lived to expectations,4.0
Jose Luis Gaya Pena,Gayà,211688,['LB'],Spain,Valencia CF,87,80,20,80.0,21.0,79.0,22.0,79.0,23.0,81.0,24.0,83.0,25.0,83.0,26.0,did not hit their potential,
Andre Filipe Tavares Gomes,André Gomes,211575,"['CM', 'CAM', 'CDM']",Portugal,Valencia CF,87,80,21,84.0,22.0,82.0,23.0,80.0,24.0,80.0,25.0,79.0,26.0,77.0,27.0,did not hit their potential,
Alessio Romagnoli,A. Romagnoli,210413,"['CB', 'LB']",Italy,AC Milan,87,75,20,78.0,21.0,79.0,22.0,82.0,23.0,83.0,24.0,83.0,25.0,82.0,26.0,did not hit their potential,
Mohamed Salah,M. Salah,209331,['RW'],Egypt,Roma,87,80,23,81.0,24.0,83.0,25.0,88.0,26.0,90.0,27.0,90.0,28.0,89.0,29.0,exceeded their potential,3.0
Quincy Promes,Q. Promes,208808,"['RW', 'RM', 'LW']",Netherlands,Spartak Moskva,87,80,23,81.0,24.0,82.0,25.0,83.0,26.0,82.0,27.0,82.0,28.0,80.0,29.0,did not hit their potential,
Oliver Torres Munoz,Óliver Torres,208777,"['CAM', 'RW']",Spain,Atlético de Madrid,87,79,20,79.0,21.0,79.0,22.0,78.0,23.0,78.0,24.0,77.0,25.0,77.0,26.0,did not hit their potential,
Marcos Aoas Correa,Marquinhos,207865,"['CB', 'RB']",Brazil,Paris Saint-Germain,87,81,21,82.0,22.0,83.0,23.0,84.0,24.0,86.0,25.0,85.0,26.0,87.0,27.0,lived to expectations,4.0
Kepa Arrizabalaga,Kepa Arrizabalaga,206585,['GK'],Spain,Real Valladolid CF,87,74,20,73.0,21.0,79.0,22.0,83.0,23.0,84.0,24.0,82.0,25.0,79.0,26.0,still has time,
Kurt Zouma,K. Zouma,204311,"['CB', 'RB']",France,Chelsea,87,77,20,80.0,21.0,79.0,22.0,78.0,23.0,80.0,24.0,80.0,25.0,81.0,26.0,did not hit their potential,
John Stones,J. Stones,203574,"['CB', 'RB']",England,Everton,87,77,21,78.0,22.0,79.0,23.0,82.0,24.0,83.0,25.0,80.0,26.0,83.0,27.0,did not hit their potential,
Felipe Anderson Pereira Gomes,Felipe Anderson,201995,"['LW', 'RW', 'CAM']",Brazil,Lazio,87,79,22,79.0,23.0,81.0,24.0,82.0,25.0,84.0,26.0,81.0,27.0,78.0,28.0,did not hit their potential,
Timo Horn,T. Horn,200316,['GK'],Germany,1. FC Köln,87,79,22,82.0,23.0,84.0,24.0,83.0,25.0,81.0,26.0,77.0,27.0,76.0,28.0,did not hit their potential,
Danilo Luiz Da Silva,Danilo,199304,['RB'],Brazil,Real Madrid CF,87,81,23,80.0,24.0,78.0,25.0,79.0,26.0,79.0,27.0,79.0,28.0,81.0,29.0,did not hit their potential,
Ross Barkley,R. Barkley,199189,"['CAM', 'LM']",England,Everton,87,79,21,81.0,22.0,81.0,23.0,79.0,24.0,79.0,25.0,78.0,26.0,78.0,27.0,did not hit their potential,
Stefan De Vrij,S. de Vrij,198176,['CB'],Netherlands,Lazio,87,82,23,82.0,24.0,83.0,25.0,84.0,26.0,84.0,27.0,84.0,28.0,85.0,29.0,did not hit their potential,
Jorge Resurreccion,Koke,193747,"['CAM', 'LM', 'RM', 'CM']",Spain,Atlético de Madrid,87,83,23,84.0,24.0,84.0,25.0,85.0,26.0,85.0,27.0,85.0,28.0,85.0,29.0,did not hit their potential,
Ricardo Rodriguez,R. Rodriguez,193352,['LB'],Switzerland,VfL Wolfsburg,87,83,22,83.0,23.0,81.0,24.0,80.0,25.0,80.0,26.0,78.0,27.0,76.0,28.0,did not hit their potential,
Shkodran Mustafi,S. Mustafi,192227,['CB'],Germany,Valencia CF,87,82,23,83.0,24.0,84.0,25.0,82.0,26.0,79.0,27.0,78.0,28.0,74.0,29.0,did not hit their potential,
Christian Eriksen,C. Eriksen,190460,"['CAM', 'LM']",Denmark,Tottenham Hotspur,87,83,23,84.0,24.0,87.0,25.0,88.0,26.0,88.0,27.0,85.0,28.0,82.0,29.0,lived to expectations,2.0
Jesus Vallejo Lazaro,Vallejo,225161,"['CB', 'RB']",Spain,Real Zaragoza,86,74,18,73.0,19.0,77.0,20.0,78.0,21.0,77.0,22.0,76.0,23.0,75.0,24.0,still has time,
Ruben Diogo Da Silva Neves,Rúben Neves,224293,"['CDM', 'CM']",Portugal,FC Porto,86,74,18,75.0,19.0,77.0,20.0,79.0,21.0,82.0,22.0,82.0,23.0,82.0,24.0,still has time,
Jairo Riedewald,J. Riedewald,221269,"['CB', 'LB', 'CDM']",Netherlands,Ajax,86,75,18,76.0,19.0,74.0,20.0,74.0,21.0,72.0,22.0,71.0,23.0,75.0,24.0,still has time,
Antonio Sanabria,A. Sanabria,219932,['ST'],Paraguay,Real Sporting de Gijón,86,73,19,78.0,20.0,78.0,21.0,79.0,22.0,77.0,23.0,74.0,24.0,74.0,25.0,still has time,
Corentin Tolisso,C. Tolisso,219683,"['CM', 'CDM', 'LB', 'RB']",France,Olympique Lyonnais,86,77,20,78.0,21.0,82.0,22.0,83.0,23.0,83.0,24.0,80.0,25.0,80.0,26.0,did not hit their potential,
Bernardo Mota Carvalho E Silva,Bernardo Silva,218667,"['RM', 'CAM', 'CM']",Portugal,AS Monaco,86,79,20,81.0,21.0,84.0,22.0,84.0,23.0,87.0,24.0,87.0,25.0,86.0,26.0,lived to expectations,4.0
Vaclav Cerny,V. Černý,216860,['LW'],Czech Republic,Ajax,86,66,17,69.0,18.0,70.0,19.0,68.0,20.0,68.0,21.0,66.0,22.0,71.0,23.0,still has time,
Jose Maria Gimenez,J. Giménez,216460,['CB'],Uruguay,Atlético de Madrid,86,78,20,83.0,21.0,83.0,22.0,84.0,23.0,85.0,24.0,84.0,25.0,84.0,26.0,lived to expectations,4.0
Tin Jedvaj,T. Jedvaj,215930,"['CB', 'RB', 'LB']",Croatia,Bayer 04 Leverkusen,86,75,19,75.0,20.0,76.0,21.0,76.0,22.0,75.0,23.0,75.0,24.0,73.0,25.0,still has time,
Balde Diao Keita,B. Keita,215785,"['LW', 'RW', 'ST']",Spain,Lazio,86,76,20,78.0,21.0,82.0,22.0,80.0,23.0,80.0,24.0,76.0,25.0,76.0,26.0,did not hit their potential,
Bartlomiej Dragowski,B. Drągowski,215502,['GK'],Poland,Jagiellonia Białystok,86,71,17,71.0,18.0,71.0,19.0,71.0,20.0,73.0,21.0,75.0,22.0,77.0,23.0,still has time,
Nikola Maksimovic,N. Maksimović,215466,['CB'],Serbia,Torino F.C.,86,80,23,81.0,24.0,79.0,25.0,78.0,26.0,78.0,27.0,77.0,28.0,73.0,29.0,did not hit their potential,
Jonathan Tah,J. Tah,213331,['CB'],Germany,Bayer 04 Leverkusen,86,73,19,79.0,20.0,82.0,21.0,83.0,22.0,83.0,23.0,79.0,24.0,78.0,25.0,still has time,
Nabil Bentaleb,N. Bentaleb,213296,"['CM', 'CDM']",Algeria,Tottenham Hotspur,86,75,20,75.0,21.0,80.0,22.0,79.0,23.0,77.0,24.0,75.0,25.0,73.0,26.0,did not hit their potential,
Divock Origi,D. Origi,213135,"['ST', 'LW', 'RW']",Belgium,Liverpool,86,76,20,78.0,21.0,78.0,22.0,77.0,23.0,78.0,24.0,77.0,25.0,76.0,26.0,did not hit their potential,
Levin Oztunali,L. Öztunali,213134,"['CAM', 'CM', 'CDM']",Germany,SV Werder Bremen,86,71,19,74.0,20.0,76.0,21.0,74.0,22.0,73.0,23.0,73.0,24.0,72.0,25.0,did not hit their potential,
Anthony Martial,A. Martial,211300,['ST'],France,AS Monaco,86,77,19,82.0,20.0,82.0,21.0,83.0,22.0,83.0,23.0,84.0,24.0,81.0,25.0,still has time,
Chancel Mbemba,C. Mbemba,210897,['CB'],Congo DR,Newcastle United,86,77,20,77.0,21.0,76.0,22.0,75.0,23.0,73.0,24.0,75.0,25.0,79.0,26.0,did not hit their potential,
Juan Fernando Quintero,J. Quintero,210513,['CAM'],Colombia,FC Porto,86,78,22,79.0,23.0,77.0,24.0,78.0,25.0,80.0,26.0,79.0,27.0,79.0,28.0,did not hit their potential,
Fabio Henrique Tavares,Fabinho,209499,"['RB', 'CDM']",Brazil,AS Monaco,86,78,21,79.0,22.0,83.0,23.0,85.0,24.0,85.0,25.0,87.0,26.0,86.0,27.0,lived to expectations,3.0
Ryan Gauld,R. Gauld,208919,"['CAM', 'LM']",Scotland,Sporting CP,86,73,19,73.0,20.0,73.0,21.0,71.0,22.0,,,70.0,24.0,75.0,25.0,did not hit their potential,
Adnan Januzaj,A. Januzaj,208330,"['LM', 'RM']",Belgium,Manchester United,86,75,20,76.0,21.0,77.0,22.0,78.0,23.0,79.0,24.0,80.0,25.0,81.0,26.0,did not hit their potential,
Luciano Vietto,L. Vietto,207441,['ST'],Argentina,Atlético de Madrid,86,79,21,79.0,22.0,79.0,23.0,76.0,24.0,74.0,25.0,78.0,26.0,75.0,27.0,did not hit their potential,
Mateo Kovacic,M. Kovačić,207410,['CM'],Croatia,Real Madrid CF,86,78,21,79.0,22.0,82.0,23.0,83.0,24.0,82.0,25.0,83.0,26.0,83.0,27.0,did not hit their potential,
Jetro Willems,J. Willems,205995,['LB'],Netherlands,PSV,86,78,21,79.0,22.0,77.0,23.0,76.0,24.0,75.0,25.0,77.0,26.0,73.0,27.0,did not hit their potential,
Daniele Baselli,D. Baselli,205407,"['CM', 'CDM']",Italy,Torino F.C.,86,78,23,79.0,24.0,79.0,25.0,79.0,26.0,79.0,27.0,77.0,28.0,76.0,29.0,did not hit their potential,
Johannes Geis,J. Geis,202087,"['CDM', 'CM']",Germany,FC Schalke 04,86,79,21,79.0,22.0,77.0,23.0,75.0,24.0,74.0,25.0,73.0,26.0,71.0,27.0,did not hit their potential,
Roberto Firmino Barbosa De Oliveira,Roberto Firmino,201942,"['CAM', 'CF']",Brazil,Liverpool,86,82,23,82.0,24.0,83.0,25.0,86.0,26.0,86.0,27.0,87.0,28.0,85.0,29.0,lived to expectations,3.0
Jan Oblak,J. Oblak,200389,['GK'],Slovenia,Atlético de Madrid,86,81,22,87.0,23.0,88.0,24.0,90.0,25.0,91.0,26.0,91.0,27.0,91.0,28.0,exceeded their potential,1.0
Romelu Lukaku,R. Lukaku,192505,['ST'],Belgium,Everton,86,80,22,84.0,23.0,86.0,24.0,87.0,25.0,85.0,26.0,85.0,27.0,88.0,28.0,exceeded their potential,2.0
Stephan El Shaarawy,S. El Shaarawy,190813,['LW'],Italy,AS Monaco,86,80,22,81.0,23.0,80.0,24.0,81.0,25.0,82.0,26.0,79.0,27.0,79.0,28.0,did not hit their potential,
Gelson Dany Batalha Martins,Gelson Martins,227055,"['RM', 'LM']",Portugal,Sporting CP,85,74,20,78.0,21.0,81.0,22.0,82.0,23.0,82.0,24.0,80.0,25.0,78.0,26.0,did not hit their potential,
Fabian Ruiz Pena,Fabián,226271,['CAM'],Spain,Real Betis Balompié,85,69,19,71.0,20.0,70.0,21.0,81.0,22.0,83.0,23.0,82.0,24.0,82.0,25.0,did not hit their potential,
Steven Bergwijn,S. Bergwijn,225953,['LW'],Netherlands,PSV,85,66,17,69.0,18.0,74.0,19.0,76.0,20.0,82.0,21.0,83.0,22.0,80.0,23.0,still has time,
Kelechi Iheanacho,K. Iheanacho,225719,['ST'],Nigeria,Manchester City,85,67,18,74.0,19.0,75.0,20.0,75.0,21.0,73.0,22.0,74.0,23.0,78.0,24.0,still has time,
Andre Campos Moreira,André Moreira,224953,['GK'],Portugal,União da Madeira,85,70,19,70.0,20.0,70.0,21.0,71.0,22.0,66.0,23.0,66.0,24.0,66.0,25.0,still has time,
Francois Kamano,F. Kamano,224218,"['RM', 'LM']",Guinea,SC Bastia,85,71,19,72.0,20.0,75.0,21.0,75.0,22.0,76.0,23.0,75.0,24.0,75.0,25.0,did not hit their potential,
Nathan Allan De Souza,Nathan,222060,"['CAM', 'RW', 'LW']",Brazil,Vitesse,85,72,19,71.0,20.0,71.0,21.0,,,71.0,23.0,,,,,did not hit their potential,
Godfred Donsah,G. Donsah,221695,['CM'],Ghana,Bologna,85,69,19,75.0,20.0,75.0,21.0,76.0,22.0,75.0,23.0,70.0,24.0,70.0,25.0,did not hit their potential,
Munir El Haddadi,Munir,220253,"['RW', 'LW', 'ST']",Spain,FC Barcelona,85,73,19,74.0,20.0,75.0,21.0,78.0,22.0,79.0,23.0,79.0,24.0,79.0,25.0,did not hit their potential,
Nabil Fekir,N. Fékir,216594,"['ST', 'CAM', 'RW', 'LW']",France,Olympique Lyonnais,85,79,21,81.0,22.0,82.0,23.0,85.0,24.0,84.0,25.0,83.0,26.0,84.0,27.0,lived to expectations,3.0
Wendell Nascimento Borges,Wendell,216466,['LB'],Brazil,Bayer 04 Leverkusen,85,77,21,78.0,22.0,77.0,23.0,78.0,24.0,77.0,25.0,77.0,26.0,75.0,27.0,did not hit their potential,
Anwar El Ghazi,A. El Ghazi,216433,['RW'],Netherlands,Ajax,85,76,20,76.0,21.0,74.0,22.0,74.0,23.0,74.0,24.0,75.0,25.0,76.0,26.0,did not hit their potential,
Geronimo Rulli,G. Rulli,215316,['GK'],Argentina,Real Sociedad,85,78,23,82.0,24.0,83.0,25.0,81.0,26.0,81.0,27.0,82.0,28.0,80.0,29.0,did not hit their potential,
Lucas Romero,L. Romero,215119,['CM'],Argentina,Vélez Sarsfield,85,74,21,,,,,,,74.0,25.0,74.0,26.0,76.0,27.0,did not hit their potential,
Joao Mario Naval Costa Eduardo,João Mário,212814,['CM'],Portugal,Sporting CP,85,78,22,83.0,23.0,83.0,24.0,81.0,25.0,81.0,26.0,80.0,27.0,80.0,28.0,did not hit their potential,
Fuka Arthur Masuaku,F. Masuaku,212491,"['LB', 'LM', 'LWB']",France,Olympiacos CFP,85,75,21,75.0,22.0,75.0,23.0,76.0,24.0,76.0,25.0,77.0,26.0,77.0,27.0,did not hit their potential,
Tobias Pereira Figueiredo,Tobias Figueiredo,212231,['CB'],Portugal,Sporting CP,85,76,21,74.0,22.0,72.0,23.0,71.0,24.0,71.0,25.0,70.0,26.0,69.0,27.0,did not hit their potential,
Iuri Jose Picanco Medeiros,Iuri Medeiros,212230,"['RW', 'LW']",Portugal,Moreirense FC,85,73,20,77.0,21.0,78.0,22.0,76.0,23.0,74.0,24.0,68.0,25.0,72.0,26.0,did not hit their potential,
Sofiane Boufal,S. Boufal,211381,"['CAM', 'RM', 'LM']",Morocco,LOSC Lille,85,78,21,80.0,22.0,79.0,23.0,77.0,24.0,77.0,25.0,75.0,26.0,74.0,27.0,did not hit their potential,
Armindo Tue Na Bangna,Bruma,211368,"['RM', 'LM']",Portugal,Real Sociedad,85,76,20,77.0,21.0,81.0,22.0,79.0,23.0,78.0,24.0,76.0,25.0,76.0,26.0,did not hit their potential,
Domenico Berardi,D. Berardi,210935,"['RW', 'CF']",Italy,U.S. Sassuolo Calcio,85,80,20,82.0,21.0,81.0,22.0,78.0,23.0,78.0,24.0,80.0,25.0,82.0,26.0,did not hit their potential,
Paulo Andre R Oliveira,Paulo Oliveira,210679,['CB'],Portugal,Sporting CP,85,79,23,79.0,24.0,78.0,26.0,78.0,27.0,76.0,27.0,76.0,28.0,76.0,29.0,did not hit their potential,
Samuel Castillejo Azuaga,Samu Castillejo,210617,['LM'],Spain,Villarreal CF,85,77,20,80.0,21.0,80.0,22.0,83.0,23.0,80.0,24.0,79.0,25.0,77.0,26.0,did not hit their potential,
Fabian Schar,F. Schär,210047,['CB'],Switzerland,Switzerland,85,78,23,77.0,24.0,75.0,25.0,75.0,26.0,79.0,27.0,78.0,28.0,76.0,29.0,did not hit their potential,
Victor Andrade Santos,Victor Andrade,209736,"['RM', 'LM']",Brazil,SL Benfica,85,73,19,73.0,20.0,71.0,21.0,,,,,,,,,did not hit their potential,
Abdul Rahman Baba,A. Baba,209620,"['LB', 'LM']",Ghana,Chelsea,85,78,20,78.0,21.0,77.0,22.0,76.0,23.0,74.0,24.0,75.0,25.0,72.0,26.0,did not hit their potential,
Derlis Gonzalez,D. González,209523,['RM'],Paraguay,Paraguay,85,74,21,75.0,22.0,75.0,23.0,,,,,76.0,26.0,74.0,27.0,did not hit their potential,
Frederico R De Paula Santos,Fred,209297,"['CM', 'CDM', 'CAM']",Brazil,Shakhtar Donetsk,85,78,22,79.0,23.0,80.0,24.0,82.0,25.0,79.0,26.0,81.0,27.0,81.0,28.0,did not hit their potential,
Bertrand Traore,B. Traoré,207948,"['ST', 'RW']",Burkina Faso,Chelsea,85,74,19,75.0,20.0,78.0,21.0,79.0,22.0,78.0,23.0,76.0,24.0,77.0,25.0,still has time,
Matthias Ginter,M. Ginter,207862,"['CB', 'CDM']",Germany,Borussia Dortmund,85,77,21,77.0,22.0,78.0,23.0,80.0,24.0,81.0,25.0,82.0,26.0,84.0,27.0,lived to expectations,6.0
Moises Gomez Bordonado,Moi Gómez,206590,"['LM', 'RM']",Spain,Getafe CF,85,78,21,74.0,22.0,74.0,23.0,74.0,24.0,73.0,25.0,77.0,26.0,78.0,27.0,did not hit their potential,
Manuel Trigueros Munoz,Manu Trigueros,206545,['CM'],Spain,Villarreal CF,85,79,23,80.0,24.0,82.0,25.0,83.0,26.0,80.0,27.0,78.0,28.0,79.0,29.0,did not hit their potential,
Will Hughes,W. Hughes,206516,['CM'],England,Derby County,85,73,20,74.0,21.0,75.0,22.0,76.0,23.0,77.0,24.0,76.0,25.0,76.0,26.0,did not hit their potential,
Samuel Umtiti,S. Umtiti,205600,"['CB', 'LB']",France,Olympique Lyonnais,85,79,21,82.0,22.0,83.0,23.0,87.0,24.0,86.0,25.0,83.0,26.0,80.0,27.0,exceeded their potential,3.0
Antonio Rudiger,A. Rüdiger,205452,['CB'],Germany,Roma,85,76,22,77.0,23.0,82.0,24.0,81.0,25.0,82.0,26.0,81.0,27.0,83.0,28.0,did not hit their potential,
Denis Suarez Fernandez,Denis Suarez,205192,"['CAM', 'LW', 'CM']",Spain,Sevilla FC,85,78,21,80.0,22.0,80.0,23.0,79.0,24.0,78.0,25.0,78.0,26.0,78.0,27.0,did not hit their potential,
Daniel Carvajal Ramos,Carvajal,204963,['RB'],Spain,Real Madrid CF,85,81,23,83.0,24.0,84.0,25.0,84.0,26.0,85.0,27.0,86.0,28.0,85.0,29.0,lived to expectations,2.0
Ruben Pardo Gutierrez,Rubén Pardo,204523,"['CM', 'CDM']",Spain,Real Sociedad,85,79,22,77.0,23.0,79.0,24.0,75.0,25.0,74.0,26.0,72.0,27.0,72.0,28.0,did not hit their potential,
Saido Berahino,S. Berahino,204289,['ST'],England,West Bromwich Albion,85,76,21,77.0,22.0,76.0,23.0,73.0,24.0,69.0,25.0,71.0,26.0,71.0,27.0,did not hit their potential,
John Brooks,J. Brooks,204082,['CB'],United States,Hertha BSC,85,76,22,79.0,23.0,80.0,24.0,80.0,25.0,79.0,26.0,76.0,27.0,78.0,28.0,did not hit their potential,
Davy Klaassen,D. Klaassen,203483,"['CAM', 'CM']",Netherlands,Ajax,85,79,22,80.0,23.0,82.0,24.0,79.0,25.0,80.0,26.0,77.0,27.0,79.0,28.0,did not hit their potential,
