Player name,Known as,player_id,position,nationality,team,Fifa 15 Potential rating,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Domenico Berardi,D. Berardi,210935,"['RW', 'ST']",Italy,U.S. Sassuolo Calcio,87,74,19,80,20,82,21,81,22,78,23,78,24,80,25,82,26
Adnan Januzaj,A. Januzaj,208330,"['LM', 'RM', 'CAM']",Belgium,Manchester United,87,75,19,75,20,76,21,77,22,78,23,79,24,80,25,81,26
Lucas Rodrigues M Silva,Lucas,200949,"['RW', 'RM']",Brazil,Paris Saint-Germain,87,82,21,82,22,82,23,82,24,82,25,83,26,83,27,81,28
David Alaba,D. Alaba,197445,"['LB', 'CM', 'CDM', 'LM']",Austria,FC Bayern München,87,82,22,85,23,87,24,86,25,85,26,85,27,84,28,84,29
David De Gea Quintana,De Gea,193080,['GK'],Spain,Manchester United,87,83,23,86,24,90,25,90,26,91,27,89,28,86,29,84,30
Stephan El Shaarawy,S. El Shaarawy,190813,['LW'],Italy,AC Milan,87,80,21,80,22,81,23,80,24,81,25,82,26,79,27,79,28
Oscar Dos Santos Emboaba,Oscar,188152,"['CAM', 'RM']",Brazil,Chelsea,87,84,22,84,23,83,24,83,25,82,26,83,27,83,28,82,29
Ilkay Gundogan,İ. Gündoğan,186942,"['CM', 'CDM', 'CAM']",Germany,Borussia Dortmund,87,83,23,82,24,85,25,85,26,84,27,84,28,83,29,85,30
Alen Halilovic,A. Halilović,216349,"['CAM', 'RW', 'CF']",Croatia,FC Barcelona B,86,71,18,73,19,79,20,77,21,76,22,72,23,71,24,69,25
Angel Correa,Á. Correa,214997,"['CAM', 'ST']",Argentina,San Lorenzo de Almagro,86,75,19,76,20,79,21,79,22,80,23,82,24,82,25,83,26
Richairo Zivkovic,R. Živković,212210,['ST'],Netherlands,Ajax,86,69,17,69,18,68,19,69,20,70,21,,,67,23,,
Julian Brandt,J. Brandt,212194,"['LW', 'RM']",Germany,Bayer 04 Leverkusen,86,70,18,74,19,79,20,80,21,82,22,84,23,84,24,81,25
Juan Fernando Quintero,J. Quintero,210513,"['CAM', 'LW']",Colombia,FC Porto,86,78,21,78,22,79,23,77,24,78,25,80,26,79,27,79,28
Marcos Aoas Correa,Marquinhos,207865,['CB'],Brazil,Paris Saint-Germain,86,77,20,81,21,82,22,83,23,84,24,86,25,85,26,87,27
Mateo Kovacic,M. Kovačić,207410,['CM'],Croatia,Inter,86,75,20,78,21,79,22,82,23,83,24,82,25,83,26,83,27
Mattia De Sciglio,M. De Sciglio,206058,"['RB', 'LB']",Italy,AC Milan,86,76,21,76,22,76,23,76,24,78,25,77,26,78,27,76,28
Luke Shaw,L. Shaw,205988,['LB'],England,Manchester United,86,75,18,77,19,80,20,79,21,78,22,81,23,81,24,84,25
Bernard Anicio Caldeira Duarte,Bernard,205525,['CAM'],Brazil,Shakhtar Donetsk,86,80,21,78,22,79,23,79,24,,,80,26,78,27,,
Michy Batshuayi,M. Batshuayi,204529,['ST'],Belgium,Olympique de Marseille,86,76,20,78,21,81,22,80,23,81,24,79,25,78,26,76,27
Inigo Martinez Berridi,Iñigo Martínez,204525,['CB'],Spain,Real Sociedad,86,80,23,81,24,81,25,82,26,79,27,80,28,80,29,81,30
Lucas Domingues Piazon,Lucas Piazon,203038,"['LW', 'LM']",Brazil,Eintracht Frankfurt,86,76,20,75,21,74,22,74,23,73,24,72,25,71,26,75,27
Raheem Sterling,R. Sterling,202652,"['RW', 'LW', 'CAM']",England,Liverpool,86,80,19,82,20,82,21,82,22,85,23,88,24,88,25,88,26
Julian Draxler,J. Draxler,202166,"['LM', 'CAM', 'RM']",Germany,FC Schalke 04,86,80,20,80,21,84,22,84,23,83,24,83,25,80,26,80,27
Mauro Icardi,M. Icardi,201399,['ST'],Argentina,Inter,86,76,21,79,22,82,23,84,24,87,25,85,26,85,27,83,28
Marco Verratti,M. Verratti,199556,"['CM', 'CDM']",Italy,Paris Saint-Germain,86,80,21,84,22,85,23,87,24,86,25,86,26,86,27,87,28
Ross Barkley,R. Barkley,199189,['CAM'],England,Everton,86,78,20,79,21,81,22,81,23,79,24,79,25,78,26,78,27
Alex Oxlade Chamberlain,A. Oxlade-Chamberlain,198784,"['RM', 'CM', 'RW']",England,Arsenal,86,78,20,79,21,79,22,80,23,80,24,80,25,79,26,79,27
Rodrigo Moreno Machado,Rodrigo,198329,"['ST', 'CF', 'LW', 'RW']",Spain,Valencia CF,86,80,23,79,24,78,25,78,26,84,27,83,28,82,29,79,30
Xherdan Shaqiri,X. Shaqiri,193348,"['RM', 'LM', 'CAM']",Switzerland,FC Bayern München,86,80,22,80,23,82,24,82,25,81,26,82,27,81,28,79,29
Kevin De Bruyne,K. De Bruyne,192985,"['CAM', 'LM', 'RM']",Belgium,VfL Wolfsburg,86,81,23,86,24,88,25,89,26,91,27,91,28,91,29,91,30
Romelu Lukaku,R. Lukaku,192505,['ST'],Belgium,Everton,86,80,21,80,22,84,23,86,24,87,25,85,26,85,27,88,28
Eliaquim Mangala,E. Mangala,190531,['CB'],France,Manchester City,86,80,23,80,24,80,25,79,26,78,27,76,28,74,29,73,30
Thiago Alcantara,Thiago,189509,"['CM', 'CAM', 'CDM']",Spain,FC Bayern München,86,81,23,83,24,84,25,88,26,86,27,87,28,85,29,86,30
Philippe Coutinho Correia,Coutinho,189242,"['CAM', 'LW', 'CM']",Brazil,Liverpool,86,81,22,84,23,85,24,86,25,88,26,86,27,83,28,82,29
Mario Balotelli,M. Balotelli,186627,['ST'],Italy,Liverpool,86,82,23,80,24,79,25,82,26,83,27,82,28,79,29,76,30
Aaron Ramsey,A. Ramsey,186561,"['CM', 'CDM']",Wales,Arsenal,86,83,23,82,24,84,25,82,26,82,27,83,28,82,29,80,30
Balde Diao Keita,B. Keita,215785,"['LW', 'RW']",Spain,Lazio,85,76,19,76,20,78,21,82,22,80,23,80,24,76,25,76,26
Aleksandar Mitrovic,A. Mitrović,215716,['ST'],Serbia,RSC Anderlecht,85,74,19,76,20,76,21,75,22,76,23,78,24,77,25,75,26
Divock Origi,D. Origi,213135,"['LW', 'CF']",Belgium,LOSC Lille,85,75,19,76,20,78,21,78,22,77,23,78,24,77,25,76,26
Timo Werner,T. Werner,212188,"['LM', 'ST']",Germany,VfB Stuttgart,85,70,18,72,19,75,20,82,21,83,22,83,23,85,24,84,25
Ricardo Kishna,R. Kishna,211176,"['LW', 'RW']",Netherlands,Ajax,85,73,19,75,20,75,21,75,22,,,71,24,67,25,,
Bernard Malanda Adje,Junior Malanda,210248,"['CDM', 'CB']",Belgium,VfL Wolfsburg,85,73,19,,,,,,,,,,,,,,
Leon Goretzka,L. Goretzka,209658,"['RM', 'LM', 'CDM']",Germany,FC Schalke 04,85,73,19,74,20,79,21,82,22,83,23,84,24,84,25,87,26
Frederico R De Paula S,Fred,209297,"['CAM', 'CDM']",Brazil,Shakhtar Donetsk,85,73,21,78,22,79,23,80,24,82,25,79,26,81,27,81,28
Zakaria Bakkali,Z. Bakkali,208790,"['RW', 'LW']",Belgium,PSV,85,71,18,73,19,74,20,72,21,70,22,,,69,24,,
Oliver Torres Munoz,Óliver Torres,208777,"['LW', 'RW']",Spain,FC Porto,85,74,19,79,20,79,21,79,22,78,23,78,24,77,25,77,26
Matthias Ginter,M. Ginter,207862,"['CB', 'CDM', 'CM']",Germany,Borussia Dortmund,85,77,20,77,21,77,22,78,23,80,24,81,25,82,26,84,27
William Silva De Carvalho,William Carvalho,207566,['CDM'],Portugal,Sporting CP,85,78,22,81,23,84,24,83,25,84,26,83,27,80,28,78,29
Luciano Vietto,L. Vietto,207441,['ST'],Argentina,Villarreal CF,85,74,20,79,21,79,22,79,23,76,24,74,25,78,26,75,27
Will Hughes,W. Hughes,206516,['CM'],England,Derby County,85,70,19,73,20,74,21,75,22,76,23,77,24,76,25,76,26
James Ward Prowse,J. Ward-Prowse,205569,"['CM', 'RM', 'CAM']",England,Southampton,85,74,19,74,20,76,21,78,22,77,23,79,24,79,25,81,26
Luiz Frello Filho Jorge,Jorginho,205498,"['CDM', 'CM']",Italy,Napoli,85,75,22,77,23,81,24,81,25,84,26,83,27,83,28,85,29
Roberto Firmino Barbosa De Oliveira,Roberto Firmino,201942,"['CAM', 'CF']",Brazil,TSG Hoffenheim,85,81,22,82,23,82,24,83,25,86,26,86,27,87,28,85,29
Layvin Kurzawa,L. Kurzawa,201510,['LB'],France,AS Monaco,85,76,21,80,22,81,23,80,24,79,25,77,26,77,27,76,28
Alvaro Borja Morata Martin,Morata,201153,['ST'],Spain,Juventus,85,77,21,81,22,82,23,84,24,83,25,83,26,82,27,83,28
Lorenzo Insigne,L. Insigne,198219,"['CAM', 'CF', 'LW']",Italy,Napoli,85,78,23,81,24,83,25,85,26,88,27,87,28,85,29,86,30
Mattia Perin,M. Perin,198009,['GK'],Italy,Italy,85,76,21,81,22,83,23,83,24,84,25,82,26,82,27,80,28
Jorge Resurreccion,Koke,193747,"['LM', 'RM', 'CM']",Spain,Atlético de Madrid,85,82,22,83,23,84,24,84,25,85,26,85,27,85,28,85,29
Bernd Leno,B. Leno,192563,['GK'],Germany,Bayer 04 Leverkusen,85,82,22,84,23,86,24,85,25,84,26,84,27,85,28,83,29
Shkodran Mustafi,S. Mustafi,192227,['CB'],Germany,Valencia CF,85,77,22,82,23,83,24,84,25,82,26,79,27,78,28,74,29
Iker Muniain Goni,Muniaín,189575,"['LW', 'CAM']",Spain,Athletic Club de Bilbao,85,80,21,80,22,78,23,78,24,80,25,82,26,83,27,83,28
Jack Wilshere,J. Wilshere,189461,"['CM', 'CDM', 'LM']",England,Arsenal,85,81,22,81,23,82,24,81,25,80,26,79,27,76,28,,
Clement Grenier,C. Grenier,187924,"['CAM', 'CM']",France,Olympique Lyonnais,85,77,23,78,24,77,25,75,26,78,27,78,28,73,29,,
Mateo Musacchio,M. Musacchio,186547,"['CB', 'CDM']",Argentina,Villarreal CF,85,80,23,81,24,83,25,83,26,80,27,80,28,78,29,,
Christian Benteke,C. Benteke,184111,['ST'],Belgium,Aston Villa,85,80,23,82,24,81,25,81,26,78,27,75,28,72,29,75,30
Bilal Ould Chikh,B. Ould-Chikh,221907,['RW'],Netherlands,FC Twente,84,66,16,,,,,66,19,,,66,21,64,22,,
Rafael A F Ferreira Silva,Rafa,216547,"['LW', 'CAM', 'RW']",Portugal,Portugal,84,77,21,78,22,80,23,78,24,79,25,82,26,83,27,82,28
Anwar El Ghazi,A. El Ghazi,216433,"['RW', 'LW']",Netherlands,Ajax,84,72,19,76,20,76,21,74,22,74,23,74,24,75,25,76,26
Fares Bahlouli,F. Bahlouli,214907,"['CAM', 'RM', 'LM', 'ST']",France,Olympique Lyonnais,84,65,19,70,20,71,21,70,22,69,23,69,24,,,,
Levin Oztunali,L. Öztunali,213134,"['CDM', 'CM']",Germany,Bayer 04 Leverkusen,84,62,18,71,19,74,20,76,21,74,22,73,23,73,24,72,25
Alex Nicolao Telles,Alex Telles,212462,"['LB', 'LWB']",Brazil,Galatasaray SK,84,73,21,76,22,77,23,80,24,84,25,84,26,84,27,82,28
Fabian Schar,F. Schär,210047,['CB'],Switzerland,FC Basel 1893,84,75,22,78,23,77,24,75,25,75,26,79,27,78,28,76,29
Mohamed Salah,M. Salah,209331,['RM'],Egypt,Chelsea,84,76,22,80,23,81,24,83,25,88,26,90,27,90,28,89,29
Hakan Calhanoglu,H. Çalhanoğlu,208128,"['CAM', 'LM', 'CF', 'CM']",Turkey,Bayer 04 Leverkusen,84,77,20,78,21,80,22,79,23,80,24,80,25,79,26,82,27
Bertrand Traore,B. Traoré,207948,"['RW', 'LW', 'ST']",Burkina Faso,Vitesse,84,72,18,74,19,75,20,78,21,79,22,78,23,76,24,77,25
Jean Paul Boetius,J. Boëtius,205402,['LW'],Netherlands,Feyenoord,84,75,20,74,21,74,22,76,23,74,24,78,25,76,26,75,27
Florian Thauvin,F. Thauvin,204970,"['RM', 'CAM', 'RW', 'ST']",France,Olympique de Marseille,84,77,21,76,22,77,23,82,24,84,25,83,26,82,27,80,28
Kurt Zouma,K. Zouma,204311,"['CB', 'RB']",France,Chelsea,84,74,19,77,20,80,21,79,22,78,23,80,24,80,25,81,26
Mbaye Niang,M. Niang,204077,"['RW', 'ST']",France,AC Milan,84,74,19,74,20,78,21,78,22,77,23,77,24,78,25,76,26
Viktor Fischer,V. Fischer,203965,['LW'],Denmark,Ajax,84,75,20,77,21,74,22,75,23,76,24,78,25,74,26,70,27
Tonny Vilhena,T. Vilhena,203535,['CM'],Netherlands,Feyenoord,84,73,19,73,20,76,21,78,22,77,23,78,24,,,76,26
Thorgan Hazard,T. Hazard,203486,"['CAM', 'LM']",Belgium,Borussia Mönchengladbach,84,76,21,78,22,79,23,80,24,81,25,82,26,83,27,82,28
Jack Butland,J. Butland,203042,['GK'],England,Stoke City,84,72,21,74,22,82,23,81,24,81,25,78,26,74,27,73,28
Fernando Lucas Martins,Fernando,202642,"['CDM', 'CM']",Brazil,Shakhtar Donetsk,84,76,22,76,23,78,24,79,25,78,26,78,27,79,28,77,29
Mats Moller Daehli,M. Dæhli,201877,"['LM', 'RM', 'CAM']",Norway,Norway,84,71,19,71,20,70,21,72,22,71,23,72,24,72,25,71,26
Ravel Morrison,R. Morrison,201155,"['CAM', 'CM']",England,West Ham United,84,74,21,76,22,77,23,74,24,,,76,26,,,72,28
Juan Guilherme Nunes Jesus,Juan Jesus,200752,['CB'],Brazil,Inter,84,78,23,79,24,75,25,77,26,78,27,76,28,74,29,74,30
Kevin Volland,K. Volland,200610,"['RM', 'CF', 'ST']",Germany,TSG Hoffenheim,84,79,21,80,22,81,23,80,24,81,25,82,26,81,27,83,28
Francisco Alcacer Garcia,Paco Alcácer,200454,"['ST', 'CF']",Spain,Valencia CF,84,76,20,80,21,81,22,79,23,79,24,83,25,81,26,81,27
Marco Van Ginkel,M. van Ginkel,199767,['CM'],Netherlands,Chelsea,84,76,21,75,22,77,23,78,24,79,25,77,26,75,27,76,28
Sergio Roberto Carnicer,Sergi Roberto,199564,"['CM', 'CDM']",Spain,FC Barcelona,84,75,22,78,23,79,24,81,25,84,26,82,27,83,28,81,29
Danilo Luiz Da Silva,Danilo,199304,['RB'],Brazil,FC Porto,84,77,22,81,23,80,24,78,25,79,26,79,27,79,28,81,29
Serge Aurier,S. Aurier,197853,"['RB', 'RM']",Côte d'Ivoire,Paris Saint-Germain,84,77,21,80,22,83,23,81,24,81,25,79,26,80,27,80,28
Phil Jones,P. Jones,194957,"['CB', 'RB', 'CM']",England,Manchester United,84,79,22,80,23,79,24,79,25,80,26,79,27,75,28,74,29
Filip Duricic,F. Đuričić,193881,['CAM'],Serbia,1. FSV Mainz 05,84,75,22,76,23,76,24,74,25,74,26,74,27,75,28,76,29
Ricardo Rodriguez,R. Rodriguez,193352,['LB'],Switzerland,VfL Wolfsburg,84,80,21,83,22,83,23,81,24,80,25,80,26,78,27,76,28
Alexandre Lacazette,A. Lacazette,193301,"['ST', 'RW', 'CF']",France,Olympique Lyonnais,84,79,23,84,24,85,25,85,26,84,27,86,28,83,29,82,30
Andre Schurrle,A. Schürrle,193130,"['LM', 'RM']",Germany,Chelsea,84,81,23,80,24,81,25,80,26,78,27,76,28,,,,
Alphonse Areola,A. Aréola,193105,['GK'],France,SC Bastia,84,72,21,74,22,81,23,79,24,81,25,82,26,82,27,82,28
Alex Sandro Lobo Silva,Alex Sandro,191043,['LB'],Brazil,FC Porto,84,79,23,82,24,84,25,86,26,86,27,85,28,85,29,83,30
Eduardo Salvio,E. Salvio,190972,['RM'],Argentina,SL Benfica,84,79,23,80,24,79,25,80,26,81,27,80,28,81,29,80,30
Douglas Costa De Souza,Douglas Costa,190483,"['CAM', 'RW']",Brazil,Shakhtar Donetsk,84,80,23,81,24,84,25,82,26,86,27,84,28,84,29,,
Sergio Canales Madrazo,Sergio Canales,190286,"['CAM', 'LM', 'RM']",Spain,Real Sociedad,84,77,23,79,24,79,25,79,26,79,27,84,28,82,29,83,30
Kevin Trapp,K. Trapp,188943,['GK'],Germany,Eintracht Frankfurt,84,80,23,82,24,83,25,82,26,80,27,83,28,83,29,82,30
Kyriakos Papadopoulos,K. Papadopoulos,184477,"['CB', 'CDM']",Greece,Bayer 04 Leverkusen,84,78,22,79,23,79,24,79,25,78,26,76,27,,,71,29
Erik Lamela,E. Lamela,170368,"['RM', 'CAM']",Argentina,Tottenham Hotspur,84,78,22,79,23,81,24,80,25,80,26,80,27,80,28,78,29
Semih Kaya,S. Kaya,167812,['CB'],Turkey,Galatasaray SK,84,79,23,77,24,73,25,73,26,72,27,72,28,,,68,30
Ruben Diogo Da Silva Neves,Rúben Neves,224293,"['CM', 'CDM']",Portugal,FC Porto,83,69,17,74,18,75,19,77,20,79,21,82,22,82,23,82,24
Francisco Rodriguez,F. Rodriguez,223146,"['RM', 'LM', 'CM', 'CAM']",Switzerland,FC Zürich,83,68,19,65,19,68,20,68,21,65,22,62,23,61,24,,
Breel Donald Embolo,B. Embolo,222357,"['ST', 'CAM', 'RM', 'CM']",Cameroon,FC Basel 1893,83,66,17,76,18,76,19,76,20,76,21,76,22,78,23,77,24
Patrick Roberts,P. Roberts,221982,['RM'],England,Fulham,83,67,17,65,18,68,19,73,20,74,21,74,22,73,23,71,24
Nikola Maksimovic,N. Maksimović,215466,"['CB', 'RM']",Serbia,Torino F.C.,83,77,22,80,23,81,24,79,25,78,26,78,27,77,28,73,29
Geronimo Rulli,G. Rulli,215316,['GK'],Argentina,Real Sociedad,83,76,22,78,23,82,24,83,25,81,26,81,27,82,28,80,29
Lucas Romero,L. Romero,215119,['CM'],Argentina,Vélez Sarsfield,83,72,20,74,21,,,,,,,74,25,74,26,76,27
Hector Villalba,H. Villalba,215107,"['ST', 'RM']",Argentina,San Lorenzo de Almagro,83,72,19,73,20,74,21,74,22,75,23,75,24,74,25,74,26
Kingsley Coman,K. Coman,213345,"['LW', 'CAM']",France,Juventus,83,67,18,69,19,81,20,79,21,83,22,84,23,84,24,86,25
Jonathan Tah,J. Tah,213331,"['CB', 'RB']",Germany,Hamburger SV,83,68,18,73,19,79,20,82,21,83,22,83,23,79,24,78,25
Joao Mario Ndc Eduardo,João Mário,212814,['CM'],Portugal,Sporting CP,83,73,21,78,22,83,23,83,24,81,25,81,26,80,27,80,28
Marcos Paulo Mesquita Lopes,Marcos Lopes,212692,['CAM'],Portugal,LOSC Lille,83,65,18,73,19,76,20,77,21,80,22,80,23,78,24,76,25
Bruno Miguel Borges Fernandes,Bruno Fernandes,212198,"['CAM', 'CM', 'CF', 'LW']",Portugal,Udinese Calcio,83,76,19,75,20,76,21,77,22,83,23,85,24,87,25,88,26
Niklas Sule,N. Süle,212190,['CB'],Germany,TSG Hoffenheim,83,71,18,78,19,81,20,83,21,84,22,85,23,84,24,82,25
Andre Filipe Tavares Gomes,André Gomes,211575,"['CM', 'CDM']",Portugal,Valencia CF,83,75,20,80,21,84,22,82,23,80,24,80,25,79,26,77,27
Armindo Tue Na Bangna,Bruma,211368,"['LW', 'RW']",Portugal,Galatasaray SK,83,76,19,76,20,77,21,81,22,79,23,78,24,76,25,76,26
Paulo Dybala,P. Dybala,211110,['CF'],Argentina,Palermo,83,70,20,78,21,85,22,88,23,89,24,88,25,88,26,87,27
Carles Gil D Vicent,Carles Gil,210930,"['RM', 'LM', 'CAM']",Spain,Valencia CF,83,74,21,74,22,77,23,78,24,75,25,75,26,76,27,77,28
Chancel Mbemba,C. Mbemba,210897,['CB'],Congo DR,RSC Anderlecht,83,72,19,77,20,77,21,76,22,75,23,73,24,75,25,79,26
Adrien Rabiot,A. Rabiot,210008,['CM'],France,Paris Saint-Germain,83,73,19,76,20,78,21,80,22,83,23,83,24,81,25,81,26
Emre Can,E. Can,208333,"['CM', 'CDM', 'LM', 'LB']",Germany,Liverpool,83,74,20,75,21,80,22,79,23,80,24,81,25,82,26,82,27
Nicolas Lopez,N. López,207715,"['CF', 'CAM']",Uruguay,Udinese Calcio,83,72,20,74,21,,,,,,,,,73,26,76,27
Paul Nardi,P. Nardi,206218,['GK'],France,AS Nancy Lorraine,83,68,20,72,21,72,22,,,71,24,73,25,73,26,73,27
Calum Chambers,C. Chambers,205989,"['RB', 'CB']",England,Arsenal,83,70,19,72,20,72,21,75,22,75,23,75,24,75,25,75,26
Nicola Murru,N. Murru,205934,['LB'],Italy,Cagliari,83,71,19,71,20,71,21,70,22,72,23,73,24,73,25,72,26
Nathaniel Chalobah,N. Chalobah,205897,"['CM', 'CDM']",England,Chelsea,83,68,19,68,20,68,21,75,22,76,23,75,24,74,25,74,26
Alberto Moreno Perez,Alberto Moreno,205566,"['LB', 'LM', 'LWB']",Spain,Liverpool,83,78,21,79,22,77,23,76,24,77,25,76,26,77,27,76,28
Daniele Baselli,D. Baselli,205407,"['CM', 'CDM']",Italy,Atalanta,83,73,22,78,23,79,24,79,25,79,26,79,27,77,28,76,29
Karim Rekik,K. Rekik,205193,['CB'],Netherlands,PSV,83,73,19,75,20,73,21,73,22,79,23,78,24,75,25,74,26
Daniel Carvajal Ramos,Carvajal,204963,['RB'],Spain,Real Madrid CF,83,79,22,81,23,83,24,84,25,84,26,85,27,86,28,85,29
Joel Campbell,J. Campbell,204713,"['RM', 'LM']",Costa Rica,Arsenal,83,75,22,76,23,78,24,77,25,,,76,27,74,28,75,29
Jurgen Locadia,J. Locadia,204366,['ST'],Netherlands,PSV,83,73,20,75,21,76,22,76,23,76,24,76,25,75,26,71,27
Bruno Zuculini,B. Zuculini,203864,"['CM', 'RM']",Argentina,Valencia CF,83,73,21,74,22,,,71,24,70,25,75,26,73,27,74,28
John Stones,J. Stones,203574,"['CB', 'RB']",England,Everton,83,71,20,77,21,78,22,79,23,82,24,83,25,80,26,83,27
Terence Kongolo,T. Kongolo,203485,"['CB', 'LB']",Netherlands,Feyenoord,83,74,20,76,21,77,22,77,23,76,24,75,25,71,26,70,27
Andre Carrillo,A. Carrillo,203299,"['RW', 'LW']",Peru,Sporting CP,83,77,23,80,24,80,25,77,26,78,27,78,28,79,29,79,30
Jesus Fernandez Saez,Suso,202651,"['RM', 'LM']",Spain,Liverpool,83,74,20,74,21,77,22,82,23,82,24,82,25,81,26,82,27
Jese Rodriguez Ruiz,Jesé Rodríguez,202515,"['LM', 'RM', 'ST']",Spain,Real Madrid CF,83,76,21,78,22,80,23,77,24,76,25,75,26,72,27,71,28
Gerard Deulofeu Lazaro,Deulofeu,202477,"['RW', 'RM']",Spain,Sevilla FC,83,79,20,78,21,81,22,82,23,81,24,80,25,80,26,79,27
Lucas Digne,L. Digne,200458,['LB'],France,Paris Saint-Germain,83,76,20,76,21,79,22,79,23,78,24,83,25,84,26,84,27
Cristian Tello Herrera,Cristian Tello,200315,"['RW', 'LW']",Spain,FC Porto,83,78,22,79,23,78,24,77,25,80,26,80,27,78,28,79,29
Adam Maher,A. Maher,200223,"['CAM', 'CM']",Netherlands,PSV,83,75,20,76,21,74,22,74,23,,,76,25,75,26,75,27
Pedro Mba Obiang Avomo,Pedro Obiang,200054,"['CM', 'CDM']",Spain,U.C. Sampdoria,83,73,22,74,23,76,24,77,25,77,26,77,27,76,28,75,29
Romulo Borges Monteiro,Rômulo,199935,"['CDM', 'CM']",Brazil,Spartak Moskva,83,75,23,76,24,77,25,,,,,,,76,29,,
Granit Xhaka,G. Xhaka,199503,"['CM', 'CAM']",Switzerland,Borussia Mönchengladbach,83,76,21,81,22,84,23,82,24,81,25,81,26,80,27,79,28
Jonathan Williams,J. Williams,198776,"['CAM', 'LW']",Wales,Wales,83,70,20,72,21,73,22,71,23,70,24,69,25,69,26,68,27
Martin Montoya Torralbo,Montoya,194644,"['RB', 'LB']",Spain,FC Barcelona,83,77,23,79,24,79,25,77,26,78,27,76,28,77,29,75,30
Izet Hajrovic,I. Hajrović,193780,['RM'],Bosnia and Herzegovina,SV Werder Bremen,83,75,22,74,23,72,24,72,25,68,26,72,27,68,28,,
Mario Figueira Fernandes,Mário Fernandes,193525,['RB'],Brazil,PFC CSKA Moscow,83,76,23,79,24,80,25,81,26,81,27,82,28,82,29,82,30
Mattia Destro,M. Destro,193338,['ST'],Italy,Roma,83,77,23,78,24,78,25,76,26,76,27,75,28,71,29,74,30
Roberto Pereyra,R. Pereyra,193061,"['CAM', 'CM', 'CF']",Argentina,Juventus,83,77,23,81,24,81,25,80,26,79,27,80,28,77,29,80,30
