Player name,Known as,player_id,position,nationality,team,Fifa 20 Potential rating,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Luka Jovic,L. Jović,232432,['ST'],Serbia,Real Madrid CF,89,83,21,80,22,79,23
Lautaro Martinez,L. Martínez,231478,['ST'],Argentina,Inter,89,81,21,84,22,85,23
Trent Alexander Arnold,T. Alexander-Arnold,231281,['RB'],England,Liverpool,89,83,20,87,21,87,22
Arthur Henrique Ramos Oliveira Melo,Arthur,230658,['CM'],Brazil,FC Barcelona,89,84,22,84,23,83,24
Mikel Oyarzabal Ugarte,Oyarzabal,230142,"['LW', 'LM', 'RW']",Spain,Real Sociedad,89,82,22,84,23,85,24
Rodrigo Bentancur,R. Bentancur,227535,['CM'],Uruguay,Juventus,89,79,22,79,23,78,24
Giovani Lo Celso,G. Lo Celso,226226,"['CM', 'CAM', 'CF']",Argentina,Tottenham Hotspur,89,83,23,82,24,81,25
Alex Meret,A. Meret,225116,['GK'],Italy,Napoli,89,78,22,78,23,79,24
Lucas Hernandez,L. Hernández,220814,"['CB', 'LB']",France,FC Bayern München,89,84,23,82,24,83,25
Dele Alli,D. Alli,211117,"['CAM', 'CM']",England,Tottenham Hotspur,89,84,23,83,24,80,25
Pedro De La Vega,P. De la Vega,246045,['RW'],Argentina,Club Atlético Lanús,88,70,18,71,19,74,20
Thiago Almada,T. Almada,245371,"['CAM', 'LW', 'ST']",Argentina,Vélez Sarsfield,88,72,18,73,19,74,20
Andriy Lunin,A. Lunin,243952,['GK'],Ukraine,Real Valladolid CF,88,76,20,75,21,74,22
William Saliba,W. Saliba,243715,['CB'],France,AS Saint-Étienne,88,71,18,74,19,75,20
Callum Hudson Odoi,C. Hudson-Odoi,240740,"['RW', 'LW']",England,Chelsea,88,74,18,74,19,77,20
Eder Gabriel Militao,Éder Militão,240130,"['CB', 'RB']",Brazil,Real Madrid CF,88,81,21,80,22,82,23
Nicolo Zaniolo,N. Zaniolo,238067,"['CAM', 'CM', 'RW']",Italy,Roma,88,74,19,76,20,78,21
Ibrahima Konate,I. Konaté,237678,['CB'],France,RB Leipzig,88,79,20,78,21,78,22
Ismaila Sarr,I. Sarr,235353,"['RM', 'LM']",Senegal,Watford,88,78,21,78,22,78,23
Alban Lafont,A. Lafont,231691,['GK'],France,FC Nantes,88,79,20,78,21,78,22
Marcus Rashford,M. Rashford,231677,"['ST', 'LM']",England,Manchester United,88,83,21,85,22,85,23
Gabriel Fernando De Jesus,Gabriel Jesus,230666,['ST'],Brazil,Manchester City,88,82,22,83,23,83,24
Leon Bailey,L. Bailey,229906,"['LW', 'RW']",Jamaica,Bayer 04 Leverkusen,88,82,21,80,22,82,23
Aaron Wan Bissaka,A. Wan-Bissaka,229880,['RB'],England,Manchester United,88,79,21,83,22,83,23
Dayot Upamecano,D. Upamecano,229558,['CB'],France,RB Leipzig,88,77,20,79,21,82,22
Manuel Akanji,M. Akanji,229237,['CB'],Switzerland,Borussia Dortmund,88,83,23,78,24,80,25
Joe Gomez,J. Gomez,225100,"['CB', 'RB']",England,Liverpool,88,80,22,83,23,82,24
Goncalo Manuel Ganchinho Guedes,Gonçalo Guedes,224411,"['LM', 'ST']",Portugal,Valencia CF,88,83,22,81,23,81,24
Nicolo Barella,N. Barella,224232,"['CM', 'CAM']",Italy,Inter,88,80,22,80,23,84,24
Kingsley Coman,K. Coman,213345,"['LM', 'RM', 'LW']",France,FC Bayern München,88,84,23,84,24,86,25
Jonathan Tah,J. Tah,213331,['CB'],Germany,Bayer 04 Leverkusen,88,83,23,79,24,78,25
Julian Brandt,J. Brandt,212194,"['CAM', 'LM', 'RM']",Germany,Borussia Dortmund,88,84,23,84,24,81,25
Anthony Martial,A. Martial,211300,"['LW', 'ST', 'LM']",France,Manchester United,88,83,23,84,24,81,25
Agustin Urzi,A. Urzi,246469,"['LM', 'CM']",Argentina,Club Atlético Banfield,87,69,19,73,20,72,21
Yari Verschaeren,Y. Verschaeren,246419,"['CAM', 'RM', 'LM']",Belgium,RSC Anderlecht,87,72,17,72,18,73,19
Mason Greenwood,M. Greenwood,246147,"['CF', 'RM', 'ST']",England,Manchester United,87,67,17,77,18,78,19
Daniel Olmo Carvajal,Dani Olmo,244260,"['CAM', 'LM', 'CM']",Spain,Dinamo Zagreb,87,79,21,79,22,82,23
Jonathan David,J. David,243630,"['CF', 'ST', 'CAM']",Canada,KAA Gent,87,74,19,77,20,78,21
Ricard Puig Marti,Riqui Puig,242816,['CM'],Spain,FC Barcelona,87,71,19,75,20,76,21
Francisco Reis Ferreira,Ferro,242236,['CB'],Portugal,SL Benfica,87,78,22,77,23,75,24
Nicolas Dominguez,N. Domínguez,237819,"['CM', 'CDM', 'RWB']",Argentina,Vélez Sarsfield,87,75,21,75,22,75,23
Patrick Cutrone,P. Cutrone,237715,['ST'],Italy,Wolverhampton Wanderers,87,77,21,75,22,73,23
Takefusa Kubo,T. Kubo,237681,"['RM', 'CF']",Japan,Real Madrid CF,87,70,18,75,19,75,20
Arne Maier,A. Maier,237629,"['CM', 'CDM']",Germany,Hertha BSC,87,76,20,74,21,74,22
Matias Zaracho,M. Zaracho,235926,"['CAM', 'RM', 'CM']",Argentina,Argentina,87,78,21,76,22,,
Federico Chiesa,F. Chiesa,235805,"['RW', 'CF']",Italy,Italy,87,79,21,78,22,83,23
Florian Neuhaus,F. Neuhaus,234943,['CM'],Germany,Borussia Mönchengladbach,87,78,22,79,23,82,24
Florentino Morris Luis,Florentino,234569,"['CDM', 'CM']",Portugal,SL Benfica,87,76,19,76,20,74,21
Alphonso Davies,A. Davies,234396,"['LM', 'RM', 'LB']",Canada,FC Bayern München,87,72,18,81,19,82,20
Declan Rice,D. Rice,234378,"['CDM', 'CB', 'CM']",England,West Ham United,87,78,20,79,21,82,22
Carlos Soler Barragan,Carlos Soler,234153,"['RM', 'CM']",Spain,Valencia CF,87,80,22,79,23,81,24
Ionut Andrei Radu,I. Radu,234102,['GK'],Romania,Romania,87,75,22,75,23,75,24
Cristian Romero,C. Romero,232488,"['CB', 'RB']",Argentina,Genoa,87,73,21,73,22,82,23
Marko Grujic,M. Grujić,232099,"['CDM', 'CM']",Serbia,Hertha BSC,87,77,23,75,24,75,25
Exequiel Palacios,E. Palacios,231521,"['CM', 'RM', 'CAM']",Argentina,River Plate,87,77,20,77,21,77,22
Davide Calabria,D. Calabria,228881,['RB'],Italy,AC Milan,87,77,22,76,23,78,24
Wuilker Farinez,W. Faríñez,228736,['GK'],Venezuela,Millonarios FC,87,73,21,75,22,73,23
Emil Audero,E. Audero,228413,['GK'],Italy,U.C. Sampdoria,87,77,22,77,23,78,24
Lorenzo Pellegrini,L. Pellegrini,228251,"['CM', 'CAM', 'CDM']",Italy,Roma,87,79,23,79,24,81,25
Sander Berge,S. Berge,228092,"['CDM', 'CM']",Norway,KRC Genk,87,79,21,79,22,76,23
Andre Onana,A. Onana,226753,['GK'],Cameroon,Ajax,87,82,23,84,24,83,25
Pablo Fornals Malla,Pablo Fornals,226456,"['CAM', 'CM', 'LM']",Spain,West Ham United,87,81,23,79,24,79,25
Steven Bergwijn,S. Bergwijn,225953,"['RW', 'CAM', 'LW']",Netherlands,PSV,87,82,21,83,22,80,23
Presnel Kimpembe,P. Kimpembe,225850,['CB'],France,Paris Saint-Germain,87,82,23,81,24,83,25
Mikel Merino Zazon,Merino,225193,"['CM', 'CDM', 'LM']",Spain,Real Sociedad,87,79,23,80,24,83,25
Ruben Diogo Da Silva Neves,Rúben Neves,224293,['CM'],Portugal,Wolverhampton Wanderers,87,82,22,82,23,82,24
Lucas Torreira,L. Torreira,223959,"['CDM', 'CM']",Uruguay,Arsenal,87,82,23,81,24,80,25
Daniel Ceballos Fernandez,Dani Ceballos,222509,"['CM', 'LM', 'CDM']",Spain,Arsenal,87,81,22,80,23,77,24
Donny Van De Beek,D. van de Beek,221363,"['CAM', 'CM']",Netherlands,Ajax,87,81,22,83,23,81,24
Marco Asensio Willemsen,Marco Asensio,220834,"['LW', 'RW']",Spain,Real Madrid CF,87,83,23,82,24,83,25
Davinson Sanchez,D. Sánchez,220793,['CB'],Colombia,Tottenham Hotspur,87,83,23,81,24,79,25
Youri Tielemans,Y. Tielemans,216393,"['CM', 'CDM']",Belgium,Leicester City,87,80,22,81,23,84,24
Mike Maignan,M. Maignan,215698,['GK'],France,LOSC Lille,87,80,23,82,24,84,25
Andreas Christensen,A. Christensen,213661,['CB'],Denmark,Chelsea,87,80,23,79,24,80,25
Thomas Lemar,T. Lemar,213565,"['LM', 'CAM', 'RM']",France,Atlético de Madrid,87,83,23,81,24,83,25
Timo Werner,T. Werner,212188,['ST'],Germany,Germany,87,83,23,85,24,84,25
Alejandro Grimaldo Garcia,Grimaldo,210035,['LB'],Spain,SL Benfica,87,83,23,84,24,82,25
Serge Gnabry,S. Gnabry,206113,"['RM', 'LM', 'LW']",Germany,FC Bayern München,87,84,23,85,24,85,25
Enzo Millot,E. Millot,252259,['CM'],France,AS Monaco,86,63,16,61,17,67,18
Mohamed Ihattaren,M. Ihattaren,246960,"['CAM', 'RW']",Netherlands,PSV,86,68,17,77,18,75,19
Manor Solomon,M. Solomon,246791,"['RM', 'LM', 'CAM']",Israel,Shakhtar Donetsk,86,70,19,73,20,76,21
Bukayo Saka,B. Saka,246669,"['LM', 'RM']",England,Arsenal,86,65,17,75,18,80,19
Adam Hlozek,A. Hložek,246618,"['RW', 'ST', 'RM']",Czech Republic,AC Sparta Praha,86,70,16,74,17,76,18
Jeremy Doku,J. Doku,246420,['RW'],Belgium,RSC Anderlecht,86,66,17,71,18,77,19
Jean Clair Todibo,J. Todibo,245388,"['CB', 'CDM']",France,FC Barcelona,86,71,19,75,20,76,21
Jan Hurtado,J. Hurtado,245149,['ST'],Venezuela,Boca Juniors,86,70,19,,,,
Viktor Tsygankov,V. Tsygankov,244369,"['RM', 'LM']",Ukraine,Dynamo Kyiv,86,79,21,80,22,80,23
Kangin Lee,Kangin Lee,243780,"['CAM', 'LM', 'RM']",Korea Republic,Valencia CF,86,76,18,74,19,74,20
James Sands,J. Sands,242214,"['CDM', 'CB']",United States,New York City FC,86,66,18,66,19,70,20
Rafael Da Conceicao Leao,Rafael Leão,241721,['ST'],Portugal,AC Milan,86,75,20,74,21,77,22
Manuel Vallejo Galvan,Manu Vallejo,241686,"['ST', 'CAM', 'LM']",Spain,Valencia CF,86,75,22,74,23,75,24
Dominik Livakovic,D. Livaković,241671,['GK'],Croatia,Dinamo Zagreb,86,80,23,80,25,82,26
Cristian Ferreira,C. Ferreira,241568,"['CM', 'CAM']",Argentina,River Plate,86,70,19,70,20,70,21
Jules Kounde,J. Koundé,241486,['CB'],France,Sevilla FC,86,76,20,79,21,83,22
Giorgi Chakvetadze,G. Chakvetadze,241168,"['LM', 'CAM']",Georgia,KAA Gent,86,74,19,72,20,69,21
Luis Diaz,L. Díaz,241084,['LM'],Colombia,FC Porto,86,75,22,78,23,80,24
Oliver Skipp,O. Skipp,241042,"['CDM', 'CM']",England,Tottenham Hotspur,86,67,18,68,19,75,20
Hamed Junior Traore,H. Traorè,240787,"['CAM', 'CM']",Côte d'Ivoire,U.S. Sassuolo Calcio,86,70,19,71,20,71,21
Youcef Atal,Y. Atal,240754,"['RB', 'RWB', 'RM']",Algeria,OGC Nice,86,77,23,79,24,76,25
Amine Gouiri,A. Gouiri,240753,['ST'],France,Olympique Lyonnais,86,68,19,70,20,78,21
Angel Gomes,A. Gomes,240507,"['CAM', 'CM', 'LW']",England,Manchester United,86,68,18,67,19,69,20
Paulo Henrique Sampaio Filho,Paulinho,239970,['RM'],Brazil,Bayer 04 Leverkusen,86,71,18,74,19,73,20
Myron Boadu,M. Boadu,239956,['ST'],Netherlands,AZ Alkmaar,86,70,18,75,19,76,20
Alexis Mac Allister,A. Mac Allister,239837,"['CAM', 'CM', 'LM']",Argentina,Boca Juniors,86,76,20,75,21,75,22
Ruben Alves Dias,Rúben Dias,239818,['CB'],Portugal,SL Benfica,86,80,22,81,23,87,24
Boubakary Soumare,B. Soumaré,239817,"['CM', 'CDM']",France,LOSC Lille,86,72,20,76,21,78,22
Pietro Pellegri,P. Pellegri,238873,['ST'],Italy,AS Monaco,86,67,18,66,19,68,20
Weston Mckennie,W. McKennie,238744,"['CM', 'CB', 'CAM']",United States,FC Schalke 04,86,76,20,75,21,77,22
Dan Axel Zagadou,D. Zagadou,238476,"['CB', 'LB']",France,Borussia Dortmund,86,79,20,79,21,78,22
Reece James,R. James,238074,"['RB', 'CDM']",England,Chelsea,86,73,19,77,20,81,21
Paxton Pomykal,P. Pomykal,238049,"['CAM', 'CM', 'RM']",United States,FC Dallas,86,69,19,67,20,67,21
Boubacar Kamara,B. Kamara,236987,['CB'],France,Olympique de Marseille,86,75,19,79,20,80,21
Justin Kluivert,J. Kluivert,236920,"['LW', 'RW']",Netherlands,Roma,86,75,20,74,21,76,22
Oscar Melendo Jimenez,Melendo,236679,"['RM', 'LM', 'CAM']",Spain,RCD Espanyol de Barcelona,86,80,21,78,22,76,23
David Neres Campos,David Neres,236632,"['LW', 'RW', 'CAM']",Brazil,Ajax,86,81,22,80,23,79,24
Calvin Stengs,C. Stengs,236593,['RW'],Netherlands,AZ Alkmaar,86,75,20,78,21,77,22
Matteo Guendouzi,M. Guendouzi,236496,"['CM', 'CDM']",France,Arsenal,86,75,20,77,21,77,22
Alexis Claude Maurice,A. Claude Maurice,236477,"['LM', 'CAM']",France,FC Lorient,86,72,21,75,22,77,23
Evan Ndicka,E. N'Dicka,236403,['CB'],France,Eintracht Frankfurt,86,76,19,74,20,77,21
Luiz Felipe Ramos Marchi,Luiz Felipe,236355,['CB'],Brazil,Lazio,86,77,22,77,23,78,24
Morgan Gibbs White,M. Gibbs-White,236015,"['CM', 'CAM']",England,Wolverhampton Wanderers,86,70,19,70,20,71,21
Marc Roca Junque,Marc Roca,235945,"['CDM', 'CM']",Spain,RCD Espanyol de Barcelona,86,79,22,77,23,77,24
Brais Mendez Portela,Brais Méndez,235944,"['RM', 'CAM']",Spain,RC Celta de Vigo,86,77,22,75,23,76,24
Cengiz Under,C. Ünder,235889,"['RW', 'RM']",Turkey,Roma,86,78,21,78,22,77,23
Ryan Sessegnon,R. Sessegnon,235883,"['LM', 'LW', 'LB']",England,Tottenham Hotspur,86,75,19,75,20,74,21
Andrea Pinamonti,A. Pinamonti,235842,['ST'],Italy,Genoa,86,70,20,68,21,68,22
Ethan Ampadu,E. Ampadu,235735,"['CB', 'CDM']",Wales,Wales,86,67,18,67,19,68,20
Diadie Samassekou,D. Samassékou,235424,"['CDM', 'CM']",Mali,TSG Hoffenheim,86,79,23,76,24,76,25
Achraf Hakimi,A. Hakimi,235212,"['LB', 'RB']",Morocco,Borussia Dortmund,86,79,20,83,21,85,22
Jonathan Ikone,J. Ikoné,234612,['CAM'],France,LOSC Lille,86,78,21,79,22,79,23
Gonzalo Maroni,G. Maroni,234108,"['CAM', 'LW']",Argentina,U.C. Sampdoria,86,71,20,69,21,69,22
Henry Onyekuru,H. Onyekuru,234045,"['LM', 'ST']",Nigeria,AS Monaco,86,78,22,77,23,75,24
Riccardo Orsolini,R. Orsolini,233556,"['CAM', 'RW', 'RM']",Italy,Bologna,86,76,22,75,23,76,24
Mason Mount,M. Mount,233064,"['CAM', 'CM']",England,Chelsea,86,75,20,80,21,83,22
Tyler Adams,T. Adams,232999,"['CDM', 'RWB']",United States,United States,86,76,20,76,21,77,22
Issa Diop,I. Diop,231633,['CB'],France,West Ham United,86,78,22,77,23,77,24
Brahim Diaz,Brahim,231410,"['LW', 'RW']",Spain,Real Madrid CF,86,73,19,74,20,78,21
Franck Yannick Kessie,F. Kessié,230938,['CM'],Côte d'Ivoire,AC Milan,86,79,22,77,23,84,24
Ademola Lookman,A. Lookman,230899,"['RM', 'LM']",England,RB Leipzig,86,76,21,74,22,77,23
Gianluca Mancini,G. Mancini,229582,['CB'],Italy,Roma,86,76,23,76,24,80,25
Denis Zakaria,D. Zakaria,229261,"['CM', 'CDM']",Switzerland,Borussia Mönchengladbach,86,78,22,83,23,80,24
Matias Vargas,M. Vargas,228819,"['LW', 'CAM', 'LM']",Argentina,RCD Espanyol de Barcelona,86,77,22,75,23,76,24
Christian Pulisic,C. Pulisic,227796,"['LW', 'RW']",United States,Chelsea,86,79,20,81,21,82,22
Kieran Tierney,K. Tierney,226491,['LB'],Scotland,Arsenal,86,76,22,78,23,80,24
Thilo Kehrer,T. Kehrer,226229,"['CB', 'RB']",Germany,Paris Saint-Germain,86,79,22,77,23,76,24
Rolando Mandragora,R. Mandragora,225439,"['CM', 'CDM']",Italy,Udinese Calcio,86,76,22,74,23,75,24
Javairo Dilrosun,J. Dilrosun,224949,"['LM', 'RM']",Netherlands,Hertha BSC,86,72,21,75,22,73,23
Diogo Jose Teixeira Da Silva,Diogo Jota,224458,"['CF', 'LW']",Portugal,Wolverhampton Wanderers,86,80,22,80,23,82,24
Cristian Pavon,C. Pavón,224254,"['RW', 'ST', 'LW']",Argentina,LA Galaxy,86,79,23,79,24,78,25
Joachim Andersen,J. Andersen,224221,['CB'],Denmark,Olympique Lyonnais,86,78,23,76,24,77,25
Harry Winks,H. Winks,222400,"['CM', 'CDM']",England,Tottenham Hotspur,86,80,23,79,24,77,25
Hirving Lozano,H. Lozano,221992,"['RW', 'LW']",Mexico,PSV,86,82,23,80,24,81,25
David Brooks,D. Brooks,220196,"['RM', 'CAM']",Wales,Wales,86,77,21,76,22,76,23
Allan Saint Maximin,A. Saint-Maximin,216388,"['RW', 'LW', 'ST']",France,Newcastle United,86,79,22,80,23,79,24
Fabio Daniel Soares Silva,Fábio Silva,252037,['ST'],Portugal,FC Porto,85,68,16,69,17,70,18
Renan Augusto Lodi Dos Santos,Renan Lodi,251573,['LB'],Brazil,Atlético de Madrid,85,77,21,81,22,81,23
Roberto Piccoli,R. Piccoli,248385,['ST'],Italy,Atalanta,85,64,18,62,19,63,20
Sebastiano Esposito,S. Esposito,247888,['ST'],Italy,Inter,85,63,16,66,17,67,18
Mateus Tete,Tete,247641,"['LM', 'CAM']",Brazil,Shakhtar Donetsk,85,72,19,75,20,76,21
Marcos Antonio Silva Santos,Marcos Antonio,247377,['CM'],Brazil,Shakhtar Donetsk,85,65,19,72,20,73,21
Ante Palaversa,A. Palaversa,247185,"['CM', 'CDM', 'CAM']",Croatia,KV Oostende,85,71,19,,,70,21
Gonzalo Plata,G. Plata,247181,"['LW', 'RW']",Ecuador,Sporting CP,85,70,18,74,19,74,20
Ki Jana Hoever,K. Hoever,246763,"['RB', 'CB']",Netherlands,Liverpool,85,62,17,,,65,19
Lucien Agoume,L. Agoume,246683,['CM'],France,Inter,85,63,17,63,18,65,19
Maxence Caqueret,M. Caqueret,246646,"['CM', 'CDM']",France,Olympique Lyonnais,85,69,19,75,20,78,21
Julian Alvarez,J. Álvarez,246191,['ST'],Argentina,River Plate,85,67,19,71,20,75,21
Samuel Chukwueze,S. Chukwueze,246172,"['RM', 'CF', 'RW']",Nigeria,Villarreal CF,85,76,20,77,21,77,22
Ryan Gravenberch,R. Gravenberch,246104,"['CM', 'CDM']",Netherlands,Ajax,85,67,17,70,18,78,19
Victor Mollejo Carpintero,Mollejo,245999,['RW'],Spain,Atlético de Madrid,85,65,18,69,19,70,20
Troy Parrott,T. Parrott,245902,['ST'],Republic of Ireland,Tottenham Hotspur,85,64,17,65,18,64,19
Ahmed Kutucu,A. Kutucu,245762,"['ST', 'CF', 'RW']",Turkey,FC Schalke 04,85,68,19,68,20,69,21
Sergio Reguilon Rodriguez,Reguilón,245279,['LB'],Spain,Sevilla FC,85,77,22,82,23,81,24
Francisco Montero Rubio,Montero,244938,['CB'],Spain,Atlético de Madrid,85,68,20,66,21,70,22
Matias Pellegrini,M. Pellegrini,244884,"['LM', 'CM', 'RW']",Argentina,Estudiantes de La Plata,85,68,19,68,20,68,21
Javier Puado Diaz,Puado,244622,"['ST', 'CF', 'CAM']",Spain,RCD Espanyol de Barcelona,85,73,21,72,22,78,23
Fernando Dos Santos Pedro,Fernando,244389,['LM'],Brazil,Shakhtar Donetsk,85,71,20,71,21,70,22
Mykola Shaparenko,M. Shaparenko,244374,"['CM', 'CDM', 'CAM']",Ukraine,Dynamo Kyiv,85,73,20,72,21,76,22
Filip Benkovic,F. Benković,244269,['CB'],Croatia,Leicester City,85,76,21,74,22,71,23
Antonio Marin,A. Marin,244267,"['LW', 'RW', 'CAM']",Croatia,Dinamo Zagreb,85,66,18,67,19,,
Yacine Adli,Y. Adli,243627,"['CM', 'CAM']",France,FC Girondins de Bordeaux,85,66,18,70,19,75,20
Rabbi Matondo,R. Matondo,243392,"['RM', 'LM']",Wales,FC Schalke 04,85,66,18,70,19,69,20
Dwight Mcneil,D. McNeil,243282,['LM'],England,Burnley,85,74,19,78,20,77,21
Benoit Badiashile,B. Badiashile,242578,['CB'],France,AS Monaco,85,68,18,71,19,76,20
Musa Barrow,M. Barrow,242374,['ST'],Gambia,Atalanta,85,69,20,72,21,76,22
Agustin Almendra,A. Almendra,242081,"['CM', 'CDM']",Argentina,Boca Juniors,85,69,19,67,20,69,21
Moussa Diaby,M. Diaby,241852,['LM'],France,Bayer 04 Leverkusen,85,74,19,81,20,81,21
Sergio Gomez Martin,Sergio Gómez,241811,"['CAM', 'CM', 'LM']",Spain,SD Huesca,85,68,18,68,19,68,20
Ferran Torres Garcia,Ferrán Torres,241461,['RM'],Spain,Valencia CF,85,75,19,81,20,82,21
Hector Junior Firpo Adames,Junior Firpo,241184,"['LB', 'LM', 'LWB']",Spain,FC Barcelona,85,79,22,79,23,78,24
Zinho Vanheusden,Z. Vanheusden,241103,['CB'],Belgium,Standard de Liège,85,74,19,73,20,74,21
Nikola Vlasic,N. Vlašić,241095,"['CAM', 'LM']",Croatia,PFC CSKA Moscow,85,77,21,80,22,80,23
Julian Carranza,J. Carranza,240969,['ST'],Argentina,Club Atlético Banfield,85,67,19,68,20,66,21
Matheus Santos Carneiro Da Cunha,Matheus Cunha,240243,"['ST', 'CAM']",Brazil,RB Leipzig,85,74,20,78,21,79,22
Max Aarons,M. Aarons,240060,['RB'],England,Norwich City,85,72,19,73,20,75,21
Jann Fiete Arp,J. Arp,239981,"['ST', 'LM']",Germany,FC Bayern München,85,67,19,66,20,65,21
Ozan Kabak,O. Kabak,239890,['CB'],Turkey,FC Schalke 04,85,74,19,77,20,76,21
Lisandro Martinez,L. Martínez,239301,"['CB', 'LB']",Argentina,Ajax,85,77,21,78,22,79,23
Maximiliano Gomez,M. Gómez,239207,['ST'],Uruguay,Valencia CF,85,80,22,80,23,80,24
Nicolas Cozza,N. Cozza,239136,"['CB', 'LWB']",France,Montpellier Hérault SC,85,69,20,68,21,72,22
Erling Braut Haland,E. Håland,239085,['ST'],Norway,FC Red Bull Salzburg,85,73,18,84,19,88,20
Federico Valverde,F. Valverde,239053,"['CM', 'LM', 'CDM']",Uruguay,Real Madrid CF,85,77,20,83,21,83,22
Ruben Vargas,R. Vargas,238581,"['RM', 'LM']",Switzerland,FC Augsburg,85,70,20,74,21,75,22
Marcus Wendel Valle Da Silva,Wendel,238359,['CM'],Brazil,Sporting CP,85,77,21,79,22,,
Krepin Diatta,K. Diatta,238227,"['LW', 'RW', 'ST']",Senegal,Club Brugge KV,85,75,20,77,21,76,22
Merih Demiral,M. Demiral,238160,['CB'],Turkey,Juventus,85,74,21,76,22,77,23
Diego Lainez,D. Lainez,237995,"['RM', 'LM', 'CAM']",Mexico,Real Betis Balompié,85,72,19,72,20,74,21
Juan Foyth,J. Foyth,237221,"['CB', 'RB']",Argentina,Tottenham Hotspur,85,74,21,75,22,75,23
Hannes Wolf,H. Wolf,236935,['CAM'],Austria,RB Leipzig,85,74,20,72,21,73,22
Jean Philippe Mateta,J. Mateta,236461,['ST'],France,1. FSV Mainz 05,85,78,22,76,23,75,24
Ibrahim Sangare,I. Sangaré,235173,"['CDM', 'CM']",Côte d'Ivoire,Toulouse Football Club,85,76,21,74,22,77,23
Fedor Chalov,F. Chalov,235029,['ST'],Russia,PFC CSKA Moscow,85,76,21,74,22,74,23
Panagiotis Retsos,P. Retsos,234986,"['CB', 'RB', 'LB']",Greece,Bayer 04 Leverkusen,85,75,20,74,21,73,22
Harvey Barnes,H. Barnes,234742,"['LW', 'CAM']",England,Leicester City,85,75,21,79,22,81,23
Jose Diogo Dalot Teixeira,Diogo Dalot,234574,"['RB', 'LB', 'RM']",Portugal,Manchester United,85,75,20,76,21,76,22
Joao Pedro Neves Filipe,Jota,234570,"['LM', 'RM', 'CF']",Portugal,SL Benfica,85,72,20,72,21,74,22
Gedson Carvalho Fernandes,Gedson Fernandes,234568,['CM'],Portugal,SL Benfica,85,76,20,75,21,77,22
Alvaro Odriozola Arzalluz,Odriozola,234035,['RB'],Spain,Real Madrid CF,85,80,23,79,24,79,25
Amath Ndiaye,A. Ndiaye,233631,['LM'],Senegal,Getafe CF,85,76,22,76,23,76,24
Dean Henderson,D. Henderson,233306,['GK'],England,Sheffield United,85,75,22,80,23,80,24
