Player name,Known as,player_id,position,nationality,team,Fifa 11 Potential rating,Fifa 11 overall_rating,Fifa 11 age,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Juan Manuel Mata Garcia,Mata,178088,"['LW', 'LM', 'CAM', 'LF']",Spain,Valencia CF,88,82,22,85,23,86,24,87,25,85,26,84,27,84,28,84,29,83,30,82,31,79,32,78,33
Bojan Krkic Perez,Bojan,176993,"['CF', 'RF', 'LF', 'ST']",Spain,FC Barcelona,88,79,19,78,20,76,21,79,22,77,23,81,24,82,25,79,26,75,27,74,28,73,29,71,30
Mesut Ozil,M. Özil,176635,"['CAM', 'LM', 'RM']",Germany,Real Madrid CF,88,83,21,86,22,87,23,87,24,86,25,87,26,89,27,88,28,86,29,84,30,82,31,80,32
Luis Suarez,L. Suárez,176580,"['RF', 'ST', 'CF', 'RW']",Uruguay,Ajax,88,82,23,85,24,86,25,86,26,89,27,90,28,92,29,92,30,91,31,89,32,87,33,88,34
Marek Hamsik,M. Hamšik,171877,"['CAM', 'CM', 'RF', 'LF']",Slovakia,Napoli,88,83,22,84,23,85,24,84,25,83,26,83,27,85,28,87,29,87,30,84,31,81,32,80,33
Blaise Matuidi,B. Matuidi,170890,"['CDM', 'CM', 'LM', 'LB']",France,AS Saint-Étienne,88,75,23,78,24,77,25,81,26,83,27,84,28,86,29,85,30,85,31,85,32,83,33,79,34
Mouhamadou Dabo,M. Dabo,168630,"['RB', 'LB', 'CDM', 'RWB']",France,Sevilla FC,88,77,23,73,24,73,25,72,26,72,27,,,72,29,71,30,64,31,,,,,,
Karim Benzema,K. Benzema,165153,"['ST', 'LF']",France,Real Madrid CF,88,83,22,84,23,87,24,85,25,85,26,86,27,87,28,86,29,84,30,87,31,89,32,89,33
Hatem Ben Arfa,H. Ben Arfa,161648,"['RW', 'CAM', 'LW', 'RF']",France,Newcastle United,88,78,23,79,24,81,25,79,26,78,27,79,28,84,29,81,30,,,,,75,33,75,34
Yoann Gourcuff,Y. Gourcuff,153296,"['CAM', 'CM', 'RM', 'LM']",France,Olympique Lyonnais,88,83,23,81,24,79,25,79,26,77,27,,,78,29,79,30,75,31,,,,,,
Mauro Zarate,M. Zárate,153177,"['RF', 'LF', 'RW', 'LW']",Argentina,Lazio,88,79,23,80,24,77,25,75,26,77,27,76,28,77,29,77,30,77,31,78,32,76,33,,
Gerard Pique Bernabeu,Piqué,152729,"['CB', 'RB', 'CDM']",Spain,FC Barcelona,88,85,23,88,24,86,25,86,26,84,27,85,28,86,29,87,30,87,31,88,32,86,33,84,34
Joe Hart,J. Hart,150724,['GK'],England,Manchester City,88,82,23,83,24,84,25,83,26,82,27,83,28,84,29,82,30,78,31,77,32,,,74,34
Bit Ga Ram Yoon,Yoon Bit Ga Ram,200601,"['CM', 'CAM', 'RM', 'LM']",Korea Republic,Korea Republic,87,65,20,68,21,65,22,67,23,67,24,70,25,,,70,27,72,28,68,29,71,30,73,31
Zhano Ananidze,Z. Ananidze,193897,"['CAM', 'CM', 'CF', 'ST']",Georgia,Spartak Moskva,87,73,17,73,18,75,19,73,20,75,21,74,22,74,23,75,24,75,25,74,26,,,,
Daniel Villalva,D. Villalva,190629,"['CF', 'CAM']",Argentina,River Plate,87,68,17,65,18,66,19,69,20,69,21,70,22,73,23,73,24,72,25,71,26,,,,
Rafael Pereira Da Silva,Rafael,189681,"['RWB', 'RB', 'RW', 'CDM']",Brazil,Manchester United,87,77,19,76,20,77,21,77,22,77,23,77,24,78,25,79,26,79,27,78,28,77,29,76,30
Fabio Pereira Da Silva,Fábio,189680,"['LWB', 'LB', 'LM', 'RB']",Brazil,Manchester United,87,75,19,75,20,75,21,75,22,72,23,74,24,74,25,74,26,71,27,72,28,73,29,72,30
Davide Santon,D. Santon,189484,"['RWB', 'LWB', 'RB', 'LB']",Italy,Inter,87,77,19,75,20,75,21,75,22,75,23,76,24,76,25,76,26,75,27,75,28,75,29,74,30
Jonathan Urretaviscaya,J. Urretaviscaya,189338,"['RW', 'LW', 'CF', 'CAM']",Uruguay,Deportivo de La Coruña,87,76,20,73,21,74,22,72,23,,,72,25,72,26,74,27,75,28,73,29,74,30,71,31
Manuel Lanzini,M. Lanzini,188988,"['CAM', 'CM']",Argentina,River Plate,87,67,17,71,18,72,19,74,20,,,76,22,79,23,81,24,81,25,80,26,78,27,77,28
Douglas Franco Teixeira,Douglas,188177,"['CB', 'RB', 'RWB']",Brazil,FC Twente,87,79,22,79,23,77,24,75,25,75,26,77,27,74,28,73,29,,,,,64,32,,
Alan Dzagoev,A. Dzagoev,187735,"['CAM', 'CF', 'RM', 'CM']",Russia,PFC CSKA Moscow,87,79,20,79,21,80,22,79,23,79,24,79,25,81,26,80,27,80,28,77,29,76,30,76,31
Mario Balotelli,M. Balotelli,186627,"['ST', 'LF', 'RF', 'CF']",Italy,Manchester City,87,81,19,81,20,84,21,84,22,82,23,80,24,79,25,82,26,83,27,82,28,79,29,76,30
Leonardo Bonucci,L. Bonucci,184344,"['CB', 'SW', 'RB']",Italy,Juventus,87,78,23,78,24,80,25,79,26,79,27,83,28,87,29,88,30,86,31,86,32,85,33,85,34
Neven Subotic,N. Subotic,183556,"['CB', 'SW']",Serbia,Borussia Dortmund,87,78,21,82,22,81,23,82,24,82,25,80,26,78,27,77,28,78,29,77,30,72,31,,
Stevan Jovetic,S. Jovetić,181820,"['CF', 'ST', 'LF', 'CAM']",Montenegro,Fiorentina,87,79,20,81,21,83,22,84,23,81,24,81,25,81,26,81,27,80,28,78,29,77,30,77,31
Simon Kjaer,S. Kjær,179645,"['CB', 'RB']",Denmark,VfL Wolfsburg,87,78,21,76,22,75,23,75,24,80,25,81,26,82,27,81,28,79,29,82,30,80,31,83,32
Marko Marin,M. Marin,179546,"['LM', 'LW', 'CAM', 'RM']",Germany,SV Werder Bremen,87,81,22,80,23,78,24,78,25,77,26,77,26,76,27,75,28,,,,,75,31,73,32
Loic Remy,L. Remy,179527,"['RF', 'ST', 'CF']",France,Olympique de Marseille,87,78,23,82,24,83,25,79,26,80,27,81,28,81,29,77,30,78,31,77,32,,,75,34
Javier Hernandez,J. Hernández,178224,"['ST', 'LF', 'LW', 'CF']",Mexico,Manchester United,87,79,22,82,23,82,24,82,25,81,26,80,27,83,28,82,29,79,30,78,31,78,32,78,33
Etienne Capoue,E. Capoue,178213,"['CDM', 'CM', 'CB', 'RB']",France,Toulouse Football Club,87,76,21,77,22,79,23,79,24,78,25,77,26,78,27,76,28,76,29,80,30,78,31,78,32
Marouane Fellaini,M. Fellaini,176944,"['CDM', 'CM', 'CF', 'CAM']",Belgium,Everton,87,81,22,79,23,81,24,81,25,79,26,78,27,78,28,79,29,79,30,76,31,75,32,75,33
Eljero Elia,E. Elia,172049,"['LM', 'LW', 'CF', 'CAM']",Netherlands,Hamburger SV,87,80,23,79,24,77,25,76,26,76,27,76,28,76,29,78,30,78,31,77,32,74,33,,
Diego Capel Trinidad,Diego Capel,171318,"['LW', 'LM']",Spain,Sevilla FC,87,79,22,78,23,80,24,79,25,77,26,76,27,76,28,,,71,30,,,,,,
Gervais Yao Kouassi,Gervinho,170733,"['CF', 'ST', 'RF']",Côte d'Ivoire,LOSC Lille,87,80,23,84,24,81,25,79,26,81,27,80,28,80,29,79,30,77,31,78,32,78,33,76,34
Diego Buonanotte,D. Buonanotte,170719,"['CAM', 'LW', 'LM']",Argentina,River Plate,87,76,22,77,23,75,24,73,25,73,26,,,76,28,,,77,30,75,31,74,32,76,33
Anderson Luis De Abreu Oliveira,Anderson,167963,"['CM', 'CAM', 'LM', 'CDM']",Brazil,Manchester United,87,78,22,77,23,77,24,77,25,73,26,73,27,,,,,,,,,,,,
Gonzalo Higuain,G. Higuaín,167664,"['ST', 'CF', 'RF', 'CAM']",Argentina,Real Madrid CF,87,85,22,85,23,85,24,84,25,84,26,84,27,88,28,90,29,88,30,85,31,83,32,81,33
Gabriel Agbonlahor,G. Agbonlahor,164469,"['RM', 'RW', 'ST', 'RF']",England,Aston Villa,87,76,23,75,24,74,25,73,26,73,27,73,28,73,29,69,30,,,,,,,,
Joao Filipe Iria Santos Moutinho,João Moutinho,162347,"['CM', 'CAM', 'RM', 'LM']",Portugal,FC Porto,87,80,23,84,24,84,25,83,26,83,27,83,28,83,29,82,30,81,31,84,32,83,33,80,34
Alexander Merkel,A. Merkel,200700,"['CAM', 'CF']",Germany,AC Milan,86,67,18,73,19,75,20,74,21,69,22,68,23,69,24,68,25,68,26,69,27,,,68,29
Josip Ilicic,J. Iličić,200647,"['CM', 'LM', 'RM']",Slovenia,Slovenia,86,71,22,79,23,79,24,77,25,76,26,78,27,80,28,80,29,81,30,84,31,84,32,84,33
Heung Min Son,H. Son,200104,"['ST', 'CF', 'CAM', 'LW']",Korea Republic,Hamburger SV,86,67,17,73,18,73,19,76,20,76,21,77,22,78,23,82,24,84,25,87,26,87,27,89,28
Phil Jones,P. Jones,194957,"['CB', 'RB', 'CDM']",England,Blackburn Rovers,86,74,18,76,19,78,20,78,21,79,22,80,23,79,24,79,25,80,26,79,27,75,28,74,29
Ishak Belfodil,I. Belfodil,194728,"['ST', 'CF']",France,Olympique Lyonnais,86,66,18,67,19,69,20,75,21,73,22,,,,,75,25,76,26,79,27,77,28,74,29
Roderick Jefferson Goncalves Miranda,Roderick Miranda,193143,"['CB', 'SW', 'CDM']",Portugal,SL Benfica,86,72,19,65,20,69,21,68,22,68,23,69,24,70,25,72,26,71,27,70,28,69,29,69,30
Maxime Gonalons,M. Gonalons,193116,"['CDM', 'CM', 'CB']",France,Olympique Lyonnais,86,78,21,78,22,77,23,78,24,80,25,82,26,81,27,80,28,75,29,75,30,76,31,76,32
Thomas Muller,T. Müller,189596,"['ST', 'RF', 'CAM', 'RW']",Germany,FC Bayern München,86,80,20,83,21,84,22,85,23,86,24,86,25,87,26,86,27,86,28,86,29,86,30,87,31
Pedro Rodriguez Ledesma,Pedro,189505,"['LW', 'RW', 'LF', 'RF']",Spain,FC Barcelona,86,82,22,85,23,84,24,85,25,83,26,83,27,83,28,84,29,82,30,82,31,,,78,33
Lorenzo Ariaudo,L. Ariaudo,189436,"['CB', 'LB']",Italy,Cagliari,86,70,21,72,22,74,23,73,24,70,25,72,26,73,27,72,28,72,29,72,30,,,,
Philippe Coutinho Correia,Philippe Coutinho,189242,"['CAM', 'RM', 'CM', 'CF']",Brazil,Inter,86,74,18,74,19,78,20,80,21,81,22,84,23,85,24,86,25,88,26,86,27,83,28,82,29
Ryad Boudebouz,R. Boudebouz,188388,"['RM', 'CAM', 'LM']",Algeria,FC Sochaux-Montbéliard,86,72,20,75,21,77,22,76,23,74,24,76,25,79,26,81,27,80,28,78,29,76,30,74,31
Yanis Tafer,Y. Tafer,187925,"['ST', 'LF', 'RM', 'LM']",France,Toulouse Football Club,86,73,19,69,20,66,21,65,22,63,23,66,24,68,25,68,26,67,27,63,28,,,,
Aaron Ramsey,A. Ramsey,186561,"['CM', 'CAM', 'RM']",Wales,Arsenal,86,76,19,77,20,77,21,77,22,83,23,82,24,84,25,82,26,82,27,83,28,82,29,80,30
Andrea Poli,A. Poli,185174,"['CM', 'CAM', 'CDM']",Italy,U.C. Sampdoria,86,75,20,75,21,77,22,75,23,78,24,77,25,76,26,75,27,77,28,77,29,76,30,75,31
Felipe Mattioni Rohde,Felipe Mattioni,184965,"['RWB', 'RB', 'RM']",Brazil,RCD Espanyol de Barcelona,86,73,21,70,22,67,23,68,24,68,25,69,26,,,,,,,,,,,,
Giuliano Victor De Paula,Giuliano,184942,"['CAM', 'CM', 'RM', 'CF']",Brazil,Internacional,86,77,20,,,,,,,,,,,80,26,81,27,83,28,82,29,80,30,,
Sofiane Feghouli,S. Feghouli,184881,"['CAM', 'CM', 'RW', 'CF']",France,Valencia CF,86,76,20,73,21,80,22,81,23,81,24,81,25,80,26,79,27,79,28,80,29,79,30,76,31
Gregory Van Der Wiel,G. van der Wiel,183937,"['RWB', 'RB']",Netherlands,Ajax,86,77,22,78,23,76,24,74,25,77,26,78,27,78,28,76,29,74,30,,,,,,
Jerome Boateng,J. Boateng,183907,"['CB', 'RB', 'LB', 'CDM']",Germany,Manchester City,86,77,21,78,22,79,23,81,24,85,25,87,26,90,27,88,28,86,29,84,30,82,31,82,32
Pablo Piatti,P. Piatti,183899,"['LW', 'CAM', 'LF', 'RF']",Argentina,Unión Deportiva Almería,86,78,21,78,22,74,23,73,24,78,25,80,26,78,27,79,28,79,29,78,30,78,31,77,32
Francisco Merida Perez,Fran Mérida,183520,"['CAM', 'LM', 'CM', 'LW']",Spain,Atlético de Madrid,86,74,20,74,21,72,22,68,23,,,71,25,75,26,73,27,70,28,73,29,,,74,31
Jack Rodwell,J. Rodwell,183465,"['CDM', 'CM', 'CB', 'RB']",England,Everton,86,77,19,76,20,77,21,77,22,76,23,76,24,76,25,74,26,,,,,,,67,30
Fabian Delph,F. Delph,183427,"['CM', 'LM']",England,Aston Villa,86,76,20,73,21,71,22,72,23,75,24,77,25,78,26,77,27,80,28,77,29,77,30,75,31
Moussa Sissoko,M. Sissoko,183394,"['CM', 'RM', 'CDM']",France,Toulouse Football Club,86,76,20,77,21,75,22,75,23,75,24,78,25,80,26,77,27,76,28,81,29,79,30,78,31
Carlos Eduardo Marques,Carlos Eduardo,181392,"['CAM', 'RW', 'RM', 'CM']",Brazil,Brazil,86,79,22,81,23,80,24,76,25,71,26,73,27,,,,,,,,,,,,
Georginio Wijnaldum,G. Wijnaldum,181291,"['RW', 'CAM', 'CM', 'LW']",Netherlands,Feyenoord,86,75,19,75,20,76,21,78,22,78,23,80,24,81,25,82,26,82,27,84,28,85,29,84,30
Sami Khedira,S. Khedira,179846,"['CDM', 'CM', 'CAM', 'RM']",Germany,Real Madrid CF,86,80,23,81,24,83,25,84,26,84,27,83,28,83,29,84,30,84,31,83,32,81,33,,
Benedikt Howedes,B. Höwedes,179784,"['CB', 'RB', 'LB', 'CDM']",Germany,FC Schalke 04,86,78,22,80,23,81,24,82,25,82,26,83,27,84,28,83,29,81,30,81,31,,,,
Ever Banega,É. Banega,178562,"['CM', 'CDM', 'CAM', 'RM']",Argentina,Valencia CF,86,81,22,79,23,80,24,75,25,80,26,80,27,84,28,83,29,83,30,83,31,83,32,82,33
Clement Chantome,C. Chantôme,177953,"['CM', 'CDM']",France,Paris Saint-Germain,86,74,22,74,23,76,24,75,25,75,26,75,27,76,28,74,29,72,30,,,,,,
Dimitri Payet,D. Payet,177388,"['LM', 'LW', 'RW', 'CAM']",France,AS Saint-Étienne,86,75,23,79,24,80,25,80,26,78,27,81,28,86,29,84,30,84,31,81,32,82,33,80,34
Welliton Soares De Morais,Welliton,176927,"['ST', 'CF', 'RF', 'RW']",Brazil,Spartak Moskva,86,82,23,83,24,81,25,76,26,70,27,72,28,73,29,,,,,,,,,,
Denilson Pereira Neves,Denilson,176414,"['CM', 'CDM', 'RM']",Brazil,Arsenal,86,79,22,76,23,72,24,73,25,,,,,,,,,,,,,,,,
Pedro Leon Sanchez Gil,Pedro León,175379,"['RM', 'RW', 'RF', 'CAM']",Spain,Real Madrid CF,86,80,23,77,24,76,25,79,26,79,27,79,28,77,29,80,30,81,31,80,32,79,33,78,34
Sergio Romero,S. Romero,173373,['GK'],Argentina,Argentina,86,78,23,77,24,77,25,76,26,72,27,76,28,79,29,80,30,80,31,80,32,80,33,79,34
Cristian Ansaldi,C. Ansaldi,173306,"['LWB', 'LB', 'RB', 'RWB']",Argentina,Rubin Kazan,86,79,23,79,24,79,25,78,26,77,27,79,28,80,29,79,30,78,31,78,32,78,33,78,34
Antonio Candreva,A. Candreva,173221,"['CAM', 'RM', 'LM', 'CM']",Italy,Parma,86,75,23,76,24,77,25,82,26,83,27,83,28,81,29,80,30,81,31,79,32,78,33,79,34
Domenico Criscito,D. Criscito,173208,"['LWB', 'LB', 'LM', 'CB']",Italy,Italy,86,78,23,81,24,81,25,80,26,78,27,80,28,79,29,80,30,81,31,79,32,78,33,76,34
Fabio Alexandre Silva Coentrao,Fábio Coentrão,171688,"['LWB', 'LM', 'LW', 'LB']",Portugal,SL Benfica,86,78,22,82,23,81,24,79,25,79,26,80,27,80,28,77,29,79,30,,,75,32,,
Andrew Driver,A. Driver,170635,"['LW', 'LM']",Scotland,Heart of Midlothian,86,76,22,69,23,69,24,67,25,67,26,66,27,,,,,,,,,,,,
Stephen Ireland,S. Ireland,170570,"['CAM', 'CM', 'RM', 'LM']",Republic of Ireland,Aston Villa,86,80,23,77,24,77,25,76,26,76,27,75,28,76,29,72,30,70,31,,,,,,
Salvatore Sirigu,S. Sirigu,168435,['GK'],Italy,Italy,86,79,23,79,24,83,25,84,26,84,27,82,28,82,29,79,30,82,31,84,32,84,33,82,34
Ignazio Abate,I. Abate,168312,"['RM', 'RWB', 'RB', 'RW']",Italy,AC Milan,86,76,23,78,24,81,25,78,26,74,27,78,28,78,29,78,30,78,31,,,,,,
Efrain Juarez,E. Juárez,167519,"['CM', 'CDM', 'RB', 'RM']",Mexico,Celtic,86,79,22,71,23,67,24,65,25,66,26,68,27,70,28,71,29,68,30,68,31,,,,
Oscar Ustari,O. Ustari,167435,['GK'],Argentina,Getafe CF,86,75,23,73,24,72,25,75,26,74,27,72,28,72,29,73,30,,,,,70,33,72,34
Theo Walcott,T. Walcott,164859,"['RW', 'RM', 'ST', 'LW']",England,Arsenal,86,81,21,82,22,81,23,81,24,81,25,81,26,81,27,80,28,79,29,77,30,76,31,76,32
John Obi Mikel,J. Mikel,164477,"['CDM', 'CM', 'CAM']",Nigeria,Chelsea,86,82,23,81,24,80,25,79,26,78,27,77,28,78,29,,,76,31,73,32,72,33,,
Johan Djourou,J. Djourou,162893,"['CB', 'CDM', 'CM']",Switzerland,Arsenal,86,78,23,77,24,75,25,75,26,74,27,76,28,77,29,73,30,72,31,,,69,33,,
Giuseppe Rossi,G. Rossi,162409,"['CF', 'ST', 'CAM', 'LW']",Italy,Villarreal CF,86,82,23,85,24,82,25,81,26,82,27,80,28,79,29,,,,,,,73,33,,
Jeremy Menez,J. Ménez,160766,"['CAM', 'LW', 'RW', 'LF']",France,Roma,86,79,23,81,24,81,25,77,26,78,27,81,28,79,29,77,30,73,31,71,32,,,,
Alexandre Song,A. Song,157503,"['CDM', 'CM', 'CB', 'RB']",Cameroon,Arsenal,86,82,22,82,23,83,24,83,25,79,26,79,27,77,28,77,29,,,71,31,,,,
Gael Junior Etock,G. Etock,201229,"['ST', 'LF']",Cameroon,FC Barcelona B,85,60,16,,,,,64,19,,,,,,,,,,,,,,,,
Luis Pedro Cavanda,L. Cavanda,200434,"['RWB', 'RB', 'LWB', 'LB']",Angola,Lazio,85,70,19,70,20,72,21,72,22,72,23,75,24,74,25,72,26,71,27,70,28,,,,
Nicolai Boilesen,N. Boilesen,200108,"['CB', 'LB']",Denmark,Ajax,85,63,18,69,19,69,20,69,21,73,22,72,23,72,24,71,25,71,26,72,27,71,28,72,29
Pablo Pintos,P. Pintos,200055,"['RWB', 'RB', 'RM']",Uruguay,Getafe CF,85,72,22,69,23,,,67,25,66,26,,,,,,,,,,,,,,
Marco Costantino,M. Costantino,199839,['GK'],Italy,Juventus,85,63,19,,,,,61,22,,,63,24,,,,,,,,,,,,
Filippo Boniperti,F. Boniperti,199825,"['CF', 'RF', 'CAM']",Italy,Juventus,85,64,18,64,19,62,20,64,21,55,22,,,,,,,,,,,,,,
Luca Caldirola,L. Caldirola,199776,"['CB', 'LB']",Italy,Vitesse,85,68,19,69,20,70,21,70,22,73,23,74,24,75,25,75,26,72,27,72,28,71,29,71,30
Chul Hong,Hong Chul,199236,"['LWB', 'LB', 'CAM']",Korea Republic,Seongnam FC,85,66,19,66,20,65,21,69,22,69,23,73,24,71,25,74,26,74,27,71,28,72,29,71,30
Tae Hwan Kim,Kim Tae Hwan,199231,"['CM', 'CAM', 'RM', 'LM']",Korea Republic,FC Seoul,85,61,20,62,21,62,22,63,23,63,24,67,25,69,26,67,27,71,28,69,29,71,30,72,31
Pablo Sarabia Garcia,Pablo Sarabia,198950,"['LW', 'CAM', 'RW']",Spain,Real Madrid CF,85,69,18,73,19,72,20,70,21,70,22,73,23,78,24,80,25,81,26,83,27,81,28,80,29
