Player name,Known as,player_id,position,nationality,team,Fifa 12 Potential rating,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 12 outcome,Year potential reached
Alessio Cerci,A. Cerci,178393,"['RW', 'LW', 'RM', 'CAM']",Italy,Fiorentina,88,78,23,75.0,24.0,81.0,25.0,80.0,26.0,77.0,27.0,76.0,28.0,75.0,29.0,,,72.0,31.0,,,,,did not hit their potential,
Mesut Özil,M. Özil,176635,"['CAM', 'LM', 'RM', 'CM']",Germany,Real Madrid CF,88,86,22,87.0,23.0,87.0,24.0,86.0,25.0,87.0,26.0,89.0,27.0,88.0,28.0,86.0,29.0,84.0,30.0,82.0,31.0,80.0,32.0,lived to expectations,1.0
Nuri Şahin,N. Şahin,170797,"['CM', 'CDM']",Turkey,Real Madrid CF,88,85,22,82.0,23.0,82.0,24.0,81.0,25.0,81.0,26.0,80.0,27.0,79.0,28.0,79.0,29.0,78.0,30.0,,,74.0,32.0,did not hit their potential,
Sergio Leonel Agüero del Castillo,S. Agüero,153079,"['ST', 'CF']",Argentina,Manchester City,88,86,23,87.0,24.0,88.0,25.0,86.0,26.0,87.0,27.0,89.0,28.0,89.0,29.0,89.0,30.0,89.0,31.0,89.0,32.0,87.0,33.0,lived to expectations,1.0
Fernando Lucas Martins,Fernando,202642,"['CDM', 'CM']",Brazil,Grêmio,87,70,19,75.0,20.0,76.0,21.0,76.0,22.0,76.0,23.0,78.0,24.0,79.0,25.0,78.0,26.0,78.0,27.0,79.0,28.0,77.0,29.0,did not hit their potential,
Thibaut Nicolas Marc Courtois,T. Courtois,192119,['GK'],Belgium,Atlético de Madrid,87,73,19,79.0,20.0,84.0,21.0,86.0,22.0,86.0,23.0,89.0,24.0,89.0,25.0,90.0,26.0,88.0,27.0,89.0,28.0,89.0,29.0,exceeded their potential,3.0
Stephan El Shaarawy,S. El Shaarawy,190813,"['CAM', 'LW', 'LM', 'CF']",Italy,AC Milan,87,73,18,76.0,19.0,81.0,20.0,80.0,21.0,80.0,22.0,81.0,23.0,80.0,24.0,81.0,25.0,82.0,26.0,79.0,27.0,79.0,28.0,did not hit their potential,
Davide Santon,D. Santon,189484,"['LB', 'RB', 'RWB', 'LWB']",Italy,Newcastle United,87,75,20,75.0,21.0,75.0,22.0,75.0,23.0,76.0,24.0,76.0,25.0,76.0,26.0,75.0,27.0,75.0,28.0,75.0,29.0,74.0,30.0,did not hit their potential,
Philippe Coutinho Correia,Philippe Coutinho,189242,"['CAM', 'RM', 'RW', 'CF']",Brazil,Inter,87,74,19,78.0,20.0,80.0,21.0,81.0,22.0,84.0,23.0,85.0,24.0,86.0,25.0,88.0,26.0,86.0,27.0,83.0,28.0,82.0,29.0,lived to expectations,6.0
Paulo Henrique Chagas de Lima,Ganso,187688,"['CAM', 'CM', 'CF']",Brazil,Santos,87,83,21,80.0,22.0,77.0,23.0,,,,,81.0,26.0,80.0,27.0,75.0,28.0,,,,,,,did not hit their potential,
Angelo Obinze Ogbonna,A. Ogbonna,183855,"['CB', 'LB']",Italy,Torino F.C.,87,75,23,79.0,24.0,80.0,25.0,77.0,26.0,79.0,27.0,80.0,28.0,80.0,29.0,78.0,30.0,77.0,31.0,77.0,32.0,80.0,33.0,did not hit their potential,
Andrea Ranocchia,A. Ranocchia,182168,['CB'],Italy,Inter,87,80,23,79.0,24.0,79.0,25.0,77.0,26.0,78.0,27.0,76.0,28.0,76.0,29.0,76.0,30.0,75.0,31.0,74.0,32.0,74.0,33.0,did not hit their potential,
Marek Hamšík,M. Hamšik,171877,"['CAM', 'CF', 'CM']",Slovakia,Napoli,87,84,23,85.0,24.0,84.0,25.0,83.0,26.0,83.0,27.0,85.0,28.0,87.0,29.0,87.0,30.0,84.0,31.0,81.0,32.0,80.0,33.0,lived to expectations,6.0
Gonzalo Gerardo Higuaín,G. Higuaín,167664,"['ST', 'CF', 'CAM']",Argentina,Real Madrid CF,87,85,23,85.0,24.0,84.0,25.0,84.0,26.0,84.0,27.0,88.0,28.0,90.0,29.0,88.0,30.0,85.0,31.0,83.0,32.0,81.0,33.0,exceeded their potential,5.0
Karim Benzema,K. Benzema,165153,['ST'],France,Real Madrid CF,87,84,23,87.0,24.0,85.0,25.0,85.0,26.0,86.0,27.0,87.0,28.0,86.0,29.0,84.0,30.0,87.0,31.0,89.0,32.0,89.0,33.0,exceeded their potential,1.0
Alessandro De Vitis,A. De Vitis,202603,"['CAM', 'CM']",Italy,Modena,86,62,19,64.0,20.0,64.0,21.0,60.0,22.0,,,64.0,24.0,64.0,25.0,,,66.0,27.0,,,,,did not hit their potential,
Bruno Uvini Bortolança,Bruno Uvini,200818,['CB'],Brazil,São Paulo,86,66,20,69.0,21.0,68.0,22.0,,,71.0,24.0,72.0,25.0,72.0,26.0,71.0,27.0,,,71.0,29.0,69.0,30.0,did not hit their potential,
Alexander Merkel,A. Merkel,200700,"['CAM', 'LM', 'RM', 'CM']",Germany,Genoa,86,73,19,75.0,20.0,74.0,21.0,69.0,22.0,68.0,23.0,69.0,24.0,68.0,25.0,68.0,26.0,69.0,27.0,,,68.0,29.0,did not hit their potential,
Josip Iličić,J. Iličić,200647,"['CF', 'CAM', 'CM', 'LM']",Slovenia,Slovenia,86,79,23,79.0,24.0,77.0,25.0,76.0,26.0,78.0,27.0,80.0,28.0,80.0,29.0,81.0,30.0,84.0,31.0,84.0,32.0,84.0,33.0,did not hit their potential,
Nacer Chadli,N. Chadli,200529,"['LW', 'CAM', 'RW']",Belgium,Belgium,86,78,21,77.0,22.0,78.0,23.0,77.0,24.0,79.0,25.0,78.0,26.0,78.0,27.0,78.0,28.0,75.0,29.0,78.0,30.0,77.0,31.0,did not hit their potential,
Carlos Henrique Casimiro,Casemiro,200145,"['CDM', 'CM']",Brazil,São Paulo,86,74,19,72.0,20.0,77.0,21.0,76.0,22.0,77.0,23.0,82.0,24.0,85.0,25.0,88.0,26.0,87.0,27.0,89.0,28.0,89.0,29.0,exceeded their potential,6.0
Nicolai Møller Boilesen,N. Boilesen,200108,['LB'],Denmark,Ajax,86,69,19,69.0,20.0,69.0,21.0,73.0,22.0,72.0,23.0,72.0,24.0,71.0,25.0,71.0,26.0,72.0,27.0,71.0,28.0,72.0,29.0,did not hit their potential,
Simone Benedetti,S. Benedetti,198953,"['CB', 'RB']",Italy,Gubbio,86,64,19,64.0,20.0,65.0,21.0,70.0,22.0,70.0,23.0,70.0,24.0,69.0,25.0,,,68.0,27.0,,,,,did not hit their potential,
James David Rodríguez Rubio,J. Rodríguez,198710,"['LW', 'CAM', 'RW', 'CF']",Colombia,FC Porto,86,79,19,83.0,20.0,83.0,21.0,86.0,22.0,87.0,23.0,87.0,24.0,86.0,25.0,88.0,26.0,85.0,27.0,82.0,28.0,81.0,29.0,exceeded their potential,3.0
Phil Jones,P. Jones,194957,"['CB', 'RB', 'CDM']",England,Manchester United,86,76,19,78.0,20.0,78.0,21.0,79.0,22.0,80.0,23.0,79.0,24.0,79.0,25.0,80.0,26.0,79.0,27.0,75.0,28.0,74.0,29.0,did not hit their potential,
Zhano Ananidze,Z. Ananidze,193897,"['CAM', 'CM', 'CF', 'RM']",Georgia,Spartak Moskva,86,73,18,75.0,19.0,73.0,20.0,75.0,21.0,74.0,22.0,74.0,23.0,75.0,24.0,75.0,25.0,74.0,26.0,,,,,did not hit their potential,
Thiago Alcântara do Nascimento,Thiago,189509,"['CAM', 'CM']",Spain,FC Barcelona,86,79,20,79.0,21.0,81.0,22.0,81.0,23.0,83.0,24.0,84.0,25.0,88.0,26.0,86.0,27.0,87.0,28.0,85.0,29.0,86.0,30.0,exceeded their potential,6.0
David Junior Hoilett,D. Hoilett,189462,"['RW', 'LW', 'CF', 'RM']",Canada,Blackburn Rovers,86,76,21,77.0,22.0,77.0,23.0,73.0,24.0,72.0,25.0,73.0,26.0,72.0,27.0,75.0,28.0,74.0,29.0,72.0,30.0,72.0,31.0,did not hit their potential,
Marcelo Alejandro Estigarribia Balmori,M. Estigarribia,188992,"['LM', 'LW', 'RM', 'RW']",Paraguay,Juventus,86,76,23,78.0,24.0,,,,,73.0,27.0,,,71.0,29.0,73.0,30.0,73.0,31.0,,,73.0,33.0,did not hit their potential,
Manuel Lanzini,M. Lanzini,188988,"['CAM', 'RM', 'CM']",Argentina,Fluminense,86,71,18,72.0,19.0,74.0,20.0,,,76.0,22.0,79.0,23.0,81.0,24.0,81.0,25.0,80.0,26.0,78.0,27.0,77.0,28.0,did not hit their potential,
Seydou Doumbia,S. Doumbia,188428,"['ST', 'CF', 'LW']",Côte d'Ivoire,PFC CSKA Moscow,86,82,23,82.0,24.0,80.0,25.0,82.0,26.0,79.0,27.0,79.0,28.0,79.0,29.0,76.0,30.0,71.0,31.0,,,,,did not hit their potential,
Alan Dzagoev,A. Dzagoev,187735,"['CAM', 'CM', 'RM', 'RW']",Russia,PFC CSKA Moscow,86,79,21,80.0,22.0,79.0,23.0,79.0,24.0,79.0,25.0,81.0,26.0,80.0,27.0,80.0,28.0,77.0,29.0,76.0,30.0,76.0,31.0,did not hit their potential,
Alberto Paloschi,A. Paloschi,186961,"['ST', 'CF']",Italy,Chievo Verona,86,74,21,74.0,22.0,76.0,23.0,76.0,24.0,77.0,25.0,78.0,26.0,76.0,27.0,76.0,28.0,75.0,29.0,72.0,30.0,,,did not hit their potential,
Andrea Poli,A. Poli,185174,"['CM', 'CAM', 'CDM']",Italy,Inter,86,75,21,77.0,22.0,75.0,23.0,78.0,24.0,77.0,25.0,76.0,26.0,75.0,27.0,77.0,28.0,77.0,29.0,76.0,30.0,75.0,31.0,did not hit their potential,
Pablo Daniel Piatti,P. Piatti,183899,"['LM', 'CAM']",Argentina,Valencia CF,86,78,22,74.0,23.0,73.0,24.0,78.0,25.0,80.0,26.0,78.0,27.0,79.0,28.0,79.0,29.0,78.0,30.0,78.0,31.0,77.0,32.0,did not hit their potential,
Ángel Fabián Di María Hernández,Á. Di María,183898,"['RW', 'LW', 'RM', 'LM']",Argentina,Real Madrid CF,86,84,23,86.0,24.0,86.0,25.0,86.0,26.0,85.0,27.0,87.0,28.0,85.0,29.0,84.0,30.0,86.0,31.0,87.0,32.0,87.0,33.0,lived to expectations,1.0
Toni Kroos,T. Kroos,182521,"['CAM', 'LM', 'RM', 'CM']",Germany,FC Bayern München,86,81,21,84.0,22.0,84.0,23.0,85.0,24.0,87.0,25.0,88.0,26.0,90.0,27.0,90.0,28.0,88.0,29.0,88.0,30.0,88.0,31.0,exceeded their potential,3.0
Miralem Pjanić,M. Pjanić,180206,"['CAM', 'LM', 'CM']",Bosnia and Herzegovina,Roma,86,79,21,77.0,22.0,78.0,23.0,83.0,24.0,84.0,25.0,85.0,26.0,85.0,27.0,86.0,28.0,86.0,29.0,85.0,30.0,82.0,31.0,lived to expectations,5.0
Juan Manuel Mata García,Mata,178088,"['LW', 'LM', 'CAM']",Spain,Chelsea,86,85,23,86.0,24.0,87.0,25.0,85.0,26.0,84.0,27.0,84.0,28.0,84.0,29.0,83.0,30.0,82.0,31.0,79.0,32.0,78.0,33.0,lived to expectations,0.0
Javier Martínez Aginaga,Javi Martinez,177610,"['CDM', 'CM']",Spain,Athletic Club de Bilbao,86,82,22,83.0,23.0,84.0,24.0,85.0,25.0,84.0,26.0,84.0,27.0,86.0,28.0,84.0,29.0,84.0,30.0,81.0,31.0,,,lived to expectations,3.0
Fábio Alexandre da Silva Coentrão,Fábio Coentrão,171688,"['LB', 'LM', 'CDM']",Portugal,Real Madrid CF,86,82,23,81.0,24.0,79.0,25.0,79.0,26.0,80.0,27.0,80.0,28.0,77.0,29.0,79.0,30.0,,,75.0,32.0,,,did not hit their potential,
Erik Lamela,E. Lamela,170368,"['CAM', 'LW', 'RW', 'CF']",Argentina,Roma,86,74,19,77.0,20.0,81.0,21.0,78.0,22.0,79.0,23.0,81.0,24.0,80.0,25.0,80.0,26.0,80.0,27.0,80.0,28.0,78.0,29.0,did not hit their potential,
Adryan Oliveira Tavares,Adryan,205008,"['CAM', 'CF']",Brazil,Flamengo,85,67,16,73.0,17.0,70.0,18.0,70.0,19.0,71.0,20.0,,,71.0,22.0,71.0,23.0,71.0,24.0,,,68.0,26.0,did not hit their potential,
Ricardo Gabriel Álvarez,R. Álvarez,204555,"['CAM', 'RM', 'CM', 'CF']",Argentina,Inter,85,78,23,77.0,24.0,77.0,25.0,76.0,26.0,77.0,27.0,77.0,28.0,75.0,29.0,75.0,30.0,72.0,31.0,71.0,32.0,72.0,33.0,did not hit their potential,
Gustavo Lucas Domingues Piazón,Lucas Piazon,203038,"['CF', 'ST', 'LW']",Brazil,São Paulo,85,65,17,61.0,18.0,73.0,19.0,76.0,20.0,75.0,21.0,74.0,22.0,74.0,23.0,73.0,24.0,72.0,25.0,71.0,26.0,75.0,27.0,did not hit their potential,
Gastón Exequiel Ramírez Pereyra,G. Ramirez,201508,"['CAM', 'LW', 'RW']",Uruguay,Bologna,85,78,20,78.0,21.0,80.0,22.0,78.0,23.0,78.0,24.0,78.0,25.0,78.0,26.0,79.0,27.0,78.0,28.0,77.0,29.0,77.0,30.0,did not hit their potential,
Afriyie Acquah,A. Acquah,201223,"['CM', 'CDM']",Ghana,Palermo,85,73,19,73.0,20.0,72.0,21.0,71.0,22.0,74.0,23.0,74.0,24.0,74.0,25.0,73.0,26.0,,,72.0,28.0,72.0,29.0,did not hit their potential,
Francesco Acerbi,F. Acerbi,199845,"['CB', 'LB']",Italy,Chievo Verona,85,72,22,78.0,23.0,74.0,24.0,73.0,25.0,75.0,26.0,81.0,27.0,82.0,29.0,82.0,30.0,83.0,31.0,83.0,32.0,83.0,33.0,did not hit their potential,
Luca Caldirola,L. Caldirola,199776,"['CB', 'LB']",Italy,Inter,85,69,20,70.0,21.0,70.0,22.0,73.0,23.0,74.0,24.0,75.0,25.0,75.0,26.0,72.0,27.0,72.0,28.0,71.0,29.0,71.0,30.0,did not hit their potential,
Joshua Mark McEachran,J. McEachran,198704,"['CM', 'CDM', 'CAM']",England,Chelsea,85,71,18,71.0,19.0,71.0,20.0,70.0,21.0,72.0,22.0,72.0,23.0,69.0,24.0,69.0,25.0,,,68.0,27.0,64.0,28.0,did not hit their potential,
Luc Castaignos,L. Castaignos,198175,['ST'],Netherlands,Inter,85,72,18,74.0,19.0,72.0,20.0,73.0,21.0,75.0,22.0,76.0,23.0,73.0,24.0,70.0,25.0,67.0,26.0,,,,,did not hit their potential,
Pajtim Kasami,P. Kasami,197900,"['CM', 'CDM', 'CAM', 'RM']",Switzerland,Fulham,85,70,19,69.0,20.0,73.0,21.0,72.0,22.0,75.0,23.0,76.0,24.0,,,72.0,26.0,73.0,27.0,,,74.0,29.0,did not hit their potential,
Giannis Fetfatzidis,G. Fetfatzidis,197117,"['CAM', 'RM', 'LM']",Greece,Olympiacos CFP,85,72,20,74.0,21.0,74.0,22.0,75.0,23.0,75.0,24.0,77.0,25.0,76.0,26.0,76.0,27.0,,,73.0,29.0,,,did not hit their potential,
Simone Verdi,S. Verdi,196889,"['RM', 'RW', 'LM', 'LW']",Italy,Torino F.C.,85,67,18,69.0,19.0,68.0,20.0,66.0,21.0,74.0,22.0,75.0,23.0,78.0,24.0,81.0,25.0,80.0,26.0,77.0,27.0,75.0,28.0,did not hit their potential,
Jeffrey Bruma,J. Bruma,195363,"['CB', 'RB', 'CDM']",Netherlands,Hamburger SV,85,72,19,72.0,20.0,72.0,21.0,73.0,22.0,77.0,23.0,80.0,24.0,79.0,25.0,76.0,26.0,74.0,27.0,74.0,28.0,73.0,29.0,did not hit their potential,
Willian José da Silva,Willian José,195093,"['ST', 'CF']",Brazil,São Paulo,85,72,19,71.0,20.0,71.0,21.0,,,70.0,23.0,78.0,24.0,82.0,25.0,83.0,26.0,82.0,27.0,80.0,28.0,77.0,29.0,did not hit their potential,
Dejan Lovren,D. Lovren,195086,['CB'],Croatia,Olympique Lyonnais,85,79,21,79.0,22.0,78.0,23.0,79.0,24.0,79.0,25.0,82.0,26.0,81.0,27.0,81.0,28.0,80.0,29.0,,,,,did not hit their potential,
Armin Bačinovič,A. Bačinovič,194108,"['CM', 'CDM', 'RM']",Slovenia,Slovenia,85,77,21,75.0,22.0,69.0,23.0,67.0,24.0,70.0,25.0,71.0,26.0,,,,,,,,,,,did not hit their potential,
Younès Belhanda,Y. Belhanda,193738,"['CM', 'CAM', 'LM']",Morocco,Montpellier Hérault SC,85,78,21,82.0,22.0,,,,,,,,,81.0,27.0,80.0,28.0,80.0,29.0,78.0,30.0,75.0,31.0,did not hit their potential,
Xherdan Shaqiri,X. Shaqiri,193348,"['LM', 'RM', 'LB']",Switzerland,FC Basel 1893,85,76,19,78.0,20.0,80.0,21.0,80.0,22.0,80.0,23.0,82.0,24.0,82.0,25.0,81.0,26.0,82.0,27.0,81.0,28.0,79.0,29.0,did not hit their potential,
Vid Belec,V. Belec,193336,['GK'],Slovenia,Slovenia,85,67,21,67.0,22.0,69.0,23.0,68.0,24.0,68.0,25.0,73.0,26.0,73.0,27.0,72.0,28.0,72.0,29.0,72.0,30.0,73.0,31.0,did not hit their potential,
Marc-André ter Stegen,M. ter Stegen,192448,['GK'],Germany,Borussia Mönchengladbach,85,75,19,80.0,20.0,80.0,21.0,82.0,22.0,82.0,23.0,83.0,24.0,85.0,25.0,89.0,26.0,90.0,27.0,90.0,28.0,90.0,29.0,exceeded their potential,6.0
Connor Wickham,C. Wickham,191089,"['ST', 'LW', 'RW']",England,Sunderland,85,70,18,69.0,19.0,69.0,20.0,72.0,21.0,73.0,22.0,74.0,23.0,72.0,24.0,72.0,25.0,70.0,26.0,69.0,27.0,66.0,28.0,did not hit their potential,
Eduardo Antonio Salvio,E. Salvio,190972,"['RW', 'RM', 'CF']",Argentina,Atlético de Madrid,85,77,20,77.0,21.0,79.0,22.0,79.0,23.0,80.0,24.0,79.0,25.0,80.0,26.0,81.0,27.0,80.0,28.0,81.0,29.0,80.0,30.0,did not hit their potential,
Markus Henriksen,M. Henriksen,190549,"['CM', 'RM', 'CAM', 'CDM']",Norway,Rosenborg BK,85,75,18,73.0,19.0,73.0,20.0,70.0,21.0,73.0,22.0,76.0,23.0,72.0,24.0,72.0,25.0,72.0,26.0,73.0,27.0,73.0,28.0,did not hit their potential,
Chris Smalling,C. Smalling,189881,"['CB', 'RB']",England,Manchester United,85,77,21,78.0,22.0,78.0,23.0,76.0,24.0,79.0,25.0,84.0,26.0,81.0,27.0,81.0,28.0,80.0,29.0,79.0,30.0,78.0,31.0,lived to expectations,5.0
Luuk de Jong,L. de Jong,189805,"['ST', 'CAM', 'RW']",Netherlands,FC Twente,85,76,20,79.0,21.0,78.0,22.0,75.0,23.0,79.0,24.0,79.0,25.0,76.0,26.0,78.0,27.0,82.0,28.0,80.0,29.0,79.0,30.0,did not hit their potential,
Thomas Müller,T. Müller,189596,"['CF', 'ST', 'CAM', 'RM']",Germany,FC Bayern München,85,83,21,84.0,22.0,85.0,23.0,86.0,24.0,86.0,25.0,87.0,26.0,86.0,27.0,86.0,28.0,86.0,29.0,86.0,30.0,87.0,31.0,exceeded their potential,1.0
Sergio Busquets i Burgos,Sergio Busquets,189511,"['CDM', 'CM', 'CAM', 'RM']",Spain,FC Barcelona,85,83,22,85.0,23.0,85.0,24.0,85.0,25.0,86.0,26.0,87.0,27.0,86.0,28.0,88.0,29.0,89.0,30.0,87.0,31.0,86.0,32.0,exceeded their potential,1.0
Shinji Kagawa,S. Kagawa,189358,"['CAM', 'CF', 'LM', 'RM']",Japan,Borussia Dortmund,85,82,22,83.0,23.0,83.0,24.0,81.0,25.0,82.0,26.0,83.0,27.0,83.0,28.0,83.0,29.0,79.0,30.0,76.0,31.0,74.0,32.0,did not hit their potential,
Abel Mathias Hernandez Platero,A. Hernández,188484,['ST'],Uruguay,Uruguay,85,78,20,75.0,21.0,74.0,22.0,72.0,23.0,74.0,24.0,76.0,25.0,75.0,26.0,75.0,27.0,,,,,73.0,30.0,did not hit their potential,
Marvin Martin,M. Martin,188385,"['CAM', 'CM', 'RM']",France,FC Sochaux-Montbéliard,85,80,23,80.0,24.0,76.0,25.0,74.0,26.0,73.0,27.0,74.0,28.0,,,71.0,30.0,,,65.0,32.0,,,did not hit their potential,
Douglas Franco Teixeira,Douglas,188177,"['CB', 'RB']",Brazil,FC Twente,85,79,23,77.0,24.0,75.0,25.0,75.0,26.0,77.0,27.0,74.0,28.0,73.0,29.0,,,,,64.0,32.0,,,did not hit their potential,
Steven N'Kemboanza Mike Christopher Nzonzi,S. N'Zonzi,187936,"['CDM', 'CM']",France,Blackburn Rovers,85,76,22,,,78.0,24.0,75.0,25.0,79.0,26.0,82.0,27.0,83.0,28.0,82.0,29.0,80.0,30.0,79.0,31.0,78.0,32.0,did not hit their potential,
Yann Gérard M'Vila,Y. M'Vila,187052,"['CDM', 'CM']",France,Stade Rennais FC,85,81,21,82.0,22.0,79.0,23.0,78.0,24.0,78.0,25.0,79.0,26.0,78.0,27.0,79.0,28.0,80.0,29.0,79.0,30.0,79.0,31.0,did not hit their potential,
Osvaldo Nicolas Fabian Gaitan,N. Gaitán,184144,"['RM', 'LM', 'CAM']",Argentina,SL Benfica,85,80,23,83.0,24.0,81.0,25.0,82.0,26.0,83.0,27.0,85.0,28.0,83.0,29.0,82.0,30.0,81.0,31.0,76.0,32.0,72.0,33.0,lived to expectations,5.0
Neven Subotic,N. Subotić,183556,['CB'],Serbia,Borussia Dortmund,85,82,22,81.0,23.0,82.0,24.0,82.0,25.0,80.0,26.0,78.0,27.0,77.0,28.0,78.0,29.0,77.0,30.0,72.0,31.0,,,did not hit their potential,
Jack Christian Rodwell,J. Rodwell,183465,"['CDM', 'CM']",England,Everton,85,76,20,77.0,21.0,77.0,22.0,76.0,23.0,76.0,24.0,76.0,25.0,74.0,26.0,,,,,,,67.0,30.0,did not hit their potential,
