Player name,Known as,player_id,position,nationality,team,Fifa 18 Potential rating,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 18 outcome,Year potential reached
Daniel Ceballos Fernandez,Dani Ceballos,222509,"['CM', 'LM', 'CDM', 'CAM']",Spain,Real Madrid CF,88,78,20,78.0,21.0,81.0,22.0,80.0,23.0,77.0,24.0,did not hit their potential,
Breel Embolo,B. Embolo,222357,"['ST', 'RW']",Switzerland,FC Schalke 04,88,76,20,76.0,21.0,76.0,22.0,78.0,23.0,77.0,24.0,still has time,
Naby Keita,N. Keïta,220971,"['CM', 'CDM', 'CAM']",Guinea,RB Leipzig,88,83,22,83.0,23.0,82.0,24.0,81.0,25.0,80.0,26.0,did not hit their potential,
Davinson Sanchez,D. Sánchez,220793,['CB'],Colombia,Ajax,88,81,21,84.0,22.0,83.0,23.0,81.0,24.0,79.0,25.0,still has time,
Tiemoue Bakayoko,T. Bakayoko,219809,"['CDM', 'CM']",France,Chelsea,88,82,22,80.0,23.0,80.0,24.0,79.0,25.0,79.0,26.0,did not hit their potential,
Jonathan Tah,J. Tah,213331,['CB'],Germany,Bayer 04 Leverkusen,88,82,21,83.0,22.0,83.0,23.0,79.0,24.0,78.0,25.0,still has time,
Federico Bernardeschi,F. Bernardeschi,212404,"['RM', 'CF', 'LM']",Italy,Juventus,88,82,23,82.0,24.0,83.0,25.0,80.0,26.0,79.0,27.0,did not hit their potential,
Julian Brandt,J. Brandt,212194,"['LM', 'RM', 'CAM']",Germany,Bayer 04 Leverkusen,88,80,21,82.0,22.0,84.0,23.0,84.0,24.0,81.0,25.0,did not hit their potential,
Andre Filipe Tavares Gomes,André Gomes,211575,"['CM', 'LW', 'CAM']",Portugal,FC Barcelona,88,82,23,80.0,24.0,80.0,25.0,79.0,26.0,77.0,27.0,did not hit their potential,
Daniele Rugani,D. Rugani,211320,['CB'],Italy,Juventus,88,80,22,82.0,23.0,82.0,24.0,80.0,25.0,77.0,26.0,did not hit their potential,
Leon Goretzka,L. Goretzka,209658,"['CM', 'CAM', 'CDM']",Germany,FC Schalke 04,88,82,22,83.0,23.0,84.0,24.0,84.0,25.0,87.0,26.0,lived to expectations,4.0
Fabio Henrique Tavares,Fabinho,209499,['CDM'],Brazil,AS Monaco,88,83,23,85.0,24.0,85.0,25.0,87.0,26.0,86.0,27.0,lived to expectations,3.0
Mateo Kovacic,M. Kovačić,207410,"['CM', 'CDM']",Croatia,Real Madrid CF,88,82,23,83.0,24.0,82.0,25.0,83.0,26.0,83.0,27.0,did not hit their potential,
Samuel Umtiti,S. Umtiti,205600,['CB'],France,FC Barcelona,88,83,23,87.0,24.0,86.0,25.0,83.0,26.0,80.0,27.0,lived to expectations,1.0
Hector Bellerin Moruno,Héctor Bellerín,203747,['RB'],Spain,Arsenal,88,81,22,80.0,23.0,80.0,24.0,80.0,25.0,78.0,26.0,did not hit their potential,
Federico Chiesa,F. Chiesa,235805,"['RM', 'CF']",Italy,Fiorentina,87,75,19,77.0,20.0,79.0,21.0,78.0,22.0,83.0,23.0,still has time,
Marcus Edwards,M. Edwards,235619,"['RM', 'CAM']",England,Tottenham Hotspur,87,65,18,67.0,19.0,69.0,20.0,77.0,21.0,76.0,22.0,still has time,
Ismaila Sarr,I. Sarr,235353,"['LM', 'LW', 'RM']",Senegal,Stade Rennais FC,87,73,19,76.0,20.0,78.0,21.0,78.0,22.0,78.0,23.0,still has time,
Patrik Schick,P. Schick,234236,['ST'],Czech Republic,Czech Republic,87,77,21,77.0,22.0,76.0,23.0,78.0,24.0,79.0,25.0,still has time,
Amath Ndiaye Diedhiou,A. Ndiaye Diedhiou,233631,"['ST', 'LM', 'CAM']",Senegal,Getafe CF,87,74,20,77.0,21.0,76.0,22.0,76.0,23.0,76.0,24.0,still has time,
Carles Alena Castillo,Aleñà,233113,"['CM', 'CAM', 'CDM']",Spain,FC Barcelona,87,71,19,70.0,20.0,76.0,21.0,74.0,22.0,74.0,23.0,still has time,
Issa Diop,I. Diop,231633,['CB'],France,Toulouse Football Club,87,76,20,76.0,21.0,78.0,22.0,77.0,23.0,77.0,24.0,still has time,
Amadou Diawara,A. Diawara,230613,"['CDM', 'CM']",Guinea,Napoli,87,77,19,77.0,20.0,75.0,21.0,75.0,22.0,76.0,23.0,still has time,
Viktor Kovalenko,V. Kovalenko,228698,"['CAM', 'CM']",Ukraine,Shakhtar Donetsk,87,75,21,74.0,22.0,74.0,23.0,73.0,24.0,73.0,25.0,did not hit their potential,
Nelson Cabral Semedo,Nélson Semedo,227928,['RB'],Portugal,FC Barcelona,87,81,23,80.0,24.0,82.0,25.0,83.0,26.0,80.0,27.0,did not hit their potential,
Lucas Tousart,L. Tousart,227234,"['CDM', 'CM']",France,Olympique Lyonnais,87,78,20,79.0,21.0,78.0,22.0,76.0,23.0,76.0,24.0,still has time,
Jakub Jankto,J. Jankto,226592,"['CM', 'LM']",Czech Republic,Udinese Calcio,87,76,21,76.0,22.0,75.0,23.0,74.0,24.0,74.0,25.0,did not hit their potential,
Julian Weigl,J. Weigl,222028,"['CDM', 'CM']",Germany,Borussia Dortmund,87,81,21,80.0,22.0,80.0,23.0,79.0,24.0,79.0,25.0,still has time,
Lucas Hernandez,L. Hernández,220814,"['CB', 'LB']",France,Atlético de Madrid,87,76,21,82.0,22.0,84.0,23.0,82.0,24.0,83.0,25.0,still has time,
Mahmoud Dahoud,M. Dahoud,218339,"['CM', 'CDM']",Germany,Borussia Dortmund,87,79,21,79.0,22.0,78.0,23.0,76.0,24.0,79.0,25.0,did not hit their potential,
Jose Maria Gimenez,J. Giménez,216460,['CB'],Uruguay,Atlético de Madrid,87,83,22,84.0,23.0,85.0,24.0,84.0,25.0,84.0,26.0,did not hit their potential,
Inaki Williams Arthuer,Williams,216201,"['RW', 'ST', 'LW']",Spain,Athletic Club de Bilbao,87,81,23,81.0,24.0,82.0,25.0,81.0,26.0,81.0,27.0,did not hit their potential,
Angel Correa,Á. Correa,214997,"['ST', 'CAM', 'RM', 'RW']",Argentina,Atlético de Madrid,87,79,22,80.0,23.0,82.0,24.0,82.0,25.0,83.0,26.0,did not hit their potential,
Wylan Cyprien,W. Cyprien,212886,"['CM', 'CDM', 'CAM']",France,OGC Nice,87,79,22,78.0,23.0,77.0,24.0,77.0,25.0,73.0,26.0,did not hit their potential,
Joshua Kimmich,J. Kimmich,212622,"['RB', 'CM', 'CB', 'CDM']",Germany,FC Bayern München,87,81,22,85.0,23.0,86.0,24.0,88.0,25.0,89.0,26.0,exceeded their potential,2.0
Diego Javier Llorente Rios,Diego Llorente,212602,"['CB', 'CDM']",Spain,Real Sociedad,87,79,23,76.0,24.0,77.0,25.0,76.0,26.0,77.0,27.0,did not hit their potential,
Timo Werner,T. Werner,212188,['ST'],Germany,RB Leipzig,87,82,21,83.0,22.0,83.0,23.0,85.0,24.0,84.0,25.0,still has time,
Domenico Berardi,D. Berardi,210935,['RW'],Italy,U.S. Sassuolo Calcio,87,81,22,78.0,23.0,78.0,24.0,80.0,25.0,82.0,26.0,did not hit their potential,
Morgan Sanson,M. Sanson,210896,"['CM', 'CDM']",France,Olympique de Marseille,87,81,22,80.0,23.0,79.0,24.0,79.0,25.0,76.0,26.0,did not hit their potential,
Alessio Romagnoli,A. Romagnoli,210413,['CB'],Italy,AC Milan,87,79,22,82.0,23.0,83.0,24.0,83.0,25.0,82.0,26.0,did not hit their potential,
Piotr Zielinski,P. Zieliński,210406,"['CM', 'CAM']",Poland,Napoli,87,80,23,80.0,24.0,81.0,25.0,80.0,26.0,81.0,27.0,did not hit their potential,
Alejandro Grimaldo Garcia,Grimaldo,210035,['LB'],Spain,SL Benfica,87,80,21,81.0,22.0,83.0,23.0,84.0,24.0,82.0,25.0,did not hit their potential,
Serge Gnabry,S. Gnabry,206113,"['LM', 'RM']",Germany,TSG Hoffenheim,87,79,21,82.0,22.0,84.0,23.0,85.0,24.0,85.0,25.0,did not hit their potential,
Denis Suarez Fernandez,Denis Suárez,205192,"['CM', 'LM', 'RM']",Spain,FC Barcelona,87,80,23,79.0,24.0,78.0,25.0,78.0,26.0,78.0,27.0,did not hit their potential,
Raheem Sterling,R. Sterling,202652,"['RW', 'RM', 'LM']",England,Manchester City,87,82,22,85.0,23.0,88.0,24.0,88.0,25.0,88.0,26.0,lived to expectations,2.0
Jesus Joaquin Fernandez Saez,Suso,202651,['RW'],Spain,AC Milan,87,82,23,82.0,24.0,82.0,25.0,81.0,26.0,82.0,27.0,did not hit their potential,
Eric Dier,E. Dier,202335,"['CB', 'CDM']",England,Tottenham Hotspur,87,82,23,80.0,24.0,79.0,25.0,78.0,26.0,79.0,27.0,did not hit their potential,
Julian Draxler,J. Draxler,202166,"['LW', 'CAM', 'LM']",Germany,Paris Saint-Germain,87,84,23,83.0,24.0,83.0,25.0,80.0,26.0,80.0,27.0,did not hit their potential,
Kwang Song Han,Han Kwang Song,238232,['ST'],Korea DPR,Perugia,86,67,18,68.0,19.0,70.0,20.0,,,,,did not hit their potential,
Justin Kluivert,J. Kluivert,236920,"['RW', 'LW']",Netherlands,Ajax,86,73,18,75.0,19.0,75.0,20.0,74.0,21.0,76.0,22.0,still has time,
Douglas Luiz Soares De Paulo,Douglas Luiz,236499,"['CM', 'CDM']",Brazil,Girona FC,86,73,19,73.0,20.0,74.0,21.0,75.0,22.0,77.0,23.0,still has time,
Marko Rog,M. Rog,236311,"['CAM', 'CM']",Croatia,Napoli,86,76,21,76.0,22.0,75.0,23.0,75.0,24.0,74.0,25.0,did not hit their potential,
Tanguy Ndombele,T. Ndombele,235569,"['CDM', 'CAM']",France,Amiens SC,86,72,20,78.0,21.0,81.0,22.0,80.0,23.0,82.0,24.0,still has time,
Christian Fruchtl,C. Früchtl,235266,['GK'],Germany,FC Bayern München,86,65,17,65.0,18.0,65.0,19.0,66.0,20.0,66.0,21.0,still has time,
Timothy Fosu Mensah,T. Fosu-Mensah,232270,"['RB', 'CB', 'CDM']",Netherlands,Crystal Palace,86,74,19,76.0,20.0,73.0,21.0,73.0,22.0,73.0,23.0,still has time,
Santiago Ascacibar,S. Ascacibar,232244,['CDM'],Argentina,Estudiantes de La Plata,86,73,20,78.0,21.0,76.0,22.0,76.0,23.0,74.0,24.0,still has time,
Joris Gnagnon,J. Gnagnon,231361,['CB'],Côte d'Ivoire,Stade Rennais FC,86,75,20,77.0,21.0,75.0,22.0,76.0,23.0,74.0,24.0,still has time,
Tammy Abraham,T. Abraham,231352,['ST'],England,Swansea City,86,73,19,74.0,20.0,76.0,21.0,78.0,22.0,78.0,23.0,still has time,
Kelvin Amian Adou,K. Amian Adou,231235,['RB'],France,Toulouse Football Club,86,73,19,75.0,20.0,75.0,21.0,75.0,22.0,73.0,23.0,still has time,
Franck Yannick Kessie,F. Kessié,230938,"['CM', 'CDM']",Côte d'Ivoire,AC Milan,86,76,20,78.0,21.0,79.0,22.0,77.0,23.0,84.0,24.0,did not hit their potential,
Renato Junior Luz Sanches,Renato Sanches,230767,['CM'],Portugal,FC Bayern München,86,76,19,75.0,20.0,75.0,21.0,78.0,22.0,80.0,23.0,still has time,
Mikel Oyarzabal Ugarte,Oyarzabal,230142,"['LW', 'RW']",Spain,Real Sociedad,86,79,20,80.0,21.0,82.0,22.0,84.0,23.0,85.0,24.0,lived to expectations,4.0
Leon Bailey,L. Bailey,229906,"['LM', 'RM']",Jamaica,Bayer 04 Leverkusen,86,76,19,82.0,20.0,82.0,21.0,80.0,22.0,82.0,23.0,still has time,
Marko Pjaca,M. Pjaca,229593,['LW'],Croatia,Juventus,86,76,22,76.0,23.0,75.0,24.0,75.0,25.0,75.0,26.0,did not hit their potential,
Dayot Upamecano,D. Upamecano,229558,"['CB', 'CDM']",France,RB Leipzig,86,69,18,76.0,19.0,77.0,20.0,79.0,21.0,82.0,22.0,still has time,
Denis Zakaria,D. Zakaria,229261,"['CM', 'CDM']",Switzerland,Borussia Mönchengladbach,86,72,20,77.0,21.0,78.0,22.0,83.0,23.0,80.0,24.0,did not hit their potential,
Andre Miguel Valente Da Silva,André Silva,228941,['ST'],Portugal,AC Milan,86,78,21,77.0,22.0,79.0,23.0,79.0,24.0,84.0,25.0,still has time,
Benjamin Henrichs,B. Henrichs,228579,"['RB', 'LB']",Germany,Bayer 04 Leverkusen,86,76,20,76.0,21.0,75.0,22.0,76.0,23.0,76.0,24.0,did not hit their potential,
Onyinye Ndidi,O. Ndidi,226790,"['CDM', 'CM']",Nigeria,Leicester City,86,77,20,80.0,21.0,81.0,22.0,84.0,23.0,85.0,24.0,lived to expectations,4.0
Pablo Fornals Malla,Pablo Fornals,226456,"['CAM', 'CM', 'CDM', 'RM']",Spain,Villarreal CF,86,77,21,80.0,22.0,81.0,23.0,79.0,24.0,79.0,25.0,did not hit their potential,
Giovani Lo Celso,G. Lo Celso,226226,"['CAM', 'CM']",Argentina,Paris Saint-Germain,86,74,21,80.0,22.0,83.0,23.0,82.0,24.0,81.0,25.0,did not hit their potential,
Marcos Llorente Moreno,Marcos Llorente,226161,"['CDM', 'CM']",Spain,Real Madrid CF,86,77,22,79.0,23.0,80.0,24.0,82.0,25.0,86.0,26.0,lived to expectations,4.0
Presnel Kimpembe,P. Kimpembe,225850,['CB'],France,Paris Saint-Germain,86,76,21,83.0,22.0,82.0,23.0,81.0,24.0,83.0,25.0,still has time,
Kelechi Iheanacho,K. Iheanacho,225719,['ST'],Nigeria,Leicester City,86,75,20,75.0,21.0,73.0,22.0,74.0,23.0,78.0,24.0,still has time,
Diogo Jose Teixeira Da Silva,Diogo Jota,224458,"['LW', 'ST']",Portugal,Wolverhampton Wanderers,86,77,20,78.0,21.0,80.0,22.0,80.0,23.0,82.0,24.0,still has time,
Ruben Diogo Da Silva Neves,Rúben Neves,224293,"['CDM', 'CM']",Portugal,Wolverhampton Wanderers,86,77,20,79.0,21.0,82.0,22.0,82.0,23.0,82.0,24.0,still has time,
Nicolo Barella,N. Barella,224232,['CM'],Italy,Cagliari,86,70,20,76.0,21.0,80.0,22.0,80.0,23.0,84.0,24.0,did not hit their potential,
Sergej Milinkovic Savic,S. Milinković-Savić,223848,"['CM', 'CAM']",Serbia,Lazio,86,80,22,85.0,23.0,85.0,24.0,85.0,25.0,85.0,26.0,lived to expectations,1.0
Martin Odegaard,M. Ødegaard,222665,"['RW', 'CAM']",Norway,SC Heerenveen,86,74,18,74.0,19.0,78.0,20.0,83.0,21.0,82.0,22.0,still has time,
Josh Onomah,J. Onomah,222079,"['CAM', 'RM', 'CM']",England,Aston Villa,86,72,20,71.0,21.0,69.0,22.0,67.0,23.0,69.0,24.0,still has time,
Manuel Locatelli,M. Locatelli,222077,['CDM'],Italy,AC Milan,86,74,19,75.0,20.0,76.0,21.0,78.0,22.0,82.0,23.0,still has time,
Victor Lindelof,V. Lindelöf,221660,['CB'],Sweden,Manchester United,86,79,22,79.0,23.0,81.0,24.0,80.0,25.0,80.0,26.0,did not hit their potential,
Emanuel Mammana,E. Mammana,221551,['CB'],Argentina,Zenit St. Petersburg,86,75,21,,,,,,,75.0,25.0,still has time,
Sebastian Driussi,S. Driussi,221125,"['ST', 'LW']",Argentina,Zenit St. Petersburg,86,77,21,,,,,,,75.0,25.0,still has time,
Andrija Zivkovic,A. Živković,220746,"['RM', 'LM']",Serbia,SL Benfica,86,77,20,79.0,21.0,76.0,22.0,73.0,23.0,76.0,24.0,still has time,
Antonio Barreca,A. Barreca,220493,['LB'],Italy,Torino F.C.,86,75,22,75.0,23.0,74.0,24.0,72.0,25.0,71.0,26.0,did not hit their potential,
Antonio Sanabria,A. Sanabria,219932,['ST'],Paraguay,Real Betis Balompié,86,78,21,79.0,22.0,77.0,23.0,74.0,24.0,74.0,25.0,still has time,
Giovanni Simeone,G. Simeone,216816,"['ST', 'RM']",Argentina,Fiorentina,86,76,21,78.0,22.0,77.0,23.0,76.0,24.0,75.0,25.0,still has time,
Juan Pablo Anor,J. Añor,216468,"['RM', 'CAM']",Venezuela,Málaga CF,86,76,23,75.0,24.0,73.0,25.0,71.0,26.0,,,did not hit their potential,
Alen Halilovic,A. Halilović,216349,"['CAM', 'RM', 'CM']",Croatia,Unión Deportiva Las Palmas,86,77,21,76.0,22.0,72.0,23.0,71.0,24.0,69.0,25.0,did not hit their potential,
Seko Fofana,S. Fofana,216320,"['CM', 'CDM']",Côte d'Ivoire,Udinese Calcio,86,75,22,75.0,23.0,75.0,24.0,76.0,25.0,78.0,26.0,did not hit their potential,
Bartlomiej Dragowski,B. Drągowski,215502,['GK'],Poland,Fiorentina,86,71,19,71.0,20.0,73.0,21.0,75.0,22.0,77.0,23.0,still has time,
Kingsley Coman,K. Coman,213345,"['RM', 'LM']",France,FC Bayern München,86,79,21,83.0,22.0,84.0,23.0,84.0,24.0,86.0,25.0,lived to expectations,4.0
Leander Dendoncker,L. Dendoncker,212501,"['CDM', 'CM', 'CB']",Belgium,RSC Anderlecht,86,79,22,78.0,23.0,78.0,24.0,78.0,25.0,77.0,26.0,did not hit their potential,
Max Meyer,M. Meyer,212150,"['CAM', 'CF', 'LW']",Germany,FC Schalke 04,86,79,21,79.0,22.0,78.0,23.0,76.0,24.0,72.0,25.0,did not hit their potential,
Armindo Tue Na Bangna,Bruma,211368,"['LM', 'RM']",Portugal,RB Leipzig,86,81,22,79.0,23.0,78.0,24.0,76.0,25.0,76.0,26.0,did not hit their potential,
Marco Benassi,M. Benassi,211354,['CM'],Italy,Fiorentina,86,79,22,77.0,23.0,77.0,24.0,74.0,25.0,72.0,26.0,did not hit their potential,
Corentin Jean,C. Jean,211239,"['RM', 'LM', 'ST']",France,Toulouse Football Club,86,74,21,74.0,22.0,72.0,23.0,71.0,24.0,70.0,25.0,did not hit their potential,
Joao Pedro Cavaco Cancelo,João Cancelo,210514,"['RB', 'RW', 'RM']",Portugal,Valencia CF,86,79,23,81.0,24.0,84.0,25.0,83.0,26.0,86.0,27.0,lived to expectations,4.0
Ricardo D Barbosa Pereira,Ricardo Pereira,210243,"['RB', 'LB', 'RM']",Portugal,FC Porto,86,80,23,81.0,24.0,82.0,25.0,85.0,26.0,84.0,27.0,lived to expectations,3.0
Adrien Rabiot,A. Rabiot,210008,['CM'],France,Paris Saint-Germain,86,80,22,83.0,23.0,83.0,24.0,81.0,25.0,81.0,26.0,did not hit their potential,
Raphael Guerreiro,R. Guerreiro,209889,"['LM', 'LWB', 'LB', 'CM']",Portugal,Borussia Dortmund,86,81,23,79.0,24.0,81.0,25.0,84.0,26.0,84.0,27.0,did not hit their potential,
Andreas Hugo Hoelgebaum Pereira,Andreas Pereira,208450,"['LM', 'CM', 'CAM']",Brazil,Manchester United,86,77,21,78.0,22.0,77.0,23.0,75.0,24.0,76.0,25.0,did not hit their potential,
Luciano Vietto,L. Vietto,207441,['ST'],Argentina,Atlético de Madrid,86,79,23,76.0,24.0,74.0,25.0,78.0,26.0,75.0,27.0,did not hit their potential,
Sergio Rico Gonzalez,Sergio Rico,206652,['GK'],Spain,Sevilla FC,86,81,23,80.0,24.0,77.0,25.0,77.0,26.0,77.0,27.0,did not hit their potential,
Kepa Arrizabalaga,Arrizabalaga,206585,['GK'],Spain,Athletic Club de Bilbao,86,79,22,83.0,23.0,84.0,24.0,82.0,25.0,79.0,26.0,still has time,
James Ward Prowse,J. Ward-Prowse,205569,"['CM', 'RM', 'CAM']",England,Southampton,86,78,22,77.0,23.0,79.0,24.0,79.0,25.0,81.0,26.0,did not hit their potential,
Arkadiusz Milik,A. Milik,205175,['ST'],Poland,Napoli,86,79,23,80.0,24.0,83.0,25.0,81.0,26.0,81.0,27.0,did not hit their potential,
Benjamin Mendy,B. Mendy,204884,['LB'],France,Manchester City,86,78,22,81.0,23.0,80.0,24.0,81.0,25.0,79.0,26.0,did not hit their potential,
Kurt Zouma,K. Zouma,204311,"['CB', 'RB']",France,Stoke City,86,79,22,78.0,23.0,80.0,24.0,80.0,25.0,81.0,26.0,did not hit their potential,
Ross Barkley,R. Barkley,199189,"['CAM', 'RM', 'CM', 'RW']",England,Everton,86,81,23,79.0,24.0,79.0,25.0,78.0,26.0,78.0,27.0,did not hit their potential,
Elias Abouchabaka,E. Abouchabaka,240000,['CAM'],Germany,RB Leipzig,85,62,17,63.0,18.0,62.0,19.0,61.0,20.0,,,did not hit their potential,
Fiete Arp,F. Arp,239981,['ST'],Germany,Hamburger SV,85,63,17,69.0,18.0,67.0,19.0,66.0,20.0,65.0,21.0,still has time,
Jordi Mboula,Jordi Mboula,239441,"['RM', 'ST']",Spain,AS Monaco,85,68,18,70.0,19.0,70.0,20.0,,,69.0,22.0,still has time,
Marc Cucurella Saseta,Cucurella,239231,['LB'],Spain,FC Barcelona B,85,67,18,69.0,19.0,75.0,20.0,81.0,21.0,81.0,22.0,still has time,
Federico Valverde,F. Valverde,239053,"['CM', 'CAM', 'RM']",Uruguay,Deportivo de La Coruña,85,70,18,73.0,19.0,77.0,20.0,83.0,21.0,83.0,22.0,still has time,
