Player name,Known as,player_id,position,nationality,team,Fifa 17 Potential rating,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Timo Horn,T. Horn,200316,['GK'],Germany,1. FC Köln,88,82,23,84,24,83,25,81,26,77,27,76,28
Mattia Perin,M. Perin,198009,['GK'],Italy,Genoa,88,83,23,83,24,84,25,82,26,82,27,80,28
Serge Alain Stéphane Aurier,S. Aurier,197853,"['RB', 'CB']",Côte d'Ivoire,Paris Saint-Germain,88,83,23,81,24,81,25,79,26,80,27,80,28
Timothy Evans Fosu-Mensah,T. Fosu-Mensah,232270,"['CDM', 'CB', 'RB']",Netherlands,Manchester United,87,71,18,74,19,76,20,73,21,73,22,73,23
Kylian Mbappé Lottin,K. Mbappe Lottin,231747,['LW'],France,AS Monaco,87,71,17,83,18,87,19,89,20,90,21,91,22
Gabriel Fernando de Jesus,Gabriel Jesus,230666,"['ST', 'LW', 'CF']",Brazil,Brazil,87,76,19,81,20,83,21,82,22,83,23,83,24
Viktor Kovalenko,V. Kovalenko,228698,"['CAM', 'CM']",Ukraine,Shakhtar Donetsk,87,75,20,75,21,74,22,74,23,73,24,73,25
Vincent Edouard André Koziello,V. Koziello,225199,"['CM', 'CDM']",France,OGC Nice,87,79,20,78,21,77,22,75,23,71,24,70,25
Andrija Živković,A. Živković,220746,"['RM', 'LM']",Serbia,SL Benfica,87,75,19,77,20,79,21,76,22,73,23,76,24
Nabil Fekir,N. Fekir,216594,"['RW', 'ST']",France,Olympique Lyonnais,87,81,22,82,23,85,24,84,25,83,26,84,27
Andreas Bødtker Christensen,A. Christensen,213661,['CB'],Denmark,Borussia Mönchengladbach,87,78,20,81,21,82,22,80,23,79,24,80,25
Thomas Lemar,T. Lemar,213565,"['RM', 'CAM', 'LM']",France,AS Monaco,87,78,20,83,21,83,22,83,23,81,24,83,25
Joshua Walter Kimmich,J. Kimmich,212622,"['CM', 'CB', 'CDM', 'RB']",Germany,FC Bayern München,87,78,21,81,22,85,23,86,24,88,25,89,26
Niklas Süle,N. Süle,212190,['CB'],Germany,TSG Hoffenheim,87,81,20,83,21,84,22,85,23,84,24,82,25
Maximilian Meyer,M. Meyer,212150,"['CAM', 'LM', 'CM']",Germany,FC Schalke 04,87,80,20,79,21,79,22,78,23,76,24,72,25
Armindo Tué Na Bangna,Bruma,211368,"['LW', 'RW']",Portugal,Galatasaray SK,87,77,21,81,22,79,23,78,24,76,25,76,26
Daniele Rugani,D. Rugani,211320,['CB'],Italy,Juventus,87,79,21,80,22,82,23,82,24,80,25,77,26
Samuel Castillejo Azuaga,Samu Castillejo,210617,"['LM', 'RM']",Spain,Villarreal CF,87,80,21,80,22,83,23,80,24,79,25,77,26
João Pedro Cavaco Cancelo,João Cancelo,210514,"['RB', 'RW']",Portugal,Valencia CF,87,79,22,79,23,81,24,84,25,83,26,86,27
Fábio Henrique Tavares,Fabinho,209499,"['CDM', 'RB']",Brazil,AS Monaco,87,79,22,83,23,85,24,85,25,87,26,86,27
Samuel Yves Umtiti,S. Umtiti,205600,['CB'],France,FC Barcelona,87,82,22,83,23,87,24,86,25,83,26,80,27
Denis Suárez Fernández,Denis Suarez,205192,"['LM', 'RM', 'CM']",Spain,FC Barcelona,87,80,22,80,23,79,24,78,25,78,26,78,27
Loris Karius,L. Karius,203775,['GK'],Germany,Liverpool,87,82,23,80,24,79,25,79,26,78,27,75,28
Héctor Bellerín Moruno,Héctor Bellerín,203747,['RB'],Spain,Arsenal,87,79,21,81,22,80,23,80,24,80,25,78,26
Memphis Depay,M. Depay,202556,"['LM', 'LW']",Netherlands,Manchester United,87,80,22,80,23,83,24,84,25,85,26,85,27
Jesé Rodríguez Ruíz,Jesé,202515,"['LW', 'RW', 'ST']",Spain,Paris Saint-Germain,87,80,23,77,24,76,25,75,26,72,27,71,28
Julian Draxler,J. Draxler,202166,"['CAM', 'LM', 'RM']",Germany,VfL Wolfsburg,87,84,22,84,23,83,24,83,25,80,26,80,27
Mauro Emanuel Icardi Rivero,M. Icardi,201399,['ST'],Argentina,Inter,87,82,23,84,24,87,25,85,26,85,27,83,28
Francisco Alcácer García,Paco Alcácer,200454,['ST'],Spain,Valencia CF,87,81,22,79,23,79,24,83,25,81,26,81,27
Granit Xhaka,G. Xhaka,199503,['CM'],Switzerland,Arsenal,87,84,23,82,24,81,25,81,26,80,27,79,28
Oğuzhan Özyakup,O. Özyakup,196934,['CM'],Turkey,Beşiktaş JK,87,81,23,80,24,78,25,77,26,75,27,73,28
Jesús Manuel Corona Ruíz,J. Corona,193165,['RW'],Mexico,FC Porto,87,80,23,81,24,81,25,81,26,84,27,82,28
Alban Lafont,A. Lafont,231691,['GK'],France,Toulouse Football Club,86,74,17,77,18,77,19,79,20,78,21,78,22
Adalberto Peñaranda Maestre,A. Peñaranda,231638,"['ST', 'LM']",Venezuela,Udinese Calcio,86,76,19,75,20,73,21,72,22,69,23,69,24
Leon Bailey Butler,L. Bailey,229906,"['LM', 'RM']",Jamaica,KRC Genk,86,74,18,76,19,82,20,82,21,80,22,82,23
Marko Pjaca,M. Pjaca,229593,['LW'],Croatia,Juventus,86,76,21,76,22,76,23,75,24,75,25,75,26
André Miguel Valente da Silva,André Silva,228941,['ST'],Portugal,FC Porto,86,74,20,78,21,77,22,79,23,79,24,84,25
Francisco Oliveira Geraldes,Francisco Geraldes,228650,"['CAM', 'CM']",Portugal,Moreirense FC,86,73,21,75,22,76,23,74,24,71,25,71,26
Borja Mayoral Moya,Borja Mayoral,228635,['ST'],Spain,VfL Wolfsburg,86,72,19,72,20,74,21,77,22,76,23,76,24
Matheus Fellipe Costa Pereira,Matheus Pereira,228414,"['LM', 'RM']",Brazil,Sporting CP,86,74,20,74,21,77,22,76,23,76,24,77,25
Oleksandr Zinchenko,O. Zinchenko,227813,"['CAM', 'RM', 'LWB']",Ukraine,Manchester City,86,74,19,72,20,71,21,78,22,80,23,80,24
André Filipe Luz Horta,André Horta,226370,"['CM', 'CAM']",Portugal,SL Benfica,86,76,19,75,20,75,21,73,22,75,23,73,24
Jeisson Andrés Vargas Salazar,J. Vargas,226266,['LW'],Chile,Estudiantes de La Plata,86,70,18,,,68,20,67,21,67,22,67,23
Giovani Lo Celso,G. Lo Celso,226226,['CAM'],Argentina,Rosario Central,86,74,20,74,21,80,22,83,23,82,24,81,25
Reece Oxford,R. Oxford,225908,"['CB', 'CDM']",England,West Ham United,86,66,17,66,18,68,19,67,20,66,21,70,22
Mikel Merino Zazón,Mikel Merino,225193,"['CM', 'CDM']",Spain,Borussia Dortmund,86,76,20,74,21,75,22,79,23,80,24,83,25
Danilo Barbosa da Silva,Danilo,223517,"['CM', 'CDM']",Brazil,SL Benfica,86,79,20,74,21,76,22,75,23,74,24,72,25
Julian Weigl,J. Weigl,222028,"['CDM', 'CM']",Germany,Borussia Dortmund,86,79,20,81,21,80,22,80,23,79,24,79,25
Victor Jörgen Nilsson Lindelöf,V. Nilsson Lindelöf,221660,['CB'],Sweden,SL Benfica,86,78,21,79,22,79,23,81,24,80,25,80,26
Jaïro Riedewald,J. Riedewald,221269,"['CB', 'CDM', 'LB']",Netherlands,Ajax,86,76,19,74,20,74,21,72,22,71,23,75,24
Lucas François Bernard Hernández Pi,L. Hernández,220814,"['CB', 'LB']",France,Atlético de Madrid,86,75,20,76,21,82,22,84,23,82,24,83,25
Corentin Tolisso,C. Tolisso,219683,"['CM', 'CDM']",France,Olympique Lyonnais,86,78,21,82,22,83,23,83,24,80,25,80,26
Gonzalo Escalante,G. Escalante,219391,"['CDM', 'CM', 'CAM', 'RM']",Argentina,SD Eibar,86,78,23,78,24,78,25,77,26,,,77,28
Václav Černý,V. Černý,216860,"['RW', 'LW']",Czech Republic,Ajax,86,69,18,70,19,68,20,68,21,66,22,71,23
Rafael Alexandre Fernandes Ferreira da Silva,Rafa,216547,['LM'],Portugal,Portugal,86,80,23,78,24,79,25,82,26,83,27,82,28
Juan Pablo Añor Acosta,J. Añor,216468,"['RM', 'LM', 'CAM']",Venezuela,Málaga CF,86,76,22,76,23,75,24,73,25,71,26,,
Iñaki Williams Arthuer,Williams,216201,"['RW', 'LW']",Spain,Athletic Club de Bilbao,86,80,22,81,23,81,24,82,25,81,26,81,27
Keita Baldé Diao,K. Baldé Diao,215785,"['LW', 'RW', 'ST']",Senegal,Lazio,86,78,21,82,22,80,23,80,24,76,25,76,26
Bartłomiej Drągowski,B. Drągowski,215502,['GK'],Poland,Fiorentina,86,71,18,71,19,71,20,73,21,75,22,77,23
Alisson Ramsés Becker,Alisson,212831,['GK'],Brazil,Roma,86,80,23,80,24,85,25,89,26,90,27,89,28
Diego Javier Llorente Ríos,Diego Llorente,212602,"['CB', 'CDM', 'RB']",Spain,Málaga CF,86,78,22,79,23,76,24,77,25,76,26,77,27
Riechedly Bazoer,R. Bazoer,212269,['CM'],Netherlands,Ajax,86,77,19,75,20,74,21,73,22,72,23,76,24
Iuri José Picanço Medeiros,Iuri Medeiros,212230,"['RM', 'LM']",Portugal,Sporting CP,86,77,21,78,22,76,23,74,24,68,25,72,26
Sofiane Boufal,S. Boufal,211381,"['LW', 'RW', 'CAM']",Morocco,LOSC Lille,86,80,22,79,23,77,24,77,25,75,26,74,27
Domenico Berardi,D. Berardi,210935,['RW'],Italy,U.S. Sassuolo Calcio,86,82,21,81,22,78,23,78,24,80,25,82,26
Alessio Romagnoli,A. Romagnoli,210413,['CB'],Italy,AC Milan,86,78,21,79,22,82,23,83,24,83,25,82,26
Ederson Santana de Moraes,Ederson,210257,['GK'],Brazil,SL Benfica,86,78,22,83,23,86,24,88,25,88,26,89,27
Alejandro Grimaldo García,Grimaldo,210035,['LB'],Spain,SL Benfica,86,77,20,80,21,81,22,83,23,84,24,82,25
Leon Christoph Goretzka,L. Goretzka,209658,"['CM', 'RM', 'CDM']",Germany,FC Schalke 04,86,79,21,82,22,83,23,84,24,84,25,87,26
Frederico Rodrigues de Paula Santos,Fred,209297,"['CM', 'CDM', 'CAM']",Brazil,Shakhtar Donetsk,86,79,23,80,24,82,25,79,26,81,27,81,28
Óliver Torres Muñoz,Óliver Torres,208777,"['CM', 'RM', 'LM']",Spain,Atlético de Madrid,86,79,21,79,22,78,23,78,24,77,25,77,26
Luciano Darío Vietto,L. Vietto,207441,['ST'],Argentina,Sevilla FC,86,79,22,79,23,76,24,74,25,78,26,75,27
Jetro Willems,J. Willems,205995,['LB'],Netherlands,PSV,86,79,22,77,23,76,24,75,25,77,26,73,27
Arkadiusz Krystian Milik,A. Milik,205175,['ST'],Poland,Napoli,86,79,22,79,23,80,24,83,25,81,26,81,27
Michy Batshuayi Tunga,M. Batshuayi,204529,['ST'],Belgium,Chelsea,86,81,22,80,23,81,24,79,25,78,26,76,27
Eric Dier,E. Dier,202335,['CDM'],England,Tottenham Hotspur,86,78,22,82,23,80,24,79,25,78,26,79,27
Álvaro Borja Morata Martín,Morata,201153,"['ST', 'LW']",Spain,Real Madrid CF,86,82,23,84,24,83,25,83,26,82,27,83,28
Alex Oxlade-Chamberlain,A. Oxlade-Chamberlain,198784,"['RM', 'RW']",England,Arsenal,86,79,22,80,23,80,24,80,25,79,26,79,27
Ricardo Iván Rodríguez Araya,R. Rodríguez,193352,['LB'],Switzerland,VfL Wolfsburg,86,83,23,81,24,80,25,80,26,78,27,76,28
Stephan El Shaarawy,S. El Shaarawy,190813,['LW'],Italy,Roma,86,81,23,80,24,81,25,82,26,79,27,79,28
Adam Mohamed Ounas,A. Ounas,231242,['LM'],France,FC Girondins de Bordeaux,85,70,19,72,20,73,21,75,22,74,23,74,24
Mikel Oyarzabal Ugarte,Oyarzabal,230142,"['LW', 'RW', 'ST']",Spain,Real Sociedad,85,77,19,79,20,80,21,82,22,84,23,85,24
Matheus Pereira da Silva,Matheus Pereira,229337,['CAM'],Brazil,Empoli,85,70,18,70,19,,,71,21,70,22,67,23
Kasper Dolberg Rasmussen,K. Dolberg,228687,['ST'],Denmark,Ajax,85,68,18,78,19,76,20,76,21,79,22,79,23
Nélson Cabral Semedo,Nélson Semedo,227928,['RB'],Portugal,SL Benfica,85,76,22,81,23,80,24,82,25,83,26,80,27
Gelson Dany Batalha Martins,Gelson Martins,227055,['RM'],Portugal,Sporting CP,85,78,21,81,22,82,23,82,24,80,25,78,26
Vincent Janssen,V. Janssen,226537,['ST'],Netherlands,Tottenham Hotspur,85,78,22,77,23,77,24,75,25,76,26,75,27
Jesús Vallejo Lázaro,Vallejo,225161,['CB'],Spain,Eintracht Frankfurt,85,73,19,77,20,78,21,77,22,76,23,75,24
Lewis Cook,L. Cook,224294,"['CM', 'CDM', 'CAM']",England,AFC Bournemouth,85,71,19,71,20,77,21,77,22,75,23,75,24
Rúben Diogo da Silva Neves,Rúben Neves,224293,"['CDM', 'CM']",Portugal,FC Porto,85,75,19,77,20,79,21,82,22,82,23,82,24
Daniel Ceballos Fernández,Dani Ceballos,222509,"['CAM', 'CM', 'LM', 'RM']",Spain,Real Betis Balompié,85,77,19,78,20,78,21,81,22,80,23,77,24
Josh Onomah,J. Onomah,222079,"['CAM', 'RM']",England,Tottenham Hotspur,85,70,19,72,20,71,21,69,22,67,23,69,24
Godfred Donsah,G. Donsah,221695,['CM'],Ghana,Bologna,85,75,20,75,21,76,22,75,23,70,24,70,25
Simone Scuffet,S. Scuffet,220048,['GK'],Italy,Udinese Calcio,85,74,20,75,21,72,22,72,23,72,24,72,25
Sebastián Carlos Cristóforo Pepe,S. Cristóforo,219712,['CDM'],Uruguay,Sevilla FC,85,78,22,76,23,75,24,75,25,74,26,74,27
Théo Bongonda Mbul'Ofeko Batombo,T. Bongonda,217877,"['LW', 'LM', 'RW']",Belgium,RC Celta de Vigo,85,75,20,78,21,76,22,76,23,74,24,77,25
Wendell Nascimento Borges,Wendell,216466,['LB'],Brazil,Bayer 04 Leverkusen,85,78,22,77,23,78,24,77,25,77,26,75,27
Tin Jedvaj,T. Jedvaj,215930,"['RB', 'CB']",Croatia,Bayer 04 Leverkusen,85,75,20,76,21,76,22,75,23,75,24,73,25
Gnaly Maxwel Cornet,M. Cornet,215798,"['LW', 'RW', 'ST']",France,Olympique Lyonnais,85,75,19,73,20,75,21,76,22,75,23,75,24
Robert Kenedy Nunes do Nascimento,Kenedy,215639,"['LM', 'ST', 'LB']",Brazil,Chelsea,85,73,20,72,21,76,22,75,23,76,24,78,25
José Manuel García Naranjo,Naranjo,215568,"['LM', 'ST', 'RM']",Spain,RC Celta de Vigo,85,75,21,73,22,73,23,70,24,66,25,67,26
Claudio Matías Kranevitter,M. Kranevitter,214977,"['CDM', 'CM']",Argentina,Sevilla FC,85,77,23,77,24,,,,,76,27,77,28
Divock Okoth Origi,D. Origi,213135,"['ST', 'LW', 'RW']",Belgium,Liverpool,85,78,21,78,22,77,23,78,24,77,25,76,26
Levin Mete Öztunali,L. Öztunali,213134,"['RM', 'LM', 'CAM']",Germany,Bayer 04 Leverkusen,85,74,20,76,21,74,22,73,23,73,24,72,25
Yannick Gerhardt,Y. Gerhardt,212245,"['CM', 'CDM', 'LM']",Germany,VfL Wolfsburg,85,77,22,75,23,74,24,77,25,75,26,77,27
Timo Werner,T. Werner,212188,"['ST', 'LM']",Germany,RB Leipzig,85,75,20,82,21,83,22,83,23,85,24,84,25
José Luís Gayà Peña,Gayà,211688,['LB'],Spain,Valencia CF,85,80,21,79,22,79,23,81,24,83,25,83,26
Javier Manquillo Gaitán,Manquillo,210972,"['RB', 'LB']",Spain,Atlético de Madrid,85,77,22,76,23,74,24,74,25,76,26,74,27
Marc Stendera,M. Stendera,210583,"['CAM', 'CM', 'CDM']",Germany,Eintracht Frankfurt,85,76,20,76,21,74,22,73,23,,,69,25
Otávio Edmilson da Silva Monteiro,Otávio,210411,"['LW', 'CAM']",Brazil,FC Porto,85,76,21,77,22,78,23,79,24,80,25,81,26
Ricardo Domingos Barbosa Pereira,Ricardo Pereira,210243,"['RB', 'LB']",Portugal,OGC Nice,85,78,22,80,23,81,24,82,25,85,26,84,27
Adrien Rabiot,A. Rabiot,210008,"['CM', 'CDM']",France,Paris Saint-Germain,85,78,21,80,22,83,23,83,24,81,25,81,26
Abdul Rahman Baba,A. Baba,209620,"['LB', 'LM']",Ghana,FC Schalke 04,85,78,21,77,22,76,23,74,24,75,25,72,26
Ryan Gauld,R. Gauld,208919,"['CAM', 'LM']",Scotland,Vitória de Setúbal,85,73,20,73,21,71,22,,,70,24,75,25
Andrea Belotti,A. Belotti,208596,['ST'],Italy,Torino F.C.,85,77,22,83,23,82,24,82,25,80,26,81,27
Filip Kostić,F. Kostić,208574,['LM'],Serbia,Hamburger SV,85,80,23,78,24,,,82,26,83,27,84,28
Andreas Hugo Hoelgebaum Pereira,Andreas Pereira,208450,"['CAM', 'CM']",Brazil,Manchester United,85,72,20,77,21,78,22,77,23,75,24,76,25
Adnan Januzaj,A. Januzaj,208330,"['LM', 'RM', 'CAM']",Belgium,Sunderland,85,76,21,77,22,78,23,79,24,80,25,81,26
Bertrand Isidore Traoré,B. Traoré,207948,['ST'],Burkina Faso,Ajax,85,75,20,78,21,79,22,78,23,76,24,77,25
Mateo Kovačić,M. Kovačić,207410,['CM'],Croatia,Real Madrid CF,85,79,22,82,23,83,24,82,25,83,26,83,27
Sergio Rico González,Sergio Rico,206652,['GK'],Spain,Sevilla FC,85,80,22,81,23,80,24,77,25,77,26,77,27
Serge David Gnabry,S. Gnabry,206113,['RM'],Germany,Arsenal,85,73,20,79,21,82,22,84,23,85,24,85,25
Matija Nastasić,M. Nastasić,205362,['CB'],Serbia,FC Schalke 04,85,80,23,80,24,81,25,80,26,77,27,74,28
John Anthony Brooks,J. Brooks,204082,['CB'],United States,Hertha BSC,85,79,23,80,24,80,25,79,26,76,27,78,28
M'Baye Babacar Niang,M. Niang,204077,"['ST', 'LW']",France,AC Milan,85,78,21,78,22,77,23,77,24,78,25,76,26
Sergi Darder Moll,Sergi Darder,202648,"['CM', 'CDM']",Spain,Olympique Lyonnais,85,79,22,78,23,79,24,80,25,77,26,79,27
Paul-Georges Ntep de Madiba,P. Ntep,201533,"['LM', 'LW']",France,Stade Rennais FC,85,80,23,79,24,77,25,73,26,71,27,67,28
Rafael Alcântara do Nascimento,Rafinha,201400,"['CM', 'RW', 'LW', 'CDM']",Brazil,FC Barcelona,85,80,23,81,24,82,25,81,26,79,27,80,28
Lucas Rodrigues Moura da Silva,Lucas,200949,"['RW', 'LW']",Brazil,Paris Saint-Germain,85,82,23,82,24,82,25,83,26,83,27,81,28
Kevin Volland,K. Volland,200610,"['ST', 'RW', 'LW']",Germany,Bayer 04 Leverkusen,85,81,23,80,24,81,25,82,26,81,27,83,28
Borja González Tomás,Borja Bastón,194996,['ST'],Spain,Swansea City,85,80,23,78,24,74,25,75,26,,,73,28
Manuel Lanzini,M. Lanzini,188988,"['CAM', 'LM']",Argentina,West Ham United,85,79,23,81,24,81,25,80,26,78,27,77,28
Matthijs de Ligt,M. de Ligt,235243,['CB'],Netherlands,Ajax,84,63,16,76,17,80,18,85,19,85,20,85,21
Mamadou Doucouré,M. Doucouré,233728,['CB'],France,Borussia Mönchengladbach,84,62,18,62,19,62,20,62,21,62,22,62,23
Luka Jović,L. Jović,232432,['ST'],Serbia,SL Benfica,84,71,18,70,19,75,20,83,21,80,22,79,23
Santiago Lionel Ascacíbar,S. Ascacibar,232244,['CDM'],Argentina,Estudiantes de La Plata,84,71,19,73,20,78,21,76,22,76,23,74,24
Marko Grujić,M. Grujić,232099,['CM'],Serbia,Liverpool,84,70,20,71,21,73,22,77,23,75,24,75,25
Amine Harit,A. Harit,232097,"['CAM', 'CM']",France,FC Nantes,84,67,19,71,20,78,21,76,22,77,23,75,24
Abdülkadir Ömür,A. Ömür,231777,"['CM', 'CAM']",Turkey,Trabzonspor,84,66,17,64,18,70,19,74,20,75,21,74,22
Issa Diop,I. Diop,231633,['CB'],France,Toulouse Football Club,84,73,19,76,20,76,21,78,22,77,23,77,24
João Miguel Macedo da Silva,Miguel Silva,231545,['GK'],Portugal,Vitória de Guimarães,84,73,21,71,22,75,23,75,24,74,25,74,26
Tammy Bakumo-Abraham,T. Abraham,231352,['ST'],England,Bristol City,84,67,18,73,19,74,20,76,21,78,22,78,23
Emre Mor,E. Mor,231240,"['ST', 'RW']",Turkey,Borussia Dortmund,84,64,18,70,19,74,20,72,21,72,22,72,23
Ádám Nagy,Á. Nagy,230936,['CDM'],Hungary,Bologna,84,72,21,74,22,74,23,75,24,72,25,70,26
Amadou Diawara,A. Diawara,230613,"['CDM', 'CM']",Guinea,Bologna,84,74,18,77,19,77,20,75,21,75,22,76,23
João Maria Lobo Alves Palhinha Gonçalves,Palhinha,229391,"['CDM', 'CM']",Portugal,Belenenses SAD,84,74,20,76,21,,,76,23,78,24,82,25
