Player name,Known as,player_id,position,nationality,team,Fifa 19 Potential rating,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Niklas Sule,N. Süle,212190,['CB'],Germany,FC Bayern München,90,84,22,85,23,84,24,82,25
Anthony Martial,A. Martial,211300,"['LM', 'LW', 'ST']",France,Manchester United,90,83,22,83,23,84,24,81,25
Dele Alli,D. Alli,211117,['CAM'],England,Tottenham Hotspur,90,84,22,84,23,83,24,80,25
Patrick Cutrone,P. Cutrone,237715,['ST'],Italy,AC Milan,89,77,20,77,21,75,22,73,23
Ezequiel Barco,E. Barco,236007,"['LM', 'CAM', 'ST']",Argentina,Atlanta United,89,74,19,74,20,74,21,74,22
Alban Lafont,A. Lafont,231691,['GK'],France,Fiorentina,89,77,19,79,20,78,21,78,22
Leon Bailey,L. Bailey,229906,"['LM', 'RM']",Jamaica,Bayer 04 Leverkusen,89,82,20,82,21,80,22,82,23
Presnel Kimpembe,P. Kimpembe,225850,['CB'],France,Paris Saint-Germain,89,83,22,82,23,81,24,83,25
Davinson Sanchez,D. Sánchez,220793,['CB'],Colombia,Tottenham Hotspur,89,84,22,83,23,81,24,79,25
Clement Lenglet,C. Lenglet,220440,['CB'],France,FC Barcelona,89,82,23,85,24,85,25,82,26
Youri Tielemans,Y. Tielemans,216393,"['CM', 'CDM']",Belgium,AS Monaco,89,79,21,80,22,81,23,84,24
Andreas Christensen,A. Christensen,213661,['CB'],Denmark,Chelsea,89,82,22,80,23,79,24,80,25
Thomas Lemar,T. Lemar,213565,"['LM', 'CAM']",France,Atlético de Madrid,89,83,22,83,23,81,24,83,25
Alessio Romagnoli,A. Romagnoli,210413,['CB'],Italy,AC Milan,89,82,23,83,24,83,25,82,26
Andriy Lunin,A. Lunin,243952,['GK'],Ukraine,Real Madrid CF,88,76,19,76,20,75,21,74,22
Sergio Gomez Martin,Sergio Gómez,241811,"['CAM', 'CM']",Spain,Borussia Dortmund,88,68,17,68,18,68,19,68,20
Sandro Tonali,S. Tonali,241096,"['CDM', 'CM']",Italy,Brescia,88,66,18,75,19,77,20,77,21
Jann Fiete Arp,J. Arp,239981,['ST'],Germany,Hamburger SV,88,69,18,67,19,66,20,65,21
Phil Foden,P. Foden,237692,"['CAM', 'CM']",England,Manchester City,88,73,18,76,19,79,20,84,21
Ryan Sessegnon,R. Sessegnon,235883,"['LW', 'LB']",England,Fulham,88,75,18,75,19,75,20,74,21
Kai Havertz,K. Havertz,235790,"['CAM', 'RM', 'CF']",Germany,Bayer 04 Leverkusen,88,79,19,84,20,85,21,84,22
Houssem Aouar,H. Aouar,234906,"['CM', 'LW', 'CAM']",France,Olympique Lyonnais,88,78,20,81,21,81,22,81,23
Alvaro Odriozola Arzalluz,Odriozola,234035,['RB'],Spain,Real Madrid CF,88,80,22,80,23,79,24,79,25
Trent Alexander Arnold,T. Alexander-Arnold,231281,['RB'],England,Liverpool,88,78,19,83,20,87,21,87,22
Ante Coric,A. Ćorić,229594,['CAM'],Croatia,Roma,88,76,21,73,22,71,23,69,24
Dayot Upamecano,D. Upamecano,229558,['CB'],France,RB Leipzig,88,76,19,77,20,79,21,82,22
Christian Pulisic,C. Pulisic,227796,"['RM', 'LM']",United States,Borussia Dortmund,88,79,19,79,20,81,21,82,22
Rodrigo Bentancur,R. Bentancur,227535,['CM'],Uruguay,Juventus,88,76,21,79,22,79,23,78,24
Alex Meret,A. Meret,225116,['GK'],Italy,Napoli,88,75,21,78,22,78,23,79,24
Nicolo Barella,N. Barella,224232,['CM'],Italy,Cagliari,88,76,21,80,22,80,23,84,24
Naby Keita,N. Keïta,220971,"['CM', 'CDM', 'CAM']",Guinea,Liverpool,88,83,23,82,24,81,25,80,26
Corentin Tolisso,C. Tolisso,219683,"['CM', 'CDM']",France,FC Bayern München,88,83,23,83,24,80,25,80,26
Jose Maria Gimenez,J. Giménez,216460,"['CB', 'RB']",Uruguay,Atlético de Madrid,88,84,23,85,24,84,25,84,26
Jonathan Tah,J. Tah,213331,['CB'],Germany,Bayer 04 Leverkusen,88,83,22,83,23,79,24,78,25
Joshua Kimmich,J. Kimmich,212622,"['RB', 'CM', 'CB', 'CDM']",Germany,FC Bayern München,88,85,23,86,24,88,25,89,26
Julian Brandt,J. Brandt,212194,"['LM', 'RM', 'CAM']",Germany,Bayer 04 Leverkusen,88,82,22,84,23,84,24,81,25
Alejandro Grimaldo Garcia,Grimaldo,210035,['LB'],Spain,SL Benfica,88,81,22,83,23,84,24,82,25
Leon Goretzka,L. Goretzka,209658,"['CM', 'CAM', 'CDM']",Germany,FC Bayern München,88,83,23,84,24,84,25,87,26
Serge Gnabry,S. Gnabry,206113,"['LM', 'ST', 'CAM']",Germany,FC Bayern München,88,82,22,84,23,85,24,85,25
Raheem Sterling,R. Sterling,202652,"['RW', 'LW', 'CF']",England,Manchester City,88,85,23,88,24,88,25,88,26
Timothy Weah,T. Weah,241496,"['ST', 'LW']",United States,Paris Saint-Germain,87,68,18,69,19,68,20,74,21
Ferran Torres Garcia,Ferrán Torres,241461,"['RM', 'RW']",Spain,Valencia CF,87,73,18,75,19,81,20,82,21
Callum Hudson Odoi,C. Hudson-Odoi,240740,"['LW', 'CAM', 'RW']",England,Chelsea,87,68,17,74,18,74,19,77,20
Angel Gomes,A. Gomes,240507,"['CAM', 'LW']",England,Manchester United,87,66,17,68,18,67,19,69,20
Pietro Pellegri,P. Pellegri,238873,['ST'],Italy,AS Monaco,87,67,17,67,18,66,19,68,20
Kwang Song Han,Han Kwang Song,238232,['ST'],Korea DPR,Cagliari,87,68,19,70,20,,,,
Takefusa Kubo,T. Kubo,237681,"['CAM', 'RM', 'ST', 'LM']",Japan,FC Tokyo,87,63,17,70,18,75,19,75,20
Alessandro Bastoni,A. Bastoni,237383,['CB'],Italy,Parma,87,67,19,72,20,75,21,80,22
Cengiz Under,C. Ünder,235889,"['RW', 'LW']",Turkey,Roma,87,77,20,78,21,78,22,77,23
Marcus Edwards,M. Edwards,235619,"['RM', 'CAM']",England,Tottenham Hotspur,87,67,19,69,20,77,21,76,22
Tanguy Ndombele,T. Ndombele,235569,"['CM', 'CDM']",France,Olympique Lyonnais,87,78,21,81,22,80,23,82,24
Ismaila Sarr,I. Sarr,235353,"['LM', 'RM', 'ST']",Senegal,Stade Rennais FC,87,76,20,78,21,78,22,78,23
Alphonso Davies,A. Davies,234396,"['LM', 'RM']",Canada,Vancouver Whitecaps FC,87,71,17,72,18,81,19,82,20
Patrik Schick,P. Schick,234236,"['ST', 'RW']",Czech Republic,Roma,87,77,22,76,23,78,24,79,25
Carlos Soler Barragan,Carlos Soler,234153,"['RM', 'CM']",Spain,Valencia CF,87,80,21,80,22,79,23,81,24
Amath Ndiaye Diedhiou,A. Ndiaye Diedhiou,233631,"['LM', 'ST']",Senegal,Getafe CF,87,77,21,76,22,76,23,76,24
Felipe Dos Reis Vizeu Do Carmo,Felipe Vizeu,233299,['ST'],Brazil,Udinese Calcio,87,75,21,,,,,72,24
Jadon Sancho,J. Sancho,233049,['LM'],England,Borussia Dortmund,87,72,18,84,19,87,20,87,21
Rodrigo Hernandez Cascante,Rodri,231866,"['CM', 'CDM']",Spain,Atlético de Madrid,87,82,22,85,23,85,24,86,25
Yann Karamoh,Y. Karamoh,231826,"['RW', 'RM']",France,Inter,87,73,19,75,20,75,21,75,22
Franck Yannick Kessie,F. Kessié,230938,['CM'],Côte d'Ivoire,AC Milan,87,78,21,79,22,77,23,84,24
Amadou Diawara,A. Diawara,230613,"['CM', 'CDM']",Guinea,Napoli,87,77,20,75,21,75,22,76,23
Mikel Oyarzabal Ugarte,Oyarzabal,230142,"['LW', 'RW']",Spain,Real Sociedad,87,80,21,82,22,84,23,85,24
Manuel Akanji,M. Akanji,229237,['CB'],Switzerland,Borussia Dortmund,87,78,22,83,23,78,24,80,25
Davide Calabria,D. Calabria,228881,['RB'],Italy,AC Milan,87,77,21,77,22,76,23,78,24
Gelson Dany Batalha Martins,Gelson Martins,227055,['RM'],Portugal,Atlético de Madrid,87,82,23,82,24,80,25,78,26
Marcos Llorente Moreno,Marcos Llorente,226161,['CDM'],Spain,Real Madrid CF,87,79,23,80,24,82,25,86,26
Jesus Vallejo Lazaro,Vallejo,225161,['CB'],Spain,Real Madrid CF,87,78,21,77,22,76,23,75,24
Ruben Diogo Da Silva Neves,Rúben Neves,224293,"['CM', 'CDM']",Portugal,Wolverhampton Wanderers,87,79,21,82,22,82,23,82,24
Daniel Ceballos Fernandez,Dani Ceballos,222509,"['CM', 'LM', 'CDM', 'CAM']",Spain,Real Madrid CF,87,78,21,81,22,80,23,77,24
Pau Lopez Sabata,Pau López,221087,['GK'],Spain,Real Betis Balompié,87,82,23,83,24,83,25,80,26
Andrija Zivkovic,A. Živković,220746,"['CAM', 'LW', 'CM']",Serbia,SL Benfica,87,79,21,76,22,73,23,76,24
Antonio Sanabria,A. Sanabria,219932,['ST'],Paraguay,Real Betis Balompié,87,79,22,77,23,74,24,74,25
Kingsley Coman,K. Coman,213345,"['LM', 'RM']",France,FC Bayern München,87,83,22,84,23,84,24,86,25
Bruno Miguel Borges Fernandes,Bruno Fernandes,212198,"['CAM', 'CF', 'CM']",Portugal,Sporting CP,87,83,23,85,24,87,25,88,26
Timo Werner,T. Werner,212188,['ST'],Germany,Germany,87,83,22,83,23,85,24,84,25
Thomas Strakosha,T. Strakosha,212151,['GK'],Albania,Lazio,87,80,23,82,24,83,25,80,26
Samuel Castillejo Azuaga,Samu Castillejo,210617,"['RM', 'LM', 'CM']",Spain,Villarreal CF,87,83,23,80,24,79,25,77,26
Adrien Rabiot,A. Rabiot,210008,"['CM', 'CDM']",France,Paris Saint-Germain,87,83,23,83,24,81,25,81,26
Benjamin Mendy,B. Mendy,204884,"['LB', 'LWB']",France,Manchester City,87,81,23,80,24,81,25,79,26
Mykola Shaparenko,M. Shaparenko,244374,"['CM', 'CDM', 'CAM']",Ukraine,Dynamo Kyiv,86,70,19,73,20,72,21,76,22
Viktor Tsygankov,V. Tsygankov,244369,"['RM', 'LM']",Ukraine,Dynamo Kyiv,86,79,20,79,21,80,22,80,23
Yacine Adli,Y. Adli,243627,"['CM', 'CAM']",France,Paris Saint-Germain,86,65,17,66,18,70,19,75,20
Aurelien Tchouameni,A. Tchouaméni,241637,"['CDM', 'CM']",France,FC Girondins de Bordeaux,86,67,18,70,19,71,20,79,21
Jules Kounde,J. Koundé,241486,['CB'],France,FC Girondins de Bordeaux,86,73,19,76,20,79,21,83,22
Amine Gouiri,A. Gouiri,240753,['ST'],France,Olympique Lyonnais,86,67,18,68,19,70,20,78,21
Paulo Henrique Sampaio Filho,Paulinho,239970,['RM'],Brazil,Bayer 04 Leverkusen,86,71,17,71,18,74,19,73,20
Marcus Wendel Valle Da Silva,Wendel,238359,['CM'],Brazil,Sporting CP,86,75,20,77,21,79,22,,
Alan Franco,A. Franco,237604,['CB'],Argentina,Club Atlético Independiente,86,76,21,76,22,74,23,74,24
Justin Kluivert,J. Kluivert,236920,"['LW', 'RW']",Netherlands,Roma,86,75,19,75,20,74,21,76,22
David Neres Campos,David Neres,236632,['RW'],Brazil,Ajax,86,79,21,81,22,80,23,79,24
Moise Kean,M. Kean,236610,['ST'],Italy,Juventus,86,71,18,76,19,74,20,79,21
Enrico Brignola,E. Brignola,236522,"['CAM', 'RW', 'CF', 'RM']",Italy,U.S. Sassuolo Calcio,86,68,18,70,19,,,68,21
Alessandro Plizzari,A. Plizzari,236378,['GK'],Italy,AC Milan,86,66,18,66,19,,,66,21
Christian Kouame,C. Kouamé,235866,"['ST', 'CF']",Côte d'Ivoire,Genoa,86,71,20,75,21,75,22,74,23
Federico Chiesa,F. Chiesa,235805,"['RW', 'CF']",Italy,Fiorentina,86,77,20,79,21,78,22,83,23
Ethan Ampadu,E. Ampadu,235735,"['CB', 'CDM']",Wales,Chelsea,86,63,17,67,18,67,19,68,20
Dario Maresic,D. Maresic,235673,['CB'],Austria,SK Sturm Graz,86,72,18,71,19,70,20,69,21
Christian Fruchtl,C. Früchtl,235266,['GK'],Germany,FC Bayern München,86,65,18,65,19,66,20,66,21
Joao Pedro Neves Filipe,Jota,234570,"['LW', 'RW']",Portugal,SL Benfica,86,69,19,72,20,72,21,74,22
Henry Onyekuru,H. Onyekuru,234045,['LM'],Nigeria,Galatasaray SK,86,76,21,78,22,77,23,75,24
Raphael Dias Belloli,Raphinha,233419,"['RM', 'LM']",Brazil,Sporting CP,86,79,21,79,22,81,23,82,24
Issa Diop,I. Diop,231633,['CB'],France,West Ham United,86,76,21,78,22,77,23,77,24
Lautaro Martinez,L. Martínez,231478,['ST'],Argentina,Inter,86,79,20,81,21,84,22,85,23
Nicolas Benedetti,N. Benedetti,229699,"['CAM', 'RM']",Colombia,Deportivo Cali,86,72,21,74,22,72,23,72,24
Denis Zakaria,D. Zakaria,229261,"['CM', 'CDM']",Switzerland,Borussia Mönchengladbach,86,77,21,78,22,83,23,80,24
Frenkie De Jong,F. de Jong,228702,"['CM', 'CDM', 'CB']",Netherlands,Ajax,86,77,21,85,22,85,23,87,24
Benjamin Pavard,B. Pavard,226851,"['CB', 'RB', 'CDM']",France,VfB Stuttgart,86,80,22,79,23,81,24,79,25
Kieran Tierney,K. Tierney,226491,"['LB', 'LWB', 'CB']",Scotland,Celtic,86,76,21,76,22,78,23,80,24
Pablo Fornals Malla,Pablo Fornals,226456,"['CAM', 'CM', 'LM']",Spain,Villarreal CF,86,80,22,81,23,79,24,79,25
Giovani Lo Celso,G. Lo Celso,226226,"['CM', 'CAM', 'CDM']",Argentina,Paris Saint-Germain,86,80,22,83,23,82,24,81,25
Nordi Mukiele,N. Mukiele,226166,"['CB', 'RB', 'RWB']",France,RB Leipzig,86,77,20,77,21,80,22,81,23
Abdou Diallo,A. Diallo,225711,"['CB', 'LB']",France,Borussia Dortmund,86,78,22,79,23,78,24,78,25
Joe Gomez,J. Gomez,225100,"['RB', 'CB']",England,Liverpool,86,76,21,80,22,83,23,82,24
Diogo Jose Teixeira Da Silva,Diogo Jota,224458,"['LW', 'ST']",Portugal,Wolverhampton Wanderers,86,78,21,80,22,80,23,82,24
Breel Embolo,B. Embolo,222357,"['ST', 'RW']",Switzerland,FC Schalke 04,86,76,21,76,22,78,23,77,24
Manuel Locatelli,M. Locatelli,222077,['CDM'],Italy,AC Milan,86,75,20,76,21,78,22,82,23
Julian Weigl,J. Weigl,222028,"['CDM', 'CM']",Germany,Borussia Dortmund,86,80,22,80,23,79,24,79,25
Hirving Lozano,H. Lozano,221992,"['RW', 'LW']",Mexico,PSV,86,80,22,82,23,80,24,81,25
Pablo Maffeo Becerra,Pablo Maffeo,221342,"['RWB', 'RM']",Spain,VfB Stuttgart,86,78,20,74,21,74,22,75,23
Mahmoud Dahoud,M. Dahoud,218339,"['CM', 'CDM']",Germany,Borussia Dortmund,86,79,22,78,23,76,24,79,25
Angel Correa,Á. Correa,214997,"['RM', 'ST']",Argentina,Atlético de Madrid,86,80,23,82,24,82,25,83,26
Daniele Rugani,D. Rugani,211320,['CB'],Italy,Juventus,86,82,23,82,24,80,25,77,26
Bryan Cristante,B. Cristante,208268,"['CM', 'CAM']",Italy,Roma,86,78,23,78,24,78,25,78,26
Charly Musonda,C. Musonda,204233,"['RM', 'LM']",Belgium,Chelsea,86,76,21,74,22,73,23,72,24
Matty Daly,M. Daly,244673,"['CM', 'CAM']",England,Huddersfield Town,85,60,17,59,18,58,19,59,20
Kangin Lee,Kangin Lee,243780,"['CAM', 'RW', 'LM']",Korea Republic,Valencia CF,85,67,17,76,18,74,19,74,20
Yanis Begraoui,Y. Begraoui,243169,['ST'],France,AJ Auxerre,85,59,16,60,17,59,18,62,19
Joao Felix Sequeira,João Félix,242444,"['LW', 'CAM']",Portugal,SL Benfica,85,69,18,80,19,81,20,83,21
Phakamani Mahlambi,P. Mahlambi,241234,"['CAM', 'RW', 'CF']",South Africa,South Africa,85,70,20,70,21,,,,
Giorgi Chakvetadze,G. Chakvetadze,241168,['CAM'],Georgia,KAA Gent,85,69,18,74,19,72,20,69,21
Marcelo Saracchi,M. Saracchi,240976,['LB'],Uruguay,RB Leipzig,85,75,20,75,21,75,22,74,23
Matheus Santos Carneiro Da Cunha,Matheus Cunha,240243,"['ST', 'RM', 'CF']",Brazil,RB Leipzig,85,67,19,74,20,78,21,79,22
Eder Gabriel Militao,Éder Militão,240130,"['RB', 'CDM']",Brazil,FC Porto,85,73,20,81,21,80,22,82,23
Alfa Semedo Esteves,Alfa Semedo,239641,"['CDM', 'CM', 'CB']",Guinea Bissau,SL Benfica,85,76,20,75,21,,,69,23
Maximiliano Gomez,M. Gómez,239207,['ST'],Uruguay,RC Celta de Vigo,85,80,21,80,22,80,23,80,24
Weston Mckennie,W. McKennie,238744,"['CM', 'CDM']",United States,FC Schalke 04,85,72,19,76,20,75,21,77,22
Bruno Alexandre Vieira Almeida,Bruno Xadas,237670,['RM'],Portugal,SC Braga,85,74,20,74,21,72,22,70,23
Enis Bardhi,E. Bardhi,237239,"['CM', 'CAM', 'LM']",North Macedonia,Levante Unión Deportiva,85,78,22,78,23,79,24,79,25
Juan Foyth,J. Foyth,237221,['CB'],Argentina,Tottenham Hotspur,85,70,20,74,21,75,22,75,23
Gian Luca Itter,G. Itter,237024,['LB'],Germany,VfL Wolfsburg,85,67,19,67,20,68,21,68,22
Boubacar Kamara,B. Kamara,236987,"['CB', 'CDM']",France,Olympique de Marseille,85,71,18,75,19,79,20,80,21
Orji Okwonkwo,O. Okwonkwo,236836,"['LW', 'CAM']",Nigeria,Bologna,85,69,20,70,21,69,22,,
Ben Woodburn,B. Woodburn,236248,"['CAM', 'LW', 'ST']",Wales,Sheffield United,85,68,18,68,19,66,20,65,21
Marc Roca Junque,Marc Roca,235945,"['CDM', 'CM']",Spain,RCD Espanyol de Barcelona,85,74,21,79,22,77,23,77,24
Matias Zaracho,M. Zaracho,235926,"['RM', 'CM']",Argentina,Racing Club,85,72,20,78,21,76,22,,
Marco Varnier,M. Varnier,235863,['CB'],Italy,Atalanta,85,70,20,70,21,,,,
Salih Ozcan,S. Özcan,235407,"['CM', 'CDM']",Germany,1. FC Köln,85,70,19,70,21,72,22,73,23
Achraf Hakimi,A. Hakimi,235212,"['RB', 'LB']",Morocco,Borussia Dortmund,85,75,19,79,20,83,21,85,22
Panagiotis Retsos,P. Retsos,234986,"['CB', 'RB', 'LB']",Greece,Bayer 04 Leverkusen,85,75,19,75,20,74,21,73,22
Jose Diogo Dalot Teixeira,Diogo Dalot,234574,"['RB', 'LB']",Portugal,Manchester United,85,73,19,75,20,76,21,76,22
Gedson Carvalho Fernandes,Gedson Fernandes,234568,['CM'],Portugal,SL Benfica,85,71,19,76,20,75,21,77,22
Samuel Grandsir,S. Grandsir,233550,"['RM', 'LM']",France,AS Monaco,85,74,21,73,22,72,23,71,24
Tahith Chong,T. Chong,233510,"['LW', 'CAM', 'RW']",Netherlands,Manchester United,85,65,18,65,19,66,20,68,21
Mason Mount,M. Mount,233064,['CAM'],England,Derby County,85,74,19,75,20,80,21,83,22
Timothy Fosu Mensah,T. Fosu-Mensah,232270,"['RB', 'CB']",Netherlands,Manchester United,85,76,20,73,21,73,22,73,23
Santiago Ascacibar,S. Ascacíbar,232244,['CDM'],Argentina,VfB Stuttgart,85,78,21,76,22,76,23,74,24
Amine Harit,A. Harit,232097,"['RW', 'CM', 'LW']",Morocco,FC Schalke 04,85,78,21,76,22,77,23,75,24
Reiss Nelson,R. Nelson,231448,['RM'],England,Arsenal,85,65,18,72,19,72,20,73,21
Brahim Diaz,Brahim Díaz,231410,"['LW', 'RW', 'CAM']",Spain,Manchester City,85,69,18,73,19,74,20,78,21
Joris Gnagnon,J. Gnagnon,231361,['CB'],France,Sevilla FC,85,77,21,75,22,76,23,74,24
Tammy Abraham,T. Abraham,231352,['ST'],England,Chelsea,85,74,20,76,21,78,22,78,23
Emre Mor,E. Mor,231240,"['LW', 'RW', 'ST', 'CF']",Turkey,RC Celta de Vigo,85,74,20,72,21,72,22,72,23
Filip Krovinovic,F. Krovinović,230988,"['CAM', 'CM']",Croatia,SL Benfica,85,78,22,75,23,,,72,25
Nahitan Nandez,N. Nández,230965,"['CM', 'CDM', 'RM']",Uruguay,Uruguay,85,75,22,77,23,77,24,77,25
Mile Svilar,M. Svilar,230872,['GK'],Belgium,SL Benfica,85,67,18,68,19,,,68,21
Andre Miguel Valente Da Silva,André Silva,228941,['ST'],Portugal,AC Milan,85,77,22,79,23,79,24,84,25
Lucas Martinez Quarta,L. Martínez Quarta,228708,['CB'],Argentina,River Plate,85,72,22,75,23,76,24,76,25
Kasper Dolberg,K. Dolberg,228687,['ST'],Denmark,Ajax,85,76,20,76,21,79,22,79,23
Ferland Mendy,F. Mendy,228618,['LB'],France,Olympique Lyonnais,85,77,23,80,24,83,25,83,26
Matheus Fellipe Costa Pereira,Matheus Pereira,228414,"['RM', 'LM']",Brazil,Sporting CP,85,77,22,76,23,76,24,77,25
Sander Berge,S. Berge,228092,"['CDM', 'CM']",Norway,KRC Genk,85,72,20,79,21,79,22,76,23
Maximiliano Romero,M. Romero,227903,['ST'],Argentina,PSV,85,70,19,69,20,71,21,70,22
Lucas Tousart,L. Tousart,227234,"['CDM', 'CM']",France,Olympique Lyonnais,85,79,21,78,22,76,23,76,24
Wilfred Ndidi,W. Ndidi,226790,"['CDM', 'CM']",Nigeria,Leicester City,85,80,21,81,22,84,23,85,24
Andre Onana,A. Onana,226753,['GK'],Cameroon,Ajax,85,78,22,82,23,84,24,83,25
Jakub Jankto,J. Jankto,226592,['CM'],Czech Republic,Czech Republic,85,76,22,75,23,74,24,74,25
Fabian Ruiz Pena,Fabián,226271,"['CM', 'CDM', 'CAM']",Spain,Napoli,85,81,22,83,23,82,24,82,25
Steven Bergwijn,S. Bergwijn,225953,"['LW', 'RW']",Netherlands,PSV,85,76,20,82,21,83,22,80,23
Jean Kevin Augustin,J. Augustin,225713,['ST'],France,RB Leipzig,85,76,21,76,22,73,23,67,24
Alexandr Golovin,A. Golovin,225663,"['CM', 'CDM', 'LM']",Russia,AS Monaco,85,79,22,79,23,79,24,79,25
Rolando Mandragora,R. Mandragora,225439,"['CM', 'CDM']",Italy,Udinese Calcio,85,75,21,76,22,74,23,75,24
Nadiem Amiri,N. Amiri,225309,"['CAM', 'CM']",Germany,TSG Hoffenheim,85,78,21,78,22,77,23,77,24
Cristian Pavon,C. Pavón,224254,"['RW', 'ST', 'RM', 'LW']",Argentina,Argentina,85,79,22,79,23,79,24,78,25
Lucas Torreira,L. Torreira,223959,"['CM', 'CDM']",Uruguay,Arsenal,85,78,22,82,23,81,24,80,25
Victor Lindelof,V. Lindelöf,221660,['CB'],Sweden,Manchester United,85,79,23,81,24,80,25,80,26
German Conti,G. Conti,221219,['CB'],Argentina,SL Benfica,85,78,23,75,25,72,26,,
Erick Gutierrez,E. Gutiérrez,220854,['CM'],Mexico,Pachuca,85,77,23,75,24,74,25,73,26
Yerry Mina,Y. Mina,220523,['CB'],Colombia,FC Barcelona,85,78,23,78,24,78,25,79,26
Tiemoue Bakayoko,T. Bakayoko,219809,"['CDM', 'CM']",France,Chelsea,85,80,23,80,24,79,25,79,26
Giovanni Simeone,G. Simeone,216816,['ST'],Argentina,Fiorentina,85,78,22,77,23,76,24,75,25
Allan Saint Maximin,A. Saint-Maximin,216388,"['RW', 'LW', 'LM', 'RM']",France,OGC Nice,85,78,21,79,22,80,23,79,24
Keita Balde,K. Baldé,215785,"['RM', 'ST', 'LM']",Senegal,AS Monaco,85,80,23,80,24,76,25,76,26
Jefferson Lerma,J. Lerma,213991,"['CDM', 'CM']",Colombia,Levante Unión Deportiva,85,79,23,79,24,77,25,75,26
Adama Traore Diarra,Adama,213956,"['RW', 'RM']",Spain,Middlesbrough,85,75,22,74,23,79,24,78,25
Ruben Loftus Cheek,R. Loftus-Cheek,213666,"['LM', 'CAM', 'CM']",England,Chelsea,85,77,22,79,23,78,24,75,25
Wylan Cyprien,W. Cyprien,212886,"['CM', 'CDM']",France,OGC Nice,85,78,23,77,24,77,25,73,26
Marcos Paulo Mesquita Lopes,Rony Lopes,212692,"['RM', 'LM']",Portugal,AS Monaco,85,80,22,80,23,78,24,76,25
Santiago Mina Lorenzo,Santi Mina,212623,"['ST', 'LW', 'RW']",Spain,Valencia CF,85,79,22,80,23,76,24,77,25
Moussa Dembele,M. Dembélé,211591,['ST'],France,Celtic,85,75,21,80,22,81,23,78,24
Morgan Sanson,M. Sanson,210896,"['CM', 'CAM']",France,Olympique de Marseille,85,80,23,79,24,79,25,76,26
Nathaniel Chalobah,N. Chalobah,205897,"['CDM', 'CM']",England,Watford,85,76,23,75,24,74,25,74,26
Hector Bellerin Moruno,Héctor Bellerín,203747,"['RB', 'RWB']",Spain,Arsenal,85,80,23,80,24,80,25,78,26
Mohamed Elyounoussi,M. Elyounoussi,203362,"['LM', 'CAM', 'RM']",Norway,Southampton,85,79,23,76,24,76,25,75,26
Claudio Gomes,C. Gomes,245035,"['CDM', 'CM']",France,Manchester City,84,66,17,66,18,,,65,20
