Player name,Known as,player_id,position,nationality,team,Fifa 11 Potential rating,Fifa 11 overall_rating,Fifa 11 age,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 11 outcome,Year potential reached
Dong Won Ji,Ji Dong Won,199266,"['ST', 'LW', 'CF']",Korea Republic,Korea Republic,89,66,19,68.0,20.0,69.0,21.0,72.0,22.0,71.0,23.0,71.0,24.0,71.0,25.0,71.0,26.0,71.0,27.0,72.0,28.0,71.0,29.0,68.0,30.0,did not hit their potential,
James Rodriguez,J. Rodríguez,198710,"['LF', 'LW', 'CAM', 'RW']",Colombia,FC Porto,89,76,18,79.0,19.0,83.0,20.0,83.0,21.0,86.0,22.0,87.0,23.0,87.0,24.0,86.0,25.0,88.0,26.0,85.0,27.0,82.0,28.0,81.0,29.0,lived to expectations,8.0
Givanildo Vieira De Souza,Hulk,189362,"['RW', 'CF', 'RF', 'ST']",Brazil,FC Porto,89,83,23,85.0,24.0,84.0,25.0,84.0,26.0,83.0,27.0,84.0,28.0,86.0,29.0,,,81.0,31.0,80.0,32.0,80.0,33.0,,,did not hit their potential,
Paulo Henrique Chagas De Lima,Ganso,187688,"['CAM', 'CM', 'CF']",Brazil,Santos,89,82,20,83.0,21.0,80.0,22.0,77.0,23.0,,,,,81.0,26.0,80.0,27.0,75.0,28.0,,,,,,,did not hit their potential,
Seung Yeoul Lee,Lee Seung Yeoul,187145,"['CF', 'LW', 'CAM']",Korea Republic,Korea Republic,89,68,21,65.0,22.0,62.0,23.0,63.0,24.0,63.0,25.0,63.0,26.0,63.0,27.0,,,,,,,,,,,did not hit their potential,
Angel Di Maria,Á. Di María,183898,"['LW', 'LM', 'RW', 'CAM']",Argentina,Real Madrid CF,89,82,22,84.0,23.0,86.0,24.0,86.0,25.0,86.0,26.0,85.0,27.0,87.0,28.0,85.0,29.0,84.0,30.0,86.0,31.0,87.0,32.0,87.0,33.0,did not hit their potential,
Andres Guardado,A. Guardado,171897,"['LW', 'LM', 'CAM', 'RW']",Mexico,Deportivo de La Coruña,89,81,23,77.0,24.0,82.0,25.0,81.0,26.0,77.0,27.0,80.0,28.0,82.0,29.0,80.0,30.0,82.0,31.0,81.0,32.0,78.0,33.0,78.0,34.0,did not hit their potential,
Arda Turan,A. Turan,143745,"['LW', 'LM', 'CAM', 'RM']",Turkey,Galatasaray SK,89,82,23,83.0,24.0,84.0,25.0,84.0,26.0,84.0,27.0,83.0,28.0,84.0,29.0,82.0,30.0,78.0,31.0,76.0,32.0,74.0,33.0,71.0,34.0,did not hit their potential,
Luis Carlos Almeida Da Cunha,Nani,139068,"['LW', 'RW', 'LM', 'RM']",Portugal,Manchester United,89,83,23,85.0,24.0,85.0,25.0,83.0,26.0,81.0,27.0,82.0,28.0,83.0,29.0,83.0,30.0,80.0,31.0,80.0,32.0,80.0,33.0,81.0,34.0,did not hit their potential,
Romelu Lukaku,R. Lukaku,192505,['ST'],Belgium,RSC Anderlecht,88,74,17,78.0,18.0,74.0,19.0,77.0,20.0,80.0,21.0,80.0,22.0,84.0,23.0,86.0,24.0,87.0,25.0,85.0,26.0,85.0,27.0,88.0,28.0,lived to expectations,8.0
Javier Pastore,J. Pastore,191180,"['CAM', 'CF', 'LF', 'RF']",Argentina,Argentina,88,80,21,83.0,22.0,83.0,23.0,79.0,24.0,79.0,25.0,84.0,26.0,85.0,27.0,83.0,28.0,82.0,29.0,79.0,30.0,77.0,31.0,78.0,32.0,did not hit their potential,
Neymar Da Silva Santos Junior,Neymar,190871,"['ST', 'LF', 'RF', 'CF']",Brazil,Santos,88,78,18,84.0,19.0,85.0,20.0,84.0,21.0,86.0,22.0,88.0,23.0,92.0,24.0,92.0,25.0,92.0,26.0,92.0,27.0,91.0,28.0,91.0,29.0,exceeded their potential,5.0
Christian Eriksen,C. Eriksen,190460,"['CAM', 'CM', 'LW']",Denmark,Ajax,88,71,18,80.0,19.0,80.0,20.0,82.0,21.0,83.0,22.0,83.0,23.0,84.0,24.0,87.0,25.0,88.0,26.0,88.0,27.0,85.0,28.0,82.0,29.0,lived to expectations,7.0
Sergio Canales Madrazo,Sergio Canales,190286,"['CAM', 'CM', 'LM', 'CF']",Spain,Real Madrid CF,88,76,19,77.0,20.0,78.0,21.0,77.0,22.0,77.0,23.0,79.0,24.0,79.0,25.0,79.0,26.0,79.0,27.0,84.0,28.0,82.0,29.0,83.0,30.0,did not hit their potential,
Jack Wilshere,J. Wilshere,189461,"['CAM', 'CM', 'LM', 'RM']",England,Arsenal,88,75,18,82.0,19.0,82.0,20.0,82.0,21.0,81.0,22.0,81.0,23.0,82.0,24.0,81.0,25.0,80.0,26.0,79.0,27.0,76.0,28.0,,,did not hit their potential,
Federico Macheda,F. Macheda,186140,"['ST', 'CF', 'LW']",Italy,Manchester United,88,74,18,73.0,19.0,72.0,20.0,70.0,21.0,69.0,22.0,70.0,23.0,70.0,24.0,71.0,25.0,,,73.0,27.0,72.0,28.0,72.0,29.0,did not hit their potential,
Kieran Gibbs,K. Gibbs,186115,"['LWB', 'LB', 'LM', 'CM']",England,Arsenal,88,76,20,75.0,21.0,76.0,22.0,78.0,23.0,78.0,24.0,80.0,25.0,80.0,26.0,78.0,27.0,77.0,28.0,75.0,29.0,75.0,30.0,72.0,31.0,did not hit their potential,
Mamadou Sakho,M. Sakho,183285,['CB'],France,Paris Saint-Germain,88,76,20,81.0,21.0,80.0,22.0,81.0,23.0,81.0,24.0,81.0,25.0,82.0,26.0,81.0,27.0,80.0,28.0,79.0,29.0,76.0,30.0,75.0,31.0,did not hit their potential,
Toni Kroos,T. Kroos,182521,"['CAM', 'LM', 'RM', 'CM']",Germany,FC Bayern München,88,80,20,81.0,21.0,84.0,22.0,84.0,23.0,85.0,24.0,87.0,25.0,88.0,26.0,90.0,27.0,90.0,28.0,88.0,29.0,88.0,30.0,88.0,31.0,exceeded their potential,5.0
Andrea Ranocchia,A. Ranocchia,182168,"['CB', 'SW']",Italy,Genoa,88,78,22,80.0,23.0,79.0,24.0,79.0,25.0,77.0,26.0,78.0,27.0,76.0,28.0,76.0,29.0,76.0,30.0,75.0,31.0,74.0,32.0,74.0,33.0,did not hit their potential,
Miralem Pjanic,M. Pjanic,180206,"['CAM', 'LM', 'CM']",Bosnia and Herzegovina,Olympique Lyonnais,88,79,20,79.0,21.0,77.0,22.0,78.0,23.0,83.0,24.0,84.0,25.0,85.0,26.0,85.0,27.0,86.0,28.0,86.0,29.0,85.0,30.0,82.0,31.0,did not hit their potential,
David Luiz Moreira Marinho,David Luiz,179944,"['CB', 'LB']",Brazil,SL Benfica,88,81,23,82.0,24.0,79.0,25.0,82.0,26.0,82.0,27.0,83.0,28.0,84.0,29.0,86.0,30.0,83.0,31.0,83.0,32.0,80.0,33.0,,,did not hit their potential,
Mats Hummels,M. Hummels,178603,"['CB', 'CDM', 'RB']",Germany,Borussia Dortmund,88,79,21,84.0,22.0,85.0,23.0,85.0,24.0,86.0,25.0,86.0,26.0,87.0,27.0,88.0,28.0,89.0,29.0,87.0,30.0,86.0,31.0,86.0,32.0,lived to expectations,6.0
Juan Manuel Mata Garcia,Mata,178088,"['LW', 'LM', 'CAM', 'LF']",Spain,Valencia CF,88,82,22,85.0,23.0,86.0,24.0,87.0,25.0,85.0,26.0,84.0,27.0,84.0,28.0,84.0,29.0,83.0,30.0,82.0,31.0,79.0,32.0,78.0,33.0,lived to expectations,3.0
Bojan Krkic Perez,Bojan,176993,"['CF', 'RF', 'LF', 'ST']",Spain,FC Barcelona,88,79,19,78.0,20.0,76.0,21.0,79.0,22.0,77.0,23.0,81.0,24.0,82.0,25.0,79.0,26.0,75.0,27.0,74.0,28.0,73.0,29.0,71.0,30.0,did not hit their potential,
Mesut Ozil,M. Özil,176635,"['CAM', 'LM', 'RM']",Germany,Real Madrid CF,88,83,21,86.0,22.0,87.0,23.0,87.0,24.0,86.0,25.0,87.0,26.0,89.0,27.0,88.0,28.0,86.0,29.0,84.0,30.0,82.0,31.0,80.0,32.0,lived to expectations,2.0
Luis Suarez,L. Suárez,176580,"['RF', 'ST', 'CF', 'RW']",Uruguay,Ajax,88,82,23,85.0,24.0,86.0,25.0,86.0,26.0,89.0,27.0,90.0,28.0,92.0,29.0,92.0,30.0,91.0,31.0,89.0,32.0,87.0,33.0,88.0,34.0,exceeded their potential,4.0
Marek Hamsik,M. Hamšik,171877,"['CAM', 'CM', 'RF', 'LF']",Slovakia,Napoli,88,83,22,84.0,23.0,85.0,24.0,84.0,25.0,83.0,26.0,83.0,27.0,85.0,28.0,87.0,29.0,87.0,30.0,84.0,31.0,81.0,32.0,80.0,33.0,lived to expectations,7.0
Blaise Matuidi,B. Matuidi,170890,"['CDM', 'CM', 'LM', 'LB']",France,AS Saint-Étienne,88,75,23,78.0,24.0,77.0,25.0,81.0,26.0,83.0,27.0,84.0,28.0,86.0,29.0,85.0,30.0,85.0,31.0,85.0,32.0,83.0,33.0,79.0,34.0,did not hit their potential,
Mouhamadou Dabo,M. Dabo,168630,"['RB', 'LB', 'CDM', 'RWB']",France,Sevilla FC,88,77,23,73.0,24.0,73.0,25.0,72.0,26.0,72.0,27.0,,,72.0,29.0,71.0,30.0,64.0,31.0,,,,,,,did not hit their potential,
Karim Benzema,K. Benzema,165153,"['ST', 'LF']",France,Real Madrid CF,88,83,22,84.0,23.0,87.0,24.0,85.0,25.0,85.0,26.0,86.0,27.0,87.0,28.0,86.0,29.0,84.0,30.0,87.0,31.0,89.0,32.0,89.0,33.0,lived to expectations,2.0
Hatem Ben Arfa,H. Ben Arfa,161648,"['RW', 'CAM', 'LW', 'RF']",France,Newcastle United,88,78,23,79.0,24.0,81.0,25.0,79.0,26.0,78.0,27.0,79.0,28.0,84.0,29.0,81.0,30.0,,,,,75.0,33.0,75.0,34.0,did not hit their potential,
Yoann Gourcuff,Y. Gourcuff,153296,"['CAM', 'CM', 'RM', 'LM']",France,Olympique Lyonnais,88,83,23,81.0,24.0,79.0,25.0,79.0,26.0,77.0,27.0,,,78.0,29.0,79.0,30.0,75.0,31.0,,,,,,,did not hit their potential,
Mauro Zarate,M. Zárate,153177,"['RF', 'LF', 'RW', 'LW']",Argentina,Lazio,88,79,23,80.0,24.0,77.0,25.0,75.0,26.0,77.0,27.0,76.0,28.0,77.0,29.0,77.0,30.0,77.0,31.0,78.0,32.0,76.0,33.0,,,did not hit their potential,
Gerard Pique Bernabeu,Piqué,152729,"['CB', 'RB', 'CDM']",Spain,FC Barcelona,88,85,23,88.0,24.0,86.0,25.0,86.0,26.0,84.0,27.0,85.0,28.0,86.0,29.0,87.0,30.0,87.0,31.0,88.0,32.0,86.0,33.0,84.0,34.0,lived to expectations,1.0
Joe Hart,J. Hart,150724,['GK'],England,Manchester City,88,82,23,83.0,24.0,84.0,25.0,83.0,26.0,82.0,27.0,83.0,28.0,84.0,29.0,82.0,30.0,78.0,31.0,77.0,32.0,,,74.0,34.0,did not hit their potential,
Bit Ga Ram Yoon,Yoon Bit Ga Ram,200601,"['CM', 'CAM', 'RM', 'LM']",Korea Republic,Korea Republic,87,65,20,68.0,21.0,65.0,22.0,67.0,23.0,67.0,24.0,70.0,25.0,,,70.0,27.0,72.0,28.0,68.0,29.0,71.0,30.0,73.0,31.0,did not hit their potential,
Zhano Ananidze,Z. Ananidze,193897,"['CAM', 'CM', 'CF', 'ST']",Georgia,Spartak Moskva,87,73,17,73.0,18.0,75.0,19.0,73.0,20.0,75.0,21.0,74.0,22.0,74.0,23.0,75.0,24.0,75.0,25.0,74.0,26.0,,,,,did not hit their potential,
Daniel Villalva,D. Villalva,190629,"['CF', 'CAM']",Argentina,River Plate,87,68,17,65.0,18.0,66.0,19.0,69.0,20.0,69.0,21.0,70.0,22.0,73.0,23.0,73.0,24.0,72.0,25.0,71.0,26.0,,,,,did not hit their potential,
Rafael Pereira Da Silva,Rafael,189681,"['RWB', 'RB', 'RW', 'CDM']",Brazil,Manchester United,87,77,19,76.0,20.0,77.0,21.0,77.0,22.0,77.0,23.0,77.0,24.0,78.0,25.0,79.0,26.0,79.0,27.0,78.0,28.0,77.0,29.0,76.0,30.0,did not hit their potential,
Fabio Pereira Da Silva,Fábio,189680,"['LWB', 'LB', 'LM', 'RB']",Brazil,Manchester United,87,75,19,75.0,20.0,75.0,21.0,75.0,22.0,72.0,23.0,74.0,24.0,74.0,25.0,74.0,26.0,71.0,27.0,72.0,28.0,73.0,29.0,72.0,30.0,did not hit their potential,
Davide Santon,D. Santon,189484,"['RWB', 'LWB', 'RB', 'LB']",Italy,Inter,87,77,19,75.0,20.0,75.0,21.0,75.0,22.0,75.0,23.0,76.0,24.0,76.0,25.0,76.0,26.0,75.0,27.0,75.0,28.0,75.0,29.0,74.0,30.0,did not hit their potential,
Jonathan Urretaviscaya,J. Urretaviscaya,189338,"['RW', 'LW', 'CF', 'CAM']",Uruguay,Deportivo de La Coruña,87,76,20,73.0,21.0,74.0,22.0,72.0,23.0,,,72.0,25.0,72.0,26.0,74.0,27.0,75.0,28.0,73.0,29.0,74.0,30.0,71.0,31.0,did not hit their potential,
Manuel Lanzini,M. Lanzini,188988,"['CAM', 'CM']",Argentina,River Plate,87,67,17,71.0,18.0,72.0,19.0,74.0,20.0,,,76.0,22.0,79.0,23.0,81.0,24.0,81.0,25.0,80.0,26.0,78.0,27.0,77.0,28.0,did not hit their potential,
Douglas Franco Teixeira,Douglas,188177,"['CB', 'RB', 'RWB']",Brazil,FC Twente,87,79,22,79.0,23.0,77.0,24.0,75.0,25.0,75.0,26.0,77.0,27.0,74.0,28.0,73.0,29.0,,,,,64.0,32.0,,,did not hit their potential,
Alan Dzagoev,A. Dzagoev,187735,"['CAM', 'CF', 'RM', 'CM']",Russia,PFC CSKA Moscow,87,79,20,79.0,21.0,80.0,22.0,79.0,23.0,79.0,24.0,79.0,25.0,81.0,26.0,80.0,27.0,80.0,28.0,77.0,29.0,76.0,30.0,76.0,31.0,did not hit their potential,
Mario Balotelli,M. Balotelli,186627,"['ST', 'LF', 'RF', 'CF']",Italy,Manchester City,87,81,19,81.0,20.0,84.0,21.0,84.0,22.0,82.0,23.0,80.0,24.0,79.0,25.0,82.0,26.0,83.0,27.0,82.0,28.0,79.0,29.0,76.0,30.0,did not hit their potential,
Leonardo Bonucci,L. Bonucci,184344,"['CB', 'SW', 'RB']",Italy,Juventus,87,78,23,78.0,24.0,80.0,25.0,79.0,26.0,79.0,27.0,83.0,28.0,87.0,29.0,88.0,30.0,86.0,31.0,86.0,32.0,85.0,33.0,85.0,34.0,lived to expectations,6.0
Neven Subotic,N. Subotic,183556,"['CB', 'SW']",Serbia,Borussia Dortmund,87,78,21,82.0,22.0,81.0,23.0,82.0,24.0,82.0,25.0,80.0,26.0,78.0,27.0,77.0,28.0,78.0,29.0,77.0,30.0,72.0,31.0,,,did not hit their potential,
Stevan Jovetic,S. Jovetić,181820,"['CF', 'ST', 'LF', 'CAM']",Montenegro,Fiorentina,87,79,20,81.0,21.0,83.0,22.0,84.0,23.0,81.0,24.0,81.0,25.0,81.0,26.0,81.0,27.0,80.0,28.0,78.0,29.0,77.0,30.0,77.0,31.0,did not hit their potential,
Simon Kjaer,S. Kjær,179645,"['CB', 'RB']",Denmark,VfL Wolfsburg,87,78,21,76.0,22.0,75.0,23.0,75.0,24.0,80.0,25.0,81.0,26.0,82.0,27.0,81.0,28.0,79.0,29.0,82.0,30.0,80.0,31.0,83.0,32.0,did not hit their potential,
Marko Marin,M. Marin,179546,"['LM', 'LW', 'CAM', 'RM']",Germany,SV Werder Bremen,87,81,22,80.0,23.0,78.0,24.0,78.0,25.0,77.0,26.0,77.0,26.0,76.0,27.0,75.0,28.0,,,,,75.0,31.0,73.0,32.0,did not hit their potential,
Loic Remy,L. Remy,179527,"['RF', 'ST', 'CF']",France,Olympique de Marseille,87,78,23,82.0,24.0,83.0,25.0,79.0,26.0,80.0,27.0,81.0,28.0,81.0,29.0,77.0,30.0,78.0,31.0,77.0,32.0,,,75.0,34.0,did not hit their potential,
Javier Hernandez,J. Hernández,178224,"['ST', 'LF', 'LW', 'CF']",Mexico,Manchester United,87,79,22,82.0,23.0,82.0,24.0,82.0,25.0,81.0,26.0,80.0,27.0,83.0,28.0,82.0,29.0,79.0,30.0,78.0,31.0,78.0,32.0,78.0,33.0,did not hit their potential,
Etienne Capoue,E. Capoue,178213,"['CDM', 'CM', 'CB', 'RB']",France,Toulouse Football Club,87,76,21,77.0,22.0,79.0,23.0,79.0,24.0,78.0,25.0,77.0,26.0,78.0,27.0,76.0,28.0,76.0,29.0,80.0,30.0,78.0,31.0,78.0,32.0,did not hit their potential,
Marouane Fellaini,M. Fellaini,176944,"['CDM', 'CM', 'CF', 'CAM']",Belgium,Everton,87,81,22,79.0,23.0,81.0,24.0,81.0,25.0,79.0,26.0,78.0,27.0,78.0,28.0,79.0,29.0,79.0,30.0,76.0,31.0,75.0,32.0,75.0,33.0,did not hit their potential,
Eljero Elia,E. Elia,172049,"['LM', 'LW', 'CF', 'CAM']",Netherlands,Hamburger SV,87,80,23,79.0,24.0,77.0,25.0,76.0,26.0,76.0,27.0,76.0,28.0,76.0,29.0,78.0,30.0,78.0,31.0,77.0,32.0,74.0,33.0,,,did not hit their potential,
Diego Capel Trinidad,Diego Capel,171318,"['LW', 'LM']",Spain,Sevilla FC,87,79,22,78.0,23.0,80.0,24.0,79.0,25.0,77.0,26.0,76.0,27.0,76.0,28.0,,,71.0,30.0,,,,,,,did not hit their potential,
Gervais Yao Kouassi,Gervinho,170733,"['CF', 'ST', 'RF']",Côte d'Ivoire,LOSC Lille,87,80,23,84.0,24.0,81.0,25.0,79.0,26.0,81.0,27.0,80.0,28.0,80.0,29.0,79.0,30.0,77.0,31.0,78.0,32.0,78.0,33.0,76.0,34.0,did not hit their potential,
Diego Buonanotte,D. Buonanotte,170719,"['CAM', 'LW', 'LM']",Argentina,River Plate,87,76,22,77.0,23.0,75.0,24.0,73.0,25.0,73.0,26.0,,,76.0,28.0,,,77.0,30.0,75.0,31.0,74.0,32.0,76.0,33.0,did not hit their potential,
Anderson Luis De Abreu Oliveira,Anderson,167963,"['CM', 'CAM', 'LM', 'CDM']",Brazil,Manchester United,87,78,22,77.0,23.0,77.0,24.0,77.0,25.0,73.0,26.0,73.0,27.0,,,,,,,,,,,,,did not hit their potential,
Gonzalo Higuain,G. Higuaín,167664,"['ST', 'CF', 'RF', 'CAM']",Argentina,Real Madrid CF,87,85,22,85.0,23.0,85.0,24.0,84.0,25.0,84.0,26.0,84.0,27.0,88.0,28.0,90.0,29.0,88.0,30.0,85.0,31.0,83.0,32.0,81.0,33.0,exceeded their potential,6.0
Gabriel Agbonlahor,G. Agbonlahor,164469,"['RM', 'RW', 'ST', 'RF']",England,Aston Villa,87,76,23,75.0,24.0,74.0,25.0,73.0,26.0,73.0,27.0,73.0,28.0,73.0,29.0,69.0,30.0,,,,,,,,,did not hit their potential,
Joao Filipe Iria Santos Moutinho,João Moutinho,162347,"['CM', 'CAM', 'RM', 'LM']",Portugal,FC Porto,87,80,23,84.0,24.0,84.0,25.0,83.0,26.0,83.0,27.0,83.0,28.0,83.0,29.0,82.0,30.0,81.0,31.0,84.0,32.0,83.0,33.0,80.0,34.0,did not hit their potential,
Alexander Merkel,A. Merkel,200700,"['CAM', 'CF']",Germany,AC Milan,86,67,18,73.0,19.0,75.0,20.0,74.0,21.0,69.0,22.0,68.0,23.0,69.0,24.0,68.0,25.0,68.0,26.0,69.0,27.0,,,68.0,29.0,did not hit their potential,
Josip Ilicic,J. Iličić,200647,"['CM', 'LM', 'RM']",Slovenia,Slovenia,86,71,22,79.0,23.0,79.0,24.0,77.0,25.0,76.0,26.0,78.0,27.0,80.0,28.0,80.0,29.0,81.0,30.0,84.0,31.0,84.0,32.0,84.0,33.0,did not hit their potential,
Heung Min Son,H. Son,200104,"['ST', 'CF', 'CAM', 'LW']",Korea Republic,Hamburger SV,86,67,17,73.0,18.0,73.0,19.0,76.0,20.0,76.0,21.0,77.0,22.0,78.0,23.0,82.0,24.0,84.0,25.0,87.0,26.0,87.0,27.0,89.0,28.0,exceeded their potential,9.0
Phil Jones,P. Jones,194957,"['CB', 'RB', 'CDM']",England,Blackburn Rovers,86,74,18,76.0,19.0,78.0,20.0,78.0,21.0,79.0,22.0,80.0,23.0,79.0,24.0,79.0,25.0,80.0,26.0,79.0,27.0,75.0,28.0,74.0,29.0,did not hit their potential,
Ishak Belfodil,I. Belfodil,194728,"['ST', 'CF']",France,Olympique Lyonnais,86,66,18,67.0,19.0,69.0,20.0,75.0,21.0,73.0,22.0,,,,,75.0,25.0,76.0,26.0,79.0,27.0,77.0,28.0,74.0,29.0,did not hit their potential,
Roderick Jefferson Goncalves Miranda,Roderick Miranda,193143,"['CB', 'SW', 'CDM']",Portugal,SL Benfica,86,72,19,65.0,20.0,69.0,21.0,68.0,22.0,68.0,23.0,69.0,24.0,70.0,25.0,72.0,26.0,71.0,27.0,70.0,28.0,69.0,29.0,69.0,30.0,did not hit their potential,
Maxime Gonalons,M. Gonalons,193116,"['CDM', 'CM', 'CB']",France,Olympique Lyonnais,86,78,21,78.0,22.0,77.0,23.0,78.0,24.0,80.0,25.0,82.0,26.0,81.0,27.0,80.0,28.0,75.0,29.0,75.0,30.0,76.0,31.0,76.0,32.0,did not hit their potential,
Thomas Muller,T. Müller,189596,"['ST', 'RF', 'CAM', 'RW']",Germany,FC Bayern München,86,80,20,83.0,21.0,84.0,22.0,85.0,23.0,86.0,24.0,86.0,25.0,87.0,26.0,86.0,27.0,86.0,28.0,86.0,29.0,86.0,30.0,87.0,31.0,lived to expectations,3.0
Pedro Rodriguez Ledesma,Pedro,189505,"['LW', 'RW', 'LF', 'RF']",Spain,FC Barcelona,86,82,22,85.0,23.0,84.0,24.0,85.0,25.0,83.0,26.0,83.0,27.0,83.0,28.0,84.0,29.0,82.0,30.0,82.0,31.0,,,78.0,33.0,lived to expectations,1.0
Lorenzo Ariaudo,L. Ariaudo,189436,"['CB', 'LB']",Italy,Cagliari,86,70,21,72.0,22.0,74.0,23.0,73.0,24.0,70.0,25.0,72.0,26.0,73.0,27.0,72.0,28.0,72.0,29.0,72.0,30.0,,,,,did not hit their potential,
Philippe Coutinho Correia,Philippe Coutinho,189242,"['CAM', 'RM', 'CM', 'CF']",Brazil,Inter,86,74,18,74.0,19.0,78.0,20.0,80.0,21.0,81.0,22.0,84.0,23.0,85.0,24.0,86.0,25.0,88.0,26.0,86.0,27.0,83.0,28.0,82.0,29.0,exceeded their potential,6.0
Ryad Boudebouz,R. Boudebouz,188388,"['RM', 'CAM', 'LM']",Algeria,FC Sochaux-Montbéliard,86,72,20,75.0,21.0,77.0,22.0,76.0,23.0,74.0,24.0,76.0,25.0,79.0,26.0,81.0,27.0,80.0,28.0,78.0,29.0,76.0,30.0,74.0,31.0,did not hit their potential,
Yanis Tafer,Y. Tafer,187925,"['ST', 'LF', 'RM', 'LM']",France,Toulouse Football Club,86,73,19,69.0,20.0,66.0,21.0,65.0,22.0,63.0,23.0,66.0,24.0,68.0,25.0,68.0,26.0,67.0,27.0,63.0,28.0,,,,,did not hit their potential,
Aaron Ramsey,A. Ramsey,186561,"['CM', 'CAM', 'RM']",Wales,Arsenal,86,76,19,77.0,20.0,77.0,21.0,77.0,22.0,83.0,23.0,82.0,24.0,84.0,25.0,82.0,26.0,82.0,27.0,83.0,28.0,82.0,29.0,80.0,30.0,did not hit their potential,
Andrea Poli,A. Poli,185174,"['CM', 'CAM', 'CDM']",Italy,U.C. Sampdoria,86,75,20,75.0,21.0,77.0,22.0,75.0,23.0,78.0,24.0,77.0,25.0,76.0,26.0,75.0,27.0,77.0,28.0,77.0,29.0,76.0,30.0,75.0,31.0,did not hit their potential,
