Player name,Known as,player_id,position,nationality,team,Fifa 16 Potential rating,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Mario Gotze,M. Götze,192318,"['CAM', 'LM', 'CF', 'CM']",Germany,FC Bayern München,88,84,23,84,24,81,25,82,26,82,27,,,82,29
Philippe Coutinho Correia,Coutinho,189242,"['CAM', 'LW', 'CM']",Brazil,Liverpool,88,84,23,85,24,86,25,88,26,86,27,83,28,82,29
Oscar Dos Santos Emboaba,Oscar,188152,"['CAM', 'RM']",Brazil,Chelsea,88,84,23,83,24,83,25,82,26,83,27,83,28,82,29
Danilo Barbosa Da Silva,Danilo,223517,"['CDM', 'CM']",Brazil,Valencia CF,87,78,19,79,20,74,21,76,22,75,23,74,24,72,25
Daniel Ceballos Fernandez,Dani Ceballos,222509,"['LM', 'CM']",Spain,Real Betis Balompié,87,73,18,77,19,78,20,78,21,81,22,80,23,77,24
Marco Asensio Willemsen,Marco Asensio,220834,"['CAM', 'LM', 'RM']",Spain,RCD Espanyol de Barcelona,87,75,19,81,20,84,21,85,22,83,23,82,24,83,25
Alen Halilovic,A. Halilović,216349,"['CM', 'RW', 'CF']",Croatia,Real Sporting de Gijón,87,73,19,79,20,77,21,76,22,72,23,71,24,69,25
Angel Correa,Á. Correa,214997,"['ST', 'CAM']",Argentina,Atlético de Madrid,87,76,20,79,21,79,22,80,23,82,24,82,25,83,26
Hachim Mastour,H. Mastour,212455,"['CAM', 'CF', 'RW']",Morocco,AC Milan,87,67,17,68,18,,,,,,,,,,
Aymeric Laporte,A. Laporte,212218,['CB'],France,Athletic Club de Bilbao,87,83,21,84,22,84,23,83,24,87,25,87,26,86,27
Jose Luis Gaya Pena,Gayà,211688,['LB'],Spain,Valencia CF,87,80,20,80,21,79,22,79,23,81,24,83,25,83,26
Andre Filipe Tavares Gomes,André Gomes,211575,"['CM', 'CAM', 'CDM']",Portugal,Valencia CF,87,80,21,84,22,82,23,80,24,80,25,79,26,77,27
Alessio Romagnoli,A. Romagnoli,210413,"['CB', 'LB']",Italy,AC Milan,87,75,20,78,21,79,22,82,23,83,24,83,25,82,26
Mohamed Salah,M. Salah,209331,['RW'],Egypt,Roma,87,80,23,81,24,83,25,88,26,90,27,90,28,89,29
Quincy Promes,Q. Promes,208808,"['RW', 'RM', 'LW']",Netherlands,Spartak Moskva,87,80,23,81,24,82,25,83,26,82,27,82,28,80,29
Oliver Torres Munoz,Óliver Torres,208777,"['CAM', 'RW']",Spain,Atlético de Madrid,87,79,20,79,21,79,22,78,23,78,24,77,25,77,26
Marcos Aoas Correa,Marquinhos,207865,"['CB', 'RB']",Brazil,Paris Saint-Germain,87,81,21,82,22,83,23,84,24,86,25,85,26,87,27
Kepa Arrizabalaga,Kepa Arrizabalaga,206585,['GK'],Spain,Real Valladolid CF,87,74,20,73,21,79,22,83,23,84,24,82,25,79,26
Kurt Zouma,K. Zouma,204311,"['CB', 'RB']",France,Chelsea,87,77,20,80,21,79,22,78,23,80,24,80,25,81,26
John Stones,J. Stones,203574,"['CB', 'RB']",England,Everton,87,77,21,78,22,79,23,82,24,83,25,80,26,83,27
Felipe Anderson Pereira Gomes,Felipe Anderson,201995,"['LW', 'RW', 'CAM']",Brazil,Lazio,87,79,22,79,23,81,24,82,25,84,26,81,27,78,28
Timo Horn,T. Horn,200316,['GK'],Germany,1. FC Köln,87,79,22,82,23,84,24,83,25,81,26,77,27,76,28
Danilo Luiz Da Silva,Danilo,199304,['RB'],Brazil,Real Madrid CF,87,81,23,80,24,78,25,79,26,79,27,79,28,81,29
Ross Barkley,R. Barkley,199189,"['CAM', 'LM']",England,Everton,87,79,21,81,22,81,23,79,24,79,25,78,26,78,27
Stefan De Vrij,S. de Vrij,198176,['CB'],Netherlands,Lazio,87,82,23,82,24,83,25,84,26,84,27,84,28,85,29
Jorge Resurreccion,Koke,193747,"['CAM', 'LM', 'RM', 'CM']",Spain,Atlético de Madrid,87,83,23,84,24,84,25,85,26,85,27,85,28,85,29
Ricardo Rodriguez,R. Rodriguez,193352,['LB'],Switzerland,VfL Wolfsburg,87,83,22,83,23,81,24,80,25,80,26,78,27,76,28
Shkodran Mustafi,S. Mustafi,192227,['CB'],Germany,Valencia CF,87,82,23,83,24,84,25,82,26,79,27,78,28,74,29
Christian Eriksen,C. Eriksen,190460,"['CAM', 'LM']",Denmark,Tottenham Hotspur,87,83,23,84,24,87,25,88,26,88,27,85,28,82,29
Jesus Vallejo Lazaro,Vallejo,225161,"['CB', 'RB']",Spain,Real Zaragoza,86,74,18,73,19,77,20,78,21,77,22,76,23,75,24
Ruben Diogo Da Silva Neves,Rúben Neves,224293,"['CDM', 'CM']",Portugal,FC Porto,86,74,18,75,19,77,20,79,21,82,22,82,23,82,24
Jairo Riedewald,J. Riedewald,221269,"['CB', 'LB', 'CDM']",Netherlands,Ajax,86,75,18,76,19,74,20,74,21,72,22,71,23,75,24
Antonio Sanabria,A. Sanabria,219932,['ST'],Paraguay,Real Sporting de Gijón,86,73,19,78,20,78,21,79,22,77,23,74,24,74,25
Corentin Tolisso,C. Tolisso,219683,"['CM', 'CDM', 'LB', 'RB']",France,Olympique Lyonnais,86,77,20,78,21,82,22,83,23,83,24,80,25,80,26
Bernardo Mota Carvalho E Silva,Bernardo Silva,218667,"['RM', 'CAM', 'CM']",Portugal,AS Monaco,86,79,20,81,21,84,22,84,23,87,24,87,25,86,26
Vaclav Cerny,V. Černý,216860,['LW'],Czech Republic,Ajax,86,66,17,69,18,70,19,68,20,68,21,66,22,71,23
Jose Maria Gimenez,J. Giménez,216460,['CB'],Uruguay,Atlético de Madrid,86,78,20,83,21,83,22,84,23,85,24,84,25,84,26
Tin Jedvaj,T. Jedvaj,215930,"['CB', 'RB', 'LB']",Croatia,Bayer 04 Leverkusen,86,75,19,75,20,76,21,76,22,75,23,75,24,73,25
Balde Diao Keita,B. Keita,215785,"['LW', 'RW', 'ST']",Spain,Lazio,86,76,20,78,21,82,22,80,23,80,24,76,25,76,26
Bartlomiej Dragowski,B. Drągowski,215502,['GK'],Poland,Jagiellonia Białystok,86,71,17,71,18,71,19,71,20,73,21,75,22,77,23
Nikola Maksimovic,N. Maksimović,215466,['CB'],Serbia,Torino F.C.,86,80,23,81,24,79,25,78,26,78,27,77,28,73,29
Jonathan Tah,J. Tah,213331,['CB'],Germany,Bayer 04 Leverkusen,86,73,19,79,20,82,21,83,22,83,23,79,24,78,25
Nabil Bentaleb,N. Bentaleb,213296,"['CM', 'CDM']",Algeria,Tottenham Hotspur,86,75,20,75,21,80,22,79,23,77,24,75,25,73,26
Divock Origi,D. Origi,213135,"['ST', 'LW', 'RW']",Belgium,Liverpool,86,76,20,78,21,78,22,77,23,78,24,77,25,76,26
Levin Oztunali,L. Öztunali,213134,"['CAM', 'CM', 'CDM']",Germany,SV Werder Bremen,86,71,19,74,20,76,21,74,22,73,23,73,24,72,25
Anthony Martial,A. Martial,211300,['ST'],France,AS Monaco,86,77,19,82,20,82,21,83,22,83,23,84,24,81,25
Chancel Mbemba,C. Mbemba,210897,['CB'],Congo DR,Newcastle United,86,77,20,77,21,76,22,75,23,73,24,75,25,79,26
Juan Fernando Quintero,J. Quintero,210513,['CAM'],Colombia,FC Porto,86,78,22,79,23,77,24,78,25,80,26,79,27,79,28
Fabio Henrique Tavares,Fabinho,209499,"['RB', 'CDM']",Brazil,AS Monaco,86,78,21,79,22,83,23,85,24,85,25,87,26,86,27
Ryan Gauld,R. Gauld,208919,"['CAM', 'LM']",Scotland,Sporting CP,86,73,19,73,20,73,21,71,22,,,70,24,75,25
Adnan Januzaj,A. Januzaj,208330,"['LM', 'RM']",Belgium,Manchester United,86,75,20,76,21,77,22,78,23,79,24,80,25,81,26
Luciano Vietto,L. Vietto,207441,['ST'],Argentina,Atlético de Madrid,86,79,21,79,22,79,23,76,24,74,25,78,26,75,27
Mateo Kovacic,M. Kovačić,207410,['CM'],Croatia,Real Madrid CF,86,78,21,79,22,82,23,83,24,82,25,83,26,83,27
Jetro Willems,J. Willems,205995,['LB'],Netherlands,PSV,86,78,21,79,22,77,23,76,24,75,25,77,26,73,27
Daniele Baselli,D. Baselli,205407,"['CM', 'CDM']",Italy,Torino F.C.,86,78,23,79,24,79,25,79,26,79,27,77,28,76,29
Johannes Geis,J. Geis,202087,"['CDM', 'CM']",Germany,FC Schalke 04,86,79,21,79,22,77,23,75,24,74,25,73,26,71,27
Roberto Firmino Barbosa De Oliveira,Roberto Firmino,201942,"['CAM', 'CF']",Brazil,Liverpool,86,82,23,82,24,83,25,86,26,86,27,87,28,85,29
Jan Oblak,J. Oblak,200389,['GK'],Slovenia,Atlético de Madrid,86,81,22,87,23,88,24,90,25,91,26,91,27,91,28
Romelu Lukaku,R. Lukaku,192505,['ST'],Belgium,Everton,86,80,22,84,23,86,24,87,25,85,26,85,27,88,28
Stephan El Shaarawy,S. El Shaarawy,190813,['LW'],Italy,AS Monaco,86,80,22,81,23,80,24,81,25,82,26,79,27,79,28
Gelson Dany Batalha Martins,Gelson Martins,227055,"['RM', 'LM']",Portugal,Sporting CP,85,74,20,78,21,81,22,82,23,82,24,80,25,78,26
Fabian Ruiz Pena,Fabián,226271,['CAM'],Spain,Real Betis Balompié,85,69,19,71,20,70,21,81,22,83,23,82,24,82,25
Steven Bergwijn,S. Bergwijn,225953,['LW'],Netherlands,PSV,85,66,17,69,18,74,19,76,20,82,21,83,22,80,23
Kelechi Iheanacho,K. Iheanacho,225719,['ST'],Nigeria,Manchester City,85,67,18,74,19,75,20,75,21,73,22,74,23,78,24
Andre Campos Moreira,André Moreira,224953,['GK'],Portugal,União da Madeira,85,70,19,70,20,70,21,71,22,66,23,66,24,66,25
Francois Kamano,F. Kamano,224218,"['RM', 'LM']",Guinea,SC Bastia,85,71,19,72,20,75,21,75,22,76,23,75,24,75,25
Nathan Allan De Souza,Nathan,222060,"['CAM', 'RW', 'LW']",Brazil,Vitesse,85,72,19,71,20,71,21,,,71,23,,,,
Godfred Donsah,G. Donsah,221695,['CM'],Ghana,Bologna,85,69,19,75,20,75,21,76,22,75,23,70,24,70,25
Munir El Haddadi,Munir,220253,"['RW', 'LW', 'ST']",Spain,FC Barcelona,85,73,19,74,20,75,21,78,22,79,23,79,24,79,25
Nabil Fekir,N. Fékir,216594,"['ST', 'CAM', 'RW', 'LW']",France,Olympique Lyonnais,85,79,21,81,22,82,23,85,24,84,25,83,26,84,27
Wendell Nascimento Borges,Wendell,216466,['LB'],Brazil,Bayer 04 Leverkusen,85,77,21,78,22,77,23,78,24,77,25,77,26,75,27
Anwar El Ghazi,A. El Ghazi,216433,['RW'],Netherlands,Ajax,85,76,20,76,21,74,22,74,23,74,24,75,25,76,26
Geronimo Rulli,G. Rulli,215316,['GK'],Argentina,Real Sociedad,85,78,23,82,24,83,25,81,26,81,27,82,28,80,29
Lucas Romero,L. Romero,215119,['CM'],Argentina,Vélez Sarsfield,85,74,21,,,,,,,74,25,74,26,76,27
Joao Mario Naval Costa Eduardo,João Mário,212814,['CM'],Portugal,Sporting CP,85,78,22,83,23,83,24,81,25,81,26,80,27,80,28
Fuka Arthur Masuaku,F. Masuaku,212491,"['LB', 'LM', 'LWB']",France,Olympiacos CFP,85,75,21,75,22,75,23,76,24,76,25,77,26,77,27
Tobias Pereira Figueiredo,Tobias Figueiredo,212231,['CB'],Portugal,Sporting CP,85,76,21,74,22,72,23,71,24,71,25,70,26,69,27
Iuri Jose Picanco Medeiros,Iuri Medeiros,212230,"['RW', 'LW']",Portugal,Moreirense FC,85,73,20,77,21,78,22,76,23,74,24,68,25,72,26
Sofiane Boufal,S. Boufal,211381,"['CAM', 'RM', 'LM']",Morocco,LOSC Lille,85,78,21,80,22,79,23,77,24,77,25,75,26,74,27
Armindo Tue Na Bangna,Bruma,211368,"['RM', 'LM']",Portugal,Real Sociedad,85,76,20,77,21,81,22,79,23,78,24,76,25,76,26
Domenico Berardi,D. Berardi,210935,"['RW', 'CF']",Italy,U.S. Sassuolo Calcio,85,80,20,82,21,81,22,78,23,78,24,80,25,82,26
Paulo Andre R Oliveira,Paulo Oliveira,210679,['CB'],Portugal,Sporting CP,85,79,23,79,24,78,26,78,27,76,27,76,28,76,29
Samuel Castillejo Azuaga,Samu Castillejo,210617,['LM'],Spain,Villarreal CF,85,77,20,80,21,80,22,83,23,80,24,79,25,77,26
Fabian Schar,F. Schär,210047,['CB'],Switzerland,Switzerland,85,78,23,77,24,75,25,75,26,79,27,78,28,76,29
Victor Andrade Santos,Victor Andrade,209736,"['RM', 'LM']",Brazil,SL Benfica,85,73,19,73,20,71,21,,,,,,,,
Abdul Rahman Baba,A. Baba,209620,"['LB', 'LM']",Ghana,Chelsea,85,78,20,78,21,77,22,76,23,74,24,75,25,72,26
Derlis Gonzalez,D. González,209523,['RM'],Paraguay,Paraguay,85,74,21,75,22,75,23,,,,,76,26,74,27
Frederico R De Paula Santos,Fred,209297,"['CM', 'CDM', 'CAM']",Brazil,Shakhtar Donetsk,85,78,22,79,23,80,24,82,25,79,26,81,27,81,28
Bertrand Traore,B. Traoré,207948,"['ST', 'RW']",Burkina Faso,Chelsea,85,74,19,75,20,78,21,79,22,78,23,76,24,77,25
Matthias Ginter,M. Ginter,207862,"['CB', 'CDM']",Germany,Borussia Dortmund,85,77,21,77,22,78,23,80,24,81,25,82,26,84,27
Moises Gomez Bordonado,Moi Gómez,206590,"['LM', 'RM']",Spain,Getafe CF,85,78,21,74,22,74,23,74,24,73,25,77,26,78,27
Manuel Trigueros Munoz,Manu Trigueros,206545,['CM'],Spain,Villarreal CF,85,79,23,80,24,82,25,83,26,80,27,78,28,79,29
Will Hughes,W. Hughes,206516,['CM'],England,Derby County,85,73,20,74,21,75,22,76,23,77,24,76,25,76,26
Samuel Umtiti,S. Umtiti,205600,"['CB', 'LB']",France,Olympique Lyonnais,85,79,21,82,22,83,23,87,24,86,25,83,26,80,27
Antonio Rudiger,A. Rüdiger,205452,['CB'],Germany,Roma,85,76,22,77,23,82,24,81,25,82,26,81,27,83,28
Denis Suarez Fernandez,Denis Suarez,205192,"['CAM', 'LW', 'CM']",Spain,Sevilla FC,85,78,21,80,22,80,23,79,24,78,25,78,26,78,27
Daniel Carvajal Ramos,Carvajal,204963,['RB'],Spain,Real Madrid CF,85,81,23,83,24,84,25,84,26,85,27,86,28,85,29
Ruben Pardo Gutierrez,Rubén Pardo,204523,"['CM', 'CDM']",Spain,Real Sociedad,85,79,22,77,23,79,24,75,25,74,26,72,27,72,28
Saido Berahino,S. Berahino,204289,['ST'],England,West Bromwich Albion,85,76,21,77,22,76,23,73,24,69,25,71,26,71,27
John Brooks,J. Brooks,204082,['CB'],United States,Hertha BSC,85,76,22,79,23,80,24,80,25,79,26,76,27,78,28
Davy Klaassen,D. Klaassen,203483,"['CAM', 'CM']",Netherlands,Ajax,85,79,22,80,23,82,24,79,25,80,26,77,27,79,28
Jese Rodriguez Ruiz,Jesé,202515,"['LM', 'ST', 'RM']",Spain,Real Madrid CF,85,78,22,80,23,77,24,76,25,75,26,72,27,71,28
Gerard Deulofeu Lazaro,Deulofeu,202477,"['RM', 'RW']",Spain,Everton,85,78,21,81,22,82,23,81,24,80,25,80,26,79,27
Julian Draxler,J. Draxler,202166,"['LM', 'CAM', 'RM']",Germany,FC Schalke 04,85,80,21,84,22,84,23,83,24,83,25,80,26,80,27
Mauro Icardi,M. Icardi,201399,['ST'],Argentina,Inter,85,79,22,82,23,84,24,87,25,85,26,85,27,83,28
Lucas Rodrigues M Silva,Lucas,200949,"['RW', 'RM']",Brazil,Paris Saint-Germain,85,82,22,82,23,82,24,82,25,83,26,83,27,81,28
Danilo Luis Helio Pereira,Danilo Pereira,200888,['CDM'],Portugal,FC Porto,85,79,23,82,24,83,25,83,26,83,27,82,28,81,29
Kevin Volland,K. Volland,200610,"['RM', 'ST', 'CF']",Germany,Germany,85,80,22,81,23,80,24,81,25,82,26,81,27,83,28
Sergio Roberto Carnicer,Sergi Roberto,199564,"['CM', 'RB', 'CDM']",Spain,FC Barcelona,85,78,23,79,24,81,25,84,26,82,27,83,28,81,29
Bruno Martins Indi,B. Martins Indi,199550,['CB'],Netherlands,FC Porto,85,80,23,78,24,79,25,76,26,72,27,69,28,71,29
Granit Xhaka,G. Xhaka,199503,"['CM', 'CAM']",Switzerland,Borussia Mönchengladbach,85,81,22,84,23,82,24,81,25,81,26,80,27,79,28
Alex Oxlade Chamberlain,A. Oxlade-Chamberlain,198784,"['RM', 'RW']",England,Arsenal,85,79,21,79,22,80,23,80,24,80,25,79,26,79,27
Serge Aurier,S. Aurier,197853,"['RB', 'RM', 'CB']",Côte d'Ivoire,Paris Saint-Germain,85,80,22,83,23,81,24,81,25,79,26,80,27,80,28
Oguzhan Ozyakup,O. Özyakup,196934,"['CM', 'CAM']",Turkey,Beşiktaş JK,85,77,22,81,23,80,24,78,25,77,26,75,27,73,28
Gokhan Tore,G. Töre,191032,"['RM', 'LM']",Turkey,Beşiktaş JK,85,80,23,79,24,78,25,76,26,74,27,74,28,73,29
Iker Muniain Goni,Muniaín,189575,"['LW', 'CAM']",Spain,Athletic Club de Bilbao,85,80,22,78,23,78,24,80,25,82,26,83,27,83,28
Erik Lamela,E. Lamela,170368,"['RM', 'CAM']",Argentina,Tottenham Hotspur,85,79,23,81,24,80,25,80,26,80,27,80,28,78,29
Andre Miguel Valente Da Silva,André Silva,228941,"['ST', 'RW']",Portugal,FC Porto,84,68,19,74,20,78,21,77,22,79,23,79,24,84,25
Viktor Kovalenko,V. Kovalenko,228698,"['CM', 'CAM', 'CDM']",Ukraine,Shakhtar Donetsk,84,70,19,75,20,75,21,74,22,74,23,73,24,73,25
Euciodalcio Gomes,Dálcio,226866,"['RM', 'LM']",Portugal,Belenenses SAD,84,69,19,,,67,21,65,22,,,,,,
Jeremiah St Juste,J. St. Juste,226853,['CB'],Netherlands,SC Heerenveen,84,70,18,72,19,73,20,73,21,74,22,74,23,76,24
Raul Gudino,R. Gudiño,226285,['GK'],Mexico,FC Porto,84,68,19,,,,,67,22,72,23,72,24,72,25
Enes Unal,E. Ünal,223197,['ST'],Turkey,KRC Genk,84,69,18,70,19,74,20,78,21,77,22,75,23,75,24
Bernard Mensah,B. Mensah,222457,"['CAM', 'LM']",Ghana,Getafe CF,84,76,20,72,21,72,22,74,23,73,24,75,25,73,26
Hirving Lozano,H. Lozano,221992,"['LW', 'RW']",Mexico,Pachuca,84,74,19,76,20,78,21,80,22,82,23,80,24,81,25
Donis Avdijaj,D. Avdijaj,221896,"['CAM', 'LM', 'ST']",Germany,SK Sturm Graz,84,68,18,72,19,72,20,71,21,70,22,,,67,24
Abdelhak Nouri,A. Nouri,221283,['CAM'],Netherlands,Ajax,84,66,18,68,19,75,20,,,,,,,,
Erick Gutierrez,E. Gutiérrez,220854,"['CM', 'CDM']",Mexico,Pachuca,84,72,20,76,21,76,22,77,23,75,24,74,25,73,26
Jason Denayer,J. Denayer,220182,['CB'],Belgium,Manchester City,84,71,20,74,21,74,22,74,23,79,24,79,25,80,26
Fabio Miguel Santos Sturgeon,Fábio Sturgeon,217802,"['RM', 'LM', 'CAM']",Portugal,Belenenses SAD,84,77,21,74,22,74,23,71,24,,,,,67,27
Sandro Ramirez Castillo,Sandro,217731,"['LW', 'RW', 'ST']",Spain,FC Barcelona,84,72,19,74,20,77,21,76,22,75,23,73,24,72,25
Rafael A F Ferreira Silva,Rafa,216547,['LM'],Portugal,SC Braga,84,78,22,80,23,78,24,79,25,82,26,83,27,82,28
Andrew Robertson,A. Robertson,216267,"['LB', 'LWB']",Scotland,Scotland,84,73,21,75,22,75,23,81,24,85,25,87,26,87,27
Maxwel Cornet,M. Cornet,215798,"['ST', 'RW', 'LW']",France,Olympique Lyonnais,84,68,18,75,19,73,20,75,21,76,22,75,23,75,24
Jorrit Hendrix,J. Hendrix,212755,"['CDM', 'CB']",Netherlands,PSV,84,74,20,76,21,75,22,77,23,76,24,75,25,74,26
Santiago Mina Lorenzo,Santi Mina,212623,"['RW', 'ST', 'LW']",Spain,Valencia CF,84,73,19,76,20,76,21,79,22,80,23,76,24,77,25
Rodrigo De Paul,R. De Paul,212616,"['LM', 'CAM', 'LW']",Argentina,Valencia CF,84,76,21,75,22,74,23,75,24,78,25,77,26,82,27
Anderson Souza Conceicao,Anderson Talisca,212523,"['CAM', 'ST']",Brazil,SL Benfica,84,77,21,76,22,79,23,82,24,83,25,82,26,82,27
Ali Ghazal,A. Ghazal,212469,['CDM'],Egypt,CD Nacional,84,77,23,76,24,73,25,72,26,69,27,,,,
Jose Pedro Malheiro De Sa,José Sá,212442,['GK'],Portugal,Clube Sport Marítimo,84,75,22,76,23,76,24,77,25,78,26,78,27,79,28
Timo Werner,T. Werner,212188,"['LM', 'ST']",Germany,VfB Stuttgart,84,72,19,75,20,82,21,83,22,83,23,85,24,84,25
Lazar Markovic,L. Marković,212125,"['RM', 'LM']",Serbia,Liverpool,84,77,21,78,22,76,23,75,24,,,,,,
Ricardo Kishna,R. Kishna,211176,"['LW', 'RW']",Netherlands,Lazio,84,75,20,75,21,75,22,,,71,24,67,25,,
Bjorn Engels,B. Engels,210828,['CB'],Belgium,Club Brugge KV,84,74,20,76,21,75,22,,,76,24,74,25,73,26
Marc Stendera,M. Stendera,210583,"['CAM', 'CM']",Germany,Eintracht Frankfurt,84,74,19,76,20,76,21,74,22,73,23,,,69,25
Otavio Edmilson Da Silva Monteiro,Otávio,210411,['CAM'],Brazil,Vitória de Guimarães,84,73,20,76,21,77,22,78,23,79,24,80,25,81,26
Raphael Guerreiro,R. Guerreiro,209889,"['LM', 'LB']",Portugal,FC Lorient,84,76,21,76,22,81,23,79,24,81,25,84,26,84,27
Lucas Silva Borges,Lucas Silva,209749,"['CDM', 'CM']",Brazil,Olympique de Marseille,84,76,22,74,23,,,,,74,26,,,,
Leon Goretzka,L. Goretzka,209658,"['CM', 'RM', 'CDM']",Germany,FC Schalke 04,84,74,20,79,21,82,22,83,23,84,24,84,25,87,26
Zakaria Bakkali,Z. Bakkali,208790,"['RW', 'LW']",Belgium,Valencia CF,84,73,19,74,20,72,21,70,22,,,69,24,,
Sadio Mane,S. Mané,208722,"['CF', 'LM', 'LW', 'RM']",Senegal,Southampton,84,78,23,79,24,84,25,85,26,88,27,90,28,89,29
Filip Kostic,F. Kostić,208574,"['LM', 'LW']",Serbia,VfB Stuttgart,84,77,22,80,23,78,24,,,82,26,83,27,84,28
Yannick Ferreira Carrasco,Y. Ferreira Carrasco,208418,['LM'],Belgium,Atlético de Madrid,84,78,21,82,22,85,23,83,24,83,25,82,26,84,27
Maximilian Arnold,M. Arnold,206511,"['CM', 'CAM', 'RM', 'LM']",Germany,VfL Wolfsburg,84,77,21,79,22,79,23,78,24,79,25,79,26,81,27
Mattia De Sciglio,M. De Sciglio,206058,"['LB', 'RB']",Italy,AC Milan,84,76,22,76,23,76,24,78,25,77,26,78,27,76,28
Leonardo Carrilho Baptistao,Leo Baptistao,205976,['ST'],Brazil,Villarreal CF,84,79,22,79,23,80,24,79,25,79,26,78,27,78,28
Alberto Moreno Perez,Alberto Moreno,205566,"['LWB', 'LB', 'LM']",Spain,Liverpool,84,79,22,77,23,76,24,77,25,76,26,77,27,76,28
